http://movie.douban.com/subject/3131843/	梅花档案
(1星)	 初中时代惊悚岁月。            
(5星)	 关于敌特的故事，很好看，有推理有惊险的情节，比如半夜老宅闹鬼，太平间的停尸房，莫名其妙的死人等等，哈哈。看了好几遍电视剧又特意看了书，一口气看下来很过瘾呀。            
(3星)	 好像是因为周去看的            
(4星)	 满吓人的=。=当年一边看一边寒            
(3星)	 知道不是鬼是间谍以后就变得好无聊            
(4星)	 当时觉得紧张恐怖又刺激呢            
(1星)	 故弄玄虚            
(3星)	 跟我妈天天看到12点.......呢时候觉得海清不错  现在不行了...            
(4星)	 龙飞就是忍辱负重！就如鹰巢家族一样，为了大局（大家共同的一致的利益）为了最大的最根本的利益和使命不惜顶住周围世人的指责怨恨怀疑等一切不利的负面的消极的情绪。12集：弱行（身体虚弱的弱，活着还行的行）20集：老汉代表智慧，点评与黄司令下棋的话太可怕了！同时也还原生活中的童子功！            
(2星)	 我看了最后5集就理清了整个故事……尔康你太失败了            
(3星)	 手抄本小说            
(1星)	 2009/10/1深夜至10/13凌晨，山西卫视，剧情极其幼稚，哪有龙飞这样不着四六的卧底？哪有梅花党这样不着四六的秘密组织？哪有梅香这样不着四六的花痴+白痴！这是我看过的最不着四六的谍战片，1星！之所以耐着性子看完，就是要看看这片子到底能有多不靠谱。            
(3星)	 上映日期好像不对。            
(5星)	 看的挺恐怖的，可以称作中国电视剧的一个小突破把。。。。。            
(4星)	 只记得当时很感慨于结尾：可怜的肖克啊。。。            
(4星)	 我就喜欢周杰！我三俗！            
(3星)	 好 吓 人            
(4星)	 那时候看觉得又惊险又刺激，迷雾重重            
(4星)	 童年回憶            
(4星)	 虽然貌似评价不高，我还是蛮喜欢的，可看性不错。            
(3星)	 前面不错，后面唐突            
(NA)	 全家一起看            
(3星)	 有苏瑾……            
(3星)	 有那么一丢丢印象。            
(3星)	 还可以做得更好。            
(4星)	 那时真心吓到我了            
(3星)	 那时的几部国产悬疑剧挺不错的            
(3星)	 貌似有点恐怖的            
(4星)	 当初居然吓得不敢看…囧            
(3星)	 那时每晚陪外婆看的            
(4星)	 配乐都很瘆人            
(NA)	 喜欢周杰的影视，但是本剧喜欢前面多于后面~~~~            
(5星)	 其实有几段蛮恐怖的，到现在还想重温。尤其是去鬼宅地下那段。【可惜现在周杰发展不好。唉。其实他演技还好的。            
(3星)	 看的是有些阴森，可怕。            
(4星)	 看了好几遍，海清当时真年轻啊            
(NA)	 当时差点儿给吓屎            
(5星)	 优秀的演员+杰出的表演+完美的剧情            
(2星)	   周杰一点都不好看。。。            
(5星)	 挺有悬念，周杰好帅哈哈，而且片尾曲还不错            
(NA)	 还记得当初看的时候不敢看，叫奶奶陪我一起看的            
(5星)	 还记得全家聚在电视机前揭秘            
(3星)	 周杰这部还成            
(4星)	 那個梅花圖很漂亮嘛~            
(4星)	 少年记忆。            
(5星)	 不管别人怎么说，周杰一直是我认为最好的演员之一，此片绝对是反特经典剧，悬念丛生，引人入胜            
(4星)	 当时看得很爽            
(3星)	 那个片头曲真的吓坏年幼的我了            
(4星)	 那阵流行反特片。周杰演戏真是帅气。            
(4星)	 个人觉得还是不错的。苏瑾好久不见呐            
(5星)	 高中看滴，解放初期手抄本神马的鬼片，最有爱鸟，片子诡异得要shi，教主演技赞啊～超喜欢苏瑾，长得有点像林心如咧～那里面波浪的刘海撞击着俺那脆弱的小心脏.....深深的被她迷住鸟 ....金培达的片尾曲超好听！            
(4星)	 其实周杰演技很不错的，最起码比陆毅神马的强多了；苏瑾超无力；海清很赞。            
(4星)	 私以为这是国产特务电视剧的开端啊~人物剧情音乐场景都很到位的说~            
(3星)	 这个、、、、苏瑾很漂亮。的确很诡异，我都吓到了。            
(NA)	 午休回家的人最爱的就是午间电视剧            
(5星)	 是我看的大陆产电视剧排名前五了            
(5星)	 我四年级看的，看过后失眠。            
(5星)	 诡异，很多让人意想不到            
(5星)	 很喜欢的电视            
(3星)	 有些情节搞得和恐怖片呢，一边看一边拿东西挡，一手拿遥控器随时准备静音，一手拿个遮挡物，忙死了            
(4星)	 我看过的最好的国产电视剧之一            
(4星)	 那悬疑的小调到现在都记忆犹新            
(3星)	 前面觉得有点吓人            
(3星)	 天天他爹告诉我这是一超级恐怖片。            
(3星)	 还算不错的谍战剧，情节很吸引人，不过没传说的那么吓人~~周杰海清演的都不错，董勇苏瑾表现稍弱~~            
(5星)	 吓死人啊            
(3星)	 没那么精彩。            
(4星)	 魂都吓飞了            
(5星)	 第一个感觉是恐怖片。吓得哇哇大叫！            
(3星)	 结局最后有点仓促,但总体感觉不错            
(NA)	 片尾曲不错！            
(4星)	 梅花图很美            
(4星)	 蛮好看的...            
(NA)	 特务题材            
(NA)	 当一朵朵罪恶的花朵开放在曾经纯洁的背后，这一切的一切仿佛隔世又无可奈何...            
(3星)	 不适合反复看            
(5星)	 9.3分            
