http://movie.douban.com/subject/3134871/	乌龙闯情关
(NA)	 不喜欢曹颖。这电视为了凸显自己大腕云集，连客串的林心如都写在最前面充女主角。            
(3星)	 年少回忆。            
(NA)	 囧！我以前觉得孙耀威长的很像周星驰。            
(NA)	 看了n次吧- -记忆里感觉不错            
(2星)	 可怜孙耀威            
(NA)	 =。=            
(5星)	 当时笑死我了            
(2星)	 。。。。。            
(3星)	 我是冲着帅哥给还行的！！！            
(NA)	 补遗               
(NA)	 呐也就看过，不说什么了。林心如还是很pp滴            
(4星)	 当年还是很喜欢看的。            
(2星)	 曹颖当年蛮漂亮的            
(2星)	 ★☆            
(NA)	 那会儿特喜欢孙耀威。。            
(3星)	 小时候我是看了多少孙耀威的片子。。。- - 唉要是不是曹颖演的就好了= =            
(3星)	 记得里面有首曲子不错            
(2星)	 对不起我对孙耀威这张脸有点意见            
(3星)	 哈哈哈哈师傅- -            
(2星)	 我喜欢看这个，哈哈哈哈哈  林心如都成娘了            
(2星)	 我怀疑我的品位，非常怀疑。            
(2星)	 孙耀威啊，挺帅的嘛，为啥演这种角色            
(2星)	 曹颖太雷人了            
(1星)	 o(╯□╰)o            
(1星)	 就曹颖那大脸还给她设置剧情，迷死天下男人.我操            
(NA)	 黑夜总是苍凉而神秘！冰冷的空气，凝聚成诡异的气氛！             
(NA)	 当时挺喜欢看 的            
(3星)	 - - 我那个时候好喜欢孙耀威的恩哼。。            
(4星)	 喜欢你呀啊喜欢你            
(NA)	 可喜欢孙耀威了那时            
(3星)	 觉得最坑爹的是林心如演他妈            
(2星)	 很久很久以前            
(4星)	 小时候很喜欢里面曹颖演的风流小公子形象。            
(NA)	 我现在还能很不要脸的添加电视剧么。。。。老实说。。。真滴觉滴好丢人~~~捂脸~~~~~            
(4星)	 这个看的时候也很欢乐            
(3星)	 很多人都看过吧。。。            
(3星)	 哎，童年的记忆啊            
(3星)	 曹颖脸不是一般的大            
(3星)	 觉得 孙耀威在里面 好讨厌            
(3星)	 孙耀威平民变皇帝的又一次            
(4星)	 开头很搞笑            
(5星)	 最后的一集，是开学了某日晚，众人皆想看，无奈住宿生得上自习，于是灭了整层楼的电闸，10多个孩子出去看这片子。。。囧            
(3星)	 那时好小，不懂历史，没有现在苛刻挑剔。从这里认识孙耀威，喜欢他的角色。一直记得那首主题曲。            
(3星)	 林心如的客串不如不客。孙耀威浪费了。喜欢那个太皇太后。            
(1星)	 从此之后我对曹颖恨之入骨。狗血失忆什么的最可怕。            
(3星)	 我怎么记得还有一个类似的电影呢？            
(3星)	 我始终觉得那个音乐还不错。而且，当年是为了心如。            
(3星)	 那年轻的太后哟            
