http://movie.douban.com/subject/3145159/	孙子兵法与三十六计
(5星)	 目前为止看过的剧本最好的历史剧。顺带花痴一下下孙膑与公孙阅二位同学。            
(NA)	 公孙阅真素个好男银啊！            
(4星)	 孙膑挺有才的，剧情简单 情节大智慧 技巧烂 这个年代久远 妆容大口红粗眉毛。            
(4星)	 钟离春扮成丑女给赵王龇牙咧嘴，说这是含义深刻的动作。赵王又给群臣做这个动作，群臣建议他立她为王后。            
(5星)	 那时候每晚必看啊。就是36计在孙庞两人恩怨中的运用。现在想想编剧忒有才了            
(NA)	 张建新老湿是我见到穿深衣穿得最帅的人。之一。            
(5星)	 这么多年了我还是想问，他到底爱姐姐还是妹妹？            
(4星)	 孙膑好帅!            
(5星)	 虐啊虐……            
(4星)	 把友情刻在春秋,让岁月叙述情谊,人生易老情不老,斗转星移情不移            
(3星)	 初中很喜欢的帅叔叔孙膑            
(4星)	 当时差点爱上孙瘸子。。。            
(4星)	 妈的写《战国》的就没有人看这个吗            
(5星)	 小时候每天守着看的戏。狂爱仇永力。            
(5星)	 喜欢孙膑冷静的智慧，也喜欢他与春之间柏拉图似的感情蜻蜓点水却重如泰山。无论是孙膑的本人经历还是他的感情道路都是荆棘曲折百转千回，完美之中总是有太多的无奈与缺憾，他的伟大与凄美令人扼腕啊!故事演义智慧计谋演义爱情得失演义成功与失败演义历史人与人之间的内心力量的较量。人还是追求真善美            
(5星)	 真的不错。比很多所谓大成本大制作的电视剧好看多了            
(NA)	 刚上映之时看了喜欢到不行...不过有和三国演义一样的设置问题。            
(NA)	 它在我最混沌的日子里点燃了希望            
(5星)	 蛮奇怪的 我居然很喜欢这部片子。。            
(4星)	 小学的时候还是挺感动里面的感情的            
(4星)	 长风当歌金鼓为乐。。金戈作笔春秋为墨。。六六三十六            
(3星)	 反正比《战国》好多了            
(5星)	 因为看了战国，于是把本片翻出来加上五星……            
(NA)	 一集一条兵法            
(5星)	 这是内地剧里唯一一部我非常赞赏的电视剧，可惜后来再也没有看过了。            
(3星)	 把友情留在故乡            
(4星)	 先生你的手杖是用来耍帅的，耍帅的！！            
(5星)	 喜欢这个孙膑。            
(5星)	 情节不是紧张刺激的那种  但是通过影像能够更好的了解并记忆我们的国粹  之后再去看书就会轻松有趣很多！《红楼梦》《三国演义》皆如此！            
(5星)	 记忆中没有哪部电视剧更让我喜欢了。            
(5星)	 找到鸟！            
(4星)	 想当年看的很HAPPY~            
(5星)	 孙先生太帅了，不过我从没看清楚他脸。。。            
(5星)	 原来我小时候看过这么多稀奇古怪的片子呀……记得这里的孙膑好帅好帅的，片头很精彩，音乐很好听，钟离春喜欢孙先生，其他不记得了            
(2星)	 六六三十六            
(NA)	 初中            
(5星)	 没记住36计，记住了一个不错的故事            
(5星)	 好老的片子了吧？好久了都。            
(4星)	 小学的时候看的啊 现在又挖出来了呵呵 多亏了它 36计知道的不少呢            
(5星)	 编剧大才啊            
(5星)	 我爹还买了盘咧            
(5星)	 初三时大爱的电视剧，可惜后来再没看过了。。。            
(5星)	 小时候觉得很精彩的一部剧            
(3星)	 其实挺多CCTV的历史片都挺好的            
(4星)	 那个歌曲还记得            
(4星)	 孙膑虐庞涓的故事...            
(5星)	 包含着政治和管理的深刻智慧            
(4星)	 ...小时对结尾的那首歌印象很深。            
(4星)	 好小的时候看的，钟离春真是美人            
(5星)	 仇永力就是《新结婚时代》里的刘凯瑞！            
(5星)	 我还记得那个无盐~            
(4星)	 我感觉好几个演员都是庞涓的声音。。            
(5星)	 牛B            
(4星)	 害人之心不能有 防人之心不可无            
(4星)	 小时候看过的剧了，记得当初孙膑是个美男？噗，现在口味变了。。。            
(4星)	 我当年还特喜欢这剧~            
(3星)	 老片，为了了解三十六计而看的，剧情也比较一般，片尾弹出索贝字幕时还是小吃一惊的，呵            
