http://movie.douban.com/subject/3155473/	小李飞刀
(5星)	 除了林诗音丑点            
(4星)	 其实我也只记得这个版本的李寻欢。。。            
(3星)	 对关叔叔当年一见倾心。            
(5星)	 比焦恩俊的好            
(4星)	 经典 这才是正宗的小李飞刀            
(4星)	 难得一身好本领  情关始终闯不过            
(4星)	 最帥的李尋歡！！！            
(3星)	 李寻欢演得很好，可惜没有好的女猪脚！阿飞也不咋样！            
(4星)	 总体还是不错的。其实，关宝慧真的演的不错啊，多决绝。不像其他的林诗音那样腻歪。            
(4星)	 好象有个姥姥是吧？我一直觉得她（？）长的很像我小学的数学老师。            
(4星)	 当时的关礼杰很迷人 厄··            
(4星)	 清心明月照            
(3星)	 小學時看的，現在只記得片頭了。。            
(4星)	 印象中关礼杰版的李寻欢比焦恩俊版的帅。            
(4星)	 女主角有点丑，阿飞也.....咳咳，各扣1星，但是关礼杰的李寻欢实在太..........赞了，所以还是推荐.......            
(4星)	 改编超大的来着，不过小时候很喜欢            
(NA)	 小时候最爱的小李飞刀版本。            
(3星)	 总是得有点时间分            
(5星)	 妈呀，虐，太虐了李寻欢的爱情真tmd太虐了，虐的让人看了都喘不过气儿啊！            
(5星)	None
(5星)	 当时妈妈一句一句给我记下的歌词，可我又不会唱粤语。这是最经典的小李飞刀！！            
(3星)	 TVB早期场景都让我想笑            
(5星)	 最喜欢的电视剧之一            
(NA)	 姐小的时候看的就素这个版本的啊！            
(4星)	 小时候一群小孩子一起看，一起玩。还分配角色            
(3星)	 林诗音可以再美点。。。            
(4星)	 女主角都丑死了            
(4星)	 优点：这版李寻欢把落魄又不失洒脱的小李飞刀演绎得很好；动作设计很不错；缺点：编剧一塌糊涂，女主角不够漂亮            
(5星)	 小时候看的还害怕～            
(2星)	 改编得不好，李诗音的选角特别让我失望            
(4星)	 记忆中经典剧集，关礼杰演的李寻欢很有范儿！            
(3星)	 三星全给关礼杰            
(5星)	 生命中永遠的李尋歡。            
(5星)	 就是喜欢看 最早看还是小学一二年级的时候  里面的情节至今还难忘  太帅了             
(3星)	 最帅的李寻欢，最丑的林诗音。李寻欢这个人的爱情观实在是很变态，直接导致了他孤独的一生。            
(NA)	 剧情改得跟飞一样。台词编的跟屎一样。反派造型跟鬼一样。            
(3星)	 这个好久远啊……            
(2星)	 太太虐了，剧情太雷了，TVB的小成本制作，傅明宪和关礼杰演的不错，其他就没可取之处了。            
(4星)	 这版本不错的说。            
(4星)	 好经典!            
(NA)	 这版的李寻欢没有泡面头，很好。            
(NA)	 啊……我要再看一次！！！            
(4星)	 最帅的小李飞刀~~~~~~~咳，女主太丑了。。。            
