http://movie.douban.com/subject/3155478/	骑呢大状
(4星)	 恩恩恩某年暑假的闭路电视台            
(4星)	 好吧,我那时真的非常非常喜欢陈女人            
(3星)	 小成本口水剧。陈慧珊实在不怎么适合古装。。            
(4星)	 不错的推理剧啊。            
(4星)	 挺傻的一部剧和flora以往塑造的形象很不相同            
(2星)	 這我都看了...無敵了..            
(4星)	 嘿，怎么把你漏掉了。陈慧珊穿越到民初继续做法医。            
(3星)	 苏永康换宋达民会好很多            
(5星)	 其实是个杯具=。 =            
(1星)	 其实这是一部十分恶心噶电视剧            
(3星)	 陈慧珊第一次演古装，虽然是民初装，但她还是最适合演时装啊。            
(3星)	 didnt like, so mainland feel            
(NA)	 卢海鹏12            
(NA)	 说实话，33的古装有点失望            
(3星)	 有点意思。            
(3星)	 口水剧            
(3星)	 苏某噶搞笑我一向都唔多认同            
(3星)	 追忆            
(5星)	 从妙手仁心的姐弟缘分到乌龙大状师的欢喜冤家。            
(3星)	 陈慧珊古装真的不是很好看。。            
(4星)	 冇宋世杰好睇            
(3星)	 第一次觉得陈慧珊可爱。            
(3星)	 两大特点！1、真相只有观众和凶手知道…2、诡计几乎都是抄的            
(NA)	 喜欢推理剧，但造型太雷人了            
(3星)	 无聊            
(3星)	 苏永康在戏里面的角色还是不怎么喜欢最后在戏里，陈慧珊和苏永康也没有在一起            
(3星)	 忘记了，一直不喜欢苏永康，然后就是。。陈慧珊还是现代装比较好。。            
(NA)	 好像也只看了一半            
(NA)	 很讨厌苏永康。            
(3星)	 没有看完。。一般般。。            
