http://movie.douban.com/subject/3189836/	白发魔女传 白髪魔女傳
(3星)	 动作设计还是相当有水准，只是剧情删改得麻木了            
(3星)	 当一个情窦初开的妙龄少女被情郎辜负时，她的爱有多深恨就有多深，深到绝情断爱，深到一夜白头。最后相濡以沫不如相忘于江湖。这是我看过最揪心的爱情。            
(3星)	 我的童年记忆            
(4星)	 喜欢Ada的绝对要看，很嫩很纯美的Ada~~~            
(4星)	 改得很好            
(3星)	 我对这个故事莫名的情有独钟 电影版台湾大陆版港版居然都看齐了 此版本为了蔡少芬 虽然装扮简单但真的有惊艳到 故事为了靠拢原著却又要缩短时间反倒显得不伦不类不够火候 练霓裳被卓一航刺中一剑的部分演得最让我喜欢            
(4星)	 美啊,而且还有李国麟            
(3星)	 很小的时候看，只记得白发女子对负心人由爱生恨无法自拔的情结。            
(5星)	 年轻时的蔡少芬            
(3星)	 1994            
(3星)	 第一次看见芬的眼睛里流露出邪气，但是很棒。            
(3星)	 寶生好帥好可愛~咔咔~可惜旁枝末節太多..亦不夠深情....            
(4星)	 看了几集，国配。很喜欢珊瑚。            
(4星)	 好妖好魔啊            
(3星)	 剧情啊就真不怎么地 还是何宝生好看            
(NA)	 俺的神啊            
(4星)	 我记的白发魔女            
(NA)	 其实这一版也不错。            
(3星)	 蔡少芬演白发魔女也挺到位的。            
(4星)	 太美了！            
(4星)	 当年好中意魔女姐姐呵呵            
(3星)	 那时很经典。其实我早忘了。            
(4星)	 蔡少芬好美！            
(4星)	 何宝生的古装角色老是很欠扁~~            
(NA)	 若遇此女死亦无憾            
