http://movie.douban.com/subject/3204572/	刺马 刺馬
(3星)	 日啊，戏说人生,张彻，鹿峰，以及张彻后期的班底            
(3星)	 “风吹衣袖月上西楼昨夜的梦中几番往事几番忧无人懂”我小时候 居然就听得懂这样的歌            
(4星)	 前几天无缘由的脑海中一直回荡着《戏梦人生》《黄昏》这两首插曲。“风吹衣袖 月上西楼 昨夜的梦中 几番往事 几番忧 无人懂……”也许小时候看不懂剧，却记得这两首歌。            
(3星)	 刺马没刺死            
(4星)	 黄昏            
(4星)	 张彻 邵传勇 姜大卫 李婉华            
(5星)	 姜大卫~            
(4星)	 你说你将要远行，不需人相送            
(5星)	 戏说人生 词曲：吕国梁 唱：罗文 风吹衣袖月上西楼 昨夜的梦中 几番往事几番忧无人懂 你说你将要远游 不需人相送 留下今夜的梦中 你和我 戏说人生有苦有甜 到头依旧是空 没有分离何来相遇 不必强求 寻寻和觅觅冷冷又清清 不知下一站将驶向何方 是是与非非不想再多问 只愿那个有我的.            
(4星)	 风靡一时的主题歌            
(NA)	 问同学同学都说没看过            
(5星)	 大爱            
(4星)	 小时候。。。            
(4星)	 片头曲当年还蛮流行，家中至今有盘盗版的卡带收入了戏如人生，新鸳鸯蝴蝶梦等那年比较火的剧的片头，尾曲，赞一句那年的李婉华美爆了！            
(4星)	 我想我看的是电视剧。。。我深深恨的马新贻的啊。。            
(NA)	 很久以前看过，喜欢片头曲。            
(4星)	 第一男猪脚长了一张所谓义薄云天的扑克脸,关云宝坏人好事又不从一而终,实在可厌,死不足惜.从这部开始迷上姜大卫,正中带邪的气质,马新贻这个反派还是很有魅力的.            
(NA)	 《戏说人生》            
(4星)	 罗文的两首歌……太棒了，可惜没能看完全剧，追看的感觉真的很令人怀念……剧情也很棒，第一次认识了姜大卫，……            
(5星)	 最爱马新贻啊～姜大卫最好的连续剧。麦景婷当年那个美啊～            
(4星)	 记得这个是在新闻联播结束之后才播，小小的我看着电视报上的节目表，问外公：新闻联播什么时候能剧终啊？            
(5星)	 原来是台剧……当时告诉我正义邪恶、江湖义气的片子。男主文祥被男二整惨了……还有姑娘们很美……            
(4星)	 经典的主题歌，太好听了。当时恨死马新贻了。最爱五大高手，但是每个都很傻逼。            
(4星)	 投名状            
(4星)	 清晰的记得，小时候俺妈一边织毛衣一遍和我说，来，这个马新怡坏透了。过后的十几年，我一直觉得姜大卫长了一张坏人脸。另外，俺小时是很粉文祥地，尤其记得一个绿衣服女孩子掉下山崖时，他愤怒的回头特写，过了十几年还模糊记得。可为神马……现在竟然发现他是陀枪里的莲蓬哥！！莲蓬哥啊！！情何以堪            
(4星)	 这个电视剧那么少人想起来么，资料介绍的不全，还是看百度百科吧。http://baike.baidu.com/view/650977.htm            
(NA)	 多少年前的事了都            
(5星)	 第一次明白人心险恶            
(NA)	None
(4星)	 寻寻和觅觅，冷冷又清清；《戏说人生》和《黄昏》            
(4星)	 姜大卫版马新贻远好过李连杰；李婉华彼时很美，童年时搞不懂这么复杂的感情戏，不明白为什么她从小喜欢张却嫁给了关最后爱上了马；男一号邵传勇现在在TVB打酱油，人生确是无常。            
(4星)	 喜欢            
(5星)	 最难忘那个主题曲 寻寻又觅觅冷冷又清清            
(4星)	 小时候看的害怕死了，大概是第一次想好朋友也是会害你的。。。            
(4星)	 第一次喜欢马新贻，或许是因为姜大卫的关系。            
(4星)	 是是与非非，冷冷又清清            
(5星)	 就是喜欢负尽众人独爱一人的马大帅。。。还有美女婉华            
(NA)	 可惜张文祥那个演员后来去演什么莲蓬……            
(3星)	 典型的台湾片。。。            
