http://movie.douban.com/subject/3227335/	仙剑奇侠传三
(4星)	 景兄弟，你就推了长卿大侠吧~            
(3星)	 看的时候我真的很纠结，我多想告诉没玩过游戏的室友，重楼是无辜的，紫萱真的不是那么骚的。            
(4星)	 擦！茂茂死的时候，俺哭了~~            
(5星)	 情深缘浅。|拍的比仙剑一靠谱。            
(2星)	 别再给我侮辱仙剑系列了了            
(4星)	 星主要是给长卿            
(4星)	 我喜歡紫萱。            
(2星)	 纯属无聊。- -|||||| 若不是长卿扮相太萌了也不会坚持看完。            
(1星)	 我忍着反胃看完的，雷死            
(2星)	 偏离游戏情节太严重            
(3星)	 腐剧，绝对的…景卿王道霍长卿巨萌啊…紫萱最雷请无视……            
(4星)	 为了霍建华我看完了!!长卿~紫萱  T T            
(4星)	 任斯璐太狠了，现在只要看到杨幂就只想到五个字：瘪嘴老太婆，而且她跟美女真的一点沾不上边。其余演员都不错，没了雪见就一切清静了……            
(4星)	 电视剧做成这样不错了，武打动作很漂亮，建议从10集以后可以看，前10集景天跟疯了一样，但之后的姜国部分演得很好啊，所以说景天性格部分不是演员的问题，导演要求吧，里面有的细节很贴心，比如说猴子精精、买兵器、大地图，里面场景道具都比仙一好很多，还是算值得一看的古装吧            
(4星)	 期望不大，看完觉得也挺不错，至少被感动了。杨幂真的很好看，霍建华演的很好，少点穿越该多好。哈哈，最喜欢常胤……我就是喜欢NPC。            
(4星)	 我觉得比仙一TV版好...            
(5星)	 虽然剧情上面有些情节处理的不太合理，有些人物的对白脱离生活，可是太完美的东西人往往容易忘却，有些瑕疵反而记忆的更深刻。喜欢仙剑。            
(5星)	 哦 我永远不变的仙剑梦~  看完了，心怎么这么痛。            
(3星)	 跟游戏原作差太多拉～！            
(3星)	 雷劈的女娲后人。霍仔很好耶~            
(4星)	 其实演员以及故事都还不错，特技勉强看着也说得过去不会很粗糙，结尾有点不如人意，蜀山的故事啊，好好包装，是否也能拍摄魔戒一般的电影呢~            
(4星)	 演员养眼            
(3星)	 情节拥挤，大体还是可看。            
(1星)	 這是什么天雷故事……            
(2星)	 拜托紫萱是半神不是bitch，重楼找那么一个丑男来演也就算了，可怜我的一代偶像被活生生糟蹋成一个白痴。。。故事情节完全扭曲，有必要重新打一遍游戏以净化心灵。            
(4星)	 我实在无法忍受紫萱的设定这么淫荡，重楼的妆画得那么像牛魔王，不过不管怎样，仅从电视剧角度来看的话，还算是不错的。            
(3星)	 含泪望天。。李国立乃个SB  砸钱就好好砸撒。。囧rz            
(NA)	 日夜兼程3日内攻完。里面高科技太多了，有视频，有对讲机，有BB call有高清DVD投影设备，有弹子机和保龄球等等等。。。            
(4星)	 情节很虐人。有人等了三世，有人等了千年，都没能有个好结局。把导演拖出来，打屁股——结局看得很不爽啊。PS.长卿舞剑和二人喝忘情水的时候，看到要飙泪了。            
(5星)	 四星半。到最后才搞清楚定位……结局五分钟看得我当时就震惊了&gt;&lt;            
(4星)	 演员演技不错，剧本很雷。            
