http://movie.douban.com/subject/3278773/	舞者
(2星)	 半夜实在没电视看了凑合看看            
(3星)	 小说很好看，电视剧拍的不好。            
(3星)	 海岩的剧就是这样 没有书好看。还有他儿子整的真的挺失败的            
(3星)	 干嘛整容捏~反正很海岩~            
(2星)	 書就不怎麼樣，更何況電視。            
(NA)	 这个·男银名字真怪老爹为了捧他没少费力吧            
(3星)	 纠结            
(4星)	 为爱而感动!            
(NA)	 爱爱爱　错错错　钱钱钱　舞舞舞　对于该剧的情节　实在在是过于拖沓冗长　很不喜欢　看了　很不爽　不过　看到最后几节　又觉得不必挑　那么多毛病　故事　讲清楚　让人感到了些许伤　就可以了            
(3星)	 一集集地看还可以，因为想知道接下来的情节，但看了一遍就不想看第二遍了，海岩的情节都有点闷            
(4星)	 海岩写东西怎么这么又感觉呢？在矛盾中的无可奈何，面对死亡的生命之感            
(2星)	 比较失望 磨叽的 老切镜头干啥 快进看完的 真是江郎才尽            
(2星)	 看不下去 删了 据说是在厦门拍的 环境还不错            
(1星)	 这几天凌晨在湖南卫视等着看《叠影危情》时捎带看了《舞者》的片段和大结局。周欣的崇高显得那么虚假和矫情，为了凸显牺牲的伟大就拿爱情当祭品，看着让人厌恶！还不如高纯的姐姐对财富的痴迷来的纯粹。我更喜欢看到一部尔虞我诈的权力斗争片或者悬疑片。另外，两个律师演的都极傻、极傻……（2008/11/14凌晨）            
(3星)	 故事情节跟《舞者》这个名字关联不大。主角是舞者没错，可情节并非一个或一群人为跳舞事业付出艰辛，经历挫折，最后成败与否等等。            
(5星)	 那会高三，能多看一会是一会，还给看哭了。。。喜欢跳舞的女主            
(5星)	 很喜欢 女主角！            
(2星)	 毁了他老爸的小说             
(3星)	 男主角活该折腾死            
(4星)	 很喜欢周欣！            
(3星)	 生命的悲喜剧。            
(3星)	 很悲情的故事，宋汶霏不错~            
(2星)	 总觉得那男主角哪里长的太别扭...            
(1星)	 这是第一次看不顺眼海岩的男主角，居然是他的儿子。            
(5星)	 高三爱看的片子，高纯，舞者、、可惜侣皓吉吉整容成那样了，老杯具            
(5星)	 很凄美的爱情故事            
(1星)	 最烂的片子之一            
(4星)	 因为舞者爱上高纯~~唯美得像不是这个世界的人！！！            
(4星)	 周欣还不错啦，这个电视剧太压抑了，真不该看……            
