http://movie.douban.com/subject/3284284/	光阴的故事 光陰的故事
(5星)	 每集终了，罗大佑粗犷的嗓音都会响起来，“春天的花开秋天的风以及冬天的落日，忧郁的青春年少的我曾经无知的这么想”，今天我开着水龙头，听那水声哗哗啦啦，顿时觉得，真是没错，光阴和我手中的水一样，都流走了。            
(5星)	 看的时候欲罢不能。看完之后意犹未尽。如果人生可以换一种方式来过，我也愿意在充满爱和故事的集体里活一次，当那个没心没肺没有秘密的鸡婆孙一美，并遇见那个想要幸福亦予我幸福的许毅源。            
(5星)	 一个让我熬夜看完的剧集，一个让我哭了笑笑了哭的剧集，一个让我舍不得散场的剧集            
(4星)	 几抠……要是几年前你就演了这个，现在也许是影帝了            
(4星)	 真正勇敢的是那些隨波逐流中不迷失自己的人。            
(5星)	 边笑边哭            
(4星)	 虽然中段又不免三俗，总体来说，还是我近一年来看过的最舒服的电视剧            
(4星)	 演员真是强大，台湾真是没钱了，本应是长篇怀旧巨制最后拍成了室内剧差不多。            
(3星)	 题材很好。伟忠哥很好。但是，太长了。。。。            
(5星)	 戏里的每个人都是主角 温暖地写着光阴的故事 54集看完 时空错乱人整个被掏空的感觉             
(5星)	 让人微笑着落泪的好剧。            
(5星)	 超级爱一元和孙一美的！！            
(4星)	 时光里有乡愁的味道…；老歌太煽情，不堪听            
(5星)	 笑中带泪。            
(5星)	 浓浓人情味儿            
(3星)	 凤凰开播            
(5星)	 超爱            
(4星)	 2009.3.3 看完了 好像还有第二部             
(5星)	 好温暖。喜欢孙一美。            
(5星)	 杨一展的眉宇之间居然有几分梁正群。            
(5星)	 怎么会有部戏让我每集都哭啦~好羡慕里面的人事物哦，那些人都好像周围的人喏~只是我的故事没有那么精彩，我也没有那么精彩~怎么会演完了啦%&gt;_&lt;%   好期待2哦，快点！快点！快点啦！（孙一美样）            
(NA)	 完结剧了            
(4星)	 就沖著編劇是偉忠哥            
(4星)	 生活很快乐哎。            
(5星)	 其实每个人都是想做孙一美的吧。喜欢一个人的最高境界应该就是像一元一样吧，连她全家一起喜欢，他跟她告白时，她妹妹会感动地哭，他跟她吵架时，她弟弟会难过地哭，他跟她分手，她爸爸、妈妈、阿公都会去帮忙他们和好。            
(NA)	 我最喜欢朱磊            
(4星)	 到後來也淪落成無聊台式言情劇了            
(5星)	 一个献给“珍惜我们一起走过，物资贫乏，互相扶持的时代”，一个关于成长的故事，一个给我满满感动的故事。            
(5星)	 不管時間過去多久 真摯的感情永遠都足以打動人心            
(4星)	 其实回归简单很好，为什么要假装自己很聪明呢。傻一点有什么不好，就那么单纯过一辈子也是幸福。            
(5星)	 看过的最好看的台湾电视剧。光阴的故事，眷村的故事，又是哭又是笑的故事，关于温暖、爱和平凡感动的故事。            
(5星)	 凤凰卫视！！！            
(4星)	 正在追            
(NA)	 jj            
(NA)	 晚饭时候。也没有全部看完，不过太长了，就这样吧。            
(4星)	 你我的故事.            
(4星)	 !            
(NA)	 光阴不只是歌，不只是戏，更是一种味道，一种我无法形容只好称之为“老饺子”的，在速冻食品问世前，遍布大街小巷，两三元一大碗的猪肉香葱、猪肉韭菜饺子味。全民最大党山寨版光阴之山寨版“一美”全球火热招募中，请踊跃参加！            
(5星)	 爱叫阿公的渊源王伟忠《宝岛又一村》            
(NA)	 真好啊            
(NA)	 前不久朋友推薦我看電視劇《光陰的故事》，看著看著我就會突然大哭，好像把水龍頭的開關打開，衝洗一下渾身塵埃的我。            
(5星)	  这是我看过最好的电视剧，没有之一。每个演员都非常棒，看完真的会中毒            
(5星)	 我想做許太太，我想做許媽媽，但是我最想的，是給你一個幸福的，家。（就這樣，聰明的許毅源，在孫家一家六口的算計之下，被騙進了愛情的墳墓）            
(5星)	 国庆在家一直看这部戏，当初热播时候没追，现在一集一集看下来觉得好温暖！            
(5星)	 这么高的分你就知道了            
(3星)	 开篇很棒，后来就不知所云了...........            
(5星)	 好感动。尽管中间有点鸡婆，还是五星送上~《光阴的故事2》是神马情况【台湾 眷村】            
(5星)	 達成！！！！！！！            
(5星)	 一年以后，看了《宝岛一村》，同样笑中带泪            
(4星)	 苍天啊 大地啊 我终于看完了            
(NA)	 满满都是爱，即使有阴霾。            
(5星)	 每一集都感人，不容易。最后復邦跟茜茜相遇的场面虽然沿用了《甜蜜蜜》黎明和张曼玉相遇的场面，但还是很感人。            
(5星)	 感动的一塌糊涂。            
(5星)	 一辈子，能改变什么，能相信什么            
(3星)	 八点档。各种综艺咖。北一女。            
(5星)	 太感动了            
(4星)	 孙一美傻的可爱             
(3星)	 優點很多 缺點也不少            
(NA)	 跟着外公看了几集……我喜欢拍雄（胸            
(3星)	 如果放在以前倒還算是過得去吧            
(5星)	 光阴的故事，一言一剧难尽啊            
(4星)	 如果把閃回砍掉90％，如果把片子長度剪掉50%，如果把戲棚場景改成實際場景，如果汪茜茜沒有和陶復邦在一起，我會再給一顆星。            
(5星)	 光阴改变了生活。            
(4星)	 看王伟忠的访谈，对眷村产生了兴趣。。有时间去慢慢了解下。。            
(5星)	 多年不看连续剧，在她面前，我破功了……            
(4星)	 美女。。。。。            
(5星)	 挺好看。            
(5星)	 大结局了。很舍不得            
(4星)	 很不错的片子，看了以后很开心            
(4星)	 看着过年            
(3星)	 完完全全理解不能阿T T            
(5星)	 终于在2010.1.15看完了从2009.7起看的‘冗长’光阴！之所以看得如此缓慢是因为舍不得这么美好的时光走那么快！但戏总有落幕，而且总是happy-ending，但我们那一段段曾经的友谊究竟都是怎么无疾而终的呢？？？            
(NA)	 还不错            
(5星)	 一个述说“怀念”的故事，它不浮夸，它不滥情，它只是浅浅地述说从前的故事，却又在不轻易间撩拨你的思绪，触动你的心弦。这是一部值得花时间来为它欢笑，为它流泪的电视剧。欢笑是因为怀念美好，流泪，是因为感慨——我们再也回不去。            
(5星)	 nice~            
(4星)	 四星都给一元与一美这对小夫妻   太温馨的            
(5星)	 非常好            
(4星)	 冒着视力下降的危险，终于搞定，完全沉醉于自强一村善良、团结的一帮人的小日子里。每个人都有权利寻找属于自己的幸福。            
(3星)	 没什么可表达，至少没有感动我            
(4星)	 黄腾浩！！！            
(NA)	 还是挺可爱的一部剧，就像开头说的，简单单纯的年代，连坏蛋都不那么坏的年代            
(5星)	 终于看完了，在中天电视台的断断续续之中，原来在21世纪大家都在怀念20世纪。而在20世纪的时候大家都在期待21世纪。再也没有会写出《明天会更好》了。希望能在这个世纪出一个罗大佑            
(NA)	 追了好久才看完，我太强大了。时间是用来浪费的。途中生活断续的奔走，交错辉映在这部剧的过程中，我想起它，就想起一段岁月。那是我最落魄的时刻，镜子会告诉你，命运也会告诉你，长大的事情。我只跟端说起过，人长大不是变大了，而是变小            
(4星)	 質樸的感情都是一樣的            
(5星)	 tender~~幾摳~~~            
(4星)	 一元一美CP大好~~            
(5星)	 谢谢眷村 谢谢光阴            
(5星)	 眷村啊            
(5星)	 王伟忠的眷村。            
(5星)	 溫情 懷舊            
(4星)	 感谢所有走过光阴的人们,感谢正在为光阴写故事的人们,在故事之外的故事里咱们也要一步一个脚印的为光阴留下那美丽的痕迹.            
(4星)	 台湾版樱桃小丸子......有道理.应该是眷村樱桃小丸子.            
(4星)	 和童年一模一样            
(2星)	 太粗糙了，白瞎了那么好的故事和演员            
(5星)	 我好喜欢寇家瑞啊！！！要嫁给他可以吗！！            
(5星)	 哎呦这个真心好看！！！看了一集欲罢不能了 开始赶            
(5星)	 如其名，温婉的，不造作 耐人寻味            
(4星)	 真好看。我也想写故事了。O(∩_∩)O哈哈~。            
(5星)	 想要得到幸福，就先要懂得付出。生活中的点点滴滴小细节，都会带来永恒的回味与感动。珍惜生活，珍惜值得珍惜的人事物，并且为之努力奋斗前进。加油。            
(5星)	 不枉我看到快三点啊！爱死许毅源了！！~╭(╯3╰)╮            
(3星)	 道具剧情演员都有点烂，可是感情都很感人...            
(5星)	 看过的最贴近自己生活经历的连续剧，最感动，最动人的回忆，没有之一。王伟忠，谢谢你把大家的故事搬上了这个荧幕。            
(5星)	 最好看的片子            
(5星)	 太多感动了 不过也太沉长了点            
(4星)	 第一次看那么长的剧  居然还是台剧!107集 熬了几天几夜  几乎把几年来的欢笑和眼泪都奉献给了你。人生就是一出戏，看完了你们的人生，我也好好走自己的人生路了。            
(5星)	 王伟忠，神一样的存在。。。            
(4星)	 很温暖的电视剧，孙妈就是真人版的花妈~~            
(5星)	 我喜欢平凡的故事 当生活变成故事一页被翻阅 被温情充斥 只剩感动 无处不在。            
(NA)	 确实还真不错。。            
(5星)	 真讨厌 每集都有泪点            
(5星)	 有空写一篇评论            
(4星)	 让人怅然若失却又感慨无限的光阴            
(5星)	 孙一美：“你到底喜欢我什么啊？”  徐毅源：“因为你是一片亮亮闪闪的沙滩。”            
(5星)	 超爱眷村系列            
(5星)	 在故事之外的故事里咱们也要一步一脚印的为光阴留下那美丽的痕迹            
