http://movie.douban.com/subject/3286407/	神之水滴 神の雫
(2星)	 紫野原绝对是败笔== 这剧雷到我了 最后KAME告白的时候我心都颤了 可怜的KAME啊~            
(4星)	 嗯。好看。就是片尾跟整个片子实在太不搭了。            
(1星)	 我应该改掉烂剧也要从一而终看完的习惯……整部剧很做作 尤其是两人找到葡萄酒对决时 超造作            
(2星)	 演技好假，再帅也成徒劳。放弃了，我唯数不多放弃的日剧。            
(3星)	 09  over红酒知识普及剧            
(NA)	 标签说明了一切！            
(2星)	 无聊            
(1星)	 很无聊的说            
(NA)	 第三话完弃剧了……            
(NA)	 1 红酒版的nodame？            
(NA)	 没有意思……            
(3星)	 男配太OVER了。女配又是那个万年表情不变的。我都想重看遍纯爱了。            
(NA)	 对眦牙男真是无爱啊            
(3星)	 雷声大雨点小。为了美女看的            
(5星)	 嗷嗷嗷嗷嗷嗷嗷嗷！！！太喜欢了！！！！！！！            
(4星)	 卡咩            
(2星)	 201106 22&#34;            
(3星)	 没看完的一部，看着龟梨和也那个整容过度的脸，我确实无能了。。。            
(3星)	 Kame变成熟了。对葡萄酒有了更多的了解。            
(2星)	 快进着看完了，女主角好可怕，不过难得内田有纪老得有味道，大家都好夸张啊，但毕竟是困难的吧，用视觉表现文字的丰富含义，需要想象力也需要Taste啊。据说原作的漫画是红酒教科书，可以找来看下。虽然不怎么好看，但看完会很想喝红酒耶，吃凤梨罐头是储藏时间的一种情绪，那么留一支            
(NA)	 单纯为了kame刷过            
(3星)	 本来看了一集就弃了的，可是最近实在没东西看了就翻来细看。发现探索一个未知世界还是可以蛮有意思的，手段而已，拥有自己的世界，积极地面对，做自己喜爱的事更有意思！不过这片在还行中还是推荐的啦。PS：刚开始觉得女主太傻，后来也觉得还搞笑的啦。片尾曲也好听激荡人心！            
(2星)	 实在看不下去了            
(2星)	 不打算追了            
(2星)	 没看完 始终还是提不起兴趣            
(3星)	 卡咩你比从前帅多了！（喂你多久没看他了啊  剧情pass            
(2星)	 对龟梨依然无感，女主也不讨喜。情节还好~1            
(3星)	 龟梨其实还好了，我只是接受不了女猪            
(3星)	 好像很有趣            
(3星)	 高开低走，渐趋平淡            
(2星)	 放弃            
(2星)	 说真的，女生都不好看&gt;&lt;            
(2星)	 看剧如饮酒，            
(2星)	 科教片么……            
(3星)	 一般般            
(3星)	 看了大概3.4集,就没继续看了            
(3星)	 虽然不想说 咩是有点可怜 没看过原著 但编剧绝对有问题            
(3星)	 其實kame再有劇我還是會看的- -竹中叔發揮太有限啦。田邊誠一。這男人開始很討厭后來越看越覺得也挺順眼，特別是后段開始一直對著kame笑啊笑的很慈愛的樣子。。不愧我們大塚寧寧嫁給了你哦- -期待他在宮藤電影里（就宮崎那部）里的表現。。預告里形象很贊的            
(1星)	 男主不会演戏。女1大呕吐。            
(NA)	 在第四集弃掉。            
(2星)	 这个是至今看过K的最舒服的造型。但是剧还是不行..            
(NA)	 比原作还糟糕。给外行人看的。日剧永远是唬人玩的，感情戏才是重点。            
(3星)	 09话 完结             
(4星)	 诶呀呀，除了最后一集，前面都不错到最后才发现这是一个关于父子，兄弟感情的剧集，也就是男人的成长！            
(3星)	 3            
(4星)	 纯粹学知识的片如果能用心学到的话，给星；给小龟星；田边诚一太让人受不了了；还有内田有纪万年不变的表情；仲里依纱看看还凑合。总之片不如书。好久没看日剧了。            
(3星)	 那些形容口感和气味的词都好美！            
(NA)	 又是没追完的剧- -            
(3星)	 纯是冲着酒去的            
(4星)	 更爱葡萄酒了。            
(3星)	 看了这个发觉猪猪字幕的翻译能力不是一般的强啊            
(5星)	 KAME在里面太帅了~与他无关的一概无视。            
(3星)	 第一话还行...后面越来越难看...第三话弃之...            
(NA)	 1            
(3星)	 我居然~看完了= =~            
(4星)	 需要认真学习的剧。诚心推荐。            
(2星)	 这资源 也就这样了            
(NA)	 小龟虽然还是很瘦很小。但是在这剧里头有他很man的一面。            
(2星)	 实在无聊才看的            
(2星)	 我果然变心了……            
(2星)	 很弱的劇情 很弱的表演 不是龜飯 所以三集後走開了 額 我不是一集黨            
(4星)	 这剧主题多鲜明,为啥收视如此惨烈.想不通想不通.            
(4星)	 2 小龟有残的趋势。            
(3星)	 château margauxchâteau latourchâteau haut brionchâteau Mouton Rothschildchâteau Lafite Rothschild            
(3星)	 关于葡萄酒            
(NA)	 弃!            
(3星)	 我就是念旧情~            
(3星)	 KAME很萌，剧情又是我最无爱的夸张美味系……            
(3星)	 女主角请你去死…… 一一  要不是看在娘子她儿的份儿上……            
(3星)	 最后两集放在那里始终下不了决心看完它们            
(3星)	 看不下去了            
(4星)	 扩充红酒知识还可以            
(3星)	 完全不好看。。。弃了。。 不过想了解红酒知识的可以看看            
(2星)	 090118第一集。决定多看几眼..男二是当年宠物情人里的完美学长嘛，现在也沦落成阴险反派大叔了啊。对内田有纪干脆是有阴影了..最后，那个字念na3。090406终于拖完了，破消费税果然有道理，同受不了男二每次一喝酒“就如同狼人变身”的笑声~以及永远脑残到想直接踩死的女主。拖完就算了吧。唯一龟梨同学的扮相还算入眼。            
(3星)	 看来法国和日本互相文化崇拜啊            
(2星)	 可怜的龟啊            
(3星)	 还是没追完-  -            
(2星)	 不好这口。            
(3星)	 我是很喜欢KAME。但故事真的是……令人发指地无言。红酒，或许我自己课外汲取知识会有效得多。看到第三集，弃。            
(3星)	 虽然比想象中好看很多，可我还是看到第四集就么看下去=皿=            
(NA)	 弃了，看不下去了。            
(NA)	 04            
(3星)	 那小身板            
(3星)	 到现在才补完。唉            
(4星)	 我喜歡裏面的紅酒！！            
(4星)	 好看沒有持續 後半段有點拖了            
(2星)	 卖点就是帅哥和红酒            
