http://movie.douban.com/subject/3292790/	情定少林寺
(4星)	 茔娜反串的李辅国真的太俊俏了，居然还有个夫人，大搞拉拉，可男可女，变成女的又各种千娇百媚！陈法蓉真的好年轻好漂亮！            
(5星)	 我到今天才找到你            
(2星)	 那男的就一垃圾，不知道有啥争的            
(2星)	 除了音乐，可说一无是处            
(4星)	 茔娜的反串很厉害。直超林青霞。陈法蓉的扮相也很不错。配乐相当牛逼。到现在还记得很清楚。当然是因为黄霑和鲍比达。            
(NA)	 好小的时候看过的……竟然被我发现了            
(4星)	
(5星)	 当时好红的说~不过本人年纪尚小，看不懂~就觉得里面很妖的那个女人满好看的~            
(NA)	 我大概快忘记了，只记得林芳兵~            
(NA)	 long long ago            
(NA)	 正是这部电视剧的片尾曲让我知道了薛忠铭啊...在我心中神一样的音乐人!            
(5星)	 木仙子！李辅国！~~~~~~~            
(NA)	 我好像记得这个剧恋爱关系很复杂，又名《武林奇缘》            
(5星)	 现在拍片子，但凡拍到唐朝，很少涉及到唐明皇以后的。TVB有，但大多看着像架空。这部“童年回忆”，很好看！            
(NA)	 堂娜好美            
(4星)	 -_-|||一直以为那女的是林青霞~~~            
(5星)	 回忆啊回忆！！！！！！！！！！            
(NA)	 对堂娜印象好深啊            
(3星)	 其实剧情不咋样 小时候还看得津津有味呢 就为看国雪恋             
(3星)	 剧情不行，但音乐完美啊            
(3星)	 陈法蓉很适合古装 虽然早期总是短发            
(3星)	 堂娜让人惊喜，她的歌同样惊艳。            
(3星)	 原来是这个片名，堂娜后段剧情够狠            
(3星)	 李辅国= = 原来那个时候我就开始喜欢女人鸟，嗷嗷~~~~~            
(5星)	 《武林奇缘》！当年非常想看完的            
(4星)	 李辅国！~~~~~~~  原来那个时候拉拉潜质就被激发了……            
(4星)	 小学暑假每天都看             
(3星)	 还记得林芳兵为了父亲的霸业假装男人上了少林寺。。            
(2星)	 主角剧情神马的都是浮云，真不知道当时为什么还一集不拉地看完了～            
(4星)	 很特别的一部戏~            
(4星)	 《爱已成风》啊~~            
(4星)	 好久好久好久...久的偶也不记得多久的好久之前看过..标准烂剧拉..但是国雪恋未曾忘记...今天看回依旧感动....            
(5星)	 古装武侠片,剧情漏洞百出,经不起推敲.剧中只有 坣娜 所反串的大奸臣宦官李辅国是全剧最大亮点,似东方不败,经历又于东方不败,是个经历复杂,个性特点的角色,坣娜演技精湛,造型帅气逼人,霸气十足.曾因此角色,使得整部剧在台湾的收视率超高,故而又加拍了数集,至今仍是一些人的梦中情人1993年拍摄,因一些原因,96年才播出,又因收视高同年加拍数集.            
