http://movie.douban.com/subject/3303336/	十大奇冤
(1星)	 都什么和什么嘛！            
(3星)	 如果这电视剧不是张卫健演的估计就毫无可看之处。片名就是虚张声势根本连五个案件都很难凑。而且根本就是个把观众当白痴的片子。            
(3星)	 大3暑假在家看的电视 凑合吧            
(1星)	 虽然坚持看下来了,但还是要说此乃烂片!            
(2星)	 陪在在看狗血剧，编剧真是糟糕透顶，和在在妈一起吐槽啊            
(4星)	 虽然模仿周星驰，不过还是有喜感。但是里面有十个冤案么。。我怎么数不清。            
(3星)	 我说它肯定凑不到十大果然如此。实在不怎样。。给个三星还可以。            
(3星)	 文颂娴还是演杨排风时最美            
(3星)	 王晶拍电视剧比电影好，但也好不到哪里去。为了张卫健才看的。黄志忠的演员素质太好了。            
(3星)	 话说以前他的剧是我的看电视首选啊            
(3星)	 花了一个多星期 终于给我看完啦~            
(1星)	 垃圾            
(3星)	 没有十大奇冤。第一个案子就是七品芝麻官。后来几个案子实在是配角太丑。但里面的几个感情戏，除去颜，还是过得去~张卫健你再吃下去就成猪了，哈哈。PS：或许我笑点点，里面几个笑点我还真笑得很欢，嘿嘿。            
(2星)	  -。-  感觉漏洞很多哟。            
(3星)	 上海城隍庙如家旅店和闺蜜看的。            
(2星)	 狗血剧情~张卫健你还不死啊！！！            
(4星)	 我数了明明才四大冤，叹叹叹            
(3星)	 张卫健的一贯风格，还不错，开始被名字吓住，怕很惊悚，看下去也不觉得了。实际上，我也没看到罪案现场，顶多看到破案的时候。。。            
(2星)	 陪我亲妈看的又一部剧情混搭的片子，看完之后我也不明白，哪里有十处冤情。            
(3星)	 被骗了            
(3星)	 有点假~！最最怀念您老的方谬神探、            
(4星)	 我爱破案~~感觉我现在思维方向都成反方向思维了            
(3星)	 没特点            
(3星)	 10            
(4星)	 王晶+张卫健！～★            
(5星)	 非常好看,最爱张卫健            
(3星)	 剧情挺拖拉的，也没什么特别好的逻辑，为了张卫健才看的            
(3星)	 看得昏天黑地            
(2星)	 第25集一定要看。。            
(5星)	 张卫健演的古装剧都很不错，很有味道，很搞笑，剧情来说虽然有漏洞，但是整体是可以给4星的！张卫健主演再给1颗星            
(2星)	 没有案件的时候比较无聊            
(NA)	 看了后一部分。没有十个案件。“朱唇”杨傲啊~~~~~~            
(5星)	 精彩  既有破案的悬疑  又有武打的可看性               
(NA)	 　　看了网上的评价，似乎不怎么好，但个人觉得还是不错的。剧情扑朔迷离，有时分不清是虚是实；情节环环相扣，难以看穿是计还是计中计。金大夫身怀绝技却深藏不露，刘大人游戏人间却自有道理。智谋、胆略、默契将困难和绝境一一化解，却也反衬出现实的残酷和对现实的无奈。            
(3星)	 喜欢张卫健～～            
(NA)	 喜欢张卫健的表演喜欢到不行             
(3星)	 消磨时间。            
(3星)	 闹剧            
(4星)	 阿健啊&gt;&lt;可惜播的时间有点晚所以也是东点西点看的orz。。。            
(4星)	 唯一的缺陷是对我来说节奏太慢......            
(3星)	 傻片.破案不用走脑子,消磨时间,随便看看还OK            
(3星)	 毫无疑问，肯定是和老公一起看的            
(5星)	 一：李鹤龄案二：刘添爵案三：方家十七口命案四：真的情魔犯的案五：胡天禄栽赃嫁祸情魔一案六：离魂案七：范泰案八：安公公案九：宫女紫兰案十：最后皇帝为了保住江山让杨傲复职，而杀了李鹤龄            
(3星)	 陪我妹看的无聊电视剧            
(2星)	 有10咩？            
(3星)	 竟然一集不落全看完了，我是有多无聊啊。            
(4星)	 挺好看的，前面剧情扯了点，完全就是仿九品芝麻官里面的。            
(3星)	 我是那么爱看张卫健啊 可是这剧真的很失望            
(4星)	 王晶真是缺乏创意。四星给张卫健，毕竟无厘头风格和剧情模式和周星驰相似是导演的错，与他无关。            
(NA)	 陪我娘看的            
(3星)	 黄志忠你很缺钱么            
(2星)	 我还是蛮喜欢黄志忠里面的角色的，吕一就一副克夫相            
(4星)	 所以说刚正不阿又偏执的人信仰一旦动摇就要当炮灰的，七杀你说是吧。            
(3星)	 就。。。。。。。。哎= =            
(3星)	 对文颂娴一直有莫名好感.            
(5星)	 这部剧值得一看            
(4星)	 才發現男二是黄志忠飾演的，實力派。            
(3星)	 凑不足十个案子撒~~*黄志忠*帅~有些老男人就是越看越耐看底~~             
(2星)	 终于把這部電視劇看完了，居然在臨近看完的時候才發現自己一直搞錯了這部戲的名字，是《十大奇冤》不是《十大奇案》。實在烏龍，難怪搜劇照的時候都找不到。            
(4星)	 没办法，我就是喜欢张卫健            
(3星)	 最近无聊。。。            
(3星)	 我居然看这么挫的电视剧！！！            
(3星)	 直接就看了最后一集。算是个好结局。            
(3星)	 我还以为王晶只拍电影呢            
(4星)	 哈哈            
(3星)	 破案过程，一些地方有点牵强。以为会有十个案件，看到最后，也不够十个啊？            
(3星)	 就是造型雷了点！剧情夸张了点            
(3星)	 哪里有十大奇冤啊，没有看出来和十大有什么关系            
(3星)	 黄志忠的古装戏竟然贡献给了这样的片子..哎..            
(NA)	 吊危亚的钢丝都露出来了， 还有吊毽子的钢丝全露在外面了真不知道这片子谁处理的真差劲！            
(4星)	 喜欢张卫健！~            
(3星)	 看完《人间正道是沧桑》以后，就变成黄志忠的粉了。。。。文颂娴的古装扮相一般般吧，还是喜欢她在《谈判专家》里演的叶可人~~            
(3星)	 对不住“奇“字            
(3星)	 张卫健一贯式的调调，随便看看了~            
(4星)	 挺搞笑嘿            
(3星)	 小案件蛮好看的，不喜欢那条主线，主线的人物看着都很搓气。。            
(NA)	 杨傲。            
(4星)	 不错，很符合张卫健的定位，恐怕也是更改不了了，虽然有很多故事都是别的电视剧或电影里的照搬照抄，但是感情故事还算不错。            
(NA)	 悬疑啊 侦探啊什么的最爱了 但是夜夜噩梦的代价是不是大了点            
(3星)	 我怎么就那么爱看这种破案题材的电视剧呢~重案六组、少年包青天、红罂粟、古灵精探、坚证实录……各种各种，爱死了~            
(3星)	 吕一风头狠劲~果然少年包青天姐妹篇，一个编剧写的            
(3星)	 张卫健的风格            
(4星)	 最大的疑团在26集终于被我解开了~~~~原来一直超级眼熟的金大夫居然是人间正道是沧桑的杨立仁啊~~~哈哈哈哈            
(3星)	 四川卫视每天下午三集连播~张卫健嘻嘻哈哈            
(5星)	 很吸引人，我用2天一夜看完了            
(3星)	 蛮好看的，张卫健风格呀~            
(2星)	 奔着张卫健看的，除了张卫健，没啥亮点            
