http://movie.douban.com/subject/3314870/	潜伏
(4星)	 组织太不厚道了            
(5星)	 在内地电视剧还在模式化的时候 这部片子对节奏感的把握已经把其推到了：《越狱》高度。            
(5星)	 结尾太虐人了            
(5星)	 这孙子真的红得很雷人！            
(5星)	 达到国内谍战剧的高峰了。毫不追求猎奇效果，很踏实的片子。除了孙红雷，扮演站长吴敬中、李涯以及陆桥山的一众演员均演技精湛。放眼望去，国企领导一个个都他妈是吴站长……            
(5星)	 余则成眯起了眼睛，在镜框后闪烁着虚伪莫名的笑 ~            
(5星)	 余則成原型吳石，50年在臺灣暴露6月犧牲，電視劇裡的結局政治寓意太明顯了吧？凌晨五點看完這個結局鬱悶得我不得不又找了個喜劇片安撫了一下。。。            
(NA)	 结局真是便宜了那个叫晚秋的女人了，可怜的翠平啊！！！            
(4星)	 从编剧到表演都十分精彩，不容错过！            
(5星)	 一部少见的精品，能有几部这样的作品，中国电视剧就大大超越了中国电影。            
(4星)	 结局很不爽 过程中还是有亮点的            
(5星)	 我很讨厌这个结局。。。感觉很牵强。。。明显站长已经知道余是共党了，还对余那么好。。。我竟然很喜欢李涯和站长。。。            
(4星)	 电视剧的成功主要在于编剧。《潜伏》的编剧可以做教科书了，节奏掌握得非常好，每集的前10分钟一般都有一个小悬念，接近中间处解决，再设一个大悬念，快到末尾处解决，结尾再留一个钩子。一个手雷作为伏笔，从第二集埋下，一直到最后几集又用上了，设计很精巧。            
(5星)	 你少拿屎壳郎当药丸子。            
(5星)	 余则成说：我喜欢潜伏，刺激。。。            
(4星)	 满精彩的，让我对孙红雷的印象改观了。我和哥哥一致认为有借古讽今的味道，看看党把人家逼成啥样了。。。那结局。。。            
(4星)	 热剧都有简单价值观            
(4星)	 演技派诊断书。            
(4星)	 当个人的命运融入历史的洪流。。。这样的结果对翠平来说未免太过残忍，其实我还挺喜欢晚秋的，最不待见的就是左蓝-。-  演员都是个顶个儿的，中国的编剧也开始会抖包袱和掌握节奏了。 就是配乐粗糙了些。            
(3星)	 不是造物弄人，而是组织弄人            
(5星)	 精彩。            
(4星)	 有趣            
(3星)	 一想到他们还要经历文革我就桑心            
(5星)	 编剧不错，结局真让人唏嘘。孙红雷的表演又看到了阿来似的气场，很好。            
(4星)	 确实蛮好看的，但是相对美剧来说还是有点点拖沓啊，被美剧养刁了。//看完结局我就想骂：草泥马的信仰哦！            
(5星)	 所有高管都应该向吴站长学习，所有不够高管的，就学学余副站长，其余，向李涯致敬！            
(5星)	 为什么翠平不能和余则成在一起！！！我再也不相信组织了！！！             
(4星)	 刚刚看完，最感慨的是三个地方：秋掌柜的舌头，廖三民的死，翠平抱着孩子在山坡上等待永远不能见到的爱人。尤其是最后一个。忍不住泪流。无数革命前辈舍生忘死，取义成仁，可换来的是什么呢？看看眼前这个物欲横流，精神和信仰却严重缺失的世界，不知道他们在泉下有知，会不会在坟墓里哭泣。            
(4星)	 少说话，做大事            
(NA)	 哦哦哦。孙红雷你太有才了。            
(4星)	 大鸡蛋，我煮你            
(4星)	 在看这部戏之前看孙红雷就想吐            
(NA)	 出来革命，就为混个一官半职            
(5星)	 一个地下工作者和他的三房姨太太的故事。干革命，还是有收获的！            
