http://movie.douban.com/subject/3328794/	欢乐合唱团 第一季 Glee
(3星)	 说实话我不是很喜欢剧情，但是一唱歌我的骨头就酥了……            
(3星)	 女主角实在是太丑了。            
(4星)	 剧情烂到极致，生硬又无连贯性，总出现一些乱七八糟的借口来发展剧情，几乎无法忍受！歌唱编舞又好到极致，每一集都有惊喜！这实在太无耻了，从美剧的角度看，打零分不为过，从歌舞的角度看，打五星也不为过！            
(4星)	 美剧版歌舞青春，音乐不错，可惜女主角让人无法欢乐            
(5星)	 尽管剧情狗血但其中仍不乏亮点，例如合唱团学生的命运被一些不靠谱的所谓的“评委”掌控就颇具现实性。当然对于我这种对歌舞戏毫无抵抗力的人来说，已经足够了。            
(3星)	 合唱团情结，似乎美国人也有。总是对这种衰人集中营，青春热血的题材有很高的忍耐度...片子是俗套到不行，完全靠客串的明星和重新演绎的歌曲来维持我的注意力，就这样还横扫到不少奖项，很说明问题            
(4星)	 真的太搞了！！完蛋我怎么那么喜欢那个gay小伙还有神经质洁癖女辅导员和轮椅男呢- -剧情有点不过硬但音乐真的不错啊！恩我喜欢第7集还有第20集的那个KISS金属脸也太给劲儿了，21集的man‘s world很赞！！大家唱的都好欢乐            
(5星)	 青春啊！！！！！！！！！想当年劳资也是个每天唱歌不唱歌就会死的欢乐小青年呢！！！！！！！老泪纵横！！！！            
(4星)	 剧情说实话真有点弱。。。            
(4星)	 敢不敢给弹钢琴的金发小可爱一句台词！！！            
(NA)	 看完蛤蜊合唱团，我的三大美国青少年雷片凑齐了。BTW另外两部是暮光和Gossip Girl。歌舞值四星，剧情值负四星，靠乱交来延长剧情，简直跟TVB编剧一个智商。Lea Michele出身很厉害，但她飙高音时的便秘表情实在太夸张。怀孕前三个月很容易流产，奎那样大蹦大跳真的没问题？            
(5星)	 剧情是相当诡异的弱智就不说了，但是编导们的选曲实在是相当牛逼，经常在当中听到N年没听到又超爱的歌，主角们本身都是有功底的唱将，再加上有很有惊喜的客串 Kristin Chenoweth (April)， NPH ， Olivia Newton John ，所以才能如此大热            
(5星)	 跟着GLEE补了不少歌~            
(4星)	 哎呀，厉害，厉害。到最后真的完全爱上它了。每一个人，尤其梦幻的quinn~            
(5星)	 啲歌实在太好听!            
(3星)	 有发展的励志音乐剧，剧情节奏感不错，很顺畅，热血类型！期待下集，看能否再加星。            
(5星)	 女主角不给力啊，拉拉队的都比她美             
(4星)	 人物设定的很巧妙啊~听到很多好歌。            
(4星)	 歡樂合唱團。            
(NA)	 我喜欢&lt;DREAM ON&gt;&lt;OVER THE RAINBOW&gt;            
(3星)	 kurt saves ur ass.            
