http://movie.douban.com/subject/3330142/	富贵门
(2星)	 再多的肉毒杆菌也救不了這部尷尬的戲。            
(3星)	 差一点就是冚家富贵了，主角平均年龄四十几的电视剧，结果还是相对后生的靓靓惊艳了。事实证明小三没有好结果，何况是一个整容失败的小三……            
(3星)	 不喜欢的演员太影响心情，喜欢的演员演了奸角，更影响心情            
(2星)	 TVB告诉我们，做错了事，想重新开始过新的人生，并且拥有幸福生活，就去最痛恨的人家里放炸弹吧！            
(3星)	 老资格演员集合。前期慢，后期日渐紧凑。一心，一鸣，topman，沙煲仔，angie角色都很成功。大结局烂到一个爆炸！小三不能活，耍贱不能活，太精明会变太白痴            
(5星)	 太好看了，爱TOPMAN，爱罗嘉良，爱袁咏仪，SOUNDTRACK也好听            
(3星)	 罗嘉良这个人真让人生厌。。。。            
(4星)	 最近看了重播，不错。虽然我挺喜欢吕良伟的，但在这戏里演得有点太大义凛然了，形象不够立体。            
(4星)	 雖然結局惡俗得無以復加，但我還是喜歡這種善惡終有報的結果            
(4星)	 說實話好看過《宮心計》            
(3星)	 结局很狗血            
(3星)	 老人戏            
(3星)	 罗嘉良老了             
(3星)	 大沙暴！            
(NA)	 沙富來，把葉榮添和丁善本都給我還回來啊……            
(3星)	 为了结尾而结尾，要不是袁咏仪跟吕良伟，早看不下去了            
(NA)	 鸡肋            
(2星)	 将四集都嫌长的故事硬是搞成了四十集。三嫂现在长得好恐怖啊！            
(4星)	 唉，多一颗星是因为罗嘉良。。            
(3星)	 失憶可以不用坐牢???            
(4星)	 &lt;39 完结&gt;终于追完了！后几集真精彩，大结局真假！捞家的演技真是好的没话说，演坏人也让人讨厌不起来；最烦“卓一元”，他就是所有一切杯具的开始；KK太瘦不好看了；喜欢三嫂和靓靓；看完这剧，甚至连最讨厌的马德钟都看的顺眼多了，真怪了= =            
(NA)	 这几天下午和炊事班故事一起看的。。。富贵门广告就换炊事班，炊事班广告就换富贵门。。。。反正俩台挨着且五六集连放的。。。看的也挺乐呵。。。虽然都是一张张肉毒杆菌也拯救不了的老脸，但是有罗大头和靓靓也算值回来了~~哈哈~~            
(3星)	 郭可盈，美！            
(NA)	 有钱人家小孩就是爱作…… 卓一心你说你好好的，完全可以辞掉万基内个破传讯总监，自己努努力开个公关公司什么的，跟高拓民好好过日子不好嘛……            
(3星)	 其实除了觉得里面的角色显得不真实以外别的还好，符合TVB的套路，那会没有和宫心计一起看，幸亏没有一起看，要不然气到吐血。            
(3星)	 难道要看到后来才会觉得精彩？我已经沉不住气了。            
(4星)	 罗嘉良色魔一个，郭可盈疯子一个，袁咏仪的强奸头 啊哈哈哈            
(2星)	 一群大叔大妈在谈情说爱，看着真不舒服。看着袁拒绝罗可又喜欢罗那样我就觉得你装毛啊{好吧 我纯粹看不爽袁咏仪}。。剧情又2又拖沓，不知道编剧怎么想的。坏人做了这么多竟然也可以不用被惩罚，他妈的天理何在。一边看一边狂鄙视，要不是我妈硬要看完，我就把碟给凹成两半了！！            
(3星)	 一去不复返的tvb黄金时代。。。怎么看都不像原先了，怀念秋官，以及花旦们都没整容的90年代。。。            
(3星)	 郭可盈跟吕良伟一出来那背景乐真的听吐了！            
(4星)	 中意Topman和Rene这一对，沙煲仔和阿Yan也很配，三嫂的Connie实在是可娶，点解Angie这个小三我并不恨她呢？怪Marcus太贱，怪编剧脑残，让Yatming赚了            
(4星)	 矮子里拔长子的给个四星。今年的几部编剧都乱来            
(3星)	 ……不小心又被tvb雷了            
(1星)	 前三集5分，后40集0分            
(2星)	 又长又难看，你要演个坏人你就不能坏点不那么傻吗？            
(3星)	 最后还是小三不得好死，正室光荣回归...            
(3星)	 这叫集体重出江湖~~            
(3星)	 浪费了这强大的阵容            
(3星)	 剧终再评            
(2星)	 TVB的编剧最近应该都因为降薪而想要变相罢工了吧。            
(4星)	 十分中意那艘船！            
(4星)	 故事紧凑，很有意思            
(5星)	 叶荣添你在哪里..            
(4星)	 為毛壞人沒天收？？            
(3星)	 陪我妈妈看了几集...冲着袁靓靓和罗嘉良去的...主题曲还不错...            
(4星)	 摩羯女+摩羯男+射手女，射手男+处女女+巨蟹男，水瓶男+摩羯女            
(NA)	 电视上看的基本都是首播时的弃剧 = =            
(NA)	 老了老了            
(4星)	 电视看重播才想起，很好看呀怎么会有这么低            
(2星)	 狗血剧！            
(NA)	 中年人演少年戏。我不忍，只叹美人迟暮。            
(NA)	 演到最后罗嘉良和马国明搞基也太明显了吧！！！            
(3星)	 撈家看着靚靚的那眼神不能忍啊，心碎。華麗無視狗血劇情            
(3星)	 浮云般的结尾~只是这样的阵容让人回忆啊~编剧太不给力了~            
(3星)	 最后一集两兄弟对峙的那场戏，大家是否记得《我和僵尸有个约会3》里面女娲娘娘很喜欢看的一部电视剧里面也有两兄弟对峙这样的戏码，也是一正一邪，哥哥劝弟弟回头是岸，看得我觉得十分有意思～袁咏仪还是很漂亮，三嫂也很有气质，基本上这部戏的卡司我都蛮喜欢。            
(3星)	 大叔大婶们撑起来的傻逼剧情！！！！谁来填补我看完义海豪情后的空虚！！！！            
(4星)	 电视台看的 割掉的太多 剧情不完整~~~tvb真的衰败了            
(4星)	 我就是吃tvb俗套圆满大结局这一套噶            
(3星)	 开头很一般，大沙煲进万基后开始有看头，但总体漏洞不少，不够紧凑，看到不必要的桥段恨不得快进。论演技， 罗嘉良最不让人担心，角色也有的发挥；ms第一次看三嫂演戏，很有大家闺秀的风范，就是岁月不饶人啊；其他都还好，就是郭可盈瘦得令人发指，让人爱不起来。            
(3星)	 三锅来演会更好呢~            
(5星)	 全部都是我喜欢的演员。            
(3星)	 佳人已老，型男不再。。。            
(3星)	 真是不如90年代的家族戏好看了。整过容真的老得快。马国明帅死了！            
(NA)	 我out了 我爸都看了我才看。。            
(4星)	 袁咏仪还是那么漂亮~            
(3星)	 越到后面。。越无聊，什么破剧情            
(2星)	 太难看了，看不下切了            
(4星)	 童话结局啊我喜欢Topman。一切能让我追看完的港剧我都给四星，没有理由。            
(3星)	 都老啦···            
(3星)	 还不错            
(NA)	 小时候看罗嘉良那个牙膏广告，觉得他特别丑，现在，只要有他演的电视，就想看~！            
(3星)	 结局两个英雄一个禽兽？可能是演员的作用吧，我其实挺希望他们同归于尽的            
(4星)	 越到后头越好看，虽然演员好多都老咯~            
(NA)	 食之无味，弃之可惜。            
(3星)	 吕良伟、罗嘉良、袁咏仪、戚美珍、薛家燕 ，一群“老人”，连马德钟、郭可盈都老了，TVB现在的家族剧完全找不到以前的感觉了。结局太垃圾            
(4星)	 什么时候我也沦落到了看TVB 。哼。罗嘉良。都是因为你~~            
(3星)	 直接看的最后一集            
(3星)	 20集还差不多，太长了，即使都是喜欢的演员还是看不下去            
(3星)	 1.一堆破事儿能拍40多集实在太拖沓 2.小三终归是不得好死的，整过容的郭可盈也一样 3.谁也别想跟罗嘉良争tvb的视帝 4.原来失忆也可以脱罪 5.最讨喜的人竟然是职业大奸角马德钟~ 6.老戏骨大集合果然收视率敌不过新花旦们~同样是台庆大戏，宫心计就有爱得多呀\(≧▽≦)/            
(3星)	 TVB越来越难看了            
(NA)	 無比和諧的結局，師奶力量真大            
(4星)	 原来富贵门是任意门。只是它是在富有和贫穷、善良和邪恶之间穿梭。            
(3星)	 前十集我没办法昧着良心不骂一声垃圾！之后稍微好一点...罗嘉良越来越难看了，吕良伟越看越顺眼。重点是，为什么小秘密都会被一鸣发现？！//09-12-21 看完了，最后一集狂飙汗- -|||哎...rene扮傻之前10+集之后给4星，扮傻那招还有弟弟没死..实在太好猜太老土没悬念.            
(3星)	 对比宫心 三星            
(3星)	 欲望都市            
(NA)	 靓靓越来越美了            
(NA)	 后面几集实在看不下去了。。。哎呀呀，袁还是乖~            
(3星)	 整部剧还行的只有罗嘉良的演技。            
(NA)	 罗嘉良整个小胡子，怎么看怎么别扭            
(NA)	 以前不觉得戚美珍有多美,现在还是这样认为以前不觉得袁咏仪有多灵,但这部戏的性格我好喜欢~后来罗和袁好不下去了，我也看不下去了            
(4星)	 其实我中意tiger，佢同阿yan真是配啊            
(3星)	 蛮失望的  到后面一点也不好看~~只有罗嘉良在演戏~~其他人都不知道在干什么~~            
(4星)	 捞家这个坏人 很恶心。。。即便是演坏人，也请还我叶荣添！！还我徐家立！！            
(3星)	 还是有失望的            
(5星)	 搞笑片            
(3星)	 结尾无爱。            
(4星)	 袁咏仪很拉风。姑娘，我爱你            
(NA)	 没追完的。。。            
(NA)	 最近每晚都追着看..还是袁靓靓比较吸引...hoho...            
(3星)	 罗嘉良再也无法超越自己创造的经典历史了……靓靓回归电视剧 大爱！            
(2星)	 再也找不到以前豪门剧的风光了。            
(4星)	 开始有点老派，对比同期的宫心计来说，还是不错的。罗嘉良你养老吧，别出来了！            
(NA)	 前面很拖沓，后面很港片~            
(3星)	 前头还可以，后头很无聊，极讨厌小三，装高尚            
(3星)	 10.20-12.13 计划追~但好像没宫心计好看~~广告做得好夸张~~意外的觉得以前觉得超傻的马德钟在这里面还挺帅的~topman怎么那么惨啊~最喜欢的角色就是他了~~ | 终于完了~似乎还是比宫心计好看一点~不过也是相对的~最最美好的就是Topman和沙煲仔~袁咏仪也还行~            
(NA)	 台庆剧都是不可靠的            
(3星)	 同是台庆剧气场比宫心计要弱，标题logo太雷了。- 09.10.20 // 一部剧跨越3年才看完，可见这部剧的中前期有多沉闷，过了之后冲突不断，还是不错的，所以要是压缩10集左右，那整部剧应该就好很多了。但是这样一个虽然也算善恶终有报的却又完美大团圆结局也太迎合大众口味了，俗了。            
