http://movie.douban.com/subject/3339375/	蔡锷与小凤仙
(4星)	 刘松仁除了身高问题真是完美啊            
(3星)	 um....其实冇认真睇..            
(4星)	 現在才弄清楚這段歷史 蔡鍔和小鳳仙可以千古留名了。            
(3星)	 刘松仁真是好演技 喜欢周海媚唱的主题曲 最大的问题是香港拍历史片都很kuso            
(NA)	 松叔居然六十了。。。            
(NA)	 伟人背后的女人都很伟大……            
(4星)	 很好看 美中不足是剪短了 少了很多若拍出来会更出彩的戏 本来挺好的阵容和主旋律题材 港人编剧还是没宏观意识大国胸怀呀            
(3星)	 越往后越弱            
(3星)	 任国仔好萌啊啊啊啊啊啊啊啊/(ㄒoㄒ)/~~            
(3星)	 羞愤捂脸我竟然看完了我不仅师奶了我还夕阳红了而且我还哭了奶奶等我回家再陪你看一遍好不TOT不过还是要说TVB编剧个死仆街能不能好歹不烂尾一次啊两星全是给松仁儿和林嘉华的            
(5星)	 一行书信千行泪，凤仙那封信写的至好。            
(3星)	 &lt;20 完结&gt; 一般。对民国戏没什么兴趣，从蔡锷的军校关闭后的戏份就有点闷了。海味的哭相接受无能啊&gt;&lt;唯一喜欢的马国明，也没什么亮点，唉。。            
(4星)	 我是看周海媚的&gt;人&lt;~！            
(3星)	 整部剧充斥着BL和百合            
(3星)	 剧情有点虎头蛇尾，千万不能当历史片来看，与史实出入太多——港人拍历史题材的影视剧，很煽情，但历史功课做得非常不足。PS：剧中“莫逆天”的原型应该是杨度，而“余任国”的原型应该是朱德。            
(3星)	 蔡锷与小凤仙实在有点老了，不过姜还是老的辣，一帮老演员的演技还是不错的            
(5星)	 我連做夢都夢到類似的劇情.哈.是個很有意思的故事.            
(4星)	 英雄戏，还是喜欢英雄戏一夫当关万夫莫开啊~            
(4星)	 片场都是我们留影过的地方            
(3星)	 2010.1.6半夜看完，止不住的泪水，奇怪自己竟然会为这部中途差点放弃的旧戏而落泪，第19集完全就是蔡锷与小凤仙的婚纱mv，蒲公英总比烂俗偶像剧里的薰衣草要可爱多了。凤仙那种有点傻气的暴露方法，和那一声“走啊”……我只能说，谁年轻的时候没有爱过大叔            
(3星)	 正宗老人劇；還好不長，不然說不定我就中途棄了。。            
(3星)	 乱世，佳人。            
(3星)	 第一集编得还挺好的。大体符合历史，但很多关键情节的处理还是沿用了TVB惯用的招数。            
(4星)	 当年觉得特好看            
(3星)	 一到他们俩谈情说爱我就受不了，一点都不相称，还要接吻。。。呕！但各自演的都不错。跟平常一样，TVB的戏到结尾时都很葫芦。  -- 2010-8-18            
(3星)	 军装挺帅，其他部分……呃……            
(5星)	 这个挺好看的~··从广东和老公的妈妈看了2集就一发不可收拾啊~··            
(2星)	 剧情真的很烂，就冲着刘松仁看了一半。还是以前刘晓庆的版本好看。            
(3星)	 20            
(3星)	 套用小组里的一句话：年迈的蔡锷，好老的小凤仙。            
(3星)	 这题材多拍20集也不嫌多，至少把人物都弄得丰满点也好啊。            
(3星)	 还行，两老人风采依旧            
(4星)	  四十多岁的“凤仙”。。。为六十岁的“蔡锷”。。。伤爱一生。。。            
(NA)	 除了人老，一切都好。            
(5星)	 我真的最喜欢这个年代了。This is the worst of the time， This is the best of the time            
(3星)	 有那么一点那个 不过还不错~            
(3星)	 海味 风韵犹存            
(3星)	 D衫好靚 TvT D粉好厚...            
(4星)	 小时候我看的是刘晓庆版本的。。豆瓣怎么没有~            
(4星)	 看了个片头感叹刘松仁真的越老越有气质了。看过一半了，蔡锷实在是一个无奈的英雄，和很多那个时代的人一样，有心救国，无力回天。            
(4星)	 刘松仁……老来俏啊……            
(3星)	 喜欢看刘松仁那个老谋深算的样子。前面在看的时候我还给四颗星星，但是最后那三集真的很受不了，最后，我觉得给三颗星星。            
(4星)	 姑且不论这段故事的历史性和真实性，我只是很愿意相信这世界有这样一种情感，听凭缘分的差遣，不在乎世人的眼光，只为真心懂我的人，放逐一生，这样的女子谁能不爱，只是希望这样的悲情不再上演。。。            
