http://movie.douban.com/subject/3356340/	古灵精探B 古靈精探B
(3星)	 郭晋安你这个装嫩男            
(4星)	 啊~~~今季港剧都是好看的~~~这部好看过上一部啦~人物性格太鲜明了，小凤姐晕血晕得笑倒我啦~~罗仲谦和陈美诗都很可爱啊~~案子弱智一点，但放水一下也就过了嘛~            
(4星)	 阿pat是个看点            
(3星)	 岛田著名的“吊尸体”也终于被港剧编剧不客气的借鉴了，案件漏洞不是一般多，剧情也严重前后不对应，但作为搞笑闹剧，本片很成功。            
(4星)	 可惜正义跟皮耶一个个都嫁粗去了TOT 最后甄向华电锯惊魂看多了吧……            
(4星)	 很HK很无厘头~~配角太出彩 好中意重案组高材生和大口英             
(4星)	 胡定欣小妹妹终于清纯了~~~~            
(3星)	 冷美人icy。。。话说美人在里面实在是太搞了，演得很好            
(NA)	 被榴莲砸死  被西瓜闷死            
(5星)	 比1还好看也~  啊pat好可爱~            
(NA)	 我姓高名材生            
(5星)	 为了鼓励，给五星！            
(4星)	 大口英是个经典，黑帮老大被活生生的追捕成了偷摸拐骗的小喽啰，太可怜了，呵哈哈~~~            
(4星)	 我只希望我的家庭生活类似温情小港剧，我就满足死了。            
(3星)	 pierre好帅 （¯﹃¯）            
(4星)	 icy姐姐：）大口英：（            
(4星)	 大口英，你给我站住！！！            
(3星)	
(3星)	 冲胡定欣看的。            
(NA)	 TVB十大淫花。怎么也得捧场一下。            
(5星)	 超级喜欢Pat Pat，真可爱的女孩子~~            
(3星)	 晶晶对大口英的执着真是让人又好气又好笑，一看到大口英就跟打了鸡血一样，疯狂追逐以致闯祸，却屡教不改。胡定欣的造型挺漂亮。至于里面的罪案，就没什么特别了。反正电视剧于我的最大功用，就是放松心情嘛~开心一笑就好            
(4星)	 胡定欣呀胡定欣知道罗柏芝上一部是什么吗？            
(4星)	 连续剧嘛  要连上诶            
(3星)	 话说那个高才生有点像霆锋。。。            
(4星)	 郭峰表现不错 郭羡妮唔得 郭晋安傻到腻了 很多人姓郭了 BB换角了             
(4星)	 Eason那首超人主题曲真是影响深远，16集出现            
(4星)	 如果不深究推理部分，戏里的氛围还是不错的。。我很喜欢美人姐姐和法医这对儿            
(NA)	 陈美诗好乖！喜欢            
(4星)	 ICY惊艳的钢管舞是印象最深的地方，其他只是上一部的延续。            
(3星)	 显然 这角色对于郭晋安来说 太弱了.. 胡定欣不错 O BTW ICY真是不错 漂亮又迷人            
(3星)	 古灵精探B 第16集 第21集 最后一集分明抄袭电锯惊魂            
(4星)	 开头觉得比第一部还好看诶。到后面变得有点儿扯了。= =            
