http://movie.douban.com/subject/3426921/	财神到
(1星)	 赵薇没演是明智的。。            
(3星)	 剧情不咋地。。。            
(3星)	 宝妹多好看啊            
(3星)	 张国立扮演的财神在剧中谈情说爱，甚是怪哉，换个演员可能会稍好些。两个小跟班倒是很讨喜。            
(2星)	 抄老妇还乡太恶心            
(3星)	 1999            
(2星)	 陈志朋好傻哦            
(3星)	 小时候的片子，觉得特有意思，记得里面的徐静蕾跟财神相恋遇到重重困难。            
(2星)	 哈哈  那个片尾曲            
(5星)	 小时候看的            
(NA)	 从这部戏知道的徐静蕾            
(3星)	 还记得宣传的时候说赵薇加盟，后来赵薇辞演搞得很不愉快，不过这部戏很一般            
(4星)	 挺喜欢            
(2星)	 现在的眼光来看是没劲了。但是那个寒假我们仨还是看得很HIGH的~            
(NA)	 我只是今天才发现，原以为从无交集的杨若兮，一直出现在我的童年。            
(3星)	 杨若兮~~~年少时的美好            
(3星)	 陳志朋的招哥 楊若兮的寶妹 現在回頭看看 真真各有各的唏噓            
(3星)	 小时候很爱看，有一年寒假所有台都在放这个            
(3星)	 呵呵呵            
(5星)	 杨若兮！            
(3星)	 已经过了十多年,不过对主题歌还是记忆犹新!            
(2星)	 烂的不堪回首，没注意到有老徐啊            
(NA)	 这个比较经典            
(3星)	 挺逗的~~~            
(5星)	 Memory            
(NA)	 小时候看的            
(2星)	 我竟然看过这么白痴的片            
(4星)	 那个热闹的春节啊！            
(NA)	 初中时候看的，还不错            
(5星)	 《姐妹》之后又一次看见了中意的大眼妹杨若兮，可惜她没跟赵薇是的一炮走红变成当红偶像明星嗲~            
(3星)	 一个差点就记不起来的电视剧。。。            
(4星)	 看老徐的第一部电视剧~还记得那年的春节好热闹            
