http://movie.douban.com/subject/3542424/	呼叫大明星
(5星)	 阿sa的脸就有5颗星星            
(1星)	 纯粹为了看A Sa，结果贺军翔的龊样和完全不能推敲的剧情实在不能忍。            
(NA)	 同题 有Sa 有小美 再加个陈至恺 够了！！！！！！我管他剧情有多雷！！木哈哈哈哈哈哈哈            
(2星)	 啊SA的国语真是听的难受，慢吞吞又不准...话说里面那个叫阿力的真的好烦，看着就觉得像当年恶作剧里的大东            
(5星)	 sa姐的脸就值五颗星            
(2星)	 我真的想放弃了，阿SA那个角色演得有些作            
(3星)	 阿SA还是不适合演台湾偶像剧啊            
(1星)	 差点没把我雷哭了。。。            
(2星)	 阿SA。。。我等的花儿都谢了。。            
(2星)	 弃了弃了 没有火花的都 老的不是小美阿Sa 是柴智屏老了            
(2星)	 Sa姐出于什么目的要接这种无聊的剧!弃!            
(3星)	 阿sa你就这么想打进台湾市场么，演这种台剧实在太幻灭啦            
(NA)	 弃剧了…虽然有阿SA。            
(2星)	 老实说如果女主角是杨丞琳，我想我会继续看下去！            
(2星)	 01半弃之==            
(4星)	 其实，我只是想看阿SA啦，虽然看片名就知道是狗血台剧            
(NA)	 是终于要播了吗?!!!?怒⊙∧⊙无语 弃之            
(1星)	 这剧脑残到阿sa我都讨厌起来了            
(NA)	 不习惯阿sa这么女人            
(1星)	 狗血sb剧。            
(3星)	 同种类型的脸 周彩诗要比北川囧子顺眼得多了            
(4星)	 贺军翔+阿SA+陈志恺+偶像剧的少女情怀=★★★★            
(NA)	 没什么意思，纯粹是看演员去的            
(2星)	 可惜了阿sa和小美的搭配啊……            
(3星)	 餓餓..真的很想給個差評誒..因為是阿Sa和小美..對台劇沒興趣的我原本還滿心期待來著..可是看了第一集的前半部分我就失去耐心了..失望阿失望            
(5星)	 有阿sa在！！值5星！！            
(3星)	 -__,-咦，看啊看啊就不想看下去则。。            
(2星)	 难看死了!!!!!            
(3星)	 最受不了台剧却又为了看SA SA，煎熬。。亲爱的SASA~~国语进步真是大大的!  爱赢才会拼。            
(NA)	 终于看完了。高兴就好的人生。哪有那么容易呢。            
(2星)	 反而喜欢阿力。贺小美要加油啊。            
(2星)	 阿sa你的演技呢！！！！！！！！！            
(NA)	 香港衛星電視台為甚麼會播台劇為甚麼為甚麼－－            
(4星)	 德馨在车行有他的保护神阿力 我在健农有我的保护神爷爷 我们都会珍惜每个人的友谊            
(2星)	 为什么我要在家里看傻b偶像剧- -            
(2星)	 有在我們學校取景來的... =v= 太囧了。            
(NA)	 看了每集的下集预告而已~            
(3星)	 為左睇阿sa! 賀軍翔既演技十年如一日～悲            
(NA)	 美麗密令...呼叫大明星...槍王之王...會看這些片全是因為sa姐你的臉啊.雖然你在槍王之王裏面一下都沒笑...            
(NA)	 如果不是为了看sasa....如果不是无聊到爆炸...千万别看=.=            
(2星)	 不喜欢贺军翔，女2脸很大。。            
(NA)	 = = 还是男二顺眼点。            
(2星)	 看不下去了，虽然陈志恺很帅 = =            
(NA)	 弃了。            
(3星)	 有点假            
(3星)	 没看到结尾 没兴趣了            
(NA)	 因为一张彩票发生的故事，貌似剧情有点无聊，本来是想看男女主角的。停止在第3集            
(1星)	 因为阿sa我看了一眼   因为男二的美色我看了第二眼···然后我觉得  老子年纪大了  承受不了了~~~            
(1星)	 恶俗！！！！看不下去了            
(2星)	 坚持到8集，实在太残了，弃了。            
(2星)	 太恶心了，连我都看不下去也有个边了啊～哎            
(NA)	 偶像剧之母柴智屏····好吧我是冲阿SA去看的            
(3星)	 为了sa也没有看下去。柴智屏果然就只有柴智屏的路数……但是阿sa说国语慢条斯理的怎么那么萌啊！虽然结过婚但是还是小女孩一样好可爱！            
(2星)	 从来阿sa的影视剧音乐都打满分,,,,,,这剧真是烂到我不能接受的地步了,,,,,,,,亲爱的蔡卓妍，麻烦找回心智，再也不要演这样的电视剧了.....好好演电影吧            
(3星)	 我就是想看看阿sa            
(NA)	 【2010-05-16】            
(1星)	 Sa到底是为了什么！            
