http://movie.douban.com/subject/3559015/	恋爱兵法
(1星)	 硬是把中国人也变成了韩国人            
(NA)	 失望            
(NA)	 看开头就知道结尾了。            
(NA)	 看不下去咯             
(2星)	 很不堪。。。除了VIVIAN            
(3星)	 某种现实            
(3星)	 ……我豁出一切地来了，你也往前迈出一步，不多不少，只要一步……别的由我来努力，你只要拿出勇气，如果你没有勇气，就留给我机会，让我来继续努力……我是随着自己的心意才做的……是的，就像傻瓜那样……让傻瓜跟傻瓜在一起。（平淡似清水，一切都显得那么的自然，亚苏大叔和波波老师又好笑又别扭）            
(3星)	 一般啊            
(3星)	 只看金正勋，大陆演员气质太差。            
(1星)	 非常难看，徐若瑄好做作，最近荒啊，才会转转看看，            
(2星)	 好无聊            
(NA)	 主角是金正勋哈！            
(NA)	 我看的那个版本配音有点糟糕，故事情节老套了一点            
(NA)	 要看要看要看            
(NA)	 为帅哥看的啊 多年以前的宫里面的二王子 有些电视不需要多么费力的理解 娱乐就好 哈哈            
(2星)	 稀烂的编剧 稀烂的配音             
(3星)	 其他人都无视，只看徐若瑄            
(2星)	 每次吴孟达和他女友一出现 就会响起一阵莫名其妙鼓噪情绪的音乐 每集都有 集集必备            
(1星)	 中韩合作的烂片            
(2星)	 两主演不怎么搭。。            
(2星)	 囧掉            
(2星)	 要是在韩国拍那有多好。女主角我想换一个。            
(2星)	 徐妞妞的妆快掉下来了。            
(2星)	 可惜了百合王子了            
(2星)	 oh no。。。于是我宁愿你不要来中国发展            
(1星)	 差点儿没哭出来            
(2星)	 律王子只有在他是律王子的时候才有ｆｅｅｌ            
(3星)	 为了律君才看的            
(NA)	 2            
(3星)	 我很无语            
(4星)	 就是喜欢徐若瑄！徐若瑄！！！            
(3星)	 就是冲着有金正勋才看的!!!            
(3星)	 在很迷金桢勋的时候看的。            
(5星)	 有勋的·· 一定爱！            
(2星)	 不看了            
(5星)	 百合王子            
(2星)	 对NHWS没奈何了~~终于看完了！！！解脱！！！！！            
(NA)	 金桢勋            
(4星)	 很有意思~            
(NA)	 真的很无聊~            
(4星)	 终于看完了,很甜蜜的大结局,也希望勋能早日找到真正属于自己的幸福!            
