http://movie.douban.com/subject/3603721/	四大名捕斗将军
(4星)	 我最喜欢的一版四大名捕            
(1星)	 基本上就是一部搞笑片。對白好笑，劇情好笑，情節的銜接好笑，綫索的設定好笑，就連裏面的人苦情也苦得很好笑。劇本實在是太爛了。不知道演員念對白的時候會不會笑場無數次，忍得腸子打結呢。四個人中，聶遠算是表演好的，动情得很，那眼淚說掉就掉，嘴裏還得念著超雷人的喜劇臺詞，這演員當得真是可憐見的。可惜這個無情不如林峰的動作瀟灑，玩電動的樣子尤其爆笑。追命和代珍是最詼諧的一條綫。最荒謬的是青青的三角戀，這樣的戀愛，當事人居然沒得神經病，真是太有喜感了。ps蔡灿得耐老得很。            
(NA)	 烂片只能在小时候看，因为小时候会不顾逻辑这个问题，只要看人就好。            
(2星)	 ★☆            
(3星)	 其实当年挺喜欢聂远，读书的时候也是最喜欢大师兄无情，但是这部戏证明这俩人不能融一起，BTW，搞出小师妹这种东东，还有春药这种东东，弄得很苦情一样，特别土鳖。啊，对了，我一直有个小问题，大师兄到底还能不能过那个生活啊？            
(1星)	 剧情渣，选角更渣。诸葛青青难道是韦三青性转？擦。            
(NA)	 这个版本印象最不深刻，就记得聂远的无情了。            
(NA)	 我小时候追着看的。            
(NA)	 记得那会跟我老爸一起去茶馆看的            
(3星)	 欧辰~~~~~~~~~~~~~~~~~~~~~~            
(3星)	 看的第一部四大剧。当年迷何润东、迷聂远。后来看了其他的，觉得这也算是最靠谱的改编版了。            
(3星)	 比韩国人版的好……            
(3星)	 四大名捕是我的最爱……之一啊！            
(NA)	 我还真的是什么电视剧都看过啊。。。            
(3星)	 当时为了阵容专门去租了碟，顺便给我留下个京剧脸谱的阴影            
(3星)	 追忆逝去的青春啊~很喜欢沈傲君。            
(3星)	 当年还挺喜欢王学兵饰演的铁手，憨憨的。。。哈哈，童年回忆。            
(NA)	 童年            
(NA)	 哈哈哈哈哈哈哈哈哈哈哈 我靠！！！我的童年！！怎么了            
(2星)	 聂远还是可以的，我从来就没喜欢过何润东！！            
(3星)	 完全是当弱智恶搞剧来看啊啊啊，最近真恶趣味            
(4星)	 冷血好帅&gt;&lt; 铁手很憨萌=3= 无情够酷 追命有点傻。            
(NA)	 呀 这个我好像也看过的嘛            
(3星)	 不知道为毛当年觉得冷血好帅……            
(3星)	 不太喜欢看何润东演古装片。            
(2星)	 是在排的不怎么样，不伦不类的，演员也选的奇特，个个看上去都怪怪的            
(2星)	 还是喜欢钟汉良            
(2星)	 拍死编剧~~            
(3星)	 花代珍            
(4星)	 当初看得很欢喜            
(3星)	 聂远哥……每个人都有那么点不堪往事            
(2星)	 隐隐约约记得看过，看着简介又似乎忘了            
(3星)	 隐隐约约有点儿印象的。还过得去啦。            
(3星)	 超级老片子 没有美女 帅哥也好            
(4星)	 看的第一部四大名捕电视剧            
(NA)	 迷了我一阵···            
(3星)	 应该是看过的            
(4星)	 诶，当年我最喜欢花代珍。哈。            
(3星)	 应该叫四大名傻哦~~            
(1星)	 一个个耍帅都不成功！！却要装逼的电视剧！当时就觉得了。。。。            
(2星)	 唉...            
(NA)	 最早看的四大名捕～            
(3星)	 天哪 我肿么看过这么多垃圾电视剧            
(3星)	 我还是比较喜欢武侠剧的  这是为数不多有印象的              
(4星)	 当时我觉得剧情实在是SHIT 但是偏偏演员都很有爱            
(3星)	 这种题材，只要有四个帅哥，怎么都不会差            
(NA)	 一起播。一起播。            
(2星)	 当时不知道是做什么 扎堆的四大名捕 没一本好看的 每本里倒是有1、2个我喜欢的演员            
(3星)	 我觉得这个拍的额，简直就不知所谓了%            
(2星)	 不知道为什么，很讨厌沈傲君和那个姓黄的在一起，所以从此以后就连带着讨厌沈了            
(3星)	 诸葛青青死的时候真的很伤心，但无疑这是最好的结局。还有就是和温瑞安的原著太不相像了，特别是将军。那个时候喜欢黄少祺啊！@Home            
(NA)	 奸情满满！            
(2星)	 烂片，我当年还挺爱看，聂远很好看            
(4星)	 当年疯狂迷恋沈傲君和陈怡蓉 = =             
(3星)	 何润东 陈怡蓉 聂远 一人一星其他全部忽略            
(4星)	 纪念一下，当年很爱看这部四大名捕，其他版本的统统没看过，也不想看了。。。            
(4星)	 都挺帅的哈            
(3星)	 四大每次改编都……各种熊            
(3星)	 帅锅们。。            
(2星)	 哎 我咋看了这么多烂片了            
(3星)	 纯粹就看人打分吧。。。。剧情无趣啊。。。还有。。。沈傲君端着那张老脸为何老是演被暗恋的美女？！            
(3星)	 喜欢黄少祺演的冷血，很酷的说。王学兵演的铁手也很好玩啊，，安            
(2星)	 虎头蛇尾,有比这种争风吃醋的四大更雷人的么？BJ狗血无下限= =凸            
(NA)	 好吧，我终于看到一个比较帅的无情了泪目....            
(NA)	 这剧太弱了，无语得很            
(2星)	 挺扯的...            
