http://movie.douban.com/subject/3619080/	爱情宝典
(4星)	 一瓢贫，万种富； 浮华恰似风中烛。 忘忧草，鸳鸯梦； 红颜恍若花梢露。 前朝兴衰事， 后庭山海盟。 总被雨打风吹去， 燕子归来， 雕梁何处。 多少宿命， 都化做， 一曲琵琶， 泪湿青衫， 传世千古。             
(5星)	 五个爱情小故事都很简短，但是其实这样的长度诉说这样的爱情已经够了。这部电视剧没有雷人的语句，服饰很漂亮，演员演的也都很到位，也不乏有些名气的演员，感觉很好看。就是不知道为什么那么少重播。            
(4星)	 当时觉得如萍的妹妹好美            
(4星)	 最愛綠牡丹，其次風箏誤。直到現在還記得那句：人生得一知己足矣，更何況是紅顏知己。才子佳人的典範啊。            
(3星)	 卖油郎都像任泉拉莫帅生意爆翻了吧            
(4星)	 很有古典韵味            
(4星)	 编剧是邹静之吧            
(4星)	 印象里至少是十年前看过，可惜今天翻出来，竟然02年才上映，可见记忆这种东西，真是不靠谱。比之今天又狗血又矫情的许多电视剧，这可古典多了。虽有雷人之处，但总体而言是不错的。            
(3星)	 = =意外的 很亲切啊            
(3星)	 任泉帅爆了，一见钟情            
(4星)	 看过卖油郎的一小段。演员的表演非常到位，整体感觉古色古香，值得一看。            
(2星)	 任泉还真多和两冰冰配的。            
(4星)	 小时看的，印象好深刻~~最喜欢的是张静初那段            
(5星)	 根据古代故事改编的，帅哥好多，情节虽然太过俗套，但是我喜欢的类型~            
(3星)	 当时喜欢里面的乐佳彤的角色。。            
(2星)	 其实里面还是有不少美人的，比如任泉！            
(3星)	 解决初中那个无聊的夏天            
(4星)	 小棋士和卖油郎还是不错的。            
(5星)	 很古风，现在看那时候的女的真的好嫩好水啊，现在找不出那种感觉啦            
(4星)	 但是的张静初啊 拍得很不错了            
(4星)	 有几个故事挺不错的            
(4星)	 主题曲好听            
(5星)	 我小时候的回忆呀            
(NA)	 风筝误，那时候的张静初            
(5星)	 看演员吧，听音乐吧。绝对群戏！            
(4星)	 已经看过八年了！            
(4星)	 不错，小时候挺喜欢的            
(3星)	 爱情的启蒙教育            
(5星)	 这些故事真的很经典，改编的也不错，名著里面《三言二拍》是翻拍最少的，要努力多拍啊。            
(NA)	 当时觉得花魁娘子那演员真挑逗            
(4星)	 挺温暖的剧，装扮很真很美。            
(4星)	 小时候看的时候好像很喜欢~            
(NA)	 小棋士里的豆沙菊花酥啊啊！！想吃啊啊啊            
(3星)	 ORZ 我确定我小时侯看过这个..            
(5星)	 这么好看的   .........            
(5星)	 小时候看的。对爱情产生了美好的记忆和憧憬。            
(3星)	 演员很养眼            
(5星)	 最喜欢风筝误了，小学的时候看过，后来上高中了回忆起来又发了疯地找回来看，即使剧情倒背如流还是很喜欢。喜欢那样的爱情，有一知己，不用言语，心心相印。            
(4星)	 撑船的不怕水摇，打铁的不怕火烧，想要爱就不怕伤心刀。            
(3星)	 这名儿忒傻，让我想起葵花……拍得很古典            
(3星)	 才子佳人            
(NA)	 至情            
(5星)	 啊哈哈 很有爱            
