http://movie.douban.com/subject/3619100/	IRIS 아이리스
(4星)	 素妍mm秒到我了……有谁能这么非中性的帅气@.@            
(5星)	 如果可以，我要把全世界的影帝獎盃全部頒給秉賢oppa！！在幾乎全明星陣容的大片裏 李秉賢totally閃閃發光！！！！1億元1集的片酬絕對物超所值！！ 作爲韓國第一部意義上的諜戰片，IRIS不是沒有缺點的，然而第一次的嘗試就做出這樣的成績，絕對值得山寨大國好好學習。。。            
(5星)	 因为金素妍,所以想看~            
(3星)	 金素妍很帅气            
(5星)	 李秉宪真的很man            
(5星)	 看了两集，每一集就像电影一样精彩。            
(2星)	 5集弃。不死鸟的主角，木头样的女主，无处不在的强大的思密达组织，没有办法无视这些令人泄气的事实。            
(2星)	 妈的毫无来由的一枪就结束了            
(NA)	 什么破结局啊！！！            
(3星)	 喜欢金素妍             
(4星)	 给我留下深刻印象的不是李秉宪，也不是花瓶美女金泰熙，而是冷静帅气的善华——金素妍... 全剧的BUG俯首皆是，如果没有续集来把事情始末交代清楚的话，这部戏的亮点就只有就金素妍了.........            
(4星)	 再为善华加半星。  就是结局有点吐血  还是四星吧            
(2星)	 看到第九集，终于放弃了。本来就是为了金泰熙和金素妍看的，可没想到那男猪脚那么讨人厌。。。。。。            
(3星)	 完全被金素妍的冷脸杀到……            
(4星)	 换个男主角 我就肯定看            
(4星)	 金素妍mm太让人怜爱了  T_T            
(4星)	 喜欢金素妍 “春哥”你咋不选跟你一同作战的善华呢！！            
(4星)	 我讨厌不完满的结局。金素妍的鼻子简直了！还有内短发……我也要那样的鼻子！            
(5星)	 这是我个人最喜欢的韩剧。暂时没有之一。我爱这种节奏。。。快。紧张。刺激荷尔蒙分泌。            
(5星)	 最初是奔着金泰熙看的，后来发现金素妍也不错！剧集让人惊喜！            
(4星)	  金素妍            
(3星)	 三星半。金素妍很好看            
(5星)	 难得的大戏，女演员都很漂亮金素妍还是心中的女一号            
(5星)	 金素妍让我疯狂            
(2星)	 唯一看点是金素妍。            
(4星)	 素妍mm是亮点，喜欢。。            
(5星)	 我很喜欢金素妍的演出，另外整个故事背景的设定也的确让人耳目一新，打破了韩剧一贯情情爱爱拖沓不堪的惯例，虽然很多细节仍然不太满意，勉强给个5分。            
(5星)	 我的目光都停留在金素妍身上了，话说最后一集我有点看不懂。。。算是一部挺不错的剧，尤其适合我这种好奇心强的人追            
(3星)	 金素妍演的非常好~ 结尾仓促纠结~~            
(4星)	 你们演得太好了。好演技撑得起一出戏。            
(4星)	 那帮人都感动了 女二号O(∩_∩)O~            
(5星)	 喜欢金素妍~            
(4星)	 喜欢女二号。            
(3星)	 金素妍绝对精彩抢戏，插曲很好听，其他一般般            
(4星)	 最爱的只有善华...            
