http://movie.douban.com/subject/3621940/	雷雨
(5星)	 田海蓉的表演有点硬，蔡国庆虽然别扭但是很符合这个角色= =，其余都很优秀~~雷雨还是话剧最有表现力！            
(4星)	 ……            
(3星)	 CCTV11看 怪怪的  鲁贵不错            
(4星)	 好喜欢雷恪生！！！！！            
(5星)	 应该是这个            
(3星)	 我很不喜欢这个版本，好像还是上高中时集体看的。            
(4星)	 猜測：大體上受到過古希臘悲劇的啓發吧。不管你淚不淚，我是被催淚了。潘虹真不錯。            
(NA)	 年份麼            
(4星)	 其实演得很好，但是实在是装嫩得不行。不过话剧的话还是得演技派吧，老一点也没关系。给话剧评分，要比影视剧评分高出至少半星才是公平的，因为即使排练再多，一旦你上了台，就不能NG            
(4星)	 除了蔡国庆和田海蓉有点儿突兀，别的都非常棒。            
(4星)	 虽然受不了田海蓉眯眼升脖的狰狞样            
(4星)	 电视版            
(3星)	 鉴于本人一向缺乏对陈大导演的欣赏……            
(4星)	 语文课给看的            
(5星)	 纠结。            
(NA)	 又是语文课看的。。            
(3星)	 语文课看得。真心受不了蔡国庆的装嫩卖萌。。。这个版本真是雷的全班尖叫连连。。            
(4星)	 我说你们怎么忘记了告诉周朴园他还有个儿子是鲁大海在矿上跟他骨肉相残啊！！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 我想说，满城尽带黄金甲和琼瑶在这部话剧面前，简直就是浮云！！！            
(5星)	 天津人艺的版本 作为这出戏的娘家对戏本身的滋味咂摸还是地道的             
(3星)	 主要是我真不爱这剧本本身            
(3星)	 语文课            
(3星)	 不知道是不是因为这些个演员都太过熟悉了,看完之后觉得,嗯 有些喜感- -            
(4星)	 为了蔡国庆演的17岁少年扣一星……            
(5星)	 Lulu和我都觉得蔡国庆真可爱… &gt; &lt;            
(5星)	 乱伦，资产阶级的软弱性            
(4星)	 潘虹大妈演得太牛逼了点            
(4星)	 语文课看的.....有鬼片的功效            
(5星)	 CCTV-11空中剧院            
(5星)	 最爱这个版！！            
(4星)	 还不错，值得一看            
(NA)	 田海蓉好像有点做作了其它都很到位也很精彩            
(3星)	 中国青年艺术剧院版，演的不全，把鲁大海剪了；人艺版比较全，不过演员普遍比较老；明星版各种雷，电视剧演多了的感觉。            
(5星)	 可能我看得不是这个版本的            
(NA)	 语文课2            
(4星)	 挺生动的，除了蔡国庆年龄与剧中的周冲相差甚远，看着不是那么顺眼外，其他演的都很自然            
(5星)	 这是看一部剧，就入戏一次啊。太伤心了            
(4星)	 上高中看的，第一次接触这种类型的东西，感觉挺好            
(5星)	 情人节特别节目:全班一起Qio麻搭黑看话剧。巧的是班上就两对情侣还都被抓包=_=            
(4星)	None
(5星)	 这一版看过无数遍了，但人艺版还是不能动摇的经典。            
(NA)	 看了不下五遍            
(3星)	 算是补课吧            
(3星)	 田海蓉的那句少爷 实在是嗲到滴水啊...            
(4星)	 书是在一个雷雨交加的下午看的，剧到现在还分不清是梦中所现还是真实所演            
(4星)	 可惜演员虽有经验但都偏老            
(5星)	 四凤说话还好再嗲点。。。油。。。。额额额！    繁漪和冲儿是真可怜呀。            
(NA)	 中国话剧的起始，独具代表性            
(4星)	 高中看碟            
(3星)	 无锡是个好地方！这句台词印象太深刻了！            
(4星)	 明星版的很精彩，都是实力派出演，推荐。更推荐曹禺先生的剧本。            
(4星)	 主要是蔡国庆演的二少爷也太残太夸张了吧？！！            
(3星)	 高中语文课上            
(4星)	 CCTV11看的，田海蓉的台詞也太假了，舞台感很不好～其他都是京滬兩地的戲劇名家還是不錯的演繹～            
(4星)	 蔡国庆演的17岁 我们全班都无语            
(4星)	 全明星版话剧……蔡国庆演的有点过。            
(4星)	None
(5星)	 《雷雨》究竟是不是从《打出幽灵塔》中改头换面而来的？存疑~~~            
(3星)	 哈哈，我喜欢里面的台词，更喜欢里面夸张的表演。            
(4星)	 这版是最好的            
(4星)	 繁漪稍欠一点魔道，侍萍演得好            
(5星)	 经典。觉得四凤很一般，濮存昕和潘虹中规中矩，雷恪生相当出彩。很期待侍萍那句“你是萍……凭什么打我的儿子？”和“我是你……我是你打的这个人的妈”，效果还好。            
(4星)	 最后触电怎么好像很搞笑。。。。            
(4星)	 蔡国庆最雷，濮存昕第二。。            
(5星)	 什么喜剧 这也叫喜剧 我晕头了..........            
(5星)	 巨喜欢            
(5星)	 还是喜欢剧院里的话剧，所有的故事仅用短短几幕便表达完了，也终于知道为什么说‘满城尽带黄金甲’是另一个版本的雷雨了            
(4星)	 可以给四星。蔡国庆晃得我眼前一亮一亮的。田海蓉的陶醉相确实不敢恭维。其余还好，几位老戏骨（包括濮存昕）的表演都很见功底。            
(NA)	 熟面孔演，觉得怪怪的。            
(NA)	 http://movie.douban.com/pics/sth.gif            
(4星)	 就是蔡国庆和田海蓉让人有点失望            
(NA)	 上午话剧课看的            
(4星)	 高中时课文里有选段，也是那个时候看的啦            
(4星)	 四凤和周冲失败。            
(3星)	 不温不火，导演，演员都这样            
(4星)	 有太多评语想说出口。可看完就给忘了。            
(5星)	 年龄整体偏高，但是不影响那经典性。。潘虹那繁漪演得深入我心，雷恪生给小角色大亮了，濮存昕演男主角演到我要无感了。。蔡国庆嘛，这个冲儿简直有装嫩迹象嘛            
(5星)	 人心不可靠            
(5星)	 雷恪生，最好的鲁贵            
(5星)	 老戏骨            
(4星)	 蔡国庆。。。潘虹和濮存昕。。。OMG。。。            
(4星)	 这个真的是无比纠结 挺好看的            
(4星)	 其中一个镜头堪比惊悚片啊            
(5星)	 哈哈哈            
(NA)	 好久以前的语文晚课哈哈            
(3星)	 这个太雷了 = =            
(3星)	 这个故事的确够纠葛，对于涟漪至今仍然十分复杂的感情。演员做作了……            
(4星)	 狗血的人生。。。。            
(5星)	 经典。。。P.S.配乐方面各种电影原声乱入。。辨认出了有Brave Heart的几秒钟。。            
