http://movie.douban.com/subject/3654334/	呼叫迈阿密 Miami Medical
(4星)	 还挺好看的，被砍了么？男一女一男二女二四个人随便怎么配都是萌点啊·！！！！            
(3星)	 我就喜欢这么肤浅的电视剧，只要美女帅哥就可以了，剧情烂也可以看。            
(4星)	 新出的医务剧中俺最看好的一部~·情节紧凑~·人物个性突出~~再接再厉            
(3星)	 CBS还是老实罪案吧~ 为了JN叔我才坚持到这份儿上的            
(3星)	 不打算追了            
(3星)	 看是因为那海报里有个养眼Blonde是Shes out of my league里唯一一个看过过去的。 可Pilot前10分钟就太假了点。都说是死前最后一站了。那些个医生还可以全部站在这里什么都不做就看一个医生怎么精神恍惚。这样时间还可以浪费的说。            
(5星)	 帅哥~~~            
(5星)	 除了第一集比较逊之外，后面都很好看            
(4星)	 被砍了么？其实还不错啊，有帅哥有美女有大叔。Warren医生太美了~还客串过CM的!            
(3星)	 被砍不奇怪            
(NA)	 2.弃之。一点都不紧张- -            
(3星)	 Sir Thomas of the tudors在劇中一樣很威武( ^ ^) _U~~            
(3星)	 好吧，看不下去了~CBS真不适合拍医疗剧。。。很Boring。。。            
(3星)	 不停的想起CB&gt;&lt;！            
(2星)	 看了第一集，矫揉造作，bug多多，看好被砍            
(NA)	 看了半集....0分            
(4星)	 好是好 就是太惊悚 血腥了 一半弃            
(3星)	 这几个演员配的有点怪。。。            
(4星)	 其实蛮好看的，可惜被砍了            
(3星)	 Miami.Medical.S01E02            
(5星)	 很好看啊！！！非常好看！！！很人性化的剧！            
(5星)	 第一次看医疗方面的剧，觉得很赞~~俩男主角俩女主角都赞~~            
(4星)	 终于看完了 oh shit            
(3星)	 劇就真一般，倒是4角都是帥哥美女。特別那個Dr. warren，都tm30多嵗的人了看著還像17.8嵗的= =。不過砍了三河再拍醫務劇播到半程就決定砍，CBS腦子有問題錢也多。嘖嘖。            
(5星)	 这么个剧感动了我好多次…            
(4星)	 我覺得挺好看的啊..可惜被砍了            
(4星)	 嗯，血淋淋的            
(NA)	 女外伤大夫，男护士长            
(4星)	 可惜啊            
(3星)	 砍。            
(4星)	 等第二季            
(NA)	 这剧角色设置还可以，但剧情太普通，专业性那方面就更…… 总得来说比较无聊，没能看完。            
(NA)	 果断弃了，不好看///感觉是个烂尾剧……太装了……            
(3星)	 帅哥美女很多啊！2个帅哥1个美女太养眼，就是故事俗套。            
(4星)	 Jeremy Northam啊~~            
(4星)	 为了Jerry Bruckheimer和可爱的大叔JN，追了            
(3星)	 其实还不错XD            
(NA)	 弃~~很难看~~急救的时候就看见医生们喋喋不休了~            
(4星)	 被砍掉了            
(5星)	 目前我最喜欢的一部剧            
(4星)	 海报上Jeremy Northam那双鞋子很带感啊！            
(3星)	 其实挺好看的，又又又砍了。            
(NA)	 这剧很好看啊。。。ER的其中一位演员执导的。。。为什么不继续拍啊。。。。            
(4星)	 有点儿血腥吧……每一集都会有不同的紧急状况。做急救医生真是pretty cool            
(4星)	 医务剧都审美疲劳了，但这部还是让我眼前一亮。            
(4星)	 难得看一次医务剧，其实剧情挺好的，可是还是被砍了。            
(3星)	 医务剧不爱看            
(5星)	 the best...            
(1星)	 不好看，一集弃了            
(NA)	 觉得还可以了。也许医务剧已经陷入僵局了吧。。。            
(5星)	 还是很好看的！可惜了是个短命剧。。。            
(4星)	 为什么都有砍掉呢？？！！！！            
(NA)	 节奏非常好~主角间的感情拿捏得恰到好处            
(4星)	 喜欢这类紧凑的剧，没有太多的感情纠葛，专注于急救，同时也是我喜欢的单元剧，每集一个故事，不拖沓，而且男主好帅！            
(3星)	 爵士哥你演军人真不行诶。            
(4星)	 医务剧拍到这个份上，我觉得已经不错了……至少格调上比较明朗。不像house那么阴郁。            
(3星)	 只有这一小时 决定你的将来            
(3星)	 六集后放弃            
(4星)	 女二号大爱！可惜听说被砍了，没第二季了            
(4星)	 恩 挺不错的片子             
(4星)	 我觉得不错，至少让我想要追下去            
(3星)	 难以抵抗生老病死的drama。            
(3星)	 一星给医务剧。一星给一老一少俩帅哥主角~            
(4星)	 被砍了。。。这可是我第一次追剧==            
(NA)	 弃            
(4星)	 被砍了~~~5555            
(3星)	 Elisabeth Harnois 长得真像Taylor Swift。第一集有点假，希望后面渐入佳境吧。            
(3星)	 这剧本身感觉是不太好 ，但是JN的剧我又希望继续支持下去。            
(4星)	 感觉还不错第一集……然后 它被砍了TAT            
(3星)	 观望中，希望有ER那样的灵光。。。            
(3星)	 没有太喜欢的感觉。而且其中几个地方觉得明显有硬伤。比如开头的爆炸。夫妻俩都消停了好一会了，莫名其妙撞过来辆车。这车的司机搞什么啊？            
