http://movie.douban.com/subject/3670446/	泡沫之夏
(1星)	 我真是受不了了，这仨人年龄加起来有100岁了，黄晓明把梦幻美少年洛熙演成了牛郎；大S把天仙夏沫演成了面瘫的大饼脸；天呐，我说何润东，你没有贵气就算了，你可以不要总撅着你那张香气嘴不咯？？？            
(4星)	 何润东啊，我再一次的不矜持了。。。已经很用心的打造了，比起某水果台的天雷剧。。至少养眼并且90%终于原著。至于选角，除了这3人，还有更合适的么，说出来我赞助你拍。            
(1星)	 我晕……黄晓明和何润东= =还有大S 你们演的是中年版的吧……            
(1星)	 果然是老青年之夏            
(2星)	 大S脸上出了眼窟窿其他地方都糊面粉了             
(NA)	 看了一集。雷得不是一点两点。我想破脑袋都想不明白大S为什么要接这个戏！不过如果换成其他人，可能更倒胃口。另，超级无敌讨厌明晓溪！这部剧再烂也没她写的小说烂！            
(1星)	 这三个人的组合堪称是极品，正常人到这岁数孩子都上小学了吧，加上这个令人膈应的作者和书，极品荟萃，大S年轻时候也是个挺可爱的杉菜，现在走文艺路线完全没问题，何必一把年纪还跟这么多青春美少女争公主，没看过没发言权，为这个我看了十分钟后背嗖嗖冒凉气，对不起啊各位真的有人在看吗。。。。            
(3星)	 是在演小说人物的中年吗            
(NA)	 老年之夏。。            
(2星)	 黄晓2。 弃之            
(5星)	 本来觉得这群老人没事演什么青春偶像剧，，结果看完第一集后决定，尽可能地看完这部剧，，其实感觉挺《战神》的，尤其是大S同志十年如一日的发型……            
(1星)	 宁愿瞎了我的眼……            
(1星)	 在室友的恶趣味下看了一集！我的天哪！！！！天雷滚滚！！！！            
(1星)	 看片花就知道是垃圾            
(3星)	 比想象中好一点            
(1星)	 弃。我都一大把年纪了就不挑战自己了，十年前都看不进去的台湾偶像剧，现在也不会有什么奇迹了。            
(1星)	 = =。。這個世界夠雷了。。。            
(3星)	 “我是你的，你是自由的。”片尾曲挺不错，一看作曲原来是范晓萱，难怪。            
