http://movie.douban.com/subject/3727341/	囧探查过界 冏探查过界
(4星)	 只要有钟嘉欣演的戏，无论好坏都会有人骂的，作为她的粉丝我也很无奈，我觉得这些人也真是够累的，不喜欢一个人的话连关注都不会去关注，却非要打个星再说几句难听的来表达自己的情绪，真是无趣。            
(2星)	 钟嘉欣的演技很假，看到她就不想看这部戏了，可惜！这部戏最大的缺点就是找了钟嘉欣做女主，希望TVB不要找她拍戏了，不要影响了整部戏            
(2星)	 钟嘉欣越来越可怕了……            
(5星)	 我觉得打四星以下的都是没看到结尾的人，这个真的很好很好很好看，我一直巨讨厌钟嘉欣，但是这部戏她演的巨好。。。王喜也很好。各种欢乐！！！            
(4星)	 好久没这么单纯地追剧了，什么都不过脑，做个普通观众也很好…钟某女大概是开窍了，继续保持吧            
(NA)	 最囧就是钟嘉欣啊....            
(4星)	 周家昇应该和王小虎在一起的嘛！！！！王喜+陈国邦+李思捷！！！！            
(5星)	 好久没看港剧啦！！真好看！！饱满！！            
(NA)	 为什么不喜欢钟嘉欣啊？这么漂亮的小姑娘！            
(3星)	 好吧我承认越看越好看了咯            
(2星)	 簡直侮辱我的智商            
(4星)	 表情都好囧，哈~钟嘉欣演的好可爱，王喜也挺可爱，最喜欢听他叫“父亲，父亲！”，陈国邦也挺可爱的。黄浩然好帅呀。            
(4星)	 好吧，我承认钟嘉欣在这剧里傻到头了，也没那么讨厌了            
(4星)	 欢喜鬼上身。。寓教于乐鬼道理。。最逗是保长出场和九孖七坐监两段，乐颠儿了            
(1星)	 一堆短評直接告訴我那誰一開始就死了，所以我就給一星了，我現在也轉告給你，那誰真的一開始就死了，這爛片還是別看了。            
(3星)	 钟嘉欣对林峰真是不离不弃            
(4星)	 挺有意思的，小得原来之前就死了，惊讶了一番~后面很搞笑，看到9了            
(4星)	 最萌陈国邦            
(4星)	 算不错看，王喜实在太嗲了！！！sexy！            
(4星)	 就还挺欢乐的            
(1星)	 哈哈，我也是冲着王喜去看这片子的..倒胃口啊，那个钟嘉欣            
(5星)	 搞笑， 幽默。             
(3星)	 我已經囧了.最囧就鐘嘉欣自己了.= =死了都不知道            
(3星)	 第一集相当的平淡，好吧，希望能好点，无视夹心。就这样吧，没感觉。            
(4星)	 故事情结都很好 除了花姑娘钟嘉欣            
(4星)	 我捻我死左之後都會變番只鬼添，幾可愛噶。            
(3星)	 囧啊~~~~~            
(NA)	 锺嘉欣像个白痴  编剧跟林峰啥子关系哦 老林峰林峰的              
(4星)	 港剧总是麻痹神经散发幸福感，即便这种看似应该是悲情的事情。做鬼真的有这么好吗？四星给的是王喜以及传递给我的幸福感            
(2星)	 坚持四集半放弃，剧情什么的还是次要，第一次发现我对王喜的爱不足以支撑我看下去（要是林保怡肯定会坚持的握拳ing...）而且我比我原以为的还要唾弃钟嘉欣...            
(4星)	 前几集好难看！不过故事题材还算蛮吸引人的！钟嘉欣无脑角色还可以接受陈国邦黄浩然李思捷都很有爱！            
(3星)	 没有马脸钟，可以更好一点的。            
(3星)	 怎么办 不喜欢钟            
(3星)	 实在受不了钟嘉欣那个角色            
(NA)	 香港的快餐剧，还真的适合吃饭时候看，不至于韩剧哭哭啼啼，又不至于大陆电视剧的雷的喷饭，更不像美剧还要费神看字幕·····结局很雷，我表示彻底外焦里嫩了~简言之、就是一部温情的家庭侦破灵异囧片！            
(5星)	 好好看的一部剧  钟嘉欣在剧内号可爱啊 演得超好的 支持钟嘉欣！            
(4星)	 很囧很可爱，钟嘉欣这次总算不讨厌了            
(2星)	 那个钟嘉欣囧屎啦 配成国语会不会好点啊- -            
(4星)	 越来越喜欢钟嘉欣了，好欢乐            
(4星)	 圣母变成肥猪流啊！李思捷王喜黄浩然好赞啊！！！！我就是一个被美色征服的人！！            
(2星)	 好无聊的电视剧。            
(3星)	 钟嘉欣好破坏= =            
(4星)	  今年最不期待的一部戏反而最给我惊喜，除了结局很无力，其他都还不错，钟嘉欣这次一点都不讨厌            
(4星)	 &lt;19 完结&gt;想象不出会有第二个能比夹心更适合这种这么囧的角色的人了。演起这种角色，真是比以前那些圣母角色要顺眼的多。p.s：哎哟，好喜欢李思捷。            
(3星)	 最喜欢王小虎了~            
(5星)	 結局很棒..很好的劇.都是我愛的演員.            
(4星)	 之前看珠光宝气里的钟嘉欣真的好令人憎啊，没想到囧探里又这么可爱，一度让我以为认错了人。            
(3星)	 如果相信有来世，鬼魂的存在也许会快乐许多            
(4星)	 李思捷啊///什么烂结局啊            
(3星)	 我觉得王喜长的好像我哥哥哦            
(4星)	 挺欢乐的            
(4星)	 剧情有点囧，但人设不错，还是不太喜欢钟嘉欣，但是王喜和陈国邦也太可爱了吧~黄浩然李思捷也乱口奈滴~喜欢~            
(2星)	 太可怕了钟嘉欣装可爱装成那样 李思捷和黄浩然太好笑了！！！            
(NA)	 一直到剧集的中部，钟嘉欣上王喜的身，王喜展现了表演女人的功力，我才终于决定要看完。            
(3星)	 无聊看看还ok            
(3星)	 真的很囧            
(3星)	 最后一集大囧啊啊啊！！！            
(1星)	 超级贱囧的片子            
(3星)	 最后几集去掉就好了~另外那个李思捷你就和黄浩然在一起吧~~            
(3星)	 钟嘉欣第一个我看得顺眼的角色；情节来说，前面编得尚算峰回路转，没有TVB俗套，但越往后越不怎么样，不过此剧无主题，若不是鬼要投胎，演一辈子都没关系。PS.每当无线有灵异剧播出的时候，我就想如果当年叶璇的姐魅情深拍了会是怎样。            
(3星)	 竟然，还不错。            
(3星)	 开头还不错            
(2星)	 我竟然看完了我竟然看完了 GOD            
(NA)	 因为有王喜所以看完了               
(5星)	 这部片居然越看越好看~~            
(4星)	 12.27-1.2 算是有突破的刑侦剧吧,还蛮好看的,由私家侦探和鬼来破案,有新鲜感,案情方面也觉得反而比今年的几部传统刑侦剧好看..没明白&#34;囧&#34;在这部剧里的意思,好像和我们平常用的不同,夹心老说别人&#34;超级囧人&#34;,不懂..他们干嘛老打扰林峰...老是说普通话的那个女人违和感太强~            
(2星)	 结局很雷            
(NA)	 陪……陪我妹在線看了一集……我也囧了……話說越來越不喜歡鐘嘉欣……的角色……她以往的角色也不討喜什麽的……原本沖著王喜還是想看的……可是女主真不是一般的讓我覺得……那啥……於是就真的看一集……就算了＝　＝            
(4星)	 无聊的时候正适合看            
(4星)	 2010-12-25ed，松花家。无无聊聊的，搞搞笑笑的，就是能牵我看完。我发现我很喜欢装可爱的钟嘉欣啊~~~另喜好几位男角这种类型的身材的说~~~恰到好处的肌肉~~~-_,,-            
(2星)	 是要有多囧            
(2星)	 TVB的剧情真是越来越差了。。            
(NA)	 20101226说实话最后的结局我看的不是很很明白            
(3星)	 最近TVB好喜欢用“脑瘤”“我坐咗二十年冤枉监”“人生有几多个十年/X年”            
(5星)	 为什么只有19集啊～～还蛮好看的。            
(3星)	 囧囧囧囧            
(3星)	 要是这个世界上只有我一个人能看到你就好了            
(4星)	 原来是电视剧= =我还纠结电影怎么有5个文件。。。在看。            
(4星)	 2011年搞定的第一部戏。还蛮好看的呢~~话说钟嘉欣在里面的每一套衣服都好好看啊！！！！！！！！！！！！！！！            
(4星)	 莫名其妙。。。。            
(4星)	 打发时间看的还是满欢乐的 最后两集简直科幻大片.....结尾..投胎转世三人行....            
(4星)	 王喜真可爱            
(3星)	 那个明显是假手。。            
(NA)	 最后一集也太扯了，尼玛以为是在拍科幻片咩= =            
(4星)	 好吧。。。黄浩然在里面很cool            
(5星)	 第一次觉得王喜很帅！这部剧温馨搞笑，推荐            
(NA)	 【2010-11-29】            
(4星)	 我是因为 李思捷才看的，这片结局也太雷人、、咋就突然整成 鬼片了，真是让人摸不到头脑。。。            
(3星)	 结局好囧。原来它的名字由来是这样的o(╯□╰)o            
(4星)	 钟嘉欣囧卖萌~噗~~            
(3星)	 钟嘉欣的配音太闹腾了！            
(3星)	 这部剧的导演到底是有多爱林峰！！            
(3星)	 我竟然看完了这部剧！我都佩服我自己~钟嘉欣诶！还是主演诶！虽然形象上比较讨巧，但我只想说：姐姐你太吵了……            
(5星)	 很可爱……            
(3星)	 当中确实有出彩包括好笑嘅桥段..但个结尾实在太囧了窝..冇甘啦..王喜点解要死窝...            
(3星)	 打发时间看看，一转眼就凌晨5点了。。。            
(5星)	 要是有鬼就好了呢！！！            
(4星)	 好久没看这么欢乐的tvb了 ，不过主要是演员也是我喜欢            
(3星)	 竟然是个鬼片。            
(3星)	 有点白痴但好看的哎            
(3星)	 还可以看看的。            
(NA)	 最后三十分……唉……太狗血太狗血了……发现好可爱的陈国邦            
(3星)	 打发时间还是蛮好的，哎~钟嘉欣的衣服好彩色            
