http://movie.douban.com/subject/3780327/	诱情转驳
(3星)	 小马哥太美了TAT蒙嘉慧的脸从小就觉得很好看，陈法拉你走开（揍            
(2星)	 我就无奈了，完全无法自圆其说的剧情，马仔的痴情在这里完全是色迷心窍嘛。ＹＯＹＯ不仅是奸角，最后害死了，没看的各位就别看了            
(2星)	 真他妈的矫情，做作，幼稚，无聊！！！            
(2星)	 極差, 只有陳法拉過於好看, 髮型也美,太美,她怎樣都美. 以及逆生長的馬浚偉。            
(3星)	 我想说：阿辉和荣少才是真爱！！！囧囧囧~~~            
(NA)	 不好看都看完了，主要是看李思捷！            
(3星)	 感情戲完全不值得看 最後還把Yoyo給我編死了!            
(3星)	 这本片子也是个极品 不看不知道 坚持看下去坚持吓一跳 结局狗血了点            
(4星)	 居然觉得陈法拉很正！！！！从此以后对她大爱！！            
(2星)	 两星半。不过，马浚伟是越看越不错啊……            
(4星)	 不DJ陈法拉            
(2星)	 这戏码里的男人真拙啊！拙到极点了！            
(2星)	 开始出现乱编的东西了……            
(2星)	 超级无聊            
(2星)	 看不下去了。。。太假            
(1星)	 一个老得可以当爷爷的富二代，一个欠爆菊的口吃男，两个弱智的复仇女敛财女，一个打酱油的男主角，再加上漏洞百出的剧情，和一首总在唱“乳乳乳乳乳”的背景音乐，造就了港剧垃圾新高峰。            
(NA)	 好像也弃了orz            
(3星)	 三星半吧 为了马浚伟那森清的样子 剧情有点拖沓 而且神马烂尾。yoyo的恶角下次再给力点            
(4星)	 马仔这个其实吧，我挺纠结的，他为什么怀疑JOJO呢。哎...我承认，蒙嘉慧这个很恶毒，绝了，不错啦。我喜欢            
(4星)	 相比法拉的角色 更喜欢yoyo的演出            
(NA)	 看到第五集，弃。虽然我爱马浚伟，但实在是不喜欢陈法拉。            
(3星)	 看隔离七日看的很迷马浚伟啊            
(2星)	 哎呀我操，这是唯一一部tvb剧在我看过之后完全觉得好像没看一样的戏。            
(3星)	 结局太难看了            
(NA)	 马浚伟 兄弟倆真帥            
(3星)	 真没意思。            
(NA)	 、？？？？            
(4星)	 越来越有意思了！难道蒙嘉慧是大boss？            
(3星)	 看到第七集决定放弃了            
(4星)	 近年比较特别的一部剧，就是片头剧透太多了！！！！            
(3星)	 弃了弃了 越来越难看            
(3星)	 结局真让人失望            
(2星)	 剧情相当的白痴。            
(3星)	 很tvb的片子            
(2星)	 果断弃剧            
(2星)	 &lt;19 完结&gt;前15集非常特别相当的烂，后四集还好稍微有点儿悬念，但也挡不住整部剧的烂。嘛~反正去年追了很多烂剧，这部也不算什么...            
(NA)	 为了镁铝可以忍受狗血。。“我同你一齐叹世界，有我就有你。 ”  哇靠洪天明黄德斌是真爱啊。            
(1星)	 简直就是编剧课反面教材的范例，如何毁掉一个故事，编剧之不用心，逻辑之不成立，细节不到位，人物塑造的问题，情节的轻重缓急走向，矛盾高潮的设置等等都可以用来做反例。            
(2星)	 烂片啊烂片            
(2星)	 没有最狗血 只有更狗血...            
(3星)	 结局牵强到我想喷电脑            
(3星)	 我本来想说虽然只有三星，但这已经是我这一年以来看过最好的TVB了。但是！丫的最后几集太扯了。            
(1星)	 相当难看 相当弱智            
(3星)	 虽然剧情很烂，但是马浚伟实在太森情了，两眼水汪汪我就不忍心了。YOYO腹黑不错，李思捷还是这么好玩            
(NA)	 原來愛一個人真的會精神分裂的            
(NA)	 手贱点了剧透，明晚没得看了。            
(2星)	 不好看            
(2星)	 1开头很狗血，2vraisemblance方面非常欠缺，3钱或家产等字眼的出现率高到腻歪了，4第７集处虽然早猜到是晴但突然就那么露面还是太突兀了还居然是好朋友！5几个男主个性在前几集还算可爱，6女主身边总会有个聒噪又长舌的闺蜜            
(2星)	 auv...連劇透都看不下去            
(4星)	 大律师钟情钢管舞女郎，剧情真的很扯。但是最近很萌马浚伟啊，陈法拉也很养眼。            
(3星)	 无感            
(3星)	 马仔最近出现的有点频繁~~            
(3星)	 前面悬疑效果不错 可到后面编剧就犯混了 现在哪里去找这么专情有钱途的男人捏            
(1星)	 毫无诚意！            
(3星)	 中規中矩的TVB出品。唯一想不懂的是Willson爲什麽可以這麼鍾情于JoJo，個人覺得這種愛戀很玄。陳法拉演技有待提高，但是贊一個她的身段。蒙嘉慧勉強及格吧，沒什麼突破。馬浚偉的小肚腩出賣了年齡，演出來的東西有洛神裏面三公子的影子，情有獨鍾就是這種了。            
(3星)	 陈法拉真不讨喜，剧情太狗血了。            
(3星)	 各种阴谋各种无情            
(NA)	 20110108yoyo很少演反派，黄德斌笑声让人不舒服。Fala确实很漂亮，马仔这么多年还是这么年轻，其实结局还可以再美好一点。私心啦。            
(4星)	 陈法拉很惊艳。。有点在看情深深雨蒙蒙的感觉。。            
(NA)	 没治了…            
(2星)	 有病啊好不容易守到阿辉还不把他抓到差馆到底是在等什么啊……            
(3星)	 典型打发时间港剧            
(3星)	 为什么蒙嘉慧肯让女一号，因为她演坏人！陈法拉真美～～三星稍低了一点点……            
(3星)	 杯具的可情            
(3星)	 最近看的烂片够两位数了，这也是其中之一，再次再次再次是编剧问题，马浚伟演的这么好真实可惜。            
(NA)	 好狗血的剧情……            
(3星)	 周末随便做消遣。            
(3星)	 一不小心就基情了 = =     fala有些造型美呀            
(3星)	 现代版+仇恨版 还珠格格            
(2星)	 好讨厌jojo，好贱的剧情            
(3星)	 冤冤相报何时了。。            
(3星)	 剧本够有硬伤。马浚伟够痴情。陈法拉够有味。            
(3星)	 实在不怎么样，有失水准            
(2星)	 无论是故事情节还是人物性格的逻辑都很奇特，无法理解。要不是因为早年欣赏马仔，估计根本不会看下去吧……话说马仔在这部戏里的表现也是超级脸谱化。            
(2星)	 谢特 看了部烂片            
(2星)	 都忘了自己還看過這部了。。。大概是太難看的關係 就主演都還不錯 劇情爛死了 = =            
(2星)	 哎。。。四哥的烂片  啧啧            
(2星)	 还没等到思捷的正戏就看不下去了~~~            
(2星)	 居然看完了...是怎样一种力量支持着我啊....            
(2星)	 大烂片，拍出来特意捧陈法拉的。剧情编得牛头不对马嘴，人物性格个个不合情理，除了美人儿蒙嘉慧，全无可看之处。            
(NA)	 马浚伟很帅哎 后半段还蛮紧张的            
(2星)	 哈七八撘            
(3星)	 男主人公你个律师证是买的吗？？还是编剧你拿观众当白痴啊！！陈法拉真不错。。            
(3星)	 马浚伟很迷人啊~            
(3星)	 很莫名其妙的剧，演员都是我爱的，可惜全被编剧毁了~这剧的编剧不是精神分裂，那至少有一打吧？            
(2星)	 果断弃。            
(3星)	 马浚伟！！！            
(3星)	 原来呢个就系陈法拉.. 嗯 都唔错            
(4星)	 马仔太可爱了            
(4星)	 看不穿结局的编剧是好编剧~            
(2星)	 难看至极，弃            
(3星)	 看到后面几集，哇，突然超爱马仔。马仔你好靓仔，你那双唇，好想吻下去。            
(2星)	 其实剧情看到最后，觉得真的好烂，我居然都看完了。佩服一个~~荣少居然是幕后boss？！编剧果然够烂荣少在阿辉来探监的时候要他杀人，香港警察脑子进水啊都不对电话进行监控的啊？！            
(2星)	 的确结局我一直没有猜到，因为这太不合理了！！！            
(2星)	 蒙嘉慧是一会儿疯一会正常的吧。            
(3星)	 法拉各种风情, 世上还有像wilson的男人的.            
(NA)	 呃...            
(3星)	 蒙嘉慧老了            
(2星)	 洪天明很可爱~~            
(3星)	 这对情侣，真让人喜欢不起来            
(2星)	 真的很烂。。。剧情。。。不知道是不是先自己剧透了的原因。完全是冲着YOYO看的，最后还给编了那么一个下场            
(2星)	 除了中间有一点好看之外，其他都很烂，尤其结尾，你竟敢给我在澳门赌场里环抱原地转圈？！哪个时代的桥段啊！！！            
(4星)	 为了法拉看的~不过觉得结局各种无厘头。。。            
(NA)	 没想象的难看~~            
(3星)	 剧情对不起这剧名            
(NA)	 乱是真心乱，不过主角我喜欢没办法。            
(3星)	 为了yoyo，还是看吧……            
(4星)	 对酒窝女没有抵抗力            
(2星)	 烂片 果断弃之 马仔依旧帅！            
(3星)	 这个主题挺有新意的 但是觉得剧情有些地方有点薄弱            
(3星)	 看了一般，实在看不下去了...            
(2星)	 看到第九集，看不下去了。。。            
(3星)	 最近的港剧为啥总觉得不够给力呢            
(NA)	 陈法拉真是美啊，无敌美！！！            
(2星)	 看不下去            
(NA)	 陳法拉好正            
(3星)	 法拉终于演女一了~~            
(NA)	 想不通danny干嘛这么喜欢- -            
(NA)	 爱上马浚伟了。            
(3星)	 2010            
(2星)	 除了看马浚伟，没其他看点，很没剧情的剧集！            
(3星)	 真是跌宕起伏 但是还没看透到底是怎么回事  希望不要让人太失望 哎...不希望蒙嘉慧是坏人啊！            
(3星)	 看不下去            
(3星)	 冲着法拉而已            
(1星)	 烂透了！！我对编剧感到相当无语            
(NA)	 从头到尾都那么荒谬            
(NA)	 漏洞一大摞~哪悬疑了            
(1星)	 滚蛋吧            
(3星)	 法拉 法拉 真给力            
(3星)	 額。。每集都被人飛的馬俊偉太悲催了。。     特別的女人真的TM特別麻煩！            
(3星)	 tvb人才紧缺~~~            
(2星)	 其实我觉得片子很烂，女主角无品，但是李思捷有喜剧天赋。            
(3星)	 看到最后真想说编剧没大脑            
(2星)	 其实有点冲着YOYO看的 但是里面没一个角色我喜欢的啊 可能太无聊了 居然还看完了 太一般的片子了 不过最后那条短信我有小小的感动一下            
(1星)	 好狗血的剧情            
(3星)	 法拉后期的表现不错，浚伟的纠结感把握的很好，蒙嘉慧还是演警匪片更给力。            
(NA)	 哎......................yoyo..为了你也得弃..            
(3星)	 不温不火，不紧不慢。            
(3星)	 猜不到的結局。囧            
(3星)	 真的好无厘头额 情节无厘头 感情更无厘头 ╮(╯▽╰)╭            
(2星)	 结局真是基情四射啊……整部剧情莫名其妙不知所谓 为了fala竟然也看完了……            
