http://movie.douban.com/subject/3861997/	绝代商骄
(5星)	 阿佘就应该演这种泼辣的角色，千万不要再去扮楚楚可怜扮苦情了，不适合你啊。这部剧，把对佘诗曼的无感完全变成好感。黄子华也好有气场，从头笑到尾            
(5星)	 比起烈火雄心好看多了！子华真强悍~！！！            
(5星)	 好耐冇追tvb劇，但係《絕代商驕》一出promo我就已經mark定日曆。本來有黃子華就預咗搞笑，點知今次唔單止搞笑，仲真係有嘢學！所以家陣晚晚8點半就坐定定等住播！你話如果tvb劇集部部都咁好睇，仲點會咁多人有網癮先。（之後嘅烈火3...promo到好似好勁咁，點知爛尾，勁悶！）            
(5星)	 黄子华果然神~            
(4星)	 黄子华饰演这类现代剧还是比较强的，反应好快            
(5星)	 我就喜欢三水妹。            
(5星)	 不错.搞笑            
(4星)	 要不是有马脸佘  我想给五分  冲着乐天哥~~            
(NA)	 实在是太喜欢那件风衣啦～～～～～～～～～            
(4星)	 黄子华，谁与争锋！！！！~三水妹 和 麦提爽永远在一起！~经济小理论很可爱            
(3星)	 就算我爱阿佘也得说同黄子华火花欠奉，剧本身也偏散乱。好嘛我就是赞黄子华来的            
(4星)	 紧紧是因为子华。。            
(4星)	 黄子华仍然迷人。大结局和佘诗曼的对手戏（含试拍拖、试求婚、试分手）好得！            
(4星)	 麦提爽都有感情戏呢            
(5星)	 點估到，最後竟然冧            
(4星)	 正点            
(5星)	 棒~~            
(4星)	 真的没有那么。。。好看。最后3集还比较精彩，前面很一般。不过黄子华真的很赞，面无表情却可以传递出超多感情，还是很有层次感的感情。            
(5星)	 好睇            
(4星)	 俺老喜欢黄子华了，laughing哥出来的也太晚了点！~            
(3星)	  我爱黄子华，佘诗曼也不错，但为什么评价这么高，我感觉编剧还是很弱啊……            
(5星)	 原来完全不知道黄子华，看完觉得人真不可貌相，他演的很有感觉，阿佘演的也很可爱。台词也很搞笑，剧情也挺不错。应该是想重塑《OO》的辉煌。唯一的缺憾就是黄（1960的）和佘的年龄差太大了，觉得他们像小女孩对叔叔撒娇的感觉，感情戏两人之间有点怪怪的，不是最完美。            
(3星)	 你叫绝代圣母好了。            
