http://movie.douban.com/subject/3864306/	谈情说案
(NA)	 撇开剧情，林峰和杨怡是现在的TVB里少的可怜的能接受的小生花旦。            
(3星)	 总觉得杨怡怎么看都是大浓妆            
(2星)	 演技啊场景啊什么的都假透啦！就马国明看着还规规矩矩的，林峰那种镇静是装出来的，杨怡风风火火的太二了，杨怡的家人表演痕迹太重，本来陈芷菁出场还挺惊艳的，可是之后看她那咬字吐句的假惺惺的气势，还是失望了。也许后面越来越好看吧，但我不准备看下去了，恕我没功夫儿看一帮人做戏。            
(5星)	 更得好慢啊！突然发现马国明好帅哦！            
(4星)	 看的是谈情 不是说案！            
(3星)	 马国明很帅...            
(NA)	 不用想就知道日剧会更经典！            
(NA)	 抄人家伽利略，看得我恶心！            
(2星)	 不和日剧比的情况下...觉得杨怡真的很做作...看着头疼...            
(5星)	 撇开抄袭的说，是这几年来我还看得下去的TVB剧。马国明气质好起来，有男主的气场了，廖碧儿看顺眼，林峰着装稍显单调了，希仔的小演员不错，杨怡穿现代装窃以为比古装好看。            
(3星)	 杨怡不耐看啊，教授一定就是穿成林峰那样的吗，未免文质彬彬得过分了吧。这部剧光看马国明了- -            
(5星)	 光看林峰就行了撒！哎，好男人一个啊            
(4星)	 tvb还未老，老将虽慢慢退出舞台，但从不缺新人，可新人需要多多锻炼，这部剧中，可以说每个主角都不错，尤其是杨怡和马国明感觉进步很大。虽说是拾人牙慧，不过tvb还是排出了香港特色            
(NA)	 我确实看不下去了            
(3星)	 一直很看不惯林峰，从这部开始改观，比以前的可以耍帅要自然得多，杨怡演戏真是用力啊……太用力了点……而且妆也太浓了点吧~~~ 一直以为廖碧儿很丑，这里还满惊艳的，妆容衣服都不错~~恩~~只是看爱情戏……而已            
(5星)	 大爱的TVB男女主角+男配角，所以我不用多说什么，大爱！多说无益            
(3星)	 马明呀马明。            
(5星)	 “如果真的有轮回，如果我们可以生生世世地相爱，我也只可以再爱她七十亿年。有没有谁可以告诉我，在我有生之年，有没有可能做一部时光机，让我可以回到以前，重新开始，再爱她一次。” —— Kingsley。            
(4星)	 嗯。片头和片尾的制作就真的是与时俱进了，挺精致的。林峰和杨怡就合作了很多次，但是上一次演情侣已经是七年前的事了。七年以后，杨怡老了、残了。林峰人变了。物是人非。其实相比起我给大唐打四星，这个四星我给的很勉强。看在收视高，支持一下风衣的回归了，老了也好，有总比没有好。            
(5星)	 爲什麽那麽俗套！爲什麽那麽俗套也可以讓我哭到要窒息！！楊怡和林峯從始至終都只是最後一刻的一個擁抱而已，可是這擁抱卻抵過我看過的任何情感對手戯！我看著楊怡撕心裂肺地哭，看著林峯面對被自己傷到傷痕累累的她時的悔恨心痛，點解我會哭得死去活來！！犀利妹就有，Pro. King去哪裏遇到？            
(4星)	 看完就喜欢林峯了。最后一集居然哭了= =            
(5星)	 喜欢马国明。所以直接4星起步。不管有没有人家说的神探伽利略的影子，只觉得每个案件的剧情很符合我心意。            
(3星)	 神探伽利略港片版 因为是推理剧集的缘故 陪家人一道看了数集 感觉上说案确实不是重点 谈情是重点 走的模式也是物理学家配合警方 但实际仍是动漫和金田一形式严重 比如机械 密室 不在场证明等等 很多地方都有故弄玄虚继而草草揭晓之嫌 线索和推论的铺陈柯南化严重 不过连续剧本身理应如此            
(5星)	 大爱Kingsley，已经哭得不行了            
(4星)	 感人的。。。最后一集穷哭了。。555            
(4星)	 这里面林峰好帅……            
(4星)	 很真實的感情描寫啊 真喜歡kings!            
(5星)	 我最爱的林峰啊啊啊啊。。。快点续集···等不及了······            
(NA)	 我刚进台的那时候，正在拍的剧            
(3星)	 明显在模仿《神探伽利略》。但是原谅我真的看不下去了，整个差日剧一大截。看在里面有个马国明，外加看在林峰面子上勉强给个3星。            
(2星)	 就人长得好看一点，傻一点，演技差一点，没啥。喜欢物理教授查案请百度“神探伽利略”。            
(5星)	 超级好看~             
(3星)	 “我知道我现在就被这种苯胺基丙酸深深地影响着，我希望你也像我一样”“这是我听过最甜蜜的科学理论”犀利妹和Kingsley最后复合的排场真够大的，林峰一惯地又是个讨好的角色，杀伤力果然很大，顶杨怡把失恋女的感觉演的很真。虽然是好马不吃回头草，但极品草还是吃干抹净吧。            
(5星)	 好看！希望有续集！            
(3星)	 ……我中意LO SIR多啲- -            
(3星)	 纯为杨怡而追            
(NA)	 港版的神探伽利略咩？            
(4星)	 最近狂看林峰。。。。。。。            
(5星)	 大团圆真好真好真真好~~~            
(4星)	 虽然结局很老土，不过还是很感动            
(4星)	 换了我不是大排场也绝不会原谅，哼……            
