http://movie.douban.com/subject/3882715/	武林外传
(5星)	 绝对是国产情景喜剧无法超越的巅峰之作！其中每个角色都是无法复制的！            
(4星)	 让英达式的固定机位和虚伪的配音笑声见鬼去吧～            
(5星)	 逢播必看            
(4星)	 中国情景喜剧的惊喜之作。            
(5星)	 里面的人给我听着  速交出臭豆腐蛋！            
(5星)	 国产KUSO第一剧...            
(5星)	 绝对的经典            
(5星)	 肥皂剧就要看温馨而且无大脑的这种            
(5星)	 啥也不用说，都乐呵起来！            
(1星)	 傻逼才看这种便秘杂耍剧            
(5星)	 很不错，宁财神太强大了！！            
(2星)	 口碑好，但我不太喜欢            
(3星)	 有段时间我说话有那个腔调。            
(4星)	 落伍了，最近才看~~            
(5星)	 看把你给乐的~~~秀才秀才 么么            
(5星)	 心中的里程碑。            
(1星)	 傻逼            
(5星)	 确实好看，不怎么看电视的都开始看了，哈哈            
(4星)	 惊喜连连，娱乐十足。            
(3星)	 闹腾的很            
(5星)	 我可不可以说它是我最喜欢的连续剧情景剧。            
(5星)	 看了无数遍，至今还经常看，解压用            
(3星)	 比较搞 看了不用动脑            
(NA)	 寝室集体片~~恩滴神啊~~啊哈哈哈太喜欢了~            
(5星)	 經典輕喜劇            
(5星)	 青海卫视 五集连播  回到美好的从前            
(1星)	 对此不感冒            
(5星)	 额滴神啊~            
(5星)	 难得最近的精品            
(5星)	 可爱的一帮人            
(5星)	 经典。Sorry我又用了这个词。            
(5星)	 打五分会不会被小清新鄙视 = =+            
(NA)	 纪念在广州的那些日子            
(4星)	 笑点很低~            
(5星)	 真的很搞笑啊~~            
(NA)	 我有万语千言，只能赠君酒一壶。还似旧相识。            
(1星)	 就扬州话那段有笑点            
(4星)	 有爱。很有爱。            
(2星)	 无聊，无聊到死！！！！！！！！！！            
(4星)	 宁财神的确有才。凭这片一鸣惊人，剧本要价暴涨过10W/集            
(5星)	 太棒了！            
(1星)	 我觉得难以忍受            
(5星)	 哈哈哈哈哈            
(5星)	 应该叫  情景剧            
(5星)	 太 ~~~贱~~~了~~~            
(5星)	 哇咔咔咔咔！！！            
(5星)	 快来俺们家买糖葫芦            
(4星)	 很经典            
(4星)	 经典di哇……            
(5星)	 搞,时恶时不恶……            
(4星)	 刚开始觉得看这剧傻比，后来觉得不看傻比。            
(NA)	 记忆载体            
(4星)	 最愛白展堂            
(5星)	 哈哈哈哈哈看过N遍            
(3星)	 都放烂了，烂了。            
(4星)	 好搞笑～            
(4星)	 有段时间很痴迷，茶余饭后看看还是很不错的，很搞笑，台词很有爱。            
(NA)	 我没什么笑点。与你无关。            
(4星)	 国内情景喜剧里程碑，不知不觉没烦恼。            
(4星)	 倒是挺逗的 只是一集一个道理 比较。。那个。。。            
(NA)	 无聊            
(4星)	 到第四五遍时终于喜欢上            
(4星)	 一个人看就不好笑了            
(5星)	 看一万遍都不会腻。XD。            
(5星)	 还有什么能够超越它？            
(5星)	 康撒哈米答，MUSIC            
(5星)	 绝对的经典，没有别的可以超过它了。没有什么电视剧可以打败春晚，只有50外传            
(5星)	 说多无益 爱看才是王道 我最爱用的 “老虎不发威 你当我hello kitty啊”            
(4星)	 ★★★★ 这部电视剧让我彻底改变了对喜剧的偏见！            
(5星)	 国产情景喜剧的里程碑            
(5星)	 太精彩.            
(4星)	 打发时间看看。挺好。            
(4星)	 一些很有意思的短句：）            
(4星)	 以为很俗的，原来不然            
(3星)	 靠，电视台基本在播这个，能不看过么。            
(4星)	 满有趣的            
(4星)	 你四不四卧滴慌呀，呀呼一呼嘿~此剧最出色的俩个人是佟掌柜与刑捕头            
(NA)	 高2哈。            
(5星)	 天天看啊 天天看            
(NA)	 怀念炊事班的故事            
(4星)	 偶尔看看。            
(4星)	 后现代            
(5星)	 电视剧-收藏            
(5星)	 06年最喜欢的电视剧            
(2星)	 没太大兴趣            
(NA)	 没有看完整 算是看过么？            
(NA)	 只有这样的笑，最轻松。            
(2星)	 out of date            
(5星)	 看过不下6遍            
(4星)	 赞            
(NA)	 5月2日，看到52集。            
(3星)	 主要是喻恩泰和我同姓。            
(5星)	 电影完全跟不上电视剧……他们都不是当年的他们了            
(5星)	 必须五星。            
(NA)	 生活中的调味剂。喜欢，乐死人不偿命哦            
(2星)	 好笑个毛 姚晨福建姑娘普通话说得直溜好听             
(5星)	 满分            
(3星)	 我操。。。分这么高。。            
(5星)	 我想念邢捕头            
(5星)	 爱这部剧 用尽生命地爱            
(NA)	 两斤的瓜子你磕出八斤的皮儿            
(5星)	 编剧有才。            
(5星)	 让我住进七侠镇吧折寿十年我也愿意            
(5星)	 已经看过三遍了，对于一部八十集的电视剧来说，我从来没有这样追棒的经历。由于有太我的话要说，最后就一句话也没有说了。这里简单说一句：这是一部横空出世的杰作，宁财神有非常现代的观念、非常后现代的表现手法、对人性有深刻的理解，同时对制度有着深入的批判。所以这虽然不是一部太政治化的作            
(2星)	 没爱啊，真是没爱！闹腾！            
(2星)	 从没一集笑过            
(5星)	 屌爆了！！！！！            
(4星)	 因为看腻歪了 所以减颗星            
(5星)	 好看死！！            
(4星)	 特别2 ！！！            
(3星)	 实在搞不懂这些无厘头有什么好笑的。            
(5星)	 我不敢相信我竟然在豆瓣上收藏这种剧凑数。。虽然确实不错            
(3星)	 烂俗            
(5星)	  我的最爱！            
(NA)	 额滴神啊 太好笑了            
(4星)	 刚刚播放那会笑得死去活来的。。。            
(NA)	 好吧，第一次看这个是在旅馆里熬时间，不是我打开的，真的不是...            
(NA)	 江湖上嘴皮子功夫怎能了得            
(5星)	 看了5遍以上            
(5星)	 我喜欢小六            
(5星)	 不打5星不行谢谢你们给我欢乐            
(5星)	 这个还需要多说吗？不看是你的损失！当然，70年以前出生的大叔大妈爷爷奶奶不在此讨论的范围之内~            
(5星)	 很经典，可惜偶在5 0多集徘徊不前            
(4星)	 补遗            
(5星)	 我永远的爱=V=  就是可惜没有续集了            
(5星)	 迄今最好最恶搞最有解构力的中国电视剧。            
(5星)	 有那么一阵子 看见小六就笑翻~            
(5星)	 那必须啊            
(5星)	 力荐            
(5星)	 很喜欢看            
(4星)	 輕鬆、搞笑，臺詞經典。            
(5星)	 就是需要这么个 随时打开就能看进去的电视消遣片~            
(5星)	 哈哈 同样是在毕业前……            
(5星)	 中国连续剧的异类啊，绝了            
(5星)	 啦啦啦。赞一个。笑到抽            
(3星)	 北风那个吹以前，我愿看你那时那腔调。从今以后，我依然爱你那心，那坚持。            
(5星)	 四星半。很有开创精神……            
(5星)	 百年一遇的经典！！            
(5星)	 老虎不发威，你当我是Hello Kitty啊~~~            
(4星)	 额啊            
(5星)	 排山倒海            
(5星)	 最爱 大爱 超级爱            
(5星)	 经典。            
(5星)	 就算你说我脑残，我也觉得这部电视好看            
(5星)	 我是莫小贝            
(NA)	 我百看不厌，怎么办，怎么办...            
(5星)	 相当喜欢            
(5星)	 怎么经典的情景喜剧谁没看过呢？            
(5星)	 非常好看~            
(NA)	 可以一遍遍的看            
(5星)	 有些为数不多的经典。。当然。最逗的燕小六。。            
(5星)	 很牛的喜剧，力推力推！！            
(5星)	 重温经典，嘎嘎嘎            
(5星)	 导致多项后遗症：“关门，放小郭！”“枉我对你的一片深情，片深情，深情，情，情，情……”“额错了，额真滴错了，额从一开始就不应该嫁过来，额不嫁过来额滴夫君也不会死，额滴夫君不死，额也不会沦落到一么个伤心的地方……”“郎啊郎，你是不是饿得慌……”            
(4星)	 站在天堂看地狱 人间好比情景剧            
(5星)	 绝对经典~！！1            
(5星)	 我曾经无数次的追看，买了碟片收藏，很多时候直接播放，不看也不笑，是生活的背景，已经熟悉到习惯，却不能缺少。很喜欢小郭的个性，喜欢大嘴的自信，喜欢老白耍帅，喜欢秀才的博学，小贝的矫情，老邢的自做聪明，当然也有比较讨厌的无双，极力掩饰就是最大的暴露。            
(4星)	 百看不厌            
(4星)	 无聊时候看看挺打发时间            
(4星)	 葵花点穴手！ 排山倒海！！ 很久没这么乐啦～            
(5星)	 中国就靠你了。。            
(5星)	 我爱燕小六            
(3星)	 娱乐性比较强，，            
(3星)	 恶搞弄不好就成了抄袭和做作.            
(5星)	 米话说            
(5星)	 里面的人听着，赶快交出臭豆腐蛋。            
(5星)	 哈哈哈哈哈哈哈哈哈哈哈哈。我已经想笑了。            
(NA)	 百看不厌            
(5星)	 笑死我咧！！            
(4星)	 几乎十全十美的情景喜剧            
(5星)	 个人认为是近10年来最好的情景喜剧，和当年的《编辑部的故事》有一拼            
(4星)	 我看好你呦            
(5星)	 我的电视剧最爱~~~~~~~~~~~~~~~~~            
(5星)	 妞c到难以形容            
(4星)	 经典            
(5星)	 编剧 你实在简直相当滴有才啊。            
(NA)	 开始鄙视 看了后鄙视自己            
(5星)	 太精彩了            
(NA)	 很可爱            
(4星)	 光天化日，朗朗乾坤。还有一句，额滴神呀～            
(5星)	 10——10分。记得05年春节的时候我跟胖子都跟疯了似的，天天到点就回家，就为了看它。但让胖子给恩泰打电话说我是他粉丝的时候，被鄙视了。            
(4星)	 欢乐XDDDD            
(5星)	 哈哈            
(4星)	 突破            
(5星)	 超爱            
(5星)	 太经典！！            
(5星)	 看看,笑笑,热热闹闹.世界如此美妙~~~            
(5星)	 额姓佟，佟湘玉滴玉。            
(5星)	 宁财神好牛啊            
(5星)	 不知是一部情景喜剧...真的是有些内涵的            
(5星)	 经典经典太经典了            
(5星)	 莫小贝儿。。挖卡卡。。            
(5星)	 永不生厭。            
(3星)	 从没看全            
(5星)	 超喜欢的一部情景剧            
(NA)	 太他妈可爱了            
(5星)	 多少年了，终于出现能看的sitcom了。            
(5星)	 如果这就是武林，我还真想闯荡江湖。            
(4星)	 基本上看到大后半部分就笑不出来了            
(3星)	 想到寝室生活了~~~宝毛``            
(5星)	 站在天堂看地狱，人生就像情景剧；站在地狱看天堂，为谁辛苦为谁忙。            
(5星)	 继我爱我家之后，情景剧的又一伟大杰作！            
(5星)	 我爱我家之后，终于有了替代品            
(5星)	 好喜欢啊，每次看都很开心。随便看哪一集。            
(NA)	 怎么也得给摄像捧个场哈。            
(NA)	 8遍！            
(5星)	 看见的都是自己的时代。            
(5星)	 非常搞笑            
(5星)	 超级搞笑,不过Just搞笑            
(3星)	 看的没头没尾的，有些好玩有些无聊            
(5星)	 江湖？江湖！江湖……            
(5星)	 大陆的无厘头剧,有更多的内蕴.            
(5星)	 我心目中永远的经典……            
(5星)	 陪伴走过了高三岁月            
(3星)	 看多了也就滥烂了            
(4星)	 那一年，我摒棄所有的閱讀和聆聽。只有這部劇陪伴我。居然百看不厭。喜歡劇中的各色各人，搞笑與關懷同在。            
(5星)	 jijideshenghuotaidu            
(5星)	 秀才我爱你~            
(3星)	 只看过两集 怎么那么火呢哪个台都演 还有好多人有碟            
(5星)	 牛逼死了            
(5星)	 能杂糅也是美啊,真能搞            
(5星)	 心情不好的时候看这个心情就会好了＾＾             
(5星)	 难得一见的古装轻喜剧            
(5星)	 共80集。十年来我惟一看完的电视剧。恶搞文化之集大成者。缺乏大陆年轻一代的流行文化背景，是看不懂的。在艺术性上，局限和缺陷不少，但不失为一部优秀的情景喜剧。欲看从速，再过几年恐怕没人能看懂全部笑料了。            
(NA)	 人家强烈推荐的,我也瞅瞅.            
(5星)	 喜欢。不错。不单单是喜剧。妈的，我又想多了。            
(5星)	 从喜欢&#34;都市男女&#34;开始,这部比那个很搞笑,可爱...            
(NA)	 编、导、演的互相成全，最喜欢闫妮!            
(4星)	 80集我都看完了……我都鄙视自己了            
(5星)	 高三都挡不住            
(5星)	 伴我度过无数个苦逼熬图的夜晚            
(5星)	 中国最强轻松类喜剧，没有之一            
(5星)	 又是个漏记的。当初每晚追着看哟 = = 享受了同等待遇的国产电视剧大概只有《大明宫词》哟            
(3星)	 其实我不爱看╮(￣▽￣&#34;)╭             
(2星)	 我是真没有找着笑点！！！！！！！            
(4星)	 这个好看。。哈哈            
(4星)	 好看好看好看            
(5星)	 我最喜的情景喜剧！！！            
(NA)	 没人发现这是一部穿越剧么？            
(4星)	 真的是经典            
(5星)	 电视剧是经典中的经典，难就难在创造经典。。            
(5星)	 果然还是连续剧好看啊~实在            
(5星)	 国产情景剧的顶峰 第一次觉得CCTV有时候还是有点儿眼光的            
(5星)	 经典哇！电影要去看的！            
(NA)	 温馨            
(2星)	 情节粉身碎骨很不连贯，从头看到尾一个笑点都没有，炒冷饭有意思么……一切杰作都只是天才的灵光乍现，为了编剧而编剧，只会弄得大家都好难看好尴尬。一水儿的五星，我真的不是想看不起你们……            
(4星)	 看着看着就笑了，笑着笑着就看完了。            
(5星)	 才发现没有加这个豆瓣，经典呀！            
(5星)	 嘿！兄弟！我们好久不见你在哪里！            
(5星)	 嘿 朋友 如果真的是你请打招呼            
(5星)	 看了很多次都觉得好            
(5星)	 你是我的最爱!最爱!最爱!!!            
(5星)	 不多说，期待电影版~            
(5星)	 从大一就被推荐，三年半过去了，好吧，我的人生终于完整了！            
(5星)	 不可替代            
(5星)	 看那么多遍了还这么逗乐儿            
(5星)	 大学时光            
(5星)	 非常经典，非常完美～            
(NA)	 抱着猫坐在阳光充沛的阳台上看，乐的跟个猫似的！！期待电影版！！            
(5星)	 经典啊！经典！            
(5星)	 无可厚非，惊喜之作            
(4星)	 挺喜欢的            
(5星)	 非常的喜欢！            
(5星)	 假期无聊的时候都指着这个过的。            
(5星)	 关门~放小郭~~~            
(5星)	 心情不好的时候必看一集            
(3星)	 秀才太乖了。            
(4星)	 超好笑！            
(5星)	 我是有多爱你啊？！？！？！？！            
(NA)	 看了一遍又一遍。爱！            
(5星)	 难以否认，我真喜欢这个团队            
(2星)	 电视台疯狂播，我咋就不待见呢            
(4星)	 要不是电视里一遍一遍放            
(4星)	 时至今日我还是最喜欢“十娘给你做面汤”的段落~            
(5星)	 真是无论从哪里都可以开始看 而且看多少遍都不会觉得厌烦 确实是一个经典            
(5星)	 我爱老白。我爱秀才。            
(4星)	 挺搞笑的            
(5星)	 我发现其实我喜欢的是老白那口……            
(5星)	 近年来最爱的大陆剧            
(5星)	 雷死我了。。。            
(5星)	 宁财神很厉害            
(5星)	 经典啊经典            
(5星)	 怎么着也得算看过            
(4星)	 当时可爱看了             
(5星)	 什么时候才能再拍一部这么好看的剧呢            
(5星)	 呵呵            
(5星)	 我爱秀才            
(5星)	 前前后后不下三遍...            
(NA)	 高中内会儿特喜欢写作业前看这电视剧 -_-            
(NA)	 其实 恐怕就剩我不喜欢了            
(4星)	 室内情景喜剧。            
(5星)	 这部剧的恶搞很有趣味，但一脱离具体的时代背景，又显得那么不知所云            
(5星)	 经典。            
(3星)	 只能说明当时我有多么的闲            
(3星)	 挺傻的一部情景剧            
(4星)	 那年很棒的电视剧咩~~~时至今日对于中国的情景剧来说，也算是神作~            
(5星)	 个个儿都老霸道了。            
(5星)	 完全被迷住了呀，当时= =。            
(5星)	 我心中的经典~哈哈            
(5星)	 需要理由吗            
(4星)	 佟掌柜~            
(4星)	 没看完整～            
(5星)	 绝对的经典！没想到国产电视剧能拍成这样，宁财神的功力的确了得。演员演得活灵活现，颠覆性的作品。            
(4星)	 哈哈。            
(4星)	 看的时候自动带入了老友记……很欢乐            
(4星)	 哈哈 我多活了好几十年。            
(5星)	 额滴神呀，大爱。            
(5星)	 高三时每天的精神支柱……七舅姥爷和娄知县从没出现过……            
(5星)	 我跟小花的回忆...            
(5星)	 太有才了。            
(5星)	 可喜欢喻恩泰了            
(5星)	 我逐渐绝望了，到底看多少遍我才会罢休            
(5星)	 心情不好的时候看。真的心情会变好！确实挺喜欢的            
(4星)	 看似无厘头，但是也蕴藏大道理。            
(3星)	 宁财神是全中国最喜欢《FRIENDS》的人            
(5星)	 神作~~            
(5星)	 宁财神是个天才~            
(4星)	 哈哈哈~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~            
(5星)	 看过30遍以上            
(5星)	 闲来无事用来杀时间最好~人物个性十足，笑点也多            
(5星)	 第一次在CCTV8里看到，觉得好没劲啊，讲些没谱的事情，人物也不美。南昌晚报里说大热，才注意了一下，然后一发不可收拾。高中同学竟然迷到去网吧看一天。。。09年暑假回家火车上，卧铺车厢播此剧，满车厢都是银铃般和大吼般的笑声。            
(4星)	 额  还行吧            
(5星)	 受不了啦！            
(5星)	 laobai~~~            
(3星)	 打发时间            
(5星)	 很轻松恶搞的片子            
(5星)	 经典！            
(5星)	 是很幽默~            
(5星)	 宁财神你有才            
(4星)	 很有爱            
(3星)	 嗯…俗的可爱~            
(5星)	 不说啦，经典啊！只要电视上放，我就会看。            
(3星)	 断断续续            
(NA)	 笑            
(3星)	 笑喷            
(5星)	 很天才            
(5星)	 很希望继续拍下去！！！            
(5星)	 这个打心眼儿喜欢            
(NA)	 不用争了，这部确实是人人都搞笑。            
(4星)	 这个我倒是真有点儿百看不厌的感觉~~个人认为确实不错~            
(5星)	 给我太多的欢乐。生活需要笑声            
(5星)	 经典一个了的            
(5星)	 永远怀念那一边打牌一片看外传的毕业时光            
(5星)	 一眨眼，這部戲就過去好幾年了。不過好多內容仍然歷歷在目。            
(5星)	 super love.            
(5星)	 佟掌柜。。空前绝后。            
(4星)	 娱乐，娱乐一下。。            
(4星)	 好喜欢            
(NA)	 嗯，不说什么了。            
(5星)	 好几年前了吧，还在宿舍，一集一集的拖下来看，后来电视就不停的播，播了又播。后来，某人的bbs版面就叫做同福客栈，风暴也加了这个门派，一大堆马甲成天飞~啦啦啦。小贝同学很像楚燕同学。嘿嘿嘿，像老友记一样吧，随时拽出一集都能看的很开心。要不要和某人商量，什么时候看宁财神的鹿鼎记？尽管都木看过鹿鼎记的书捏。            
