http://movie.douban.com/subject/3882759/	绯闻女孩  第三季 Gossip Girl Season 3
(3星)	 鸡肋.所有人和所有人轮流搞一遍的拖拉轮回剧。            
(3星)	 之所以B和C那么吸引人，估计他们干的是很多人想做的，对待爱，对待性，以及对待朋友            
(NA)	 I‘m not chuck bass without U 。。。            
(5星)	 喜欢他们的英文发音。胜过剧情            
(3星)	 越看越乱，但还是被chuck吸引的一塌糊涂，讨厌dan。            
(4星)	 Chuck和小B看起来越来越甜蜜..“I‘m not chuck bass without U”            
(NA)	 不看了，就是无限折腾的剧，一点含义都没有。            
(3星)	 一季不如一季。。            
(3星)	 被宠爱的都有恃无恐            
(3星)	 越来越扯淡了            
(2星)	 纯粹看衣服            
(1星)	 弃 真无聊到家了……            
(3星)	 已經沒有新鮮感了            
(2星)	 你知道我有多无聊了吧            
(3星)	 实在看不下去了 ，放弃            
(4星)	 美剧 7.5            
(3星)	 再次决定，整部完了再追            
(3星)	 Nate 你这个人尽可夫的俏娇娃，赶紧承认你真爱是Chuck Bass吧！            
(NA)	 什么V也可以读？georgina也可以读？            
(3星)	 狗血的非常传奇，小J原来才是狠角色。反反覆覆的日啊，日来日去都是那些人，太有趣了！            
(2星)	 基本不会再看了，就算有Michelle Trachtenberg也不看了，除非反响特好，估计可能性为0            
(3星)	 继续。。XOXO。昨天看完了。。没感觉了            
(NA)	 22            
(4星)	 怎么办呢。你剧情再狗血我还是会追你。因为我爱看B的眼神流转就能冒出的小心思。            
(4星)	 S就是一个二缺女!!!除了美与善良找不出一个优点。大多数情况下只懂逃避。相对比较喜欢B&amp;Lily B聪明 知道自己要什么 男人身后的坚强后盾 专一 用心 理智。L虽然犯尽了男女之间的小错误 但实在叫人恨不起来 她优雅 睿智 有气质 善于用微笑解决一切矛盾 对人良好 重要的是 气场            
(4星)	 狗血的剧，我居然都看完第三季了。这季比第二季还是好多了，不过结局……诶，又要让chuck给我们留悬念么。            
(5星)	 chuck chuck chuck            
(2星)	 怎么会有一部美剧让我讨厌里面每一个主角？Gossip Girl就做到了。            
(4星)	 21            
(4星)	 QUEEN B，CHUCK BASS。            
(4星)	 看不下去了            
(4星)	 人人都是为了Chuck么。大概吧。            
(3星)	 颠来倒去就这么几个家伙 够了够了            
(3星)	 今天抽空看了几集第三季，不如前2季好是一定的。。以及，我的喜好果然很变态。。不过其实最想说的是。。。我看着看着就无比的想念VM了。。返回去重看18集（揍            
(NA)	 人物关系还能更乱一点吗？显然单纯靠人物关系的变化推动剧情是不行的            
(3星)	 对我而言,只有Little J一个看点了            
(3星)	 强弩之末            
(4星)	 nate回归             
(NA)	 真没劲             
(5星)	 姐决定不看了            
(4星)	 第三還好一些。。。            
(3星)	 2009            
(4星)	 每一季的最后所有的恋人都有矛盾啊，而且很多未完成的悬念。不过还是很喜欢编剧的匪夷所思。Dorota终于显现出她传道士的一面了，Chuck越来越喜欢，Blair越来越喜欢Humphrey一家子都不喜欢，Jenny的离开或许是好事。而至于Georgina不知道为什么，看到她竟然好激动            
(4星)	 期待G的回归 Little J总算走了            
(4星)	 Chuck Bass just died.            
(3星)	 我没有因为编剧崩溃而是因为居然把这一季追完了的自己崩溃……            
(3星)	 期待little J become queen J。感觉B，C在不断的成长，但S却一直水性杨花幼稚难挡。p.s. Ireally like Dorota!            
(3星)	 S越来越漂亮了，LJ同S。N越来越帅！D越来越贱！C和B不予置评。终于完了，看在最后一集的份儿上，给三个星。            
(4星)	 bc很喜欢 剧情很gx..            
(3星)	 哎。PIA淡的。            
(1星)	 狗血到我预备自虐的情绪都意兴阑珊了            
(2星)	 早弃之....            
(NA)	 越来越莫名的剧情，姑且就为了B继续追着吧。            
(2星)	 这个剧情太脑残了~~~乱死人了            
(5星)	 毁了BC，毁了N，毁了小J……居然就这样结束了……            
(4星)	 虽然这一季又俗有狗血，但是还是经常性感动到我……希望下一季会好些            
(2星)	 。。剧情完全看不懂啊～为什么睡来睡去好几轮大家还都是好朋友啊～是不是我情商低啊～实在费解啊～跟看广告似的啊～全IVY啊～            
(NA)	 J怎么不坐动车走啊死了算了 这闺女也太那啥了 还剧里所有人都给她开挂 她的存在简直是此剧大BUG....对不起我用生命看GG了 = =            
(5星)	 大爱CHUCK BASS  迷人销魂            
(NA)	 chuck is the only point            
(3星)	 习惯而已            
(3星)	 明显越来越扯了，奈何我喜欢看呢            
(3星)	 各种感情的摆列组合，各种冲突小算计。没意思了，时而有脑时而没脑            
(NA)	 偶也            
(4星)	 这季帅哥比较多，衣服也比较好看，啊哈哈哈哈！            
(3星)	 弃            
(2星)	 仍然喜欢小J，她在这季中表现出得“恶毒”不如S的反复无常来得更讨厌；比较遗憾D和O短暂的恋情            
(4星)	 发现被扔了的剧又重新捡回来了。。。。。。。。我真是对男女关系剧百看不厌            
(NA)	 我不得不说一句，Serena你这个贱逼，最恶心你            
(3星)	 这帮人除了Dan和Jenny属于亲兄妹没有发生乱伦外，基本所有主角都把其他异性主配角都挨个排列组合睡了个遍            
(4星)	 B。            
(5星)	 为了那么星崩儿几集的SN             
(NA)	 everyone is asshole, especially little j.            
(4星)	 serena越来越傻逼了            
(2星)	 sucks            
(3星)	 衣服依旧美，剧情完全狗血。            
(3星)	 cn，编剧是纯正的幸福怀疑论            
(4星)	 花3天看完，总体感觉就是刺激了我的购物欲             
(NA)	 你们就睡来睡去吧,但是还是有很大兴趣继续看你们乱睡下去= =            
(3星)	 B&amp;C，不管你们在不在一起，都祝你们幸福~其他人都可以忽略。。。PS：下一季不跟了~88，GG。            
(2星)	 除了ERIC，其他的人都互相睡过了吧，而且情商越来越低，身体到是越来越开放了            
(5星)	 sticky but tired            
(3星)	 My Chuck, god..            
(3星)	 chuck 一死，此剧玩完，导演没那么无聊吧。。。            
(2星)	 屎            
(4星)	 至少在我的心中，还有个尚未崩溃的地方            
(3星)	 整个一季都变成期待看BC了。            
(NA)	 编剧，你狠！            
(NA)	 你就乱吧。。。我已经无法评价了            
(NA)	 什么狗血剧情啊！！！            
(4星)	 主要看B，主打BC            
(3星)	 如果改名为《GG之鸡肋》我会给5星。一鼓作气，再而衰。三而竭。。            
(4星)	 NS这对不要搞不清楚搞就好.            
(5星)	  乱七八糟            
(3星)	 没看完            
(4星)	 第三季的宗旨是：拆散一对是一对！            
(2星)	 这一季是灾难            
(3星)	 已经到了让人提不起兴趣的地步了……            
(NA)	 为了lily才看的            
(4星)	 22集太狗血，减一星            
(4星)	 漂亮的造粪机们            
(4星)	 延续。。。            
(2星)	 能再三八点么？            
(3星)	 编剧你敢不敢更乱一点~            
(3星)	 不跟了. 看了第三季开头发现实在是极限了            
(4星)	 飞流直下三千尺的剧情，我看的到底是哪部戏~            
(4星)	 结尾的时候和第四季连接的很好啊。little J .....fuck ./            
(4星)	 Chuck会怎样呀            
(NA)	 看到第几集了？            
(2星)	 还是第一季比较经典。            
(NA)	 最后一集太狗血了，我一直盼着B和D能好一下，那就完整了！！            
(3星)	 无从评论。。越来越扯。。追了快3年。。第4部追还是不追？OMG........            
(3星)	 剧情就那样了看看美女看看帅哥听听美音            
(NA)	 越来越扯淡了.            
(3星)	 这也能死人？            
(5星)	 一如既往的支持            
(3星)	 1而今的劇情形同嚼蠟，還會有第四季么？2.大部分的意志是沖著看chuck的。3.同樣也為了看S的行頭是怎么翻的.恩.3星,            
(5星)	 天啊，我可怜的chuck……            
(5星)	 边具你不是人！！            
(5星)	 我跟你說，最後幾集每一集都讓我泣血不已。            
(4星)	 不看任何剧情，只赏各色风景。。            
(2星)	 除了衣服，什么都不能看。群P来群P去            
(4星)	 看到CHUCK中枪倒地我就斯巴达我草。。其实这个结尾真的很狗血但那一瞬间我还是觉得揪心了。。            
(2星)	 弃之            
(4星)	 Chuck这一季好的不像话~编剧扯不下去了，不想再追了。            
(3星)	 又是癌症又是遭遇枪击，狗血淋漓啊~~~            
(NA)	 下一季不看了。            
(4星)	 编剧没料了            
(3星)	 无止境的纠葛。            
(3星)	 不追了。            
(3星)	 人心叵测，我累了。            
(NA)	 越来越乱了。            
(3星)	 狗血剧情，编剧脑残。到头来最喜欢的是little J。            
(3星)	 Au revoir Chuck.            
(3星)	 这季很失望。。            
(NA)	 再不看了            
(5星)	 就这样结束了哈~~~第四季，你还我一个安慰吧！            
(4星)	 motherfuck~  最後一鏡頭！&gt;&lt;            
(NA)	 无话可说了。。。最后一集简直了！            
(4星)	 真难为编剧了，能想出这么狗血的剧情            
(3星)	 怒！什么狗血的编剧！！            
(4星)	 ……………………這一季到底在幹什麼這個結局看的我要瘋了！！！            
(3星)	 最后两集隔到今天才看，是不忍心serenate的分手，第三季最让我期盼的是这二人的交集啊，还好，我已经被成功转移注意焦点了，也就承受住了狗血剧情的考验。。。时间真是敷伤情的良药啊。            
(2星)	 再看那寫沒完沒了反復惡劣的劇情我就是傻逼            
(4星)	 开始狗血了群p了            
(4星)	 每季一开场都故意想在S身上造神秘，可是照例都没什么神秘可言。不过S的马上长裙真迷人。B &amp; C的感情戏就是不能踏踏实实拍，第一集就跳过了两个月的蜜月期，就连3P游戏也玩得有心理阴影了。每一季都觉得这故事还要怎么讲下去？可是就是来来回回这些事，也有看不厌的时候，谁叫都是青春之蜜呢。            
(2星)	 还能再乱点儿么?放弃.            
(3星)	 第三季就这么纠结地结尾了，留下了多少悬念呀。            
(3星)	 Serena is so stubborn and Jenny&#39;s really annoying..越來越沒看頭了..我覺得下一季chuck and blair和好的可能性也不大..誒誒            
(3星)	 都CJ了，下一季该B和蛋了。            
(NA)	 已经彻底对S这个女人无爱了很烦!!!!B&amp;C虽然你们分了，还是爱你们啊啊啊。。。。。。这是怎样一个华丽的窘迫的混乱的结尾            
(4星)	 妈的，这季的结尾真TMD恐怖，不过我觉得金发的Geogina非常漂亮啊。回顾一下，G怀上了、C中枪倒地了，J破处了，被送劳改了，B伤透了心，N混沌中...            
(4星)	 糾結。            
(3星)	 操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去操来操去            
(3星)	 失望，不追了，太扯            
(3星)	 编剧终于让每个人都轮了圈。。。下季不要让S和D在一起拜托。。            
(3星)	 这一季有进步。            
(5星)	 这季最后一集太波澜壮阔了。。。             
(3星)	 第三季比较狗血 还是会等第四季            
(4星)	 最后一集看完 心碎的一片一片 亲爱的chuck枪击了 J滚了 G胁迫D S和D居然又要在一起..编剧真是牛逼 真是 辛辛苦苦等三年 一夜回到三年前            
(4星)	 我永远的C&amp;B！！！            
(3星)	 换妻俱乐部第三季结束            
(3星)	 Memory is subjective.            
(3星)	 弃了。  - -            
(2星)	 来回睡            
(5星)	 Chuck is supposed to be with Blair.            
(NA)	 狗血结局            
(3星)	 关系可以再混乱点吗            
(NA)	 非常非常期待            
(4星)	 跟了3集 不想再跟== 看到这里是最好的结局            
(4星)	 ok，我不追了！！！不过再有BC的镜头我会瞟两眼的~            
(4星)	 小J完全成了我讨厌的类型            
(4星)	  真的是 越来越讨厌珍妮            
(NA)	 B只有和C一起才正常。。            
(5星)	 剧荒。            
(3星)	 CW脑残台╮(￣▽￣&#34;)╭             
(NA)	 越来越乱            
