http://movie.douban.com/subject/3882839/	千谎百计  第二季 Lie to Me Season 2
(NA)	 至少有1/3的（女）人是为了看大叔才看这片的            
(3星)	 一个成熟的男人不会跟自己的知己上床。            
(2星)	 不好看 不追了             
(2星)	 不明白为什么这么多人都会觉得这部每集都可以拆看来打乱看得剧这么好看            
(4星)	 比第一季好。            
(NA)	 至E06，不追了，不如第一季            
(3星)	 这一季一开始就走下坡路            
(3星)	 2010-01-03 看到第10集。美剧果然是越到后面题材越缺，只好故意制造混乱场面来搅混观众思维。真希望有一部彻头彻尾冷静的电视剧。            
(NA)	 总觉得有些大同小异 蛮容易就没有新鲜感的样子            
(3星)	 Show me sth. differ            
(3星)	 第七集片尾的曲子是The xx --VCR  音乐响起时我有点小兴奋!／看到十二集 越来越无聊了  看到十七集 讨厌里面每一个人说话的语气！受不了tim roth整天一副吊到不行自己能看穿一切的样子！太他妈傻逼了！            
(3星)	 质量下降，扯的成份愈发严重…弃了弃了…            
(2星)	 没有第一季的技术含量，情节也SOSO            
(4星)	 虽然第二季没有第一季精彩，但这片子还是能教会你很多道理和辨别谎言的小技巧的。看了之后最大的影响在于你会很注意别人的小动作。            
(3星)	 一锅上等好汤，熬的久了却没加料就会变成渣            
(4星)	 本来说不追的了，但是不知道看什么美剧了。。现在又想放弃鸟~            
(2星)	 就看三节，比第一季还浅            
(3星)	 跟英剧比美剧真的很屎啊            
(1星)	 怎么可以利用我对Tim Roth的喜爱！剧情太蠢了，硬着头皮看了4集，实在看不下去！            
(5星)	 好 今年就追它了            
(NA)	 22            
(NA)	 我怀疑剧本是电脑生成的。            
(3星)	 放弃！            
(4星)	 没看完。。看不下去了。。千篇一律。。            
(5星)	 完了，我怎么喜欢的都是老男人            
(NA)	 比第一季紧张精彩！            
(4星)	 真是越来越有魅力的螺丝大叔啊～为何他演文艺片我就不喜欢捏，唉，人还是贱点好            
(3星)	 本来对第一集很期待~因为是多重人格 但是演员太烂 又不是神话剧=-=            
(5星)	 小卷毛男真有爱            
(3星)	 = = 显然没第一季好看……            
(3星)	 不喜欢轻佻的            
(4星)	 激动死我了！终于又开播了！            
(2星)	 此剧不用再跟了            
(4星)	 10            
(NA)	 我会再看看第三季的吧哎            
(4星)	 个人的生活皆得到铺展，burns为lightman让路，太悲催了。此外，最后两集太碎太赶。season 2啃完，准备s3            
(5星)	 第19集最精彩。            
(5星)	 喜欢            
(NA)	 耐心消磨殆尽            
(3星)	 一集一类型案件的技术流过去了，开始挖掘人物本身            
(4星)	 第二季确实更好看了 故事越来越精彩 主角却越发缺乏吸引力            
(NA)	 食之无味，弃之            
(NA)	 看了ep11 继续定义为鸡肋剧...            
(3星)	 赶脚Lightman快变邪教头子了麻痹一点技术含量都米了            
(4星)	 可算看完了，要不要再追下去呢啊啊啊！？            
(3星)	 缺乏逻辑，就顾臭屁了            
(4星)	 我继续很欢乐的跟这个看一集和看一季没啥区别的片。。反正很假。但是看的很欢乐。            
(4星)	 差一点            
(3星)	 第二季越来越无聊了。             
(3星)	 沒動力追的劇還能咋的              
(5星)	 THEY&#39;RE ALREADY A COUPLE~JUST LIKE GILIAN SAID~            
(4星)	 看到第六集。我想大喊，够了，够了！            
(4星)	 聪明的男人加漂亮女人，紧凑的故事加高智商的情节，这些都让我肾上腺激素加速分泌。            
(4星)	 唉。。。。狗血的编剧。。。。            
(3星)	 第二季萎掉了            
(3星)	 目前為止沒有感覺特別high            
(4星)	 我竟然觉得他的皱纹很性感。。            
(3星)	 终于完了            
(3星)	 2009            
(2星)	 跟第一季绝对不是同一个编剧了……            
(3星)	 不追啦。            
(4星)	 该10了            
(4星)	 大叔控            
(3星)	 没兴趣，不好看，不追了。            
(4星)	 3.5            
(4星)	 loker怎么那么有爱呢，眼睛很迷人唷~~            
(3星)	 他们还是暧昧啊暧昧。。。为什么没进展。LOCKER同学弹吉他还蛮萌的，第一次对他有点好感啊。。。以为他会和T美女走到一起，结果木有。            
(3星)	 一般悬疑类美剧只能看第一季            
(4星)	 作为爱人，你是疯狂的存在。光人你越来越癫狂了，让foster情何以堪。好爱foster,闪耀着偶像光环的女人，向往之。            
(4星)	 这季还好。喜欢性格分裂。这种奇怪的人最可爱。剧情还算可以，不过很少分析直接切入结果。感情戏加码。没有噱头可以用了。            
(4星)	 Gillian Foster与Cal Lightman的关系不仅对观众很重要，对对剧组也很重要。这两人将产生「深沉的」、「意味深长的」、「与性爱无关的」、「只能意会不可言传的」爱情。呵，这个是爱情么。            
(4星)	 谎言是残忍的，真相一样残忍            
(4星)	 怪咖+好老爸            
(4星)	 昨天心理老师跟我说 看看第一季就够了 第二季的确没有前面的精彩 不过还是都看完了~·            
(3星)	 对于我来说，剧情浮云了...Gillian和Lightman神马时候能不再暧昧...            
(5星)	 介回是真完了......期待第三季嗷            
(3星)	 第二季明显有些力不从心。尝试各种各样的引爆点，恐怖分子，政府黑幕，攀富女，黑警察，只要是识谎，无不尽其技。            
(5星)	 依然喜欢，还没疲劳。再接再厉~！            
(3星)	 大起大落，质量很不稳定，好在还在第二季，还能算新鲜。只靠cal一个人撑，恐怕不好办啊            
(4星)	 11集的变态好帅&gt;&lt;！没钱了什么案子都得接。。看到后面有点审美疲劳了。。            
(4星)	 我就是喜欢~            
(2星)	 第2季水平降了好多。            
(4星)	 有几集挺无聊的             
(3星)	 水平太参差，除了惯性收看，基本没有看下一季的动力了。            
(5星)	 喜欢第十集炸弹拖车和偷乌龟的小孩的故事 还有据说出14集了？            
(NA)	 每次看到Dr.Lightman的前妻御姐范儿地走来走去，我就不得不联想到The L word里的女王型T。剧情倒也没什么可说的，世界观上比Fringe要主流一点，情节不温不火，也属于追不追都没有心理负担的解压剧。            
(4星)	 喜欢这戏里的每一个主角，也不容易啊……            
(4星)	 擦，等得我头发都白了还不更！            
(3星)	 最后一集我都猜到是BOMB游戏，没东东可拍了            
(3星)	 这季比较火爆阿。            
(3星)	 没第一季惊艳了……            
(4星)	 比第一部情节部分加强了            
(5星)	 没说的！            
(NA)	 凑合吧.没第一季好看了.            
(4星)	 Truth or happiness, never both.            
(5星)	 比第一集好很多！大爱！            
