http://movie.douban.com/subject/3926132/	爱情公寓
(4星)	 有美剧的影子，但是再国产剧创作贫乏的今日，我还是看到了诚意。推荐一看。            
(4星)	 作为老友记和老爸老妈浪漫史的粉丝，这剧让人看得心情很复杂啊。            
(1星)	 你一定要继续抄啊，抄到第五季，我就给你打五星了。            
(NA)	 前几集还比较原创，从四五集开始就越来越多HOW I MET YOUR MOTHER的桥段，把原版的情节拆开去拼起来凑在每个人身上重新组合本土化一遍。看着的心情真复杂。            
(5星)	 绝不是山寨，是创意！天然系关谷，好男人小贤！！            
(4星)	 NND，老子从不给电视剧打5星。太Happy了~~~给4星。            
(3星)	 里面有很多地方明显是在模仿老友记诶，而且有的时候演员太做作了。            
(5星)	 原谅他是上帝的事情，我的任务是送他去见上帝……            
(3星)	 直接照搬，因此略显矫情与虚假，但至少算有诚意的F6粉丝同人剧……            
(5星)	 孤独的根号三。            
(5星)	 樂死我了.哈哈哈.山寨也有愛!   拍續集吧！            
(3星)	 除去借鉴的，抄袭的，致敬的，模仿的，再除去一些美剧的影子和网络上热门话题的卖弄，至少看到了国产都市情景喜剧的起色和想要改革的决心，几个演员基本选的不错，希望大陆本土的情景喜剧越走越好，少点外来的，多点本土化            
(5星)	 大赞            
(5星)	 很喜欢王传君            
(1星)	 吵死了  还有 抄袭！！！            
(5星)	 好看好看，难得看到制作这么好的偶像剧了            
(5星)	 压抑的日子靠他解闷            
(5星)	 乐疯了，很喜欢，哈哈~0~.....此片将会很火。            
(5星)	 感谢！我假期有东西看了！            
(5星)	 谢天谢地 条目终于出来了            
(NA)	 好可怕...山寨Friends...我的chan chan~~~            
(1星)	 看两集就看不下去了 豆瓣评分真操蛋！            
(2星)	 人不能无耻到这种地步~            
(1星)	 瞎了我的眼。            
(2星)	 为啥那么多人爱看夸张的表演跟矫情的台词呢= =太拧巴了            
(2星)	 为什么大家都说好？我觉得有点做作~1            
(1星)	 看了一集就看不下去了 烂片            
(NA)	 又被骗了            
(5星)	 差点笑死。編劇創意絕佳，京劇版加勒比海盜技術含量必須五顆星；演员绝佳，唯一演技欠缺的是那個經紀人閃姐，話劇范兒重了些，好在一閃而過；攝影绝佳，分分秒秒根據內容掌控鏡頭語言遊刃有餘；导演绝佳，這麼有水準的片，就算是模仿美劇，也模仿得很好。與時俱進的智慧和幽默感，請受我一拜。            
(3星)	 挺好玩的 但是有点儿做作            
(5星)	 笑到抽筋！            
(1星)	 什么凋敝公寓，也敢跟外传媲美？！比新闻联播还标准的普通话，十三岁小屁孩的智商，我他妈不是初中生！这些个该死的五官端正艺术表演专业毕业生！            
(4星)	 山寨精品            
(4星)	 很搞笑啊。很轻松。有些人傻傻的。有些人很可爱。很好很好            
(5星)	 俊男美女            
(3星)	 很多情节照搬老友记和老爸老妈浪漫史            
(4星)	 新演员老段子。但是仍然有亮点。看电视图个乐子，这个片子还不错，经常笑。            
(3星)	 确有抄袭《老友记》和《老爸老妈浪漫史》，这是扣分的原因，不过我觉得还算看到诚意了，人都很可爱，我也每每大笑，还是很值得推荐            
(4星)	 看到最后我竟然不舍得把它看完            
(5星)	 期待第二季            
(5星)	 去年看得 很精彩 难得笑料不断萌点不断的国产情景喜剧            
(5星)	 笑翻我了。            
(4星)	 蛮好            
(3星)	 虽然有点山寨 但总算不杀马特            
(5星)	 美国日本省中国市上海镇一小撮白领打工仔孤儿青年的群居生活            
(5星)	 太好看了！！！            
(5星)	 不错不错 只有20集 太短了~            
(3星)	 前面还好，后面抄袭美剧太严重            
(NA)	 或者是我看得太晚了，真心觉得里面的笑料有点out了，人物个性特征还是很明显的，最起码有个喜剧的框架在，不错            
(2星)	 没人觉得这剧里的人脱离正常智商范围了么。。。夸张，假得可以。。。            
(NA)	 为了共同语言与把妹子.....            
(3星)	 第一季真的没有第二季有爱好笑好吗！子乔老是翻白眼 Lisa是斗鸡眼 看完全部就没几集有印象的 连官配小贤一菲的感情戏都辣么少 除了最后集少少虐 还有杀千刀的还有人说子乔像玄彬 杀了我好吗！            
(4星)	 第二季美嘉不在，我就不怎么想看了            
(NA)	 怎么说呢……            
(5星)	 已经很有诚意了！            
(5星)	 爱情也能如此快乐            
(1星)	 别说这是中国版六人行 要么老年版流星雨            
(5星)	 我的根号三呢            
(4星)	 弃。            
(3星)	 模仿老友记的桥段，连台词都照搬，不过拍成这样也很不错了。            
(4星)	 hhp没救了            
(4星)	 看着不别扭，很欢乐，即使抄袭也无伤大雅。            
(1星)	 一看演技就是做作            
(1星)	 脑残剧            
(1星)	 鄙视，一帮傻逼，老掉牙的笑料，还他妈模仿老友记            
(1星)	 抄太多了。            
(1星)	 为搞笑而搞笑的无笑点喜剧            
(1星)	 傻逼。            
(4星)	None
(4星)	 我爱胡一菲！            
(5星)	 很给力啊！呵呵呵呵            
(5星)	 这就是中国版的《Friends》            
(4星)	 拍得还不错。虽然扒了很多段子，但是编剧丝丝入扣。男角都有些过度表演。            
(5星)	 终于没有东北小丑的清新剧！            
(3星)	 完全不中笑点，被华华骗了            
(4星)	 好搞笑。。。            
(4星)	 以为很白痴其实还好。            
(4星)	 我一口盐汽水喷死你～            
(5星)	 终于看完了 真乐呵。            
(4星)	 其实我想说我最中意关谷君的说~很好看的剧，消磨时光的上等作。            
(4星)	 朋友推荐时说：心情不好就看爱情公寓。于是我嗨皮了。            
(NA)	 操，从头笑到尾            
(5星)	 虽然还是抄袭但是还是有很多人不看美剧的～话说国内难得有这么搞笑的偶像剧期待2～            
(5星)	 很好看~~~搞笑~~~支持~~~            
(5星)	 好看！大爱展博......            
(5星)	 好极了            
(5星)	 其实我最喜欢那个扮演张伟的李佳航...            
(4星)	 多谢这几多欢笑。            
(4星)	 子乔和婉俞这2个演员咱都用过诶            
(NA)	 搞笑程度可比大邦            
(5星)	 大爱啊~            
(3星)	 照搬的太多，不过好在还挺逗乐，还算成功的山寨            
(5星)	 太好笑了，难得能让我开怀大笑的连续剧啊。            
(4星)	 金世佳与陆展博            
(5星)	 山寨很强大~            
(4星)	 简单， 好看， 原来国产偶像剧也可以这么好看， 难得难得            
(4星)	 小陶推荐            
(5星)	 太好玩了            
(4星)	 包袱有些老，很多地方有《奋斗》的痕迹...不过总的来说，观影过程很欢乐            
(4星)	 不至於五顆星吧,...            
(4星)	 虽然台词很山寨，但是不妨碍他让我看的很开心。            
(NA)	 原封不动山寨老友记            
(5星)	 不喜欢老友记的我居然很喜欢这个。。。我爱曾小贤！！！            
(NA)	 什么时候出第二季啦~！            
(4星)	 抄袭了网络最前沿的冷笑话，恶搞及幽默桥段，综合在一个故事情节里。我很看好该剧，因为在科幻，深刻，道义，政治等等方面大陆剧都无法和美剧比较，只有这种轻松的搞笑才能留住我这种观众的眼睛。            
(4星)	 看到演舞台剧喷水，搞得我又想重温HIMYM了。。导演原来就是我的日啊那厮，想起看那片时的情境，哈哈，哥也是个有故事的人            
(5星)	 挺好的            
(5星)	 我該說什麽哈哈哈。。世界太小啦。。WW支持你小赫支持你啊。。哈哈哈。。太好看啦。。。特別是有了雷陣雨的對比啊。。。哈哈哈。。。大家都去看。。。            
(4星)	 看了20集，喜欢小贤和一菲，太乐儿了~~心情一片大好~            
(5星)	 推荐推荐，乐死我了            
(4星)	 好吧，我恶俗了~            
(4星)	 它是怎么通过广电审批的 尺度太什么了吧 居然有黄瓜与湿吻的台词~            
(5星)	 出乎意料的搞笑……虽然山寨，但是还是很赞。好男人就是我，我就是曾小贤。我是你们的曾朋友，新小贤。            
(3星)	 尽管笑点较低 但我还是看得毫无睡意            
(1星)	 豆瓣评分8.6，以后看片再也不参考豆瓣了！            
(5星)	 喜欢第一部里面的所有人。不喜欢第二部里面后进来的两位女子            
(NA)	 扯淡片            
(NA)	 我爱婉喻！！！！！！！！当然还有....嘻嘻，贤儿...吼吼~            
(4星)	 虽然山寨了Friends，年轻人演得也浮夸，不过看了确实很happy            
(5星)	 疯子在演，傻子在看，笑是最给力的有氧运动。            
(NA)	 好看！            
(5星)	 支持上海的情景喜剧！            
(4星)	 網絡經典段子+美劇N多橋段            
(4星)	 山寨归山寨，作为放松大脑的片子来说还是合格的            
(4星)	 虽然抄袭点多，但其实还蛮好看的。。。。。            
(4星)	 诚然，模仿借鉴的痕迹很是明显，不过总有种误区是指：模仿都是不值得提倡的。模仿得好，也是需要水平的，何况演员，台词，不是模仿得来的。            
(NA)	 看了大结局就算看过了对么啊哈哈            
(4星)	 曾老师……你长得太像我爸了…… T T            
(5星)	 看完咯~ 嘿嘿 真有意思 里面都是美女哇。。。            
(1星)	 爱情公寓看了半集就看不下去了，冷。和王珞丹、马伊琍之流演出来的那堆雷剧没什么区别，我是怪物吗，真觉得很烂很烂             
(1星)	 看过friends的人不想咆哮么！！！！！！还有调色这么重神马狗屎品位啊啊啊啊啊啊啊啊啊！！！！！！！            
(2星)	 呃…看了幾集，請問笑點在哪裡？都是些老梗啊…抄襲現象也挺嚴重 ╮(╯▽╰)╭ 國內這類電視劇請再接再厲吧……            
(1星)	 就这么红果果的照搬 这剧的编剧干嘛吃的            
(4星)	 很好笑啊            
(1星)	 做作，咋呼。看了20分钟就看不下去了。            
(5星)	 演技不错的俊男靓女们外加令人捧腹的剧情，还不错啦~~            
(3星)	 林宛瑜和陆展博            
(4星)	 第一集，太经典了~~            
(NA)	 我真的很像胡一菲            
(5星)	 好好笑~            
(NA)	 好男人就是我，我就是——曾小贤！            
(4星)	 一群人的咆哮            
(4星)	 好笑是非常好笑，但是很多桥段套用老友记和老爸老妈的浪漫史诶~~~哼哼            
(4星)	 累的时候看看吧  不累            
(4星)	 宿舍生活的回忆            
(4星)	 喜剧            
(3星)	 每天抽饭点的空闲看个几集，终于看完了。我非常清楚这部剧为什么会受到欢迎。但是不对，至少不对我的胃口。说起来也并不是会迎合大众笑点的人，所以到也并不奇怪。重点是这部剧不想再看下去了，演员没问题，很有活力很好，叫展博的我很中意，编剧也好，能把各种渠道有意思的段子拉起来就很费功夫了。            
(5星)	 我爱这部剧！灰常爱！            
(4星)	 蛮好笑的            
(5星)	 总之看得我超欢乐。角色出彩度排名：胡一菲、陆展博、美嘉、关谷、曾小贤、吕子乔、林宛瑜～            
(5星)	 不多说，就是喜欢！            
(5星)	 难得的一出好看的时尚的大陆情景剧            
(4星)	 校友导演啊……有空必看            
(4星)	 其实我觉得能拍成这样的效果很不错了，就是谁让我先看了老爸老妈的罗曼史呢？抄袭片段实在太多，所以总体来说，就是翻版啦...哈哈...            
(5星)	  好看　            
(4星)	 没想到这山寨剧评价这么高 = =这年头能看的下去的剧不多了~            
(4星)	 friends+how i met your mother……            
(5星)	 太好看啦 难得看到这么好看的国产片了            
(3星)	 挺搞笑的。            
(4星)	 向胡一菲的妙語連珠學習。            
(5星)	 ！            
(5星)	 一定要给五星的。            
(5星)	 很有喜感            
(5星)	 好笑死了            
(5星)	 脑残并搞笑着。哈哈。            
(3星)	 挺惊喜的中国喜剧，武林外传后让我笑得这么开心的就是它了！好看，期待快点出续集！            
(4星)	 我觉得挺有意思.            
(4星)	 “张纪中说，这片子视角很独特，明年我准备翻拍。”我笑而不语            
(NA)	 我承认 我是想找武林外传的感觉 然后我飘走了= =~            
(3星)	 夹生饭。            
(3星)	 是在翻拍老爸老妈的浪漫史吗            
(3星)	 天哪 他说是赤裸裸的抄袭            
(4星)	 有几集是赤果果的照搬，说抄袭都不好意思，但还是很有诚意的作品，不错~~            
(4星)	 爆笑不止啊 能抄成这样也是编剧本事            
(4星)	 好笑翻了~~            
(5星)	 太搞了把            
(NA)	 虽然模仿借鉴了很多国内外的东西，但是真的拍的很好玩，看的时候每一集都一直在笑            
(5星)	 好好笑            
(5星)	 我喜欢吕子乔~~~            
(5星)	 后来才发现，和老友记没啥关系。            
(NA)	 那段时间就靠着你们乐呵了- -。羡慕。我也要找房子。找人。一起乐呵。            
(5星)	 哈哈哈 推荐大家都看看 重拾大学看《老友记》的感觉~~            
(5星)	 山寨怎么了 山寨剧 就是牛。            
(4星)	 我一......口盐汽水喷死你！            
(4星)	 虽然是翻版美剧，翻得还行~听中文毕竟是不一样的。ps: 曾小贤从外型到表演是100%的钱德味儿            
(5星)	 和武林外传在我心目中并列为国产情景喜剧两大神作，美嘉这是可爱死了~~            
(4星)	 段子不少是网上的，原创有待加强。但笑果不错～            
(4星)	 孤独的根号3            
(3星)	 虽然有点模仿老友记，不过这样的国产剧看着还蛮开心的            
(3星)	 支持国片!却发现是赤裸裸的抄袭!            
(5星)	 偶像剧新高峰            
(3星)	 无聊的时候笑一笑就可以了！！！            
(4星)	 最后一颗星我留给了全部的原创。            
(3星)	 天呐，太绝望了~~~~刚刚才发现剧本直接照抄美剧how I met your mother            
(5星)	 好笑就够了            
(3星)	 有笑点，没内涵，可至少我笑过几次。那个擎天柱第十一章太暴力了。可惜唯一这个最搞笑的居然是跑龙套的演的。失败。跟老友记就别比了，武林外传都比不上。            
(3星)	 支持一下            
(5星)	 啊哈哈！太好笑了~~它是怎么通过广电总局审查的？！            
(3星)	 演技般般，不过故事不错的，呵呵            
(4星)	 王传君。            
(5星)	 好男人就是我，我就是好男人~~~哈。期待第二季            
(4星)	 抄的算不错的，老友记 老爸老妈浪漫史。            
(5星)	 好吧我承认我泪点不是一般的低            
(5星)	 让人刮目相看的自制偶像剧 汪远太扯了            
(5星)	 好男人就是我，我就是...曾小贤。            
(5星)	 好看！            
(4星)	 国内情景喜剧新的高度！我想加入第二季的编剧阵容            
(4星)	 虽然抄得很多 但还是不错            
(4星)	 开始两集不错，后面的就无聊了。            
(NA)	 其实我看得很开心，对于一部喜剧来说，这样就够了            
(5星)	 笑色我了            
(4星)	 还满好笑的啊.....            
(4星)	 很多剧情都抄袭Friends的。不过还挺搞笑的。            
(5星)	 每天看两集 心情无限好阿            
(5星)	 很搞笑，从头笑到尾。。            
(4星)	 有点小白，但是轻松。我喜欢他们的演戏风格            
