http://movie.douban.com/subject/3993544/	超人马大姐
(5星)	 除了片尾曲，剩下都很喜欢。我一直觉得马大姐和武林外传是一个级别的。            
(1星)	 蔡明出品 必属烂片            
(5星)	 一看海报我就乐了哈哈哈哈XDDDDDDDDDDDDDDD            
(4星)	 虽然是有点儿山寨机器猫的意思。但是还是挺棒的，有中国式的欢乐和温情，也有普通老百姓才能体会的滋味。            
(5星)	 虽然每个故事都很小也多少有点无厘头，但背后都有一个寓意。            
(NA)	 好开心我从小看到大。。            
(5星)	 这部不错，至少是用心了。            
(5星)	 吓我一大跳，马大姐科幻版！            
(5星)	 开始进攻这个！！！            
(5星)	 现实版的多啦A梦。挺好看的 总之就是经典。            
(4星)	 多歡樂啊 可惜太短了            
(5星)	 欢笑有泪，再做十年蔡明老师的粉丝~            
(5星)	 哈哈 马大姐从小看到大还是那么好看            
(5星)	 吕小品导的，还挺逗的            
(5星)	 是近年继武林外传后看过的最好的国产剧(当然我也没看过几部) 这部剧改变了我对国内编剧们的看法 那些故事与欧美剧比起来毫不逊色 甚至比某些大热的美国喜剧还要精彩 虽然一些故事让看惯英美剧的人会觉得似曾相识 但是本地化的相当成功 没有任何不适感 这很值得近年兴起的山寨之流们学习            
(5星)	 好看！爆笑！推荐！            
(NA)	 我哭了            
(4星)	 哈哈哈哈哈，俗得好            
(5星)	 去你的，那些拿“高尚”和“品味”到处乱挥别人的人。我喜欢马大姐，和她给我们带来的会心微笑。            
(5星)	 很hi            
(5星)	 很好笑了。            
(2星)	 貂尾不足狗尾续            
(3星)	 从小就看马大姐。            
(4星)	 火星人来咯~            
(5星)	 这么难看的电视还评分这么高。            
(3星)	 这一部真的是有点扯了……            
(4星)	 编剧把马大姐性格化而非戏剧化了            
(3星)	 哈哈哈，很雷很欢腾~            
(NA)	 这片很怀旧。            
(2星)	 简直扯淡！令人发指。。            
(3星)	 闲暇好用途            
(3星)	 - - 我承认 我还看的挺欢乐            
(3星)	 蔡明就得演大妈...还得是愣烦人的那种            
(3星)	 没有 闲人马大姐好看             
(3星)	 我升华了……            
(4星)	 科幻版马大姐更让人捧腹            
(4星)	 电视上怎么没有演过            
(4星)	 很大程度是为了蔡老师            
(5星)	 啊哈哈哈哈            
(5星)	 谁不看 谁损失！！！你说是不是啊 老火兄弟            
(5星)	 great            
(4星)	 最後還是感動到我的            
(3星)	 挺无聊的。            
(3星)	 机器猫的套路，怀念。麻烦编剧，能多写几集不？            
(3星)	 无聊            
(5星)	 忒搞笑了            
(NA)	 挺逗的            
(5星)	 哈哈笑死我了笑死我了            
(4星)	 2011 居然有耐心看完四十多集，上网背景剧。            
(5星)	 2011 花了一个多星期追完，逛淘宝时的背景剧。 最搞笑的还是王援朝变完美男人、马大姐有了窃听器那两集。哈哈哈 我碍你 碍你什么了？？？            
(2星)	 TV版的没赶上 过年在家看的在线 那个外星人不喜欢啊不喜欢            
(4星)	 最后一集都把我弄哭了            
(2星)	 这个实在太雷了看第一集吓了一跳 还是闲人马大姐好看            
(NA)	 哈哈哈哈哈            
(5星)	 一部可以让我真心笑和真心哭的剧。            
(NA)	 老马，您真二。            
(5星)	 很搞笑 生活里的开心果            
(5星)	 太好看了            
(4星)	 片尾曲不错            
(4星)	 哈哈哈哈哈            
(4星)	 马大姐怎么就这么对我胃口。            
(4星)	 笑得很欢            
(3星)	 CCTV—8            
(5星)	 笑死我了            
(NA)	 马大姐很有意义，鉴定完毕。            
(5星)	 一直都很粉马大姐的！！！这个编剧一定是充满了生活智慧的！！！            
(5星)	 《机器猫》版的《闲人马大姐》，中国版的《神奇老太太》。看了前两集和第11集，非常搞笑。那个书报亭就好比是机器猫肚子上的那个四维空间袋。不过这里面的火星人不知道红豆饼，而是特别喜欢吃炸酱面（我也很喜欢）。给它一碗炸酱面，他什么道具都能借给你！~~ 可惜每次到最后都给马大姐搞砸了……            
(4星)	 艾嘉还是蛮好看的            
(4星)	 哆啦○夢山寨版？嘛…很歡樂~=w=            
(4星)	 大人版的机器猫，想象力很丰富，赞！            
(5星)	 很搞笑            
