http://movie.douban.com/subject/4038309/	跟我的前妻谈恋爱
(4星)	 东北，云南那边又爆发禽流感了。祖国的鸡都死了，我心里难受，我不能哭啊？            
(NA)	 马勇说：你看过生活在别处吗？结婚了的男人总是看着别人的老婆好，总以为离婚之后还能找着个更好的，殊不知，就像看生活在别处一样，那是离你很遥远的。就正如我总说的，把握住已知的比追求未知的要让人心安很多。            
(4星)	 真逗。其实呢，就是两口子闹别扭，结果兜了一圈发现，还是谁也离不开谁。            
(4星)	 喜欢小宋佳。。            
(5星)	 难得看到那么好的电视剧 原著作者有点水平~张琦又笨又丑又没情调，马勇居然帮他，无语~            
(4星)	 小宋佳演的很好，特别搞笑特别逗特有女知识分子的范儿，确切说是女记者的范儿……我妈说耿乐很丑，我倒觉得挺MAN的。这是一部搞笑的电视剧：）            
(4星)	 减压 王朔 自己太没品了 彻底大妈化 跟可怕的是我一想到小宋佳的现实生活 然后就觉得。。。。。。假            
(5星)	 两个日蝎月魔的爱情            
(NA)	 到最后，是不是也是我在独自择菜，你在看足球比赛？            
(NA)	 最后挺感人的,爱情不能对付,是那个人就是那个人,旁人再好再热切也无高潮.            
(4星)	 奔着耿乐我去了  台词有点硬              
(5星)	 呵呵。里面的对话很黄很暴力。。。            
(5星)	 有意思,真有点意思.喜欢那个爱&#34;玩&#34;的妇联的.            
(4星)	 平头的男生惹我爱~哈哈            
(4星)	 语言很有特色            
(5星)	 &#34;我的专业就是做官&#34;            
(NA)	 1. 马勇 同学不敢面对自己内心            
(4星)	 很久没看国产电视剧了呀 还是在哈尔滨拍的| 男人爱女人要像父亲爱女儿一样            
(NA)	 哈尔滨拍的~~嘎嘎            
(5星)	 里面的对骂相当有意思            
(5星)	 台词很经典，也反映了很多神会问题，值得细细揣摩。但也感觉有大男子主义，呵呵，说到底可能还是“类似处女情结”作祟，使得马永作为俞晓红丈夫这一角色稍嫌硬了点。            
(5星)	 看着看着猛然发现，索菲亚、中央大街、红博，哈哈，太熟悉了，这不是我可爱的家乡嘛~喜欢马勇，挺贫的；俞晓红其实很单纯，挺直的~而且在他们身上看到了好多自己的影子，和婚姻的小小一角~            
(5星)	 编剧的台词写得太好了，真逗，好剧本            
(4星)	 狠话剧            
(4星)	 在一起一年是好感，在一起三年是感情，在一起十年是亲情，在一起三十年才是爱情。            
(5星)	 剧情虽然狗血但还是让我又哭又笑的爱死小宋佳了！！！！            
(1星)	 耿乐真恶心            
(4星)	 追着电视里看的。确实像大女当嫁，但是，我怎么就那么喜欢我的宋小花在那摇头晃脑着瞎侃的模样呢~那个赵慧和那个陈勇刚看见就讨厌！！            
(4星)	 陪我娘看的            
(4星)	 台词还挺经典啊~~~            
(5星)	 不只是要对她好，那样不够。要重视她，每天看到她就像第一次遇见她那样热血沸腾、充满激情；每次和她说话就像初恋一样娓娓道来永远也说不累；每次陪她逛街，就当是最后一次受这个罪坚决不外出吸烟；每次争吵，吵完之后一定要第一时间低头认错。总之，你要像父亲对女儿一样，用你所有的宽容容忍她。谢谢            
(NA)	 出差时在酒店睡不着看了一段时间 太贫 后来就忘了            
(5星)	 22集道盡男女間相處的精髓 臺詞太經典 有空再看一遍            
(4星)	 看着乐呵            
(3星)	 吸引我的是都说这剧台词特贫，另外这俩人我都比较待见，看这样俩人耍贫嘴谈恋爱，觉得应该挺逗的，结果...这戏抻得太长了....拍一电影的长度估计比较合适，22集电视剧就有太多重复的东西了，跳着看，可能还有很多三观不正的地方还没发现出来呢            
(2星)	 越看越没劲            
(3星)	 剧情有些唬烂，小宋佳不错            
(4星)	 编剧一定是北京人，太贫了，太逗了~~~            
(3星)	 男一啥都好，就是哭戏实在不行...我都抹眼泪了他还在那儿死命抽抽着...其实，我也就很没出息地为着看俩人赶紧重归就好（虽然一调到这频道剧情发展就明摆着呢...），花了好几天追剧情...p.s.嘿嘿，这小说写得可真够贫的喂~            
(5星)	 漫长长假的慰藉……他家三长两短的故事，纯粹的两口子瞎闹，但很温情···            
(3星)	 睡前看看这个国产搞笑剧集满欢乐的，宋佳是真心好看。今天电视剧频道大结局～            
(4星)	 婚姻，有时候不是三言两语可以说清楚的事情。彼此间需要更多的包容，彼此都是对方的容器，有什么样的容器，才能承载什么样的水流。所谓爱，就是离了热情、浪漫这些东西之后，彼此还念着对方。很多时候，我们只有在失去的时候，才明白什么叫做好来。生活在别处，这是老米留给我们的最大的谎言。三星半。            
(4星)	 笑中带泪。金逆时期不适合看这剧啊~~~            
(5星)	 最深刻的电视剧。            
(4星)	 够贫的！            
(4星)	 我就喜欢看贫的电影。。。            
(3星)	 得分这么高  我承认中间有些台词挺贫的 但是剧情好多漏洞 啥破编剧啊...            
(4星)	 马勇也太贫了，不过我喜欢            
(3星)	 主要是冲着男女主角看的            
(3星)	 台词挺贫            
(4星)	 如何避免婚姻中的麻木?如何多发现对方的优点?看的时候多思考            
(3星)	 马勇是个讨喜的角色 耿乐很适合 最后一集复婚后的生活才真实 生活会把一切爱情消磨了            
(5星)	 要是二十年前我爸妈看到这部片就好了            
(3星)	 有的对白太文艺了，搬的小说原文吧？宋佳很漂亮啊。。            
(NA)	 台词太好玩了。            
(2星)	 我不爱看咩o(︶︿︶)o 唉            
(3星)	 总体粗糙，台词有趣，值得反思            
(3星)	 对话真逗~            
(NA)	 宋小花            
(3星)	 台词挺逗的            
(NA)	 再次证明我不适合看连续剧，看到第9集就再也看不下去了            
(5星)	 哈哈            
(3星)	 其实挺有意思的            
(NA)	 我是有多喜欢这种和前妻谈恋爱的设置呀            
(4星)	 给你推荐一部电视剧吧，很好看，很开心，总是能让人笑《跟我的前妻谈恋爱》我和W说过很多次了，想让W推荐给你看，不过W没明白，反正你这阵很紧张，那我就给你推荐吧，就当是轻松一刻吧。            
(4星)	 够贫的~ 宋小花真心好看！PS：这是一个每集都会提到本拉登的电视剧。            
(NA)	 存在的问题总还是存在，认识到容易，改起来难。【耿乐让我不断联想到班长童鞋啊~~】            
(4星)	 难得的好国产电视剧。            
(3星)	 哈尔滨~            
(4星)	 虽然速度慢了点 快进着看 不过很多台词真的是很经典 搞笑死了            
(4星)	 挺有意思的            
(3星)	 人物脸谱化，剧情太拖沓啦~  我是没耐心看完了。            
(4星)	 喜欢小宋佳            
(4星)	 台词各种乐，乐完以后各种思考。            
(4星)	 拍的不错，轻松有趣~            
(3星)	 我喜欢耿乐            
(4星)	 伴侣兜弯过。            
(4星)	 破天荒看了回电视剧...            
(5星)	 两星给耿乐， 两星给小宋佳，一星给剧情            
(4星)	 哭着笑着看完22集            
(NA)	 起初觉得耿乐不会演戏，太生硬，后来有点进入状态了（也可能是我看习惯了），花姐实在是太漂亮了，我肯定是因为她才看的，这部戏有些地方还是能引起共鸣的，也有些稍显说不过去，骂书记那段我就觉得广电总局怎么可能审核通过，再看看就明白了，还是歌功颂德，PS:耿乐也太幸福了，结局看的我这个羡慕            
(3星)	 引用《媳妇的美好时代》曹心梅说的：二婚不容易  还是原配好 二婚处处有比较 在对少儿生理卫生那段 马勇多伤心哪.. .. 这不就是比较的祸么 还有张琪那厮真是又丑又蠢又窝囊  从头至尾TMD翻来覆去的问马勇你以前怎么不那样呢  都说了800遍了  那样还会离婚么 蠢货            
(4星)	 挺逗的 处处可见马勇是爱晓红的 别扭的可爱~ 喜欢            
(NA)	 看他俩贫嘴挺有意思            
(4星)	 小故事大道理            
(5星)	 鸡都死了我哭会儿不行么我            
(3星)	 喜欢小宋佳~            
(3星)	 还OK啦，兜兜转转才发觉最适合你的人是我。            
(3星)	 如果一个男人离开你后，跟你现任男友大哭着说：我还爱她，很爱很爱。那你哭不哭？            
(4星)	 还蛮好玩的            
(NA)	 对话还好/还是看书去            
(NA)	 宋小花儿，哈哈哈哈            
(5星)	 又看哭了，妈的            
(4星)	 贫嘴小两口的悲喜生活            
(NA)	 可爱的马勇            
(3星)	 贼逗，哈哈还是喜欢小宋佳。无聊之余，让人自省的自以为是女人的不可爱之处            
(4星)	 台词很经典            
(5星)	 婚姻之道，只是有点拖沓！            
(NA)	 我承认我就喜欢他们这样大道理堆堆的贫嘴样。            
(4星)	 相爱容易相处难，关系的结束是真正理解的开始。跟分手清单有点相似。            
(4星)	 好好笑。            
(5星)	 先开始笑，鄙视，惊诧，后来一直哭，袁来我那么爱你，离不开你。可我心里也有坎儿。            
(5星)	 风情万千小宋佳            
(3星)	 大陆            
(NA)	 小说就挺好，话剧也挺好，电视剧挺好，就差电影上映了。这个题材真不错            
(4星)	 婚姻的经营是门学问。            
(4星)	 挺好玩的电视剧。            
(3星)	 09.12.12 其实只看了第一集和最后一集~            
(4星)	 台词逗~ 需要思考的夫妻生活...            
(4星)	     斗嘴也是一门艺术，这嘴贫的有水平~  乐死哀家了~            
(4星)	 太逗了            
(4星)	 如何珍惜面前的爱情，可能是每个人都该经常性检讨的问题，小宋佳确实演的真是生动之极，这样的老婆谁不爱啊。            
(NA)	 我喜欢宋佳             
(NA)	 台词 尤其是骂人 比较经典            
(3星)	 中国版 恋爱时代？            
(3星)	 剧一般，台词很潮很经典。            
(2星)	 什么乱七八糟的泡泡剧啊            
(3星)	 ——瘦了——你那是枯萎了……            
(4星)	 看《大女當嫁》時愛姜大雁，本就聽說這齣的俞曉紅更有愛，果然如此！可愛智慧任性真誠的女人，就應該配像馬勇般同樣真誠，擅長把人逗樂卻容易疏忽的貼心男！這主題有趣，深刻討論了愛情與婚姻；婚姻就是要包容謙讓，才能讓感情保質！諸位時刻自省吧！            
(NA)	 我爱你，多久不曾提起。不知道，会不会来不及。            
(5星)	 虽然揭发房地产黑幕的那段剧情很扯，但是电视剧主线还是讲得相当欢乐，哈哈            
(NA)	 有的爱情 是分开才知道对方的重要的            
(4星)	 小宋佳演的挺有意思的            
(3星)	 宋佳            
(4星)	 好一朵小花。            
(4星)	 蛮温情的~经历过这么一段才永远都不会分开吧~            
(4星)	 对白挺搞笑的            
(4星)	 感觉他们的斗嘴太有趣了，但是男配太狗血。电视剧比电影好很多。            
(3星)	 一般般啦，为什么那么红，电视剧和电影都无爱。            
(5星)	 一直在试想两个都特能扯的人在一起会是什么场面。现在我懂了。我想婚姻靠的是包容，所谓的合不合适都只是不爱了找的借口。            
(5星)	 99.9%的原著，至少我看书免费部分是这样的最后几集我不知道，十分值得一看的电视剧，演员表现都很好，电视比原著更形象！~~~这是我第一次看到班上银幕赶上原著尊重原著的电视剧！~~~            
(4星)	 好看 但是男主心态不对劲。。            
(4星)	 没过底线 到还有回头路            
(4星)	 耿樂挺逗。北方的貧。看得可樂了。            
(3星)	 喜欢耿乐 故事情节一般            
(4星)	 我真挺喜欢小宋佳的~            
(4星)	 虽然男女主角都不稀饭~~~            
(5星)	 吵架有时候也是一种乐趣~            
(5星)	 马勇和俞晓红必须在一起。            
(5星)	 看过的国产剧里最喜欢的一部            
(3星)	 部分台词还不错，蛮有道理的,让人反省婚姻和爱情。            
