http://movie.douban.com/subject/4043834/	点指贼贼贼捉贼
(3星)	 温兆伦回归无线之作，不过很快又离开了            
(3星)	 TVB能不能停止宣揚這種所謂的正義  少一點大義滅親的戲碼...看到這種戲就想說FUCK  卡司雖然強大 值得一看的卻只有鄧萃雯一個            
(3星)	 闹闹闹。            
(NA)	 结局的确是满诡异的            
(3星)	 2002            
(2星)	 看到温sir西瓜太郎头出场本想弃了，却意外见到毛利小五郎造型的华克，结果居然一集就死了，只好期待着刘蛟龙变华克看下去。总之说教味太重，人物太单薄            
(3星)	 开头笑得好厉害 后面完全就不行了            
(3星)	 莫名的结尾`~~            
(4星)	 温兆伦~~~            
(3星)	 其实笑点蛮多的，一半之前编得都不错，可惜结局太傻，吴之前的歌女形象很赞，可惜成拉拉后就弱了很多，蒙的演技依旧不行，邓大姐就是赞，可惜最后的结局太呆了！            
(3星)	 本剧没啥特别的意思，编剧乱编后面又乱圆。最好看的只有邓小姐。其实温Sir也很好戏，不过没了华克只剩刘蛟龙之后少了很多亮色。            
(2星)	 没什么印象了             
(3星)	 温兆伦的戏看一部少一部了            
(3星)	 蒙嘉慧！蒙嘉慧！            
(4星)	 如果记忆没有出错的话，吴美娴又LESBIAN了一把            
(4星)	 温兆伦，蒙嘉慧，邓萃雯，it&#39;s enought            
(3星)	 很多年之前看的，            
(4星)	 温兆伦的片子都蛮好看的            
(5星)	 当时家姐租了一套 我从中间开始看的 边看边猜剧情 恩 比较反转            
(3星)	 挺好玩的港剧            
(3星)	 不同于大多数港剧前半段尚可、过了中段便把持不住，本剧基本属于先腻歪后紧凑。人心难测，看到的未必是真，真对你好你又未必消受得了。角色方面温兆伦演好人显得太笨，反倒让人觉得真华克是个人物。练剑锋和邵安琪，实在是一对讨厌鬼。终极提醒，大结局要一直看完片尾字幕。            
(4星)	 陈奕迅唱的片头曲好听，剧情挺好看，就是最后好惊悚！~吓死了！~            
(5星)	 卡司强大 TATA很乖 最后一镜头很悬 主题曲很好听 EASON演唱            
(3星)	 对民国戏实在是没啥兴趣。其实这个剧情完全可以编在当代啊            
