http://movie.douban.com/subject/4059238/	下一站，幸福
(4星)	这个秋天，带来温暖的感觉，或许情节有些老套，或许剧情可以预知，但并不妨碍它拥有温暖人心的力量，给每个相爱想爱的人爱的勇气
(5星)	偶然间在PPS上看到这个剧，只是冲着吴建豪才看的，发现蛮好的，发觉吴建豪已经不再是当年流星花园里那个大男孩了，多了份成熟的味道，更男人了。。。好希望快点出全集啊
(5星)	只有幸福让我们感觉我们是活着的
(3星)	吴慷仁好帅
(5星)	自从迷上美剧后就对台湾偶像剧看不上眼了。今天很偶然的点进了《下》的介绍 ，被V干净的样子吸引住了，(印象中他是满脸胡子?反正不是帅哥好久了)在线看了两集，我就被这部剧暂时迷住了。希望它的后续一样这么精彩。不得不提，V的目前发型比剧中六年后的发型好看多了。
(2星)	看了两集，就知道有多难看了
(4星)	演技比劇情好
(5星)	真的很棒！最近台剧中的精品！！！
(4星)	VVVVVVVVVVVVVVVVVVVV吴建豪哇~~~~安以轩掉下的那一颗颗晶莹的泪滴！演技都大涨~~~~自然  13集很好很强大
(5星)	期待的不俗喇的 台剧..
(5星)	中学时代迷恋的F4里的小V,现在迷恋成熟性感的VANNESS!!!
(NA)	可以边做兼职杂事,边听台词...生活平淡时,听听偶像剧
(4星)	台湾偶像剧里算好看的了
(1星)	俗
(4星)	为毛我看了就是不哭，别人都哭死
(NA)	迷上了- -。
(3星)	第一次为了女二看下去，cookie阿姨太正点了~
(2星)	单眼皮男生：）
(5星)	小V演得很用心 以轩真的很美 喜欢主题曲 虽然老套 但让人感动 这样就可以了
(3星)	演技有进步嘛
(3星)	20100302-0305總括整套戲就是「誤會+誤會+誤會」。如果可以將20集縮至10隻，唔好拖咁耐唔好有咁多誤會，應該會好好睇。故事都仲有好多漏洞，但好鍾意美指，特別是安以軒的衣著同埋佢地係花田村的屋。非常無印的style。吳建豪比起F4時間型左好多，特別是髮型同演技身型一流。
(4星)	小乐你好好懂事好好可爱。全世界就你叫梁慕橙这个名字的时候最最好听。
(4星)	吴建豪终于翻身了
(4星)	V真的很帅……
(4星)	上周看了2集，心里暗自想，又是部老套的偶像剧。昨日实在无聊又看了2集，彻底被吴健豪这个ABC秒杀。这个F4时期倒我胃口的金刚芭比，什么时候说国语也口齿清楚了，什么时候笑容也温暖起来了？时间啊，你真是恐怖。
(4星)	女导演 处理的 就是很细腻 
(3星)	又被吳建豪煞到？
(4星)	解決也太sweet了吧~噶好的
(3星)	吴建豪的演技比想象里好很多。但我还是配角控啊，以茜、拓也、痴心，哪个都比主角可爱。
(4星)	我很久没有觉得台剧好看。
(3星)	台剧都有一个又蠢又贱的女猪脚。。此片充分显示了生一个好娃的必要性 上搞定难缠的婆婆 下搞定狂躁的老公 额外还能摆平多年死性不改的老情人
(5星)	难得台湾片有这样的节奏。
(4星)	好看！
(4星)	我认为拍得不错的偶像剧。开始觉得单亲妈妈慕橙很可怜，后来觉得以茜也很可怜，帮助光晞复健，六年无怨无悔。后来看到十四集，光晞恢复记忆，对慕橙的一番话，又觉得光晞其实是最可怜的。如果一直相信的世界毁灭了，是什么感觉，无法选择自己的生活，被别人改写的记忆，光晞受的伤害远远超过了她们。
(3星)	完全是为了吴建豪看的
(4星)	介于四星和五星之间 吴建豪你太丑了=     =
(2星)	又俗又烂
(2星)	室友一周看完，我整整听了一周丁当的那歌
(4星)	吴建豪很帅，但生气的表演太用力了，让人想起马教主了。故事有些地方与现实相比还是有点弱的，但整体来讲剧本不错。花拓也绝对魅力型男。
(2星)	和女朋友一起看的。打两星不是因为我鄙视偶像剧，完全因为吴建豪这演技实在是差出个鸟来了，哭像笑，笑像哭。那小孩子倒是挺可爱的。
(3星)	光希 你可不可以不要那么帅
(3星)	誰給我說這不是偶像劇來著！
(3星)	小小彬好可爱
(3星)	小小彬超可爱～～～～
(4星)	老梗和狗血桥段堆叠也毁不了的三人气场
(3星)	3天时间……嘛，我觉得和廖老师用一天时间看完4版流星花园相比，我还是不是最无聊的
(4星)	剧本节奏很好，画面也很美。虽然情节俗套但温暖阳光的台剧。
(4星)	偶像剧里算很强大了，我哭了很多鼻子了……G弦之歌很好听~
(4星)	招出我的眼泪了，安以轩真美，演技也有提升~
(3星)	吴建豪屁股好大！
(5星)	虽然婚礼场面只用了九个群众演员，部分镜头又总是听见鸡叫~可是，这又有什么关系呢？
(5星)	不会有哪部电视剧的男女主角有光晞和暮橙更完美。大爱！
(4星)	米修米修，爸爸，爸爸，你收到信号了吗？请宇宙ㄅㄨㄅㄨ来接我回去吧！over~~
(3星)	那双大眼睛，怎么就能那么无神呢。。。
(4星)	最后一集就抄的家有六子啊。。。。。
(4星)	不DJ吳建豪
(5星)	我要的就是这样的爱情和幸福。
(4星)	算是蠻清新的一齣拉 沒有老掉牙的劇情..OST還有小小彬是亮點～ 哈哈哈
(4星)	大结局美好到我要哭。实在喜欢美好的笑容。
(3星)	完全是因为女猪脚才看得这部台剧，看完之后我对女猪脚彻底没感觉并且决定彻底戒掉此类片！！
(4星)	結局還是很幸福的~中間有點拖，看下去完全是因為小小彬。
(4星)	不是说就20集么...
(5星)	只要有你在身边。不管到哪一站。都是幸福。
(4星)	爱不单行 因为你，我相信这个世界还不算太烂。【任光晞·Vanness is coming back..】V终究因为这部剧回归大众视野 无论口碑好坏 我都认定这样努力的他还是我曾经最喜欢的他。认真背下大段口白的他 总是尽力做到最好的他 是最帅的他。收视率好的台剧到最后总是拖 算了…
(3星)	看了一集  毫无想继续看下去的念头诶。。  
(4星)	挺喜欢的，小小彬可爱死了。吴建豪也很帅。前几集没看，从后来吴家豪做手术开始看的。
(3星)	不是我的菜
(NA)	其实吴建豪蛮帅的啊，就是安以轩爱不起来，大概是她做过邓超和孙俪的小三的缘故，为何怎么看都是小三脸呢
(NA)	毛概课拿来打发时间的
(NA)	其實要的不多。
(4星)	演员好养眼！！！！
(4星)	我心疼这个男人 所有的眼泪都是为了他而流 台词让我心碎 小孩很可爱 喜欢女2和男2  安小姐演得不痛不痒 我真的不喜欢这样的女主 日子那么清苦还可以保养指甲 那么长的指甲要怎么弹钢琴=。= 结局好仓促啊~收视一红就烂尾啊~
(4星)	以前就觉得是丁当的歌配得太有感觉了。
(3星)	原来台剧都是男主妈妈很霸道
(5星)	吴建豪很帅笑起来好干净的样子~！！这个是从命中以来最爱的剧了。特别喜欢他们一家三口~
(4星)	。。暑假
(3星)	安以轩像大S附身。。。不过如果大S来演的话就会变姐弟恋了。囧。
(4星)	一集不落的看了...囧
(NA)	还好吧·····打个7分
(3星)	脑残死了最讨厌这样的女1号了还是小乐可爱还是花大仔帅
(NA)	小小彬是亮点
(5星)	V好韩国
(4星)	这“下一站”“幸福”得可真是够不容易的！吴建豪真的和F4时代太不一样了，而且他真的很努力。最喜欢小小彬，太可爱了！4颗星评给剧中所有的演员。
(4星)	只要有你的那站，就是幸福的。
(4星)	当中好几集被我跳过，总体还算不错啦
(3星)	吴建豪会演戏了。
(3星)	虎头蛇尾...(室友在看顺便就看了=.=)
(3星)	星星全是给小小彬的&gt;&lt;❤
(3星)	花痴心最漂亮了真漂亮啊~
(4星)	Vanness的演技进步好多！
(3星)	5集弃。我果真不适合看偶像剧了~
(4星)	哦 傻傻地曾少宗 美麗的許瑋甯。还有后来爱上的花托也小贝嘛~這部劇沒有壞人。好中意這樣兒
(4星)	虎头蛇尾。前半部还行。其实相当的琼瑶阿~
(NA)	总算大结局了~还是很幸福呢~
(2星)	三个人一起追的肥皂剧经历乱蹦乱跳后终于over了.........
(4星)	就是狗血，就是得看……
(4星)	在乱七八糟的台剧里这部以清新的风格胜出。尤其是摄像风格是我最爱的小清新。安以轩的演技自然到位，除了吴建豪不合时宜的台词外，真的挺不错的。小小彬的加入绝对是亮点，任何人都会为关注这个小家伙的出场而追下去的。
(4星)	好吧，我承认我就是很台。。。
(4星)	吳健豪很帥很有味道,安以軒的演技十年如一日,只懂哭,很煩人
(NA)	小小彬太可爱了！！
(2星)	谨以此烂尾狗血剧结束我糜烂的假期生活。
(3星)	俗擱有力 這就是臺灣劇 
(4星)	虽然早知道了结局，但还想要亲眼鉴定。原来“你是我的命运”，这句让我等的好辛苦。
(4星)	比想象中的更舒服~
(4星)	吴建豪说话怎么这么娘。。。。。。
(3星)	虽然主角都不是很喜欢，不过拍的很细腻。
(3星)	原谅我我实在看不下去了！！。。。。。话说“下一站”和“幸福”之间原来有个逗号啊＝       ＝
(4星)	吴建豪还真是帅 以前怎么没发现 还有吴慷仁 《渺渺》里爱上范植伟的小贝  还是这么好看~   
(4星)	挺好看的
(3星)	大家都在疯狂的看“下一站幸福”，这部剧的无聊度是在意料之中的，可是谁也没告诉我，竟是如此之无聊啊啊啊！！！剧情老套啊啊啊！！！
(4星)	虎头蛇尾了，可是感觉真的很好。
(3星)	剧情很熟悉，意料之中，有煽情之处，也有经典台词。
(4星)	还好 是一个完美的结局
(5星)	13集里背着海绵宝宝的梁小乐萌翻了
(4星)	大爱哦~
(4星)	任晓乐是大主角。
(2星)	真不行...
(3星)	弃
(4星)	如果人生就是大富翁，从来多少次我都会遇到你……
(3星)	暖暖的
(4星)	我是來看V的  實在討厭安以軒的角色
(4星)	这么老套的剧情竟然把我看哭了我该抽
(5星)	还不错，挺有爱的~
(4星)	居然现在还会有一部让我等到看得偶像剧
(4星)	  .. .. .. .  
(NA)	吴建豪你可以别再演什么公子哥了吗？
(4星)	有你的那一站，就是幸福的。大团圆结局。
(5星)	虽然开头的G弦之歌剧情有点狗血……但是其实挺好看。第一次觉得Vanness在认真的演戏。
(4星)	狗血的剧情，果然惹人爱~~
(2星)	第15集，又长又臭达到登峰造极的地步。弃。
(5星)	『如果人生是大富翁，不管能有幾次重來，結果應該都是一樣的。因為，你就是我的命運。』
(5星)	好幸福好温暖。最后一集的感觉。
(4星)	那小孩太可愛了！還有，結局有必要拖那麼久嗎。本來熱情還不錯的。anyway總體來說，是真的溫馨幸福啦。親情戲部份很感人。
(5星)	前部分很精彩，后部分有点草。
(4星)	好想赶快看到V的清爽短发呀~
(5星)	任小乐你是天使啊~ 
(4星)	太糾結的一部戲啦~~~~ 還是比較喜歡花拓也！！
(4星)	V演的不错。LG手机和北面对此片亦有贡献。
(4星)	又开始变身偶像剧少女=.=  
(3星)	信任是爱永恒的话题
(2星)	两级弃。。。实在受不了这么俗套的剧情。。。。
(4星)	劇本紮實，吳的演技後段見好。童星可愛。
(4星)	女主比男主黑啊，悲剧啊~~后面几集是肿么啦，编剧chishi去了吗~~~
(5星)	太温馨了
(5星)	寒冷的时节给我淡淡的温暖。
(NA)	六年也许真的敌不过六天。
(4星)	时隔一年，终于看完。
(4星)	很久没追过剧了
(NA)	看不下去
(4星)	亲人
(3星)	挺老套的，挺温馨的，就酱紫。
(3星)	枯死的思路完全被小小彬养活了
(5星)	很好看，安以轩几靓，小v都靓仔左
(5星)	最近看得最好看的台湾偶像剧~
(3星)	因为华娱卫视在播所以就看完了。。。男女主角都是弱智啊。。。。。。吴建豪的瞳距和演技实在是看得我快抓狂。。。。。。。。。。 所以，3个星星都是给男二的。
(4星)	台剧就是观看下集预告就可以把整部片子看完...其实这根本就是流星花园+王子变青蛙+命定等等等等台剧究极体...说张艾莉用老梗你们才是吧！！...不过也算快进快进看掉了啦...总的来说安以轩美翻吴建豪帅翻小小彬萌翻...另...小小彬真的和当年魔翡翠里他爸爸长一模一样！！
(NA)	我终于对台湾偶像剧无感了？？？- -
(4星)	中间实在是拖沓的让人看不下去 开始一两集和最后一两集还好
(5星)	比想象的好看，吴建豪演技提高不少。值得一看的片子。
(4星)	大团圆啊终于大团圆,感激涕零啊感激涕零,之前虐了我多少吨眼泪啊,去幸福的路真是山路十八弯啊!不过有点刻意意拉长之嫌,看得急死.啊吴建豪很帅啊!很帅嘛&gt; &lt;
(NA)	晓乐很可爱
(3星)	认识吴慷仁 挺不错
(5星)	最难是用滥俗的故事触动人。很喜欢的摄影风格
(NA)	逃避考二级压力转换心情才看的
(4星)	催泪大弹~~~
(5星)	不削台湾偶像剧的我，出于好奇，肯本不知道谁主演的情况下看了这部片子。意外的追了下去。意外的爱上VANNESS，他在并F4不起眼。我突然发现小眼男也很可爱
(4星)	关键词 g大调协奏曲这条线没延续下去，但是够纠结！编剧功底好啊！
(3星)	吴建豪总算弄了个正常的发型演了部不那么傻的戏，戏里他儿子真可爱……
(5星)	温馨感人~第一次很用心很爱很爱很爱的一部剧集Vanness迷人的微笑和身材也有加分~
(4星)	拉片看完，居然覺得吳建豪帥了冏難道是身高okay，身材很okay，穿了西裝後感覺超okay的原因？巴哈G弦之歌，滾床單，多角戀……超級狗血~
(4星)	还好，还可以看看，就是有点啰嗦，还比较不合逻辑~
(5星)	陪伴我度过了多少个难过的吵架即将分手之日啊。
(3星)	吴建豪身材不错。安以轩大眼睛眨巴眨巴，怎么看都看不够。
(4星)	换个小正太成不？
(4星)	不介意啰嗦不介意有bug的话，还是可以看看的~ 吴建豪的眉毛好有爱，哈哈~  话说当年他为嘛顶着个地拖头呀？短发好看粉多粉多哎。。 还有，我怎么看见安以轩时会想起大S？男二和女二都不错。。
(3星)	男女猪脚 都不行 。小孩比较可爱 
(4星)	单眼皮也可以这么帅的嘛。
(4星)	无意中看到的一部台剧，看着看着就看下来了。
(3星)	每部冗长拖沓的剧都是因为有个隐忍到让人火冒三丈的女主角。
