http://movie.douban.com/subject/4067152/	行尸走肉 第一季 The Walking Dead
(4星)	 世界再多险恶也阻止不了自己兄弟勾义嫂啊            
(4星)	 按男主角的初始状态来看 这片应该叫“植物人大战僵尸”...            
(4星)	 看完感觉真的很不错，水平中上，电视剧能拍得比电影好看，真少见啊            
(4星)	 其实很多人抱怨的活死人戏份不够或者剧情不够刺激，在我看来倒是AMC的亮点。作为首部活死人题材的美剧，敢于把叙事重点放在人和人性身上，而不是一味创造悬念制造冲突吸引眼球，这也是AMC家的剧不同于FOX，CBS或ABC的优势。因此这部剧只是以活死人末世为背景的情节剧，并因此而出色。            
(4星)	 这部电视剧的导演是肖申克救赎的导演，从影片一开头的对话中就感受到了。            
(3星)	 基本就一话痨片...            
(5星)	 我愛這種電視劇！            
(4星)	 第一季看完了，很靠谱。第二季也要贴合原作漫画哦！            
(5星)	 我发现自己还挺……爱挺喜欢看这类片的……            
(5星)	 从第一集来说 不错了 化妆特效都OK 伏笔埋的就··            
(4星)	 「有些人消极的死去，有些人却顽强的活着。」第一季终于完结了。刚开始的两集十分精彩，引人入胜，但是后面的几集逐渐趋于平淡走向僵尸片的老套路。整集下来感觉化妆很不错，但特技部分却有失水准。Btw，S106里Dale对Andrea说的那段话实在是让人感动不已。★★★☆            
(2星)	 抄袭惊变~~快进着看一集就够了            
(4星)	 很牛啊 又比电影长 还和电影一样过瘾            
(2星)	 拖沓。不讨喜的演员。决定停追。            
(5星)	 毫无悬念PK掉死亡片场成为俺心目中的僵尸片剧集NO.1鸟。第六集大亮。对僵尸形成的科学解释虽然很偷懒但，是同类电影都很少涉及阐释的领域，一整季都打僵尸擦边球的状况也因为这个殉道结尾拉回了点儿末世的范儿。另外，伏笔多多，后劲相当客观。            
(5星)	 植物大戰僵尸……萬聖節快樂~            
(1星)	 无聊无趣            
(3星)	 精彩但无聊            
(4星)	 三角妖之日加惊变系列，咋又变迷失了            
(4星)	 叙事不慌不忙，但也不沉闷，挺好的            
(3星)	 第二季终于要来了！明天首播，今天又从头到尾重温了一遍，连看六集就像一部加长版电影一样！将近5个小时，却丝毫感觉不到厌倦，很不错了…本季的结尾有些潦草，整体水平有待提高，希望第二季可以更精彩，僵尸什么都是噱头，主要还是讲人啊，这样也才更深刻更好看，S2一定要在这大作文章啊…            
(4星)	 同类型丧尸片中的高水准之作，情节精彩，节奏紧凑，堪比好莱坞大片。有时经常会幻想若自己身处丧尸围城中，将是如何场景。            
(NA)	 無新意的殭屍片，看兩集就歇菜            
(NA)	 1漫画版男主是个丢人堆儿里找不着，但细看又挺爷儿们的家伙。剧版就是个大喊快来搞我，又夹紧双腿做俏皮状跑开的娘炮。            
(4星)	 当作加长版的丧尸围城看亦无不可 因为是剧集的缘故大场景做得同电影相比仍有差距 第四集是原作者TM撰写剧本故此普遍受好评 第一季有几个印象深刻场景：一为食马和坦克，二为断手求生后推理，三为老人院黑帮，四为赖活不如好死。几处伏笔：一为黑人父子，二为断手人，三为感染预言者，四为病毒起源            
(5星)	 竟然一直忘记标记            
(NA)	 还可以~但没有大家传的那么神~目前为止也罢过中庸之作~            
(4星)	 只有6集啊ORZ            
(3星)	 弃。第三集开始发现原来还是老套路。            
(5星)	 姐一礼拜不看僵尸就浑身难受，赶紧出第二季吧！！！            
(4星)	 很好看，警官策马狂奔在水泥森林很有末世感            
(3星)	 这需要多少群众演员啊。。。            
(5星)	 期待第二集！            
(3星)	 好恐怖            
(5星)	 彪悍的美國恐怖電視影集，壓迫性的劇情、緊湊的結構，重口無須解釋～            
(4星)	 周末自己在家看这个，唉。。。天黑了            
(5星)	 丧失题材，末日逃生，本来就挺喜欢，更喜欢的是这里充斥了好多人性的两难选择。不错            
(4星)	 剧情其实可以更饱满牛逼一点儿。            
(4星)	 http://www.bilibili.tv/video/av160680/            
(5星)	 像迷失哪样绕悬疑大圈子而导致收不回故事的烂尾情况千万不要出现。。。坐等新季。            
(4星)	 怪不得这么熟，原来就是那漫画改的。僵尸不是重点啊……            
(4星)	 娘的 出了6集 没影了 快出！！！！！！！！            
(3星)	 弩哥最有型。            
(3星)	 末日剧抓人的还是伦理难题，因无回旋余地，故此更显紧迫。改编版本虽然抛开了一部分原作线索，但基本秉承了原作中的执念，赞的是同样放弃了廉价的拯救剧模式。但因为是电视版，在尺度上未免克制温和，有时还有婆婆妈妈之感。            
(3星)	 题材不错，不过剧情相比同类电影没啥亮点，都是那些老套的东西。三星半。            
(4星)	 现阶段同类型片最优 兼顾刺激 人性 科学性解决对策 期待第二季            
(4星)	 因为神逻辑太多反而可以彻底抛弃逻辑好好做钩子抖包袱。所以即使看到被设计成无法打开的门旁边却有一颗GN能炸开的玻璃，以及仅次于核弹的武器爆炸后附近的车玻璃都完好无损也不太妨碍观赏。回想前几集在坦克里开枪导致失聪之类的细节，只能说收得仓促。毕竟是电视剧不是电影，有好的化妆，特效就别提了            
(3星)	 越看越困            
(NA)	 好闷啊又拖  不怎么看得下去。。            
(3星)	 不就打怪捡装备么，无聊死了。。。还各种神发展，编剧吃屎去吧            
(4星)	 电视剧的篇幅使其比同类电影更细腻，不过也容易狗血烂尾。            
(4星)	 首部僵尸题材的美剧啊，特效和化妆都不错，场面做的也挺好，不止是僵尸血腥的打斗，更注重人性的气氛营造，忽然有种看迷失的感觉。。。            
(3星)	 Just so so            
(4星)	 妆效还不错            
(4星)	None
(3星)	 其实这部片子还挺温柔的，丧尸只会走不会跑。故事节奏挺慢的。嘛，还是期待第二季。            
(4星)	 罗梅罗+lost            
(4星)	 比lost好看！            
(4星)	 怎么就那么好僵尸这口呢？还是好世界毁灭人类大逃亡这口？            
(5星)	 GE  LI            
(4星)	 稍微有点恶心 不惊悚            
(4星)	 强烈期待第二季            
(2星)	 zombies            
(3星)	 第一季男主角看着在草地上慢慢爬的僵尸默默流泪，挺感人的。第二季等2011年10月31日播，疯掉了，等这么久！            
(4星)	 末世感不错，但处处都是别人的影子。《我是传奇》、《迷失》、《月球》。。            
(NA)	 还不错 漫画似乎已经编不下去了 可惜太短咯。            
(2星)	 原著漫画还行，这部剧我完全不知道好看在哪儿，删            
(4星)	 化妆师很辛苦。            
(5星)	 不适应此篇的慢节奏，但是加入了很多人性的情感，这是很多电影的缺点，由于太过注重情节，而少了很多细节，干巴巴的僵尸片如生化3，4必定走入死穴。这部戏造型与情感戏双赢。另外，大部分丧尸片的结尾都是某飞机来拯救人类之类，望此片可以突破，给一个虚构并科学的答案，比如他们不吃鲜肉会怎样阿！            
(4星)	 一看感觉特像《生化危机2》。            
(4星)	 虽然棒子很讨厌，不过发现但凡美剧里出现的韩裔演员貌似都很比较和我胃口，比如说GA里的Christina，Flash Forward里的那位（叫什么来着），还有披萨小哥~~            
(5星)	 必须说 Frank Darabont改编得十分出色，漫画的精髓有了，同时在此基础上发展出了新的剧情和细节。            
(3星)	 泄露版蛮给力，期待后续。            
(3星)	 行吧 观望            
(4星)	 除了AMC制作剧集速度太慢之外，几乎没有啥能吐槽之处了，明年万圣节再见吧老伙计！等不及的童鞋们看漫画吧            
(4星)	 男主身材好喜欢啊 好想来一炮  韩国棒子好喜欢啊 好想来一炮             
(5星)	 看完Face off 再看行尸走肉 对僵尸..真的有点亲切。会暗忖定妆师真的好有才华什么的~暴力小哥和韩国小哥都越看越帅啊哈哈哈哈哈 别死哦~~_(￣0￣)_            
(4星)	None
(3星)	 对白再少点。。。。            
(4星)	 这个电视又一次告诉我们所有的世界末日都在美利坚爆发，拯救人类的永远是警察叔叔，更关键的一点在美国会用枪并且枪打准就跟在中国英语好一样（这个好不是指你高考英语多少分，不是指你四六级过没过，而是能对话能开口能听懂）是很牛逼的生存能力。PS：韩国人说英语比鬼子说英语听的顺耳多了            
(4星)	 每次都是深更半夜地看完            
(3星)	 看点是化妆。。，到后面的剧情开始扯了            
(NA)	 我只想看打丧尸 不想看那么多家常里短 ep02高能            
(4星)	 终于有一部美剧可以让我吃不下零食了亲~~~~~~            
(2星)	 得有多即墨无聊才会跟这个剧啊，不看了            
(4星)	 男主角长的像Mulder            
(4星)	 每部丧尸片里总有那么几个好死不死拖后腿的，每次我都很想一枪崩了那些傻逼！            
(5星)	 4.5吧。半星給最后一首bob dylan的歌            
(4星)	 印象最深的人物竟然是那个被感染，却要求同伴丢弃自己的JIM。我要去找我的妻子和孩子了。也幸好，他在抱有期望的时候选择了放弃，不然，他即将等来的的是无尽的失落。博士说：拥着自己心爱的家人一起死去，不是很好么？JIM，抱着期望，与家人相见的期待，死去，也很好！            
(5星)	 不错            
(3星)	 应该是丧尸吧~~AMC出品！还是不错的            
(5星)	 就冲它是第一部僵尸连续剧我也要给五星，更别说情节很抓人主角很光环呢~和爸爸一下子就看完了6集，什么时候出第二季啊！            
(3星)	 每个僵尸都要被爆头，不管是枪、箭、还是斧头。            
(5星)	 史上第一部丧尸连续剧 有不追的理由么？            
(3星)	 虽然不是重点。。但导演完全不知道怎么做枪支射击和爆炸的效果么？？            
(NA)	 其实是一部内涵片，第六集吐槽的其实是这个世界已经被没有人性的躯体占据了……            
(4星)	 打僵尸神马的好有爱。            
(4星)	 看了第一集，做了一夜的恶心的噩梦。            
(4星)	 一口气六集搞定没有外界评价那么高怎么对我来讲就没感到新意呢摊手 LOST浓缩版看起来毫不费力就是了            
(3星)	 看到目前为止只能说还行吧 第二季什么时候能出现？哈？！            
(3星)	 可以看看的丧尸片。。。。。。。。AMC总共拍了几部剧阿好像除了MAD MAN我都没拉下，平均水平还是蛮高的            
(4星)	  我是传奇电视剧版。。            
(5星)	 满足了我从小到大对丧尸之城幻想！            
(4星)	 植物人大战僵尸            
(4星)	 末世氛围营造的还不错。片头很赞。PS：the Walking Dead 告诉我们：当你重病昏迷不醒的时候，你的好兄弟不仅会好好照顾你的家人，更加会极力满足你老婆的生理需求。            
(4星)	 节奏慢了点，还有就是，这个浩劫的起因呢？我还是比较喜欢亚特兰大的那个医生            
(4星)	 嗯。可以追～            
(5星)	 丧尸！电视剧！！五星不解释！！！            
(2星)	 达拉邦特你已经彻底成为一个傻逼了            
(4星)	 最后一集不给力            
(5星)	 我的末世情结哇~~~~            
(5星)	 虽然是僵尸片，但讲的其实是人性，大赞            
(4星)	 期待后续            
(4星)	 节奏比较慢的僵尸片，可与《28周之后》对比观看。            
(5星)	 值得一看啊。            
(4星)	 pilot很精彩，不过不得不同一个：  “伏笔埋的就··”；除了肥皂剧元素，大都还好，Dylan is the hope；很难得的没留大无聊cliff hanger            
(4星)	 本來想打五星的，但是裏面的主角是在有點不討喜。個人英雄主義的陳詞濫調也太偷懶了些。人性不是個人英雄主義的新藉口。但是裏面人物生存的狀態有意思，還是值得追。            
(5星)	 AMC总是给人以各种思考            
(4星)	 从泄露出的第一集来看。算是连续剧里素质不错的了。虽然电脑特技不够SAW那种程度的逼真可以看的出后期痕迹，至少是及格的，而且以连续剧的标准来看可以算很不错了。剧情看上去也还有潜力。另外看到越狱女主角了。关注此片。【看完第一季补：降一颗星，前两集给力，后面稍显繁冗，第二季持观望态度。            
(5星)	 AMC Slogan :Story Matters Here!             
(5星)	 人性描写很到位嗷！美术做的也不错 TUT ，电视剧来说很棒了！            
(NA)	 很好看欸！！！            
(4星)	 第三集有亮点！            
(NA)	 lz 006血淋淋啊= =到了如此田地，还有什么在等着？希望,还有咩？            
(NA)	 完全不给力呀！！！            
(4星)	 剧情稍显拖沓            
(5星)	 这不是丧尸片，更像是末日题材下人性拷问的伦理剧。当然，当成丧尸片来看也亦无不可，可惜第二季要等上一年，我还是抽时间把漫画看了吧。            
(4星)	 7.1/10 其实，三星半吧，老套的剧情，也没拍出什么新东西，看看第二季如何再决定追不            
(3星)	 节奏太慢            
(NA)	 看的我天天做噩梦  梦见我和EX结婚了  然后后悔了。。。            
(4星)	 世界末日到了，文科生还不如送披萨的            
(5星)	 我的僵尸情结=。=            
(4星)	 好爽好爽好爽啊            
(5星)	 拍得太好了！一直觉得僵尸只是一种想象。看过这个，感觉总有一天僵尸会袭击人类的。。。导演厉害！强烈推荐！            
(4星)	 三颗星给僵尸，一颗星给韩国正太小Kim。            
(4星)	 因为对僵尸剧比较感兴趣，看了两季的《行尸走肉》，感觉和以前看的僵尸片很不同，生化危机类的僵尸片，主要是复杂的剧情，特别是游戏剧情非常复杂，而《行尸走肉》剧情简单，甚至冗长，节奏慢，重点描写的是人，第二季的结尾非常出乎人的意外，令人震惊，或许这也是其在豆瓣上得分颇高的原因之一。            
(4星)	 虽然有惊变28天+我是传奇等僵尸片的影子，不过还是很好看，人物性格在逐步突出。            
(3星)	 #这不是影评#也就之前的遭遇战打法比较吸引人，到了后期众人驻扎到监狱里碰到大型武装匪徒团体就开始虐人心磨耐性了，我绝对不会告诉你们到第四季完几乎所有主角配角全部都会因为内斗而死，而RICK的儿子一个人会碰到另外一个科学家团体开始新的故事...算了，不说了，再说成剧透了。            
(5星)	 一千个星            
(5星)	 对人性的刻画很独到。            
(5星)	 第二季终于来啦！ 起点末世流死忠派等到吐            
(3星)	 虽然亮点不少，但是整体上情节不紧凑，故事无张力，逻辑不缜密，口味不独到。    6/10            
(4星)	 三星半吧,如果不是enough同学第2季就放弃了,有点犹豫要不要继续...            
(4星)	 哈哈哈短评说是植物人大战僵尸啊哈哈哈哈啊 啊            
(4星)	 AMC的末世情懷 前半部很精彩            
(3星)	 时时想起Lost，并且……斯认为编剧很不行            
(4星)	 作为一个活泼向上的青少年我居然很爱看僵尸片 = =            
(4星)	 这大概是我有生以来看的第三部美剧？电影制作水准，出乎我的意料。主要剧情和人物关系、内心刻画引人入胜。丧尸嘛，远达不到惊悚的程度。希望第二季能有更强大冲击力。            
(5星)	 场面好震撼            
(3星)	 好紧张啊。僵尸片这玩意儿看着还挺上瘾的。            
(5星)	 精彩的丧尸剧~ 重口味我喜欢~            
(4星)	 電視劇真好,            
(5星)	 等第二季            
(3星)	 “你不能这样走入一个人的生活，让他在乎你后又一走了之。”最近偏好灾难片，情感和人性被剖析和放大，末日似乎变得不在那么可怕。。。            
(5星)	 虽然弩哥一直冲动做事上蹿下跳像猴子和野猪的混合体   我还是喜欢他~ 弩哥cool man~            
(5星)	 很有当初看lost的感觉~            
(3星)	 男主角靠谱过头啦！无惊无险第一季。            
(3星)	 不是僵尸剧，伦理剧吧。            
(4星)	 第二季            
(NA)	 第一季看完，期待第二季~！！hia~hia~            
(3星)	 神叨的....            
(3星)	 一塌糊涂。化妆加一星。            
(3星)	 先用6个小时看完这部剧，然后看僵尸肖恩，才觉得这部剧有多SHI            
(4星)	 重口不足，卖萌有余。可芒LITTLE SLUTTY             
(NA)	 看得我慎得慌。            
(4星)	 不错 前两集看起来还可以，就是28天的加长版 28天丧尸黎明等电影的综合版，有不一样处，丧尸本来不吃狗狗等动物啊，此片饥不择食马 鹿都吃了。。看完了。后三集不如前三集，逃出卫生控制中心后，觉得外边的僵尸是多么可爱温顺啊。。排成剧无非也就是多增加了些人的心理描述，血腥是再多些就好了            
(4星)	 好看，生化危机+LOST，编剧用心，人物饱满，不恐怖，但恶心            
(4星)	 很治愈的僵尸片= =，就是僵尸们叫起来太难听了~里面那个棒子噢，原来TBBT里也出来露过一小脸，耳朵的那个第一任倒霉室友XDD！            
(NA)	 养老院那段太扯了，你信吗？我不信。            
(4星)	 很期待第二季            
(4星)	 所谓对人性的揭露，其实点到即止了，不过看在是电视剧的份上，值得一看            
(4星)	 最是那末世情怀...            
(4星)	 还蛮过瘾的            
(4星)	 前两集充满了大片范 到后面就是美剧的常规套路了 在这里要感叹一下的是：没抵挡住好奇的诱惑的结果是 从此又要过上苦等美剧的纠结生活了。            
(5星)	 最好看的僵尸片            
(5星)	 好看！喜歡那個思密達小伙兒！            
(3星)	 好在哪里………生化危机和lost一结合，不就是这个了么……            
(3星)	 不要拍成lost啊por favor            
(3星)	 有那些抒情的功夫多想想怎么活下去好不……            
(NA)	 我觉得我心理承受能力超强            
(NA)	 狗血阿~~~            
(4星)	 开始和原著发展出不同的剧情……侧重刻画人物，想看场面的就不要浪费时间了。            
(4星)	 真他妈短……下一季~            
(5星)	 so cool~!            
(NA)	 唉，对survive游戏总是很着迷。。。            
(3星)	 没传说中的那么好看啊。。。。            
(4星)	 很欢乐啊~~~~            
(5星)	 所谓的行尸走肉不是满街的僵尸，而是内心早已死亡仍在呼吸的人。期待第二季            
(3星)	 完全找不到当年看越狱时候看完第一就想看第二的感觉            
