http://movie.douban.com/subject/4082304/	鱼跃在花见 魚躍在花見
(3星)	 为嘛张智霖还是那么嫩嫩嫩！            
(4星)	 张智霖一点都没变呀~~~真美好            
(NA)	 哎呀呀！男一号和男二号发型一样只是左右分不一，女一和女二发型也一样，只是左右分不一样！！！            
(4星)	 他似乎永远不会老。            
(4星)	 张智霖的萌加分不少……寿司buddy……            
(3星)	 这三星全是给小张，他怎么还是那么面嫩~~            
(3星)	 张智霖怎么也成不老的典范了，越看越嫩。这剧看的有点促进食欲            
(4星)	 嚣哥和小茏女每次见面内法文歌(?)都跟泥马闹鬼一样................            
(4星)	 又烂尾了            
(NA)	 謝天華何時才能unlock條眉            
(4星)	 情节很虐。但是有松哥有大仙有拉风哥，还有北海道风光和寿司，四星了。            
(4星)	 四顆星，扣分處：狗血的劇情 得分點：胡杏兒的角色討喜，大仙依舊不老，美食當道無法抗拒，劉松仁老頑童            
(5星)	 好喜欢张智霖呐~~~~~~~~~~~~~~            
(5星)	 最喜欢看小鱼和羌仔斗嘴 还有慕容桑~~哈哈            
(5星)	 点解咁短！！！！！！！            
(3星)	 谢天华杨怡毫无化学反应，结局太狗血，或者说从XX集开始就开始越来越狗血，不好看但是很好吃，刘松仁很可爱，老顽童嘛，张智霖和胡杏儿还是挺搭的            
(3星)	 胡囧囧你太狠了！你害我连大仙的戏都看不成TT            
(4星)	 好想次寿司            
(3星)	 元旦几天就靠这个了。。。。还好江苏卫视今天播完了。。            
(5星)	 尚未完结，美食赞的，五星送上！            
(3星)	 chilam仲系咁cuuuuuute            
(4星)	 音樂不錯，喜歡最末集的信，燈塔下連那麼丑得胡杏兒看起來好像也蠻好看的。            
(4星)	 比我想象中的好看。比隔离好看~很得意~胡杏儿的衣服也好看~~~~            
(4星)	 T-T，张智霖~寿司看起来也很不错。            
(3星)	 只喜欢看做寿司的过程，比请名人做主持时切菜炒肉缩手缩脚的傻逼饮食节目好看些。港剧一贯的给日本舔屁眼儿，难道频繁去了日本就新潮了？鸡巴样。网络电视上看到第14集，不想浪费时间看了            
(4星)	 黑白黄红青10星鳗~2月14日看第一集，第一张此片截图~当时截图的时候，还不知道，这片子会是近期最爱的TVB！除了大仙有点胖，基本完美，最后一集也不那么狗血！3月5日收工~~            
(NA)	 对峙不想看了，原本以为张智霖和杨怡，没想到是张和胡，靠！            
