http://movie.douban.com/subject/4124395/	Only You 只有您
(3星)	 这也玩的太大了吧，为了主角那对在一起炸死一对新人你们何其残忍啊！            
(4星)	 蒙嘉慧演技出来啦            
(4星)	 温馨单元剧，很有点小意思。不过结局太扯了！为了成全男女一号，把男女二号給活活弄死了！这种温馨剧就应该温馨happy ending啊！看了几部蒙嘉慧的电视后，发现她还是挺耐看的，演技也很自然啊。Ekin有眼光！            
(5星)	 蒙嘉慧郑嘉颖都是大爱！！！结局够狗血的！！！            
(3星)	 ……最后怎么还死了一对？！喂喂和整体基调完全不搭调好吗？！            
(5星)	 第一集就看的眼泪哗哗~亲情剧阿~感动~！            
(4星)	 &lt;29 完结&gt;从《与敌同行》就盼着yoyo和KC能演回情侣，到这部终于圆满了。结尾实在是反转的太狗血了，虽然看之前已经被剧透了，可看到那么惨烈的一幕还是被戳中泪点TATp.s：杜太好美啊❤            
(1星)	 一部生活情感剧，也可以编的这么陈桥陋段的且极尽夸张之能事，外加那个不合逻辑的大结局，令人失望。            
(2星)	 TVB脑残片。像绝大多数港剧一样靠夸张和巧合推动剧情发展。对白中出现各式巨大的彩色的辅助性文字，巨傻逼。。。            
(3星)	 还好吧，其实有点寡，但是还是坚持看完了            
(4星)	 田蕊妮 美！            
(3星)	 結局是要鬧哪樣            
(4星)	 為咩結局要有人死！！！！！！！！！！！！！！！！！擦擦！！！            
(4星)	 烂结局TAT！！！！！            
(4星)	 满温馨的小品剧。KC和YOYO养眼，国语配音那块，李司棋是没人给她配吗？狂汗那声音。。。            
(3星)	 这TM是什么结局啊~~~            
(2星)	 不给力，蒙嘉慧越来越不灵了……            
(NA)	 喜歡第二十四集那母女情,故事有點老土但感人            
(3星)	 为了这个卡司还是追一下，女拳就算了吧。。。kc和蒙嘉慧这个组合真的无法感受到爱呀 还是和阿佘吧！            
(NA)	 20集超感人的~~~            
(5星)	 11年，是弃剧的一年！不过这个还不错看~            
(4星)	 成为中女不是我的错。            
(4星)	 結婚真的是一件很容易讓人感動的事兒 那種大喜大悲的情緒很容易就渲染到看客。最後還要洒一把狗血~            
(3星)	 结局有点草率            
(3星)	 看了一个通宵 娘哟 为毛还是喜欢这种老套的故事==            
(5星)	 虽然只追了11集，但其中酸甜苦辣看得我好过瘾，喜欢看tvb这样的戏~~继续追            
(4星)	 人的一生永远不会知道下一秒会发生什么事，所以，最重要的是要活在当下。珍惜眼前人。            
(1星)	 编剧真是个13点。女人摔倒一定要扭伤脚吗？？？？拍了10集，扭脚镜头8个？我c你全家。真tm垃圾。            
(4星)	 平凡的爱意 有些故事真的很温馨也感动。KC演起深情的角色绝对是驾轻就熟。            
(NA)	 YOYO 最高            
(3星)	 死得好惨啊～～～～～～            
(4星)	 幸福没有那么容易，所以才特别让人着迷。            
(4星)	 终于看完了!!!            
(2星)	 只为你老婆，但是没想到蒙嘉慧演技还不搓            
(1星)	 又不是情景喜劇,怎麼這麼市井小民, 本來還想著怎麼也等到唐詩詠出場看看她是什麼樣角色, 第一集完全沒出現(大概吧,我拖很大), 不追了, 01棄。            
(4星)	 闹着闹着就闹了三十集 一点也不觉得长 TVB的剧最后一定是大团圆 看得心里暖暖的 不过郑嘉颖和蒙嘉慧两人不怎么来电啊叹气 钟景辉跟荷妈倒是很配！            
(4星)	 一集不落追下来，全都是蒙嘉慧的功劳（太喜欢这妹子啦XDDD            
(3星)	 好久没有一口气看完一部TVB的片子了，剧里的客串还挺多的，不过看得出来TVB确实是青黄不接了。蒙嘉慧真是搏命演出，她也是看着老了。不过一个讲婚嫁故事的结局为了让男女主角在一起让次要角色临终领便当这也太无聊了吧。。。            
(4星)	 最近难得的好港剧            
(4星)	 第一集居然把我看哭了！            
(3星)	 这。。。结局也太吓人了吧。。。。。就是为了让阿蚊和summer醒悟么。。。。            
(4星)	 touching.没有特别喜爱的演员但是剧很好看..            
(3星)	 我擦……這死亡flag也太……！！！有毛必要啊？！囧不過kc和蒙嘉慧還挺配的            
(4星)	 結局居然讓黎諾懿那對couple死了 簡直是這部溫馨愛情劇集的致命傷            
(4星)	 诚意十足的作品，配角的故事更精彩。唐诗咏，陈美诗，姚嘉妮，李思捷，黎诺懿，，陈山聪，姚子羚，阮小仪，钱嘉乐，杨秀惠，官恩娜，谢雪心。            
(NA)	 为陈美诗看。            
(3星)	 个人觉得yoyo和郑嘉颖很配            
