http://movie.douban.com/subject/4166481/	刀歌之多情刀
(5星)	 黄文豪实在是太帅了.......            
(4星)	 恰都是喜欢的演员，虐剧啊。            
(3星)	 凤凰卫视放过的            
(4星)	 看到評論有人說宮飛雲不如連嬋甚至不如岳國城，我實在不能理解。一個那麼驕傲的男人自斷一臂為愛為贖罪都罷，這需要多大的勇氣!殘缺的軀體、被踩低的自尊，一心嚮往遠走高飛、自由自在的他，卻還是因為擔心她而留下；一個處在低谷還不忘為在乎的人著想的男人，到底哪裡不如人?            
(5星)	 短小精炼，很快看完！不是武侠片，是爱情片            
(5星)	 虽然剧情很虐，但终于在一起了            
(NA)	 卡司有爱            
(4星)	 啊啊啊，龚慈恩，我的口水由雪花神剑流到这里来了。            
(5星)	 是啊，你何德何能？人无所谓好坏，只是各有立场。曾经有两个女子打动心，一个是NANA，一个是何美钿，看她在戏里一颦一笑，也是感慨万分。             
(3星)	 男主到后面真让人生气，就像前面有人说的，最后发现连岳国成都不如，渣呀，真渣！！！            
(3星)	 开头很好看，后面很操蛋！            
(5星)	 大爱宫飞云和连婵            
(4星)	 老剧，当时觉得大虐，以后有空再翻出来看看            
(5星)	 开始觉得宫飞云很伟大，看到中间觉得他不如连婵，最后发现都不如岳国城            
(3星)	 内容性不强，男主很帅            
(NA)	 2010.3.1—3.4            
