http://movie.douban.com/subject/4189694/	公主嫁到
(3星)	 金家的精神就是精神病。            
(3星)	 不喜欢那一家姓金的            
(4星)	 哈哈哈，粤语押韵好欢乐啊。            
(4星)	 宫心计2就是个噱头呗..其实就是醉打金枝2啦..            
(5星)	 想不到TVB的古装剧制作那么精良            
(5星)	  实在系太爆笑啦 几搞野嘎~~~             
(5星)	 剧情很好笑呢！哈哈哈哈 为啥要叫宫心计2？难道因为里面的演员很多都是一样的吗？那TVB的每部剧演员都差不多 不是每部都要叫宫心计2345678910？            
(5星)	 一向很中意TVB的轻喜宫廷风~            
(3星)	 越到后面越扯淡            
(4星)	 金句很多，编剧有才            
(3星)	 幾搞怪，本來就是閒來無事的甜點喜劇，不用過於在乎意義。笑過之後反倒發現，編劇還是很用心，普及唐朝宮廷嫁娶、君臣禮儀、民間風俗、百姓生活狀態等等知識，注意衣食住行等細節處的華貴，金句良言甚多。            
(1星)	 sb剧情。。。浮夸的演技。。。            
(4星)	 好看，蛮搞笑的。            
(3星)	 怎么一天到晚假死。。。            
(3星)	 看到第五集 吴尊出场后我就不喜欢看了            
(2星)	 Fuck! 這麼多年了 TVB你能有點突破不？            
(3星)	 我跟我妈一致得出的结论：一家二百五，聒噪婆妈又愚蠢            
(2星)	 好吵啊            
(2星)	 看到第五集结束。挺烂的剧情，反正也找不到那就不追了。            
(3星)	 除了教会我们许多歇后语，这部剧还是一般般，看来，《金枝欲孽》确实是TVB最后的挽歌！            
(NA)	 佘诗曼这张脸真是看！够！了！            
(3星)	 比宫心计好看多啦            
(2星)	 比较烦　            
(3星)	 佘诗曼，钟嘉欣……            
(3星)	 我不知道这三星是打给谁的。。。TVB的么。。。。。。。这个简直难看到了一个奇怪的境界。。。看了那么多年的港剧。。佘诗曼我看够了好吗！！！这几年是她红了还是怎么地，总是她当女主的剧我都看不下去。。            
(5星)	 爆笑= =            
(2星)	 我全名叫俺是那傻逼！！！！！！！！！！！！一直希望快点放完，全集强迫症还是看下去了。。            
(3星)	 终于看完啦！            
(2星)	 句子还不错……剧情太狗血            
(3星)	 我擦！为什么老是那个丑的像屎一样的小女孩演TVB剧中的儿时！！！是要有多押韵，编剧想台词应该想疯了吧。            
(3星)	 第四集，弃。            
(2星)	 看了4集，弃。            
(3星)	 别拍手了！！！！别拍手了！！！            
(4星)	 不喜欢金家！！！真无理的金家。。。阿佘 三公主 是‘戏里灵药，剧集没她没法看！            
(1星)	 我小姨也天天再看！！！            
(4星)	 我当真喜欢佘诗曼。            
(4星)	 哈哈哈哈 金家三兄弟太曹了 陈豪就适合这种神经兮兮的角色呀~            
(5星)	 给五星            
(3星)	 看的我居然开始喜欢佘诗曼了。。。            
(5星)	 够神经！我喜欢 ！！！            
(1星)	 非常难看 不要妄想和义海争！            
(3星)	 搞~            
(4星)	 不错的港剧            
(4星)	 TVB近来的片子都不太好，这部总算是看完了，很喜乐倒是~            
(4星)	 嗯!台词超级押韵~~            
(NA)	 fx0019 准备弃了.            
(NA)	 “但求一死。愿与爱妻共赴黄泉。”            
(4星)	 最感人的是巡礼时候的演员全部都在！！            
(4星)	 智商好低 真好猜             
(3星)	 就靠一堆明星堆砌出来的烂剧情 不过台词是亮点            
(3星)	 我就没看到佘诗曼呀。            
(4星)	 在17宿舍看了两集…… 欢乐…… 还看了好久没看的银他妈…… 将军大欢乐！            
(3星)	 因为我妈每晚都看........不过TVB还真的没有新花头了阿            
(2星)	 看到佘大妈顶着满脸皱纹装傻充愣卖萌实在忍不住胃里的波涛汹涌 尼玛TVB的人都死光了？？？？？            
(4星)	 主题曲真好听…            
(4星)	 其实还不错啦，近几年TVB剧情老套的剧太多了…起码我还看得下去            
(4星)	 比宫心计好看。            
(4星)	 可以随便看看。陈法拉的角色还比较适合她，总比装纯的好            
(NA)	 无聊学习打发休息            
(2星)	 拖沓狗血，前面欢喜冤家的时候还有点意思，后面真的狗血到不行，哪有这么多捡来的孩子啊，还给我大逆转又转回去= =不过很喜欢金家人，港剧一向强调最重要的是一家人整整齐齐，大陆很少有这种大家庭，独生子女很难感受到这种手足之情。            
(3星)	 完全就是奔着惠英红演反派去看的。。。            
(2星)	 看不下去 太傻比了            
(3星)	 傻绝了...            
(4星)	 TVB我最喜欢的三个男演员！            
(4星)	 都知道港剧弱智，问题是爷就爱这个神经兮兮的调调            
(5星)	 为什么喜剧看到后来我哭的一塌糊涂。。。=。=||             
(4星)	 给的服饰和妆容。            
(3星)	 TVB这回也太恶搞了~            
(3星)	 2.5            
(3星)	 佘诗曼讨厌讨厌讨厌死了            
