http://movie.douban.com/subject/4195601/	女人最痛
(3星)	 这产妇都可以做人奶奶了。生仔那段真是狗血            
(4星)	 张可颐！！！张可颐！！！张可颐！！！            
(3星)	 竟然弄了个跟丑女贝蒂里一样的办公室！港剧除了抄袭已经没太多原创了！            
(2星)	 狗血烂剧。            
(4星)	 结尾是有点仓促了 没有大boss出来神龙摆尾 遗憾下            
(4星)	 今夏让我耐心看完的tvb剧，最近这些真的质量大不如前呢，如果你想上位可以看看，绝对不是爱情剧。Jacky真的很自私呢。讨厌。            
(5星)	 TVB的女人戲這種類型算是最不狗血的。            
(5星)	 ！！超喜欢这部剧            
(4星)	 看《杜拉拉升职记》不如看《女人最痛》。            
(3星)	 可颐老了……            
(4星)	 一個要家庭，一個要事業，一個兩兼顧...Nick就最可憐了，那麼好的人，第一個老婆愛女人，第二個准老婆愛事業...            
(4星)	 工作 家庭 友情 都是生活的一部分 懂得享受才不会功亏一篑            
(4星)	 二小姐的角色太不讨好            
(3星)	 不是治愈、疗伤、激励系电视剧，怎么说呢，无功无过吧！喜欢jackie！            
(2星)	 一帮恶心的演员，一部无聊的港剧            
(4星)	 喜欢甜妞贾晓晨~            
(4星)	 结局真是。。。不知道怎么形容了。。。            
(4星)	 Jackie癲咗. 心都碎了.            
(3星)	 所以暑假都在看TVB就是了。。。            
(4星)	 感情，事业不能兼得            
(4星)	 张可颐好看            
(3星)	 张可颐塑造了一个跟以前有那么点不一样的女强人，不过故事本身还是实在太俗套了。            
(3星)	 看的我还挺痛            
(4星)	 滕丽名更多是运气，张可颐太过于事业，米雪这角色还是最好。            
(3星)	 米雪的国语配音太难听了！            
(4星)	 結局好倉促喔 jackie有夠賤            
(4星)	 Jakie這種女人就只有包養男人            
(3星)	 仓促收尾            
(4星)	 到底怎样算成功？            
(3星)	 肥皂剧            
(NA)	 建议不要看了。            
(NA)	 终于看完了，当女人嘛，要那么折腾自己吗？            
(4星)	 那个GM是吃屎的吗。。。。他是怎么坐着这位的            
(4星)	 港片的通病啊，虎头蛇尾            
(4星)	 很现实的一部剧。。            
(2星)	 还能再狗血点么？ 好吧，蜗承认看完纯粹因为马德钟和张可颐很养眼            
(3星)	 这么多年过去了TVB的编剧们还是那么喜欢泾渭分明好的一阵营坏的一阵营...            
(4星)	 滕丽名陈国邦好有爱~            
(3星)	 JACKIE挺讨人厌            
(4星)	 个么我挺喜欢这结局的，想起每当变幻时了（有点想哭            
(NA)	 真狠。。。            
(4星)	 好久没有看TVB了·可颐挺你·····            
(4星)	 张可颐是一波复出中表现最好的一位            
(3星)	 第一次每天追TVB的电视剧看。最爱的可颐，最后还是舍弃了爱情。心里很痛。三个女人的角色，没有最喜欢的，但是都有可爱又可恨之处。不完美的女人，才是真实的女人。            
(4星)	 3星半 因为看完后我也没想到职位高是为了什么 编剧不负责的不交代 我也没办法            
(4星)	 編劇里有朋友B.Y            
(4星)	 今年tvb唯一能让我看下去的剧            
