http://movie.douban.com/subject/4195676/	巾帼枭雄之义海豪情 巾幗梟雄之義海豪情
(5星)	 荡气回肠，tvb的电视剧本就该如此，只是这几年江河日下。不过，看着邓萃雯和黎耀祥，深感欣慰。            
(5星)	 嫁人当嫁黎耀祥。            
(5星)	 邓萃雯演的真好啊~            
(5星)	 看了两集就觉得很精彩，太有张力了。邓萃雯和黎耀祥好入戏。排骨更是把低下层小人物那种卑微可怜演活了。无论以后结尾怎么烂，已经够让我打上五星。            
(4星)	 晴晴这个人物真是败笔，傻装纯，明明有心脏病，还天天这里跑跑，那里撞撞，每集都听她在那唠唠叨叨讲自己的日记，三天两头就激动一次晕倒两次，能活那么久还真的是多得编剧怜爱啊。少了她一切就完美了。            
(5星)	 正在看  超级超级好看  我爱邓萃雯            
(4星)	 有香港风情。虽然猪笼里的温馨有些做作不够市井，虽然还是避免不了要将所有心机摆出来给师奶们听，虽然正反两派对轧很TVB，但邓萃雯实在出彩，撑得起来。            
(5星)	 太好看了！！！！！很少看一部连续剧全身起鸡皮疙瘩！！剧本和演员的演技，敢再好点么~！！？            
(5星)	 雯女好型！            
(3星)	 狂爱邓萃雯啊！陈法拉太做作了，整个角色完全没有存在的意义！还是第一部巾帼枭雄好看，这部里面太多剧情都是在侮辱观众智商了。日本人是那么好糊弄的嘛？两个日本人在中国吵架都是用广东话的嘛？            
(3星)	 聲勢猛，越後越狗血。讓鄧萃雯做大好人，怎麼會有多面反派好看？！還是巡禮劇好看。。要不要棄劇？            
(5星)	 虽然只看了一集，好剧的光芒已经把黑夜点亮~一开场就能把你带入戏的电视剧你还有什么好说的。享受吧~~~~~            
(5星)	 演技没话讲!            
(5星)	 好感人 敖嘉年演的好棒！我都哭了～            
(5星)	 看完就想看下一集~~~~~            
(3星)	 续集虽然与上一集一点联系都没有，但剧情很跌宕起伏，个人觉得上一部更好看。邓萃雯英姿飒爽的气质真的非常少见，但是她演郑九妹这个角色似乎太用力，黎耀祥则是小人物的有情有义。最近还看了这个电视剧最初的预告片，邓萃雯是忠奸难辨，黎耀祥则是由奸变忠，感觉更真实更好看。            
(5星)	 胡定欣一张虽人脸！！看到就烦！！！            
(3星)	 失望            
(2星)	 破碎得一塌糊涂的主线，最亮的是非凡哥啊            
(4星)	 感觉人物会比第一部更加丰满 加油吧            
(5星)	 看到第20集 太鸡动了也！！！            
(5星)	 牛逼！这剧震撼人心            
(5星)	 第一部很好看，第二部刚开始看，就上瘾了。            
(5星)	 邓萃雯演的真是有气场啊~~~~中老年纯爱片的典范啊~~！            
(4星)	 鄧萃雯的眼睛真是……有戲。            
(5星)	 什么都别说了！换做谁拥有这一辈子会不满足呢！            
(4星)	 晴晴是唯一的败笔。            
(3星)	 每集都在下猛料啊，拼命的想要荡气回肠，不过好似用力过度。完全不能和《金枝欲孽》比嘛。            
(5星)	 这样的爱情，连“我爱你”三个字都显得多余。            
(5星)	 老戏骨们才是王道啊～感动的一塌糊涂            
(5星)	 要不要这么感动啊！！！大哭一场！演的太好了！！！            
(5星)	 對於現在的TVB每年要能出一部這樣的劇我就滿意了            
(5星)	 tvb不死            
(5星)	 哭点很高的咪咩最后一集也泪流满面了，长大以后从来没看过这么好看的电视剧啊（当然是就电视剧标准要求的，要把期望自动调到电视剧频道再看喔），日剧英剧都是浮云佐，港剧才是在漫漫长夜里让你荡个气回个肠的最佳选择！如果没有麻痹晴晴的日记就更好了！醒哥我彻底被你迷住了！系边个这么迷人哇！！！            
(4星)	 邓萃雯还真像翁美玲，这部戏的复古造型很赞，包包也不错哦            
(4星)	 开篇排骨仔好感人给最佳男配。。太暴力动辄警棍打头掌掴妇孺，看不下去（日寇万衰！汉奸慢慢衰！）Victory那场也太搞了还搞了两场&gt;&#34;&lt;狗血归狗血，还是有温情有豪情，主演也驾驭得住            
(4星)	 同学都说好看~雯女20集最后的那个表情~很妙~            
(5星)	 好看的要死了！！！！！            
(5星)	 默默地又看得內牛滿面了……            
(5星)	 好看！            
(5星)	 迄今为止让我看得热血沸腾的一部电视剧            
(5星)	 向九姑娘学习，太精彩了。            
(4星)	 这部比第一部好看多了！            
(NA)	 3完全看不进去，算逑。            
(4星)	 情节还不错，就是港剧一贯的拖沓尤其是日记女的剧情使得整个剧反而不连贯了，世间最纯洁的爱在这一部才算实现了            
(5星)	 好久没看过这么好的港剧了，邓萃雯的演技真棒            
(4星)	 九姑娘 醒哥V5            
(5星)	 邓萃雯演技了得            
(5星)	 邓萃雯演的真棒。乱世豪情啊，为什么他们要在错过30年后才重逢，命运弄人哦！里面九姑娘的每一套戏服都好美！            
(5星)	 哎 结局看得我特别难过，转眼十年，转眼二十年，最后我好像真的觉得自己看到了姚小蝶，是有多美！最后再叫一次他的名字，看官也都肝肠寸断。这是真爱。//特别特别屌 不用情爱和家族矛盾 一样能让人揪心！            
(2星)	 10集後狂拖，沒興趣了～配角戲份多了，主角都模糊了。抗日這麼無聊的題材要翻炒到什麼時候？！都地球村了，和平相處吧！！            
(5星)	 難得有這麼狗血的結局還能讓我哭的死去活來            
(5星)	 惯例来说，第二部应该不会太好，但是九姑娘和醒哥给了我们一个奇迹。只为别人着想的大毒枭，害怕恶女人的小警察，七七八八的配角们，赚够了我的眼泪。TVB官网投票全给了你们，等待第三部的奇迹。九姑娘，你安息吧，醒哥会在天上等你的。            
(5星)	 最后一集哭死了红蝴蝶一唱起来。。。。。虽然更爱上一部但是。。。。。。。555555这才是TVB的戏呢。。。。。醒哥九姑娘T_________________T            
(4星)	 后面简直是拖着看完的，麻麻地啦            
(5星)	 邓萃雯越老越有味。            
(4星)	 我震惊了！！！！！！！！我爸居然在追邓萃雯的片！！！！！！！！！！！            
(NA)	 结局很感人  但愿人长久,千里共婵娟            
(5星)	 好看好看~~~~            
(5星)	 九姑娘的每一套戏服都美！然后26集还是哪集的，大家都在yeah，然后黎耀翔变成了周伯通，啊哈哈哈哈哈            
(3星)	 看过，已经没太大印象了，失望，完全没有巾帼枭雄一好看            
(5星)	 看邓萃雯耍各种狠，太过瘾了            
(4星)	 只能说邓萃雯黎耀祥演技了得，郑九妹刘醒梁非凡排骨角色丰满。坏人都是一样的坏，也有存在感稀薄的配角。即便是大人物在时代面前也很无力。港剧终于不再局限于七大姑八大姨之间的勾心斗角，有了大点的格局。其实TVB的剧情真的经不起推敲，但是至少编剧在用心刻画角色，每个人都有血有肉。            
(4星)	 看TVB最幸福的就是看到自己熟悉和喜爱的演员们 聚在一起，有祥仔和雯女，足矣。可惜二没有一的一气呵成，日记晴的戏份太多，拖沓了整部戏……            
(3星)	 音乐太牛逼了，编剧也不错。            
(5星)	 好剧本！好演员！好制作！            
