http://movie.douban.com/subject/4294119/	婚姻保卫战
(5星)	 黄磊的眼睛一瞪，小嘴一噘，超可爱啊~~~~~            
(3星)	 最烦佟马组合，70后总装90后。            
(4星)	 不得不说演员选的很好。马伊琍的声线一副就算发脾气声音也大不起来的样子，现在的袁立就一副悍妇的样子，于娜么一脸2奶像。。马艳丽本来就是女强人。。黄磊我一直觉得就是个主夫。。。            
(NA)	 我呸！你们家两口子这么说话啊，跟背台词似的，一套一套的，都特么是贫蛋，其实一点都不生活。。佟马也审美疲劳，于娜以及刘金山闺女口齿很怪，没演技            
(1星)	 看见佟大为就给一星            
(5星)	 马伊俐演技不怎么地，黄磊神！            
(4星)	 越来越不自然的堆砌台词，还是奋斗够经典。黄磊够实力。要嫁就嫁许小宁。            
(3星)	 必须这么上纲上线地说台词么            
(4星)	 黄磊好妇男啊~！            
(NA)	 80后的我们，夸张点可以说是看着赵导的戏长大的，很奇怪，每次赵导拍出的剧，又很贴近生活，又有让人神往的部分。生活的小细节演绎的淋漓尽致，前卫的台词，再加上这样一批好演员，可以堪称完美了。            
(4星)	 給我一個許小寧吧TT            
(4星)	 马伊琍演现代剧比古代剧好看多了，恬静不适合她，活泼才对味儿。话说孟广美马艳丽那两个长脸高妹真煞风景。            
(NA)	 就是好这口儿，抬杠，耍贫嘴的小日子，有滋味儿。            
(2星)	 非要让一场婚姻变成贫嘴秀。非要让夫妻变得像俩贫嘴秀的辩论手。非常不接地气的语言和剧情。非常失望。            
(1星)	 男猪女猪们是在表演话剧么？ 还是在观众上表演示范课？            
(2星)	 贫的没质量，歪理一堆，我虽然是女人但对于女权主义者可是厌恶至极！里面只有黄磊的煮夫看的可爱些。这戏里我头一次同情佟大为，本来老婆不错，结果老婆交友不慎弄得整个家不得安宁。自己离婚了还折腾别人家，活该你好日子不好过。            
(3星)	 马伊琍和佟大为的组合，让人错乱地以为是《奋斗》，有些台词有点作            
(4星)	 赵宝刚你就承认你是麻豆控吧！            
(4星)	 很多人说这部剧不贴切实际 可是姐怎么看就怎么搞笑 （就看马和佟的戏份） 而且觉得如果以后谁那么不幸被我收了 我们以后的生活说不定就是这样爱贫嘴了~~            
(4星)	 黄磊！你终于演靠谱的现代剧了！！！            
(NA)	 满耳朵的就是贫嘴，蛮好的，看看吧。真希望节奏能稍微慢点，有点静的处理。            
(4星)	 我烦死马伊利了。我要是男的指定跟她离婚。袁立和黄磊的组合挺新鲜的            
(4星)	 就不待见张瑾            
(4星)	 在百无聊赖的治疗失恋的过程中，我跟完了这部电视剧。婚姻从来都离我的世界很遥远，我从小就觉得要么我不结婚，要么很晚结。因为我对家庭不向往，婚姻不光是埋葬爱情的坟墓，还埋葬了体面，尊严，优雅。而悲催的是，我们不能拒绝婚姻，传统的壁垒坚不可摧，也只好盼望自己侥幸能得个好人。            
(5星)	 对白很有爱。            
(5星)	 黄磊最出彩最可爱！羡慕孙莉的好命( ⊙ o ⊙ )啊！！            
(5星)	 为什么黄磊的每句台词都好像是在说他自己            
(4星)	 黄磊            
(4星)	 黄磊老师演得真好  文艺青年也可以家庭煮夫   真是宜室宜家好男银啊            
(4星)	 片尾曲有点萌            
(4星)	 很久没全家一起看的电视剧了，虽然还是多多少少有些问题，但是还是相当不错啦。以后要做徐小宁这样的老公            
(4星)	 婚姻吧 就是EQ的戰爭 男人揣摩女人 女人揣摩男人 不過貌似男人的EQ通常都比女人高             
(4星)	 把小洋拐走~~~~~~            
(4星)	 婚姻重在平衡不在争高低强弱            
(4星)	 许小宁是最喜欢角色。            
(4星)	 它并不是一剧            
(4星)	 我了个去 看得我感动死            
(4星)	 赵导的戏 调侃又不缺真实            
(4星)	  许小宁最可爱！            
(4星)	 黄磊加分，完全和《人间四月天》两个风格，实力派啊            
(4星)	 哎呦 黄磊呦 就看你            
(5星)	 喜欢佟大为，这部戏必须要支持，呵呵各位如果喜欢的话，现在已经可以在土豆上看到视频了            
(4星)	 看完后，室友齐刷刷的看着我说：女人还是需要一个温暖的家。            
(4星)	 看过一点，还是喜欢黄磊~            
(4星)	 黄磊和洋洋太萌了., 其他都不好看.            
(5星)	 给我一个许小宁吧！！！！！！            
(4星)	 跟我妈一起看完 许小宁什么的最萌了            
(4星)	 没啥说的 就是喜欢看北京人磨嘴皮子~\(≧▽≦)/~ 黄磊 神了！！            
(5星)	 成语字典，吵架必备            
(5星)	 黄磊太有爱了            
(4星)	 我喜欢许小宁！！            
(5星)	 就为了许小宁！夫联主席！！！            
(4星)	 @@许小宁！！！            
(4星)	 黄老师，您太有柴了…            
(4星)	 黄磊演的真好！延续赵宝刚一贯贫到底的特色            
(4星)	 黄磊演的不错 概念剧            
(4星)	 赵宝刚为毛就对婚姻登记处重修旧好这种戏码情有独钟呢？！！！            
(3星)	 像许小宁这种入得厨房出得厅堂上得战场的男人简直是新时代的选夫标准嘛。郭洋这种贼喊抓贼寸步不让的男人鄙视之。            
(NA)	 俩贫蛋！            
(4星)	 不错噢！！～            
(4星)	 《奋斗》《蜗居》《婚姻保卫战》，80后的婚姻宝典            
(4星)	 黄磊&amp;袁立原来这么搭，女王盛行啊            
(3星)	 “演”的痕迹太重。片头曲太像网络山寨。            
(NA)	 赵宝刚、佟大为、马伊俐，我对你们厌烦透了，此片陆续看了点，看不下去了，没劲，歇着吧            
(4星)	 整部剧都挺和谐的..唯独孟广美大妈那一口的腔调，犹如浑身过电！！她一出来我就静音！            
(3星)	 为什么三个不同阶层的人会住同一栋公寓？？？平民买得起好房了？？？            
(NA)	 黄磊是一颗最大最大的惊&amp;喜            
(4星)	 还是结过婚的人更了解婚姻            
(3星)	 ……            
(4星)	 看了前两集，忍不住先推荐下，喜欢            
(4星)	 终于完美大结局了。好羡慕啊，虽然假的一塌糊涂，但是好羡慕啊。            
(4星)	 台词好经典            
(NA)	 加一起看了不到一集但是基本知道怎麼回事。立意很好，但是美術好差。            
(4星)	 好看!!            
(4星)	 黄磊极其出色/~~~            
(3星)	 打发打发时间。还行~            
(5星)	 《奋斗》、《我的青春谁做主》和《婚姻保卫战》一个模子刻下来，精髓就是北京人的贫！看黄磊现在学得贫得没变儿了都！            
(4星)	 有的时候得承认 我们很贪婪 　　有了爱情还不够 还要激情 　　我们不安于那种心静如水的生活 　　老想折腾出点浪花来证明自己还沸腾 　　但是任何激情四射 最后都是归于波澜不兴             
(3星)	 真实生活里哪儿那么多操蛋话。            
(NA)	 行吧。。。            
(4星)	 是因为看过{玉观音}和{奋斗}，是因为赵宝刚的名号实在如雷贯耳，像是有了品牌保证，所以，我看了。没有失望。却对婚姻有点绝望。但想着未来有个人整天和我吵吵闹闹，或许这样的生活也是挺有劲的。情愿做个徐小宁，安省点地过日子，不妨是上策。            
(3星)	 你好, 你想不想死啊?            
(4星)	 四星给黄磊&amp;孟广美            
(4星)	 蛮好的其实。            
(4星)	 我爱许小宁这样的小力把！哈哈。佟大为这样的男人应该去死。            
(4星)	 台词很搞。。            
(4星)	 一边看书一边看剧的感觉很棒。书中的很多观点都很好。演员也都挑的很到位，除了于娜很烂之外。黄磊是最有爱的            
(4星)	 没事看看耍贫嘴玩呗            
(4星)	 有赵宝刚的地方，必有佟大为……            
(4星)	 赵宝钢怎么那么喜欢做地产的            
(3星)	 《奋斗续篇之7年之痒》——贫的没《奋斗》好玩。黄磊特逗啊。            
(3星)	 我媽在看            
(5星)	 看出点韵味  人生其实很长            
(3星)	 开始觉得蛮好笑的，后面感觉有点不给力。。            
(3星)	 这就是篇巨大的软文            
(2星)	 陪妈妈。            
(NA)	 ~            
(4星)	 徐小宁！            
(2星)	 一般吧 太假 星是给黄磊的            
(NA)	 好，把它算作第400个            
(3星)	 婚姻的实质就是平平淡淡            
(3星)	 王立行不如你借鉴一下徐小宁的打扮吧我觉得居家服羽绒背心男人穿真好看刘金山演的好孟广美去死            
(4星)	 台词写的太贫了            
(3星)	 打鸡血的片儿 一贫到底 优越感凌驾一切之上            
(NA)	 于娜的台词真差！总归是些北漂的典范~我们羡慕不来~            
(4星)	 三星半吧就            
(NA)	 打发时间             
(2星)	 除了黄磊和刘金山是演员，其他的都是背台词的主；除了广告，所有人物都是一样的性格。赵宝刚你行不行啊！            
(4星)	 挺好的，比奋斗神马的强多了            
(5星)	 今年最好的电视剧            
(4星)	 总体来说还不错~            
(5星)	 新的征途开始了。。            
(3星)	 佟马你们俩能不能不那么贫啊  天天吵架我看的嘴都干            
(3星)	 徐小宁太可爱了…… 大家寻思着为什么每次马伊琍扮演的都是这种不讨喜的角色呢？            
(4星)	 一如既往的长句式对白            
(3星)	 最爱郭小羊小盆友！            
(2星)	 我不信每个家庭，每对夫妇像你们那么说话。真受不了。            
(5星)	 虽然觉得台词很矫情。不过依旧五星。            
(3星)	 下一部，赵宝刚捣鼓老年人生活了吧            
(3星)	 两年前还奋斗呢现在直接婚姻保卫战了？这到底是世界变化快，还是我们都落伍了？            
(4星)	 楷模徐小宁            
(3星)	 不痛不痒~~~            
