http://movie.douban.com/subject/4300597/	月之恋人 月の恋人～Moon Lovers～
(NA)	 志玲姐姐真是雷神投胎，在哪儿哪儿雷....她知道自己不是奔2，也不是奔3，而是奔4的人儿了莫.....            
(1星)	 浅野妙子绝对是雷母中的战斗机.凉子J,咱回家带孩子去.            
(1星)	 志玲姐姐阿，你可怕的演技把這劇全毀了！我打你！我恨你！你怎麼能這樣對我！            
(3星)	 说实话从来没觉得木村很帅啊，和欧弟感觉差不多....==            
(NA)	 我依然对日本人这样丑化上海感到愤怒 这种工人抗议在我小时候就没有了 因为有警察 你这不是在瞎编嘛 擦！上海拍出来明明不是这样的 你就丑化别人抬高自己 日本人的一贯做法            
(NA)	 半集就够了。日本人你就演日本人故事不行么            
(4星)	 翔太,,你的&#34;你妈&#34;实在的断句断中了我的HHP....            
(2星)	 这可真是干你娘的难看啊            
(4星)	 绵羊童鞋~ 你的普通话真是销魂~~~            
(2星)	 1.木村出演惹人厌的血汗工厂独裁者。2.志玲角色断裂，就是扮丑+变身。前面是沦陷的王佳芝，后面和上海工厂一起成为收视替罪羊，很反映日本对国人偏见。初学者日语亦受日饭耻笑。3.就女人的设定还行，志玲心动女生，凉子青梅竹马，景子单相思。先天不足+收视压力导致结局混乱，也就半部纯爱。            
(5星)	 ohyeah，木村真销魂            
(3星)	 一般般吧，不太看得惯志玲姐姐             
(NA)	 扶额……我早说过浅野是个黑你们不信是吧！你们不信看呢看呢看呢！！            
(NA)	 2  志玲姐姐的演技真的太霸道了~完全让我忽略了剧中其他人物的存在~~凉子姐姐都被抛诸脑后了~~            
(2星)	 看了十分钟就不想看了            
(3星)	 这不是魔都这是平行空间            
(2星)	 都不想说什么了……            
(5星)	 大神的剧   没有理由不推荐...            
(NA)	 我只想知道为什么我的电脑里无缘无故会下了~晕~见鬼~            
(3星)	 服了。。。。。。。            
(1星)	 如果后面040死了残了被大神踩死了我就改评价分            
(3星)	 不怕雷不死你            
(NA)	 林志玲那通乱打...木村拓哉那句我要你... 能囧死人            
(4星)	 林志玲，你看的我一抖一抖的            
(3星)	 木村依然是给力的 松田很不适合这种人设            
(2星)	 bullshit，第一集都看不下去            
(3星)	 ..不好意思了大神..我實在無法堅持看完...不過志玲姐姐還真是標誌，如果是個啞巴就好了            
(2星)	 看过最烂的日剧            
(1星)	 月你個大頭鬼。            
(2星)	 一颗给凉子，一颗给翔太~            
(1星)	 我强忍着看了一集，看到040开业秀那段，然后明跑出来拉横幅。。。。对不起，叔可忍婶也真的忍不了了！！！！            
(3星)	 木村还是很帅，终于看完这部剧，评价从四星跌落到三星的原因是我实在不喜欢筱原凉子在里面絮絮叨叨假了吧唧的样，我宁愿木村和林小姐在一起，真是受不了这个狗血的结局……            
(NA)	 我说日本人心目中的中国小妹是不是都是两个辫子？？？            
(2星)	 长手长脚确实不太好看 剧情太突然 不自然 就喜欢木村  但真的难为木村了            
(1星)	 真是天雷滚滚、雷霆万钧……雷得姐筋脉逆转、血液倒流……多年不看日剧，不想竟已有如此境界……木村叔，志玲姐……扶我            
(1星)	 我日。。            
(2星)	 浅野您还是回家收菜吧 什么题材 霓虹除了踩踩中国扁扁思密达 抬抬USA真是没其他爱好了 40姐洁身自好懂不懂 真以为岛国无限制啊？！            
(2星)	 木村拓哉的明太子情结。四集弃。            
(2星)	 再看下去就是傻逼！一颗给翔太，一颗给凉子！            
(1星)	 弃            
(NA)	 第一部弃掉的木村拓哉的戏 有了林志玲再怎么有爱也要弃            
(2星)	 很对不起那一张长脸。。。二死了。。。            
(3星)	 只为凉子            
(3星)	 林志玲让人受不了            
(3星)	 林志玲是sb            
(5星)	 全给木村！！全给木村！！顺带欣赏下日益成熟的松田和气质的筱原，林志玲什么的大嫌い！！！！“林志玲，我替萌萌废了你！！！”            
(NA)	 雷剧            
(5星)	 尽管有筱原凉子加盟，但是这部戏有了林志玲就是一个悲剧。。。            
(2星)	 林志玲和松田翔太真是好雷好雷哦......            
(3星)	 。。。。。。。            
(3星)	 从熊黛林到林志玲，高个女在亚洲的影视剧里就是个傻大个，哪怕她是个美女。这部剧唯一让我感到正常点的就是筱原凉子了，演什么都自然啊            
(3星)	 看完都不记得说神马的剧 太没劲了            
(1星)	 穿越你妈！月九自重。            
(3星)	 撇开对林志玲的反感，其实没有传闻中那么难看。令国人反感的剧中破败的污水横流的强拆人员横行的上海，难道那不是真的么？            
(2星)	 完全是大神和翔太支撑我看完这剧。。。编剧和林志玲以都是白痴 还有那个水黾也是白痴 都是白痴！看完这剧我也是白痴！            
(3星)	 三个星星，一个给木村为其坚持演戏，一个给翔太因为他帅，一个给筱原凉子因为大姐大....好吧，分完了，我弃了...嘛玩意儿啊，看得我不禁尖叫            
(3星)	 找到水黾的人会幸福？？？我惊！            
(1星)	 神马破剧本啊！！！从头到尾都缺乏说服力~！囧子小朋友萌了~            
(1星)	 弱            
(2星)	 真是干你娘的难看啊好吧哈哈哈            
(1星)	 看这个我是被逼的，筱原凉子和北川景子确实诱人，林志玲算是被彻底比下去了木村的眼袋已经巨大了，居然还玩浪漫剧，整个片子演员问题不大， 但是编剧估计可以从此退出这个行业了，剧情TMD什么玩意啊·····不过也许我日剧看少了，我不确定是不是其它日剧都这样······            
