http://movie.douban.com/subject/4303681/	欢乐合唱团  Glee Season 2
(5星)	 无法不爱这剧。灰心丧气感觉无助无望的时候总是要拿出随便哪一集重温一遍，就觉得面对生活又有了斗志。有音乐有梦想还有一帮各种欢乐腹黑的乐观可爱的大孩子们。  至少再次坚定了一个信念：勇敢的面对哪怕是泪流满面的每天。            
(3星)	 花樣好看,但是無法掩蓋劇情是渣的事實.kurt攻下Finn吧攻下Will吧攻下你爸吧..........            
(3星)	 越来越愚蠢了。求求编剧写个像样的故事吧。            
(4星)	 剧情是扯淡，重点是歌曲。http://www.douban.com/group/topic/17457086/            
(5星)	 好吧，的确有几集白痴到让人无法忍受，但这一季对角色刻画全面超越第一季，主角终于不只是Finn和Rachel，Kurt，Santana，Karofsky等角色也非常出彩，还有人气配角Blaine啊...所以仍然觉得比第一季好看。            
(5星)	 虽然情节依然那么狗血，但是歌曲却也仍旧那么给力。原创很不错。我不讨厌这个剧里面的任何一个，我觉得每个人都有各自的特点优势和缺点，这才能构成整个剧的五彩斑斓。Klaine在这一季里太出彩了，请一直这么有爱下去吧!! CC我永远最爱你，你的歌声和演技每次都能打动我，请继续加油!!            
(5星)	 华丽丽的翻唱和原创足矣让人无视傻逼到脑残的剧情了嘛。。。。            
(3星)	 说实在的看到现在剧情越来越弱 也就是来听个歌儿            
(3星)	 OMG~~这剧已经烂得不像样了！            
(5星)	 为什么每季都看的热泪盈眶啊。。讨厌            
(4星)	 最后一集圣诞节是在太有爱了，特别是Kurt和Brittany，太有爱了太有爱了！！！            
(3星)	 成纯粹的mtv了            
(NA)	 Who cares about New York,it&#39;s Ohio where Blaine says ILOVEYOU Kurt says I LOVE YOU TOO.Who cares about New York,I only cares about this two~            
(4星)	 我爱上kurt了            
(4星)	 格温妮丝帕特洛！！！！wow！！！！！            
(3星)	 我決定不追了，沒劇情而且很混亂            
(4星)	 gayer &amp; better            
(5星)	 延续了以往的高水平，喜欢依旧            
(4星)	 不管别人怎么说, 我还是挺喜欢这个青少年电视剧....            
(5星)	 這結局，我就權當為第三季打基礎了……            
(5星)	 连着看了第二季 依旧有爱 第三季快出吧            
(4星)	 自私的RICHEAL、总觉得很呆的FINN、还觉得眼光很短很自我怀疑的TEACHER，还有那个无坚不摧的GLEE BITCH（其实我觉得你并没有那么讨厌）、其实最想听的是拉拉队长的独唱，但是。。。望穿秋水你还是不唱，其实看这个电视剧，，，只是觉得你们唱的很好听            
(4星)	 我建议给Rachel和Finn设一个车祸的剧情，两个人双双死于Accident.            
(4星)	 亲情是我的软肋，续集水平没有下降，难得。            
(5星)	 越来越觉得，除了Kurt，Brittany其实才是看得最明白的那个人啊！而且角色，尤其是第一季里的配角们越来越立体丰满了。还有，其实里面很多校院系的衣服还不错嘛……            
(5星)	 第二季各种温馨...            
(5星)	 等第三季！            
(4星)	 也请考虑一下我这种剧情控吧            
(5星)	 喜欢Mercedes歌声,喜欢Brittany呆呆的            
(5星)	 我想知道第三季等他们拿到冠军之后，又会发生什么呢？第二季同样赞。            
(4星)	 歌好胜过一切            
(5星)	 一个星期看完。真羡慕Kurt,找到了Blaine这么好的男友…Santana和呆布真的快虐死我了…其他人的群P关系不评价==鞋老师和Terri才是真爱好么……音乐已经似乎是要超越原唱了,5星!            
(4星)	 搞不死合唱团的落败happy ending            
(4星)	 拉快进条——音乐部分——拉快进条——音乐部分……延续了2季度。。。对剧情已经吐槽无力。            
(NA)	 越来越烂            
(5星)	 对校园歌舞剧完全没有抵抗力。。            
(4星)	 我不得不说我从没有见过比Rachel更讨厌的美剧女主角了，不过即使这样我还是看的很欢乐            
