http://movie.douban.com/subject/4320241/	孽缘
(5星)	 嫁人就嫁保全哥！！            
(NA)	 郭什麽很帅气啊，高鼻梁还有胡渣还能衬衫。            
(5星)	 要善良要去愛 哪怕痛苦磨難 哪怕傷痕累累 也要堅信 愛是這世界上最溫暖的力量。            
(5星)	 看到晚上2点多   在公司的时候就一直在看 用了一天的时间把他解决掉 ，  真的是很好看 ， 李晨让我见识了他的魅力 ， 如果世界上真的有这样的男人 我也会爱上他，  这个电视真的很真实 ， 表现出了真实的社会现象 ， 真实的人物生活状态 ， 真的很佩服女主角的精神，男人没都会爱            
(NA)	 也能坚持看1集。            
(3星)	 霍思燕很漂亮            
(3星)	 霍思燕演技相当的自然啊~晨儿沧桑了点~其他演员也都不错~就是特么的编剧导演简直就没任何常识…强奸案直播庭审~偷录的录音也想做证据~判了三年的梁子还想上诉……为了苦情而悲惨的剧情……人生都快不会打分了~            
(4星)	 很多次感动的想哭            
(5星)	 第一次给电视剧打5分。。。            
(3星)	 不错的励志剧，很多大陆片还是值得一看的。霍思燕很漂亮。最后李晨死了，有点遗憾。            
(3星)	 各種當今社會的產物            
(3星)	 看到李晨死了，就没有必要往下看了，不好意思 剧透了··            
(3星)	 虐            
(4星)	 我总算知道为毛国人爱看鬼佬的东西，而鬼佬不屑我们的片儿了，经济落后也就算了，思想落后才是可怕的，捏造思想落后是要下地狱的！！////后面剧情还不错啦，女主是坚强的楷模，霍思燕演的非常自然，李晨演温柔的角色驾轻就熟啊，然后编剧超可爱，在最危急的关头还不忘幽默一把            
(4星)	 还可以            
(4星)	 还行吧。            
(5星)	 突然觉得每个女孩一生中都会遇到一个包容她一切得男人的。我坚信。            
(1星)	 只看了一集。。。要有多狗血才能编出这样的剧情！            
(NA)	 啊啊啊啊啊啊            
(3星)	 除了有点假都还ok            
(NA)	 李晨死了，真是的            
(4星)	 哎呀呀 哎呀呀            
(5星)	 我喜欢保全这样的男人  海灵这样的女人 虽然虚构 但还是相信存在  我告诉自己不能哭不能哭            
(2星)	 励个毛毛志 感个毛毛动 霍思燕真是要多二有多二 一集我就看不下去了！            
(4星)	 名字取得太差了吧！            
(5星)	 越来越觉得名字糙            
(4星)	 李晨同学长得真帅。            
(3星)	 剧情忒狗血，刘多贵做人忒阴损！            
(3星)	 剧情不够紧凑,结尾有些仓促,人物安排有些问题,这样的事情现实世界应该有不少,但这个编剧显然很混乱,居然让主角把孩子生下来,居然一次次面对朋友的背叛,居然善良到不敢反抗,这何止是懦弱那么简单?正视罪恶很重要,不要试图躲避,不要害怕后果,挺身站出来才是正确的.玉梅就是愚昧的对照.            
(NA)	 保全死了虽然很符合戏剧的冲突要求，但是总该为人间这么多绝望的人一点点安慰吧。本来活着就够难了。            
(4星)	 为了李晨看的，看了这片，法律的裁决也太轻了吧，害死那么多人，这个罪名那么难确定，几乎大家都能确定的事儿因为证据不够有力而无法定罪，这片是让人对法律失去信心的吧。PS：法庭上出现保全的身影 真要泪奔了            
(3星)	 挺好看的 就是命运多舛了点            
(2星)	 既然李晨要死 我就趁早弃了 星星全给李晨            
(3星)	 刚有希望，背后又有坏事发生。李保全深入女性同胞的心啊。            
(4星)	 事实上我只看了一集啊！我不想暴露我是怎样一个狭隘的人……但是事实上我没办法接受这样的……少校……            
(3星)	 这两天我妈一直在看这个，看得起劲哟            
(4星)	 每天在宿舍断断续续看的。。用了半辈子来告他，索幸结局是幸福的。。李宝全是超级好男人。。            
(3星)	 神化了這個女主角            
(NA)	 =-=  和妈妈一起看的连续剧      好男人呀好难人            
(NA)	 善良的人总会有好的，无论面对多么黑暗的情况，善良的人结局都会美好，每个善良的女人都会找到他的优秀的另一半！！！            
(5星)	 很好看，那个刘多贵早该毙了他。霍小姐能遇到两个好男人，真好。            
(5星)	 难得的励志国产剧，海灵的坚强，让我感动和震撼            
(NA)	 就是路过客厅被李晨给吸引了，一眼就认出是简宁，当年才刚上小升初啊，跟着我妈妈一起看完。不管剧情多假，可还是喜欢的看完了。            
(3星)	 如果简宁是我的小初恋，现在心里是不是会好过一点。            
(5星)	 感动。            
(4星)	 我好喜欢李晨！有担当！有胸襟！            
(3星)	 刚开始看，就被那个极品爸爸雷疯了。。。有这么对待自己女儿的吗。。。还是觉得女人不再沉默里的斯道林更靠谱。。。            
(4星)	 李保全是个好男人～！！            
(5星)	 保全死那集一直在泪奔。喜欢李晨。喜欢霍思燕。            
(4星)	 二哥呢            
(5星)	 挺感人的，虽然我哭点超高，但也掉眼泪了            
(5星)	 看完全剧，我才发现原来我是冲着男一号-李晨去看的。            
(4星)	 我只看有李晨的地方！永远的简宁~~~~~~~~~            
(3星)	 李保全死了，就不想看了。            
(3星)	 哎....这编剧绝对是为天朝所谓法治歌功颂德的。虽然看的我哭的稀里哗啦的，但是还是不得不说，编剧写的太烂了。但是冲着好男人李保全，冲着坚强的海灵，冲着演员的表演大都还不错，给三星。            
(4星)	 简宁啊，简宁，好久不见，你变沉默痴情的李宝权了，霍思燕也不是当年的乌云珠了。我居然为内剧看到凌晨四点，神仙啊，其实感情线铺垫的还可以，反正也是冲你们看的            
(3星)	 这剧的立意只有一个：如果女猪脚一早备个防狼器，就不会发生后来犹如连珠炮一般，让人感叹她前世到底惹了什么冤孽的惨事儿。为惨而惨的电视剧。。。窝弥陀佛。。。            
(4星)	 杯具+餐具的女主，还好不断有人支持她。            
(3星)	 剧情太假了感觉            
(NA)	 有这样的女孩儿吗，有这样的男孩儿吗，倒是有刘多贵这样的恶棍            
(4星)	 唯一觉得这部剧不完美的就是，男一号保全的死，结局中法庭上的审判没有人说到这件也非常重要的事情。我只是想说，如果没有保全也没有后面全新的海灵！这个剧到底讲的还是正义与邪恶的斗争。坏人做了坏事一定会被绳之以法！我们国家的法律应该给以彻底的惩治！！！            
(4星)	 真的挺好看的 就是觉得这部戏拍的挺好挺真的～ 还有喜欢李晨！～为啥你死了呢            
(3星)	 怎么那么苦情            
(NA)	 强奸案本是重点，然而不够贯穿全剧始终，最后一集够拖沓的！另外，受不了李曼的塌鼻子！            
(5星)	 为晨儿不解释，即使被认为是脑残粉            
(3星)	 很狗血，结局很和谐，制作很低劣，我还以为是90年代的剧            
(NA)	 编剧实在太白痴了！但各位演员演技真心好！！！            
(5星)	 生活，有揪心，更有期盼，一位坚强勇敢的女性，一个刚强宽宏的男人。            
(5星)	 不管什么.我也不多说什么 .我看了很入心.那怕这只是剧情.我只是告诉自己学经验.好好奋斗            
(3星)	 李晨不错。不喜欢霍思燕（似乎比较红火的女星我都不怎么喜欢，比如什么章子怡、刘亦菲、霍思燕、周迅、黄圣依、张静初什么什么什么的）。            
(NA)	 家庭剧。陪家人看了点 没意思             
(3星)	 女猪脚她父母真是极品中得极品~            
(5星)	 虐！虐！！虐！！！虐啊！！！！ T T  但是真的很好看啊~~！！！            
(4星)	 靠，刘多贵才判了五年。什么是善恶终有报，如果报来得太迟，还有意义么，何况是这样轻易的惩罚。整部电视剧，头重脚轻，溢恶薄善的感觉。            
(4星)	 我告诉自己不能哭 不能哭……记得悲催的片尾歌，话说霍思燕挺性感小尤物的            
(2星)	 孽            
(5星)	 看完后被海灵的执着与坚强所打动，为保全的死而感到无比的惋惜！            
(NA)	 我承认是为了看李晨哥哥来着。。结果前面很狗血，中间很温情，后面很催泪。。。被励志了            
(3星)	 回家看了个主旋律片儿，几个主角都挺美的。            
(5星)	 李保全太男人了！            
