http://movie.douban.com/subject/4729712/	啦啦队恶女 Hellcats
(3星)	 弃了。没想到拉拉队题材被拍成电视剧会这么无聊。Ashley变得美丽有型许多，但是女1实在是让人喜欢不起来，感觉年纪很大，性格也不好            
(3星)	 编剧的想象力是无穷的，比如在贫穷合唱团获得成功后，旋即推出贫穷拉拉队，以性感舞姿，情感纠葛为卖点。适合年青人看。            
(3星)	 dont like aly,she&#39;s full of herself.its not all about her ok?            
(NA)	 啦啦队里的阴谋心机比什么后宫剧强多了好吗 虽然剧情扯上天了但是很娱乐好吗 丹拍的丧尸短片牛逼死了好吗             
(3星)	 一上来还有点迷，青春校园的气息，立志上进，还有gale叔...后来也就是校园剧那套，放弃            
(2星)	 女主角丑得一塌糊塗，CW從The Vampire Diaries開始就沒錢請個長的順眼點的女演員了么            
(1星)	 看了没几集就大叫：大叔，别演了吧，我不想追了！！！虽然有时可以和剧中女主有共鸣，但是这么狗血的剧情让人怎么看下去！！！大叔，我是多么爱你才把一季都追完了！！！！！！！！            
(3星)	 虽说编剧在很多地方都显得过于无力而只能一带而过，但美女啊狗血啊拉拉队什么的倒真的不错，下季先观察一段再定夺。            
(4星)	 两个女主演都是歌手哎。价值观蛮健康的。            
(2星)	 弃弃弃            
(2星)	 放弃            
(3星)	 女猪脚太丑了，丑就丑了还要和gale叔有亲热戏！你看被砍了吧！可惜了小甜心Ashley Tisdale 。            
(2星)	 ep3果断弃之~            
(NA)	 好蠢..我很少觉得美剧蠢的...            
(3星)	 满挫的剧情满挫的演员，不知怎么坚持到了最后，还好下一季被砍了。            
(2星)	 弃了            
(3星)	 力量美。舞蹈真好看哪。Alyson Michalka很嚣张很好……我很欣赏这种性格。暂5集。很喜欢女主角她妈，辣妈啊。感觉整个故事有点散。            
(NA)	 哎，被砍了            
(NA)	 我对帅哥美女没有抵抗力  特别是我们家ashley！！！            
(2星)	 不伦不类            
(3星)	 越来越无聊            
(3星)	 看了4集，弃之            
(3星)	 完全是为了看Gale             
(3星)	 弃剧两次，依然舍不得拉拉队和优秀的OST，撇开肥皂泡看到最后！结果最后一集比赛还是感动了，总是逃不过各种比赛激动点，当然舍不得的还有Gale            
(3星)	 3.5            
(2星)	 boring            
(4星)	 只要gale在 先追着看了再说            
(3星)	 据说遭砍了            
(5星)	 音乐不错，动作很炫嘛，有几个one tree hill的alum，可以追一追，偶尔会觉得像oth。            
(3星)	 本来是为了ashley 后来惊喜的发现了Gale叔 再后来发现音乐很棒 我以为这会是又一部 OTH 很可惜励志够了 剧情撑不住 结局的表演很有感染力 but this is the way you left me，no happy ending .Bye Hellcats            
(3星)	 热血热血热血什么的！            
(5星)	 还是可以看看的..那个法律的老师啊..我刚发现原来老师就是Gale.OMG...心目中的神...偶要把没有看完的..Queer as folk补全            
(2星)	 真心难看，比韩剧还慢，从第3集跳到21集无障碍            
(2星)	 ashley              
(4星)	 20110526— 6.4 好好看啊 音乐也都很好听 期待下一季啊            
(3星)	 本来希望ben和marti的，但是。。。大叔也很好！            
(2星)	 冲着Ashley去看的，结果女一号丑翻了            
(3星)	 嗯，为了gale……超级四不像。            
(NA)	 为了做衣服啊啊啊看看米国啦啦队少女都穿啥。。            
(3星)	 20110302-20110803 @ office            
(3星)	 EP16            
(4星)	 19--mat就是个作女。20--重逢姐妹唱的歌真好听。22--marti有了爸爸不要妹妹的行为很biatch。最后一场的表演特感人。            
