http://movie.douban.com/subject/4751653/	怒火街头 怒火街頭
(5星)	一想到大陆的律师 心都碎了 
(4星)	个人认为这是TVB今年以来最能看的一部剧。
(3星)	郑嘉颖就适合这种双面浪子的角色，TVB的剧名越来越乱取了，反正卡司强大收视率就有保证~
(5星)	今年为止TVB最好的一部作品了
(4星)	剧情非常吸引，演员也都很喜欢，除了胡杏儿（扮演王思苦），大概是角色的原因吧。KC还是适合这种有性格的角色，痞痞的又充满正义感，多好。陈敏之真是越来越美了，42寸长腿加上高挑的身段，可惜饰演的何利贞命途太坎坷，还是与非命，无法与李灿森饰演的阿钉终成眷属，是本剧一大遗憾。
(4星)	发现郑嘉颖还可以~以前没发现
(3星)	居然李灿森也来TVB的剧里了。
(4星)	TVB今年以来最能看的一部剧。 
(4星)	太愛李燦森大兄弟了。。。還有他老穿的內件兒藍色肩膀一塊紅的襯衫。。。。
(4星)	60集啊，我靠。
(5星)	李灿森李灿森李灿森
(4星)	恩呢，是TVB近来最好的一部作品了。起码能看下去，虽然敏之死得很不值得。哎哟喂，期待第二部。
(4星)	胡杏儿这部剧发型比较成功啊。。
(5星)	港剧，我就喜欢这样的，很符合我的口味。嘿嘿！
(3星)	还算创新，不过有点扯～～  本人就是看郑嘉颖TX不顺眼啊，“演”的痕迹太重……
(5星)	阿SAM 你是要怎样啊
(3星)	林子善（喜剧之王里头的洪爷）表现出色！
(4星)	还是港剧好看。
(4星)	我爱的KC变成了祁哥爱的KC 60集慢慢煲~
(4星)	还不错哦
(4星)	人在做，天在看，世间自有公道。
(5星)	不可能期待此剧是能像《壹号皇庭》那样的大手笔，又是一个律师题材的小品剧，当小品看就不计较那么多了。另外，郑嘉颖的表演让我有小小的惊喜。
(3星)	不错，结局太仓促。
(3星)	港剧里的痞子男 很有原则的港女和台剧里的富二代 很有爱心的农家女都是永远用不烂的戏码 个人觉得比真相好看
(4星)	非常政治正确，但习惯了也不觉得反胃。几个主角都很可爱，李灿森真是中意格子衫！
(4星)	KC好帅！好可爱！连鱼尾纹都可爱
(5星)	今年看过最好的港剧，为了KC我打满分！
(NA)	竟然开始看电视剧了。。。。
(NA)	胡杏儿真不招人稀罕
(5星)	好久没看港剧 完全没有失望
(3星)	喝喝 都是九喜要看= =
(3星)	两星半 剧情麻麻 演员太次
(NA)	看到评论说滕丽名不可能摆脱陈三元，那个冲动热血的愣头青是她青涩的过去，也是我们美丽的回忆。凡是见过陈三元的人都无法忘记。
(4星)	剧情还是挺不错的，值得看。
(3星)	其实刚开始还觉得挺好玩的但是为啥每次Law霸都会碰到王师傅打对台啊 感觉hk没有律师那种感觉不无聊么。。剧情就是打对台——合作——打对台——合作——灭boss么 那真的有点无聊了。
(5星)	开开里面有森哥哟~
(5星)	蛮不错诶
(3星)	国语版的 根本不用看 听听就结束了 
(4星)	真不习惯郑嘉颖吊儿郎当的样子啊~~~~~
(3星)	刚巧呗朋友逼着看了 擦 你们这些80后！
(NA)	原谅我因为胡杏儿完全看不进去。。。
(NA)	曾经视你为碍眼的无物，如今视你为上手的萌物——致邋遢文艺犯二闷骚男KC。
(4星)	好好看啊。
(5星)	终于看完了，李灿森真有爱。
(3星)	郑嘉颖、李灿森~。~
(4星)	睇呀卟喺班车上睇完嘅咔剧，胡杏儿嘅演技变好咗
(4星)	片名是瞎取的么？
(5星)	&lt;20 完结&gt;上半年以来最好看的剧没有之一。久违的律师题材+破案元素很喜欢。KC痞痞坏坏的样子很有爱（心）。结局实在看不懂也不喜欢....等10月开拍的第二部 希望这个系列能一直拍下去。ps：好喜欢李灿森啊XD
(4星)	还不错哟~
(5星)	根本不是TVB的风格，看来有竞争就是好事，转性了！郑嘉颖痞痞的，吊儿郎当的样子太他妈帅气了，题材也非常好，有现实意义，应该是今年目前为止最值得一看的TVB剧集！
(5星)	这一年觉得最像话的TVB剧集，连胡杏儿都看着顺眼了
(3星)	郑嘉颖演这个特别的合适~~~~
(4星)	剧情有点虎头蛇尾但是KC的演绎这样的角色越发炉火纯青了！！LAW霸又是一个代表角色了
(3星)	跟大部分港剧一样很多情节经不起推敲，基本还是港剧老套路，将就！
(4星)	TVB年度好片，难怪台庆拿那么多奖，有新意且不是大团圆结局 
(3星)	看完就想做MK cross和LA的东西了好吗……扶额
(3星)	剧情什么的算OK了....但是 我是郑嘉颖胡杏儿黑=_,=
(3星)	我这辈子是对郑嘉颖待见不起来了...因为江玉郎太深入我心
(3星)	已經是今年內最看得下的一部TVB劇。可見今年的TVB多麼爛。而且這部還是爛尾。
(4星)	不行 看不惯胡杏儿 我就一辈子看不惯了 演技真不太好... 她现实生活中我倒觉得挺好
(4星)	赞！！！
(4星)	很好笑 剧情表演都还过得去~林子善演得最好^_^)y
(5星)	今年以来看了最好看的港剧，Kevin演技越来越好了 - -
(4星)	胡杏兒真是太醜了！！！！！！！！！！！！！！！！！！！！！
(3星)	我一直纳闷怎麼那麼多人喜欢李灿森，实在太丑了。。。
(4星)	今年TVB非常給力 很好!
(4星)	麻辣个比，不知真假滴，贞贞在下水道用鼻子也能嗯个声音了！！我去！！！
(4星)	结尾收得太仓促
(4星)	街头律师，挺酷的，呵呵。TVB的剧总是正义凛然的，嗯。
(4星)	熟男版的律政新人王，七年前是win，七年后是ben，只不过女猪脚依旧是内颗杏仁。近期相当精彩的剧集，果然TVB还是适合控制在20集。
(3星)	SAM 你演的那个角色...诶 说啥好呢...这片子咋刚开个头就结束了 囧
(4星)	law霸尊可爱啊~~李灿森怎么有这么可爱的笑容啦！墙裂期待第二部。
(4星)	案子不错！
(5星)	samlee+陈奂仁..5颗星不够打！
(4星)	KC的七年之谜很让人动容。
(4星)	其实可以算丝裤个腐女撮合了LA和PK吧=-=（阿sam好萌~~~
(4星)	邋遢还偷菜的KC没见过啊，通体舒爽啊！
(4星)	大概KC是受LA影响很大，他很适合这样真真假假善良逗人笑又有点坏的感觉。现在他也是这样了，听说以前可不是。
(2星)	TVB其实是非常民粹的，sometimes还反智
(3星)	KC很适合这种角色。3星半。
(4星)	李灿森不错啊。实在剧慌。讨厌胡杏儿
(4星)	胡杏儿发型不错。= =
(3星)	轻松·
(4星)	整部都很欢乐，除了胡杏儿，其他都好
(3星)	終於還是不負眾望說出了那句“人在做，天在看”！
(4星)	还不错那么回事儿吧= =
(3星)	匆匆结尾，不够经典
(4星)	郑嘉颖演活了law 霸～
(3星)	恩··做律师好像真的很嗨耶~李灿森越看越爱~
(4星)	结尾好仓促的赶脚-v-KC还是适合演痞子啊
(3星)	胡杏儿这个败笔！
(5星)	看到了幕后团队所担负的社会公德心
(4星)	胡杏儿成长了
(4星)	不知道是不是我的口味很特别啊。怎么觉得林子善很可爱呢！
(4星)	相当不错啊，片头和过场的剪影形式也很特别，主题曲也很特别，片名也很特别，主角也很特别，好久没有这样原创又新颖的剧目了~郑嘉颖这个视帝也算OK啦！不过说演技都是关礼杰更赞！
(4星)	深水铺的无间道——好适合刘青云/梁朝伟拍的港片题材吖~
(3星)	又是街头英雄式的片子，不过很有味道，郑嘉颖的演技确实提升了不少，只是才20集，不够过瘾啊~重点还是要提提我一直奉为潮男的李灿森，这么正经的角色这么正经的穿着也掩饰不了他后颈那闷骚的纹身，他还是露出额头把刘海竖起来比较好看啊~
(5星)	卧槽。郑嘉颖确实演绝了！
(5星)	麻辣逼啊 law霸明明是我的是我的是我的！law霸一定是我男朋友！
(4星)	今年TVB里面比较好的一部了吧
(4星)	希望LAW霸拿奖
(4星)	李灿森穿衣搭配值得学习之。也许贞贞的死是最好的结果。TAT
