http://movie.douban.com/subject/4812751/	成均馆绯闻 성균관스캔들
(3星)	 一批神起fan打的五星。姐我只对两个男配角有好感。            
(5星)	 我也不大想解释 老说自己花痴也不大好意思 那个宋真帅真帅真可爱真可爱            
(1星)	 明明就是梁祝翻版 有JB可看的 还他妈的给5星            
(3星)	 为嘛我一眼就觉得女主和宋钟基比较配呢。。去贴吧看小说的翻译贴。竟然有滚床单~~不知道电视剧里会不会被删掉又劲爆了 男一和女一有床戏就算了 男二和男三竟然有吻戏。 作者相当BH啊。            
(5星)	 小宋，这个风骚调调演的很好，注意保持性感哦~~~姐看好你！ 米子快点露~~            
(5星)	 男二就是我的菜            
(5星)	 话说看前两集的时候我也差点弃剧，那几个打一星两星ms也是只看了前两集。。。不知不觉竟然开始每周熬夜追更新了，现在只能靠捶地抑制花痴病发作了。就让男主女主华丽丽的合体吧！桀骜是女林的！桀骜是女林的！            
(2星)	 实在受不了拖沓的剧情，一集60多分钟 20集，就讲这么个事儿。。在男主和N个男配一个接一个蹦出来之后，我估计这又是关系爆混乱的剧。有可能男1至男8乃至某大臣皇上 都TM喜欢女主。。。&gt;&lt; 弃之保命。。。            
(5星)	 真的很值得一看的古装青春剧。画面感极佳。剧情紧凑~。人物性格鲜明。演员养眼！~细看的话很有质感的电视剧。^^            
(5星)	 这个五星不解释-o-            
(5星)	 好看到死，今年唯一看进去的韩剧。很新颖            
(5星)	 四分给这部制作精良的片子，还有一分是对朴有天的感情分~但是你们真的都演得好好，我喜欢！！！            
(5星)	 我看你一眼就激动，看你风中的侧脸就觉得整个世界都只剩下这一个画面。            
(1星)	 很多人说好看，看了一集都扔掉了，韩国的古装剧一向难看，而且男主也很难看~            
(5星)	 保持队形。不解释！            
(5星)	 又是三个大美男大放送啊，三男一女，哎呦小心肝嘭嘭嘭。。。            
(NA)	 隔壁已婚少女全情投入此剧，老公电话要等播完再接，下集预告要看三遍还不甘心。我好奇的要死于是昨晚和她一起看了一集。典型的言情古装偶像剧。连朝天鼻丫鬟和猥琐狗腿都典型的搞笑。地球人都知道韩剧拖沓墨迹，到处都是男扮女装和美男后宫。朴大米一本正经的好笑，只是硬梆梆的思密达语咯的俺耳朵疼。            
(NA)	  比想象中好看很多，也很搞笑的片子。爷の冷酷男灰常到位。男二萌死人。好像GD的说。。            
(5星)	 大米的新剧不错哦，有天，很棒！            
(2星)	 受不了这内容- -            
(4星)	 小粉红大爆发，星星眼都不够用。女林绝对应该是双子座的吧            
(NA)	 男三是一朵奇葩            
(3星)	 女林和桀骜，太萌了┭┮﹏┭┮            
(5星)	 看到最后一集时，我的感触是：1。再能干的孩子最后还得流着眼泪回来求爹娘帮忙；2。国家社稷神马的我太感兴趣了；3。原来我国现在跟那时候的朝鲜在一些地方还很象呢。            
(NA)	 男主角发现女主的真相之后就不好看了！            
(5星)	 男三太给力了！            
(NA)	 这简直就是腐剧，有谁跟我一样最喜欢那一对博士            
(5星)	 超级好看！！！我最喜欢桀骜和女林，桀骜的酷，女林的妖娆啊。剧中的成均馆类似于中国的国子监吧。说这个是古装版的《是美男啊》。            
(4星)	 爱有天爱生活            
(3星)	 水啊水bug劇。。。美人如雲啊啊啊啊啊啊怎麼可以連路人都是美人啊混蛋(54女豬)！！！（掌儀身邊那位嚴肅哥，你真是一個我無法忽視卻吐槽無能的點。。=_=            
(5星)	 超乎意料的好看……希望有天可以有开怀大笑的镜头~            
(NA)	 第一集第一眼就悲催的爱上了男三！用不用这么可爱啊！！很久没见过哪个剧里男三可以抢了所有人的风头，什么男主女主的都是浮云！！！ps：这是个腐剧啊，腐剧！桀骜你就从了女林吧！            
(3星)	 后半段乏力。干嘛总把正祖塑造成英明神武的形象。            
(4星)	 oh~my~有天天~~女林桀骜好有爱！至于剧情……完全比不过多少类似的&lt;风之画师&gt;            
(4星)	 男二和男三之间非常有爱，弥补了剧情薄弱的不足。尤其是女林，一颦一笑颇有表面风流倜傥，内心柔情万般的风范。而桀骜，表面冷酷无情，内心正直善良。桀骜和女林对于彼此来说，都是离开了对方就活不下去的存在。            
(NA)	 17            
(3星)	 我不得不说男三号实在是太给力了= =            
(3星)	 。。。。。。。。。。。结尾也忒狗血了            
(3星)	 烂尾....真想哭 编剧怎么搞得 明天看最后的5分钟 就噢开了            
(5星)	 又花痴了 嘻嘻~            
(4星)	 本來打滿分，因為演員選的太棒了！個個都能演，在新生代裡可是很難得的！但後面幾集讓我不耐煩，韓劇果然還是16集以內最好，女主永遠淚眼汪汪，看多了想吐！男主告白後愛情表現赤裸到讓人尷尬，古裝劇還是含蓄一點比較美，後面幾集實在太肉麻了，一直反胃...            
