http://movie.douban.com/subject/4812752/	大物 대물
(5星)	 有梦想的民族。强大的梦想，我们还有吗？            
(5星)	 不能因为提到天朝就排斥这部剧，其实更多的是在讽刺韩国自己的政治。只是恰好提到了天朝名字而已。而且那一段其实不也是表示了天朝的强大么。就剧情来说真的拍的不错。            
(3星)	 烂尾            
(4星)	 考试期间快进着两天看完的。。其实觉得这种韩剧应该仔细看不应快进的~~至于国家形象，也许在别国眼我们就是那个样子？骂别人说自己丑？不如自己打扮好了好见人。            
(1星)	 韩国编剧又开始老残了。。乱YY了。。吃不消            
(3星)	 权相宇也老了            
(3星)	 前半部分比较精彩。            
(1星)	 哈哈哈哈哈哈，比小月月大爱屎好看。            
(3星)	 虽然我不大看棒子国的剧。虽然把中国领导人刻画的很古板。虽然这是个虚构的故事。但是不妨碍我们透过现象看本质。            
(1星)	 yy片子~恶心            
(4星)	 立意很好，思考国民需要什么样的国家，政治应该是什么样的。这样的主题和立意在中国电视剧中根本不可能见到。但是如此清澈的反思，最后也只是沦落到表现可悲的民族虚荣心，尤其是第一集，虚张声势下只是色厉内荏的自卑。            
(1星)	 太NB了！！！无语            
(1星)	 第一集就很二！实在看不下去了！！！            
(3星)	 如果能熬过第一集的前10分钟，整部剧还是可以看下去的。相比那些超现实的傻逼偶像剧要好多了，比如什么《秘密花园》《城市猎人》belabela。。。不过连这种政治片都忍不住要宣传一下Talking Tom，真是～车仁表这么看还是很有味道！            
(5星)	 已写剧评。            
(NA)	 还蛮喜欢看政治题材的影视，看政治中惊险激烈的阴谋攻防战；还蛮喜欢看女强人（女人如何变强大）的事迹故事。所以选择了看韩剧《大物》，这部让我感动得流泪的电视剧。不再是儿女情长，不再是生死别离，更多的感动来自于对‘信念’的简单坚持、对‘伟大’的细微体会。            
(5星)	 高姐姐是我心中永远的女王啊！！！！！            
(4星)	 抛开第一集不说，这部剧真是越看到后面越精彩，几位演员演的很好呢。            
(3星)	 完全看在高JJ面子上....            
(NA)	 强烈建议豆瓣设置不想看的图标！！！！！！            
(NA)	 我只是为了看小权权            
(3星)	 不得不说，高JJ的演技又将我震撼了~~有生活经历的女人，有内容的女人，会思考沉淀的女人~~大爱~~话说，《大物》跟《善德女王》最初都是想请李英爱来演的看来在韩国无论演技还是口碑能跟英爱媲美的只有高JJ了~~            
(3星)	 我想给一星的其实            
(NA)	 不管怎么看，现在的我们和棒子都不在一个数量级上。哎。            
(4星)	 好看！中年后的车仁表真帅啊，演技也比权相佑强了九条街，就是高贤贞有点太老。。。            
(NA)	 不错!            
(5星)	 高姐姐气场依旧强大！            
(4星)	 看《大物》，本来是奔着女一号去的，结果中途爱上男二号，于是对女一号也不待见了，因为他们在剧中是政敌。男二号原本是被设计成反派的，虽然后来改邪归正了，可是我还是觉得他背地里搞阴谋诡计更可爱些。哎，正所谓恶的魅力是不可抵挡的呀。            
(3星)	 姜德久大叔。。。看来编剧知错了。。。            
(NA)	 啊啊啊啊啊，又浪费了我家权权。在这里发型也不赞。剧情更无爱。            
(NA)	 我爸看这个 哈哈            
(2星)	 有点沉闷            
(3星)	 为高JJ看的            
(4星)	 哎呦，岁月不饶人，车仁表老了，个头都缩了.......想当年大学里一男生因为长得像他，多受欢迎来着~~这种政治局自身完全沉浸在韩剧的无限YY中。            
(2星)	 白日梦            
(2星)	 22集那中国演员找的也太烂了~            
(2星)	 17弃            
(2星)	 补上第一集。。            
(4星)	 电视剧始终逃不过：前面比后面好看            
(3星)	 不是我的菜，不对我的胃口。            
(5星)	 看到第五集,拍得还是相当不错的.            
(2星)	 有些好蛮好笑            
(3星)	 韩国第一任女总统            
(3星)	 看到第六集就没法看下去了，一个憨直的女人糊里糊涂地登上权利高位，这样的电视是拍给主妇们看的，替她们造一个梦。真正的政治绝不止如此。片子里关于人物感情的描述，尤其是河老爸的爱子之情，倒是很动人。            
(3星)	 姐姐 纯粹是为了权相宇去的            
(3星)	 政治不是偶像剧，天真罢了。            
(1星)	 1星的原因是因为女主稍微还算顺眼，豆瓣不能给0星。这片延续了我对棒片的印象，烂的一塌糊涂。剧情政治观幼稚的可以            
(4星)	 挺好。            
(4星)	 咦，好奇怪评分好低            
(5星)	 第一集便可知韩国人眼里的中国是如何老古            
(3星)	 怎么说呢。也是越来越无趣的一部片子。对高贤贞天然没有好感。这次权相宇饰演的何悼也检察官倒是非常热血可爱！6集弃。            
(2星)	 看的好不爽啊 棒子又搞这个 有违事实啊 不想看了 这种政治题材的韩国就没拍过好看的 吹捧自己民族主义自我yy 娱乐性好低            
(NA)	 一般啊一般 没个爆点 还有高贤贞真的老了            
(4星)	 是部挺精彩的影片。只是其中有一些情节含糊不清，人物性格有些前后矛盾。据说剧本被改过，真想知道要按原来的剧本拍是什么样的，一定比现在精彩十倍！            
(3星)	 冲着高贤贞去的            
(5星)	 因为女主，就多给一颗            
(5星)	 相当好看啊！            
(4星)	 很理想化的一部戏。但值得一看。喜欢高贤贞            
(3星)	 剧情梦幻的利害，政治斗争有那么单纯就好了。不过高姐姐实在很有女王范儿，适合此角色            
(NA)	 唉 太扯了            
(3星)	 各大主演演技不错，但剧情不对我的胃口。            
(5星)	 一部告诉我们民主不是靠做好人就能实现的电视剧，一部告诉我们秉承自己的人性的坦诚为人的人是最终能够成功的电视剧，一部告诉我们历史国家最终是为那些真正有良知的书写的电视剧。推荐大家好好看看，抛弃什么韩剧，抛弃什么国家之分，抛弃什么帅哥美女的崇拜，好好去体会它里面的用语，体会它里面要实            
(5星)	 我们，国家的年轻人，或许因为觉得自己无能为力做什么，觉得政治是大人或者是当今权贵的事，都讨厌或者远离政治，觉得即使与政治不沾边，也能过一辈子。对于那远在天边的事，我们漠不关心。可是那帮政治人制定的法律，却能影响到我们的生活，以及将来，甚至是我们和未来几代人的命运。有多少次，我们为            
(5星)	 韩剧中的精品。            
(NA)	 現實政治和理想政治的結合。            
(3星)	 看了7、8集，坚持不下去，直接跳最后一集。            
(5星)	 喜欢大气的配乐！            
(3星)	 名字很搞笑            
(1星)	 狂吐            
(4星)	 Such a sweet story. Really love it :)            
(NA)	 看到了好多曾经嘚影子。            
(NA)	 以前觉得《京城绯闻》好，看过《善德女王》，发现这才是真正的经典剧作。在《大物》中，高贤贞再次挑战新的角色，平心来说，稍逊于在《善德女王》中演美室宫主。不过，已经让我很感动了。而本剧对政治的思考，对政治人的思考给我实实在在上了一堂生动的政治课。            
(5星)	 众多演技派老戏骨的加盟，令此片丰满出色，虽然题材有些敏感，但是最终的结局还是很理想化。2011-03-01            
(4星)	 如果没有权相佑，肯定看不下去这部戏。每集里不多不少地点缀一下爱情，让死了的心再复活。权相佑真是情种，那眼神有委屈，有怜爱，有欲望，还有一股霸气。难怪招惹大婶们喜爱。            
(NA)	 雷死……没分。            
(NA)	 这个政治实在无语，不过美女是帅的            
(4星)	 民主资本主义社会中 一个总统是怎样炼成的 另外车仁表的眼睛好像动过手术了 一向小眼睛的他居然成了大眼睛了 有点不习惯 也有点笑失望 因为我喜欢他的小眼睛            
(3星)	 女主人公的执着，有时真让人生气，现实中，我觉得没有这么执着的，这只是理想中的正直吧！            
(3星)	 冉求曰：非不说子之道，力不足也。子曰：力不足者，中道而废。今女画。——想到了这段对话。            
(4星)	 D.D.T你喜欢的男主            
(4星)	 前几集真的很感动，后面有点平庸了，但还不失为一部好剧，就冲着4位主演，看都值得。            
(1星)	 爛片            
(NA)	 = =！            
(4星)	 车大叔其实你才是最爱徐大婶子的人            
(4星)	 这部片让我们学到了要全心全意为人民，与所有人谈恋爱，人们才会选你，当然也要点运气。剧情稍微拖沓了点，但也在可接受范围。            
(3星)	 虽然是一部漫画改编的，但，还是能反映一些东西的。            
(4星)	 都是喜欢的演员，喜欢会看的很认真！虽然还有些不够现实，但还不错！            
(5星)	 很多人说爱国的就不要看这部片子，可是这种政治剧能有这种水平已经可以了，是韩国台拍出的电视剧，人家是给自己本国人看的，还要强求什么，看电视看的是它本身的水准，人家拍的不好啊，从演技和配乐你能找出什么差的地方吗？            
(5星)	 题材新颖，好。            
(4星)	 出发点是好的 不过政治那东西 既然是电视剧 也只能是一种憧憬 关于中间中国的部分 是个国家在别国侵入自己领土的时候都是很强硬的 无所谓某些“爱国”分子嘴里的什么冷血或者不出手相救的恶劣形象 还以为能抓到姜泰山呢 结果就那么过去了 算了算了 摆手ing            
