http://movie.douban.com/subject/4813169/	单身毒妈 第六季 Weeds Season 6
(5星)	 俺本来都觉得这季都平庸的了你来个又这么大的结尾。shit, i love this show            
(5星)	 最后一集猛戳泪点            
(NA)	 什么时候能出第7季？            
(NA)	 第8集真劲爆            
(5星)	 哎，这个剧要怎么编才是个头啊~~~~            
(5星)	 本以为这剧要烂尾了，结果第六季出奇的好啊，虽然celia一家都走了，但是剧情还是很给力，特别是最后一集，催泪弹啊！！！！幸亏我看得晚，第七季就快出了。。。            
(5星)	 OMG,f*cking brilliant!            
(5星)	 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊，这是我看完的反应。            
(5星)	 又跑？？我去！！看到墨西哥大佬扇她耳光我都高潮了，但你何苦扇完还恋恋不舍。剧情终于又好看了            
(5星)	 毒妈就是个传奇            
(4星)	 555555555555看完了，好舍不得啊，就这么结束了！！！            
(5星)	 水平恢复中            
(5星)	 最后一集，看得我泪眼婆娑，你们不看weeds是你们的损失！            
(5星)	 最后一集哭的稀里哗啦。。。。啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊不行了！plan c 还有数学老师搞得人家泪点好低啊。。。            
(5星)	 超爱            
(5星)	 naughty girl!            
(5星)	 终于有一季像样的了~~希望不是回光返照            
(5星)	 我靠            
(5星)	 变成温情剧了我靠！            
(NA)	 连着看就是部公路片了。。。            
(4星)	 第七季什么时候出来。。！            
(2星)	 看了一集，有点无厘头。            
(NA)	 只有13集啊。。。            
(4星)	 夢幻般的結尾，plan C。            
(5星)	 绝对精彩，是不是已经全部结束了，再小期待一下吧~\(≧▽≦)/~            
(4星)	 数学老师把我看哭了！            
(4星)	 比上一季好，希望下一季完结就完事了            
(5星)	 That to me sounds like the most accurate discription of evil I can imagine.             
(4星)	 期待明年的毒妈            
(5星)	 本来都想放弃了，结果结尾三集又再度亮起来了            
(4星)	 大结局真是千回百转            
(4星)	 如果没有andy估计早就弃剧了吧南希这个bitch只有在这季最后一集象个妈妈！            
(5星)	 就是随便一看 目瞪口呆 everyone is so fucked up 除了这个词没有别的可以形容            
(4星)	 这拍得太末路狂花了~而且公路片的感觉也十分强烈，当然你们也说了凯鲁亚克。很期待下面怎么拍~            
(NA)	 Nancy is a bitch            
(4星)	 weeds看到第六季，越来越无语，不是雷人的无语，是感慨的无语，nance真是个招人爱的bitch            
(5星)	 这女人无敌了，总能绝处逢生！            
(5星)	 真他奶奶的给力……期待下一季！            
(4星)	 What exactly is Plan C? They still have that video!            
(4星)	 何时是个头啊................            
(5星)	 神剧！神剧！！！            
(3星)	 妈长变了 帅哥没残            
(5星)	 辣妈好辣 剧情牛逼            
(5星)	 美人迟暮依旧光彩夺目~~季末总有无限亮点雷点猛戳观者G点~~强力期待2011夏S7最终季            
(3星)	 越来越扯淡            
(5星)	 一如既往，心满意足的结束了。小帅哥们长大了，辣妈永远不老，第七季要演越狱？            
(5星)	 WEEDS你不要这个样子好不好不要这么煽情好不好我最受不鸟美剧玩煽情了我的妈呀我的妈呀！！！PLAN C..             
