http://movie.douban.com/subject/4826770/	我的公主 마이 프린세스
(NA)	 金泰熙那一口牙真像镶了块大白瓷总也闭不上…            
(4星)	 男女主角让其他所有演员都变成浮云……            
(3星)	 这种情节的韩剧要出上几万部才甘心            
(5星)	 泰熙女神啊~我是看脸呢，看脸呢，还是看脸呢？            
(5星)	 养眼的金MM和宋GG，啧啧啧，眼睛都要闪瞎了~光凭这个也给五颗星。            
(3星)	 男二和女二真难看啊，是为了衬托男一和女一的好看吗？            
(3星)	 不知道为什么。。。。金泰熙总给我女二号的感觉            
(2星)	 宪哥的演技都没有进步，兵役是白服的么？金泰熙，还是去演坏女人好了...就算在如此需要帅哥靓女肥皂剧情的真冬，也只能坚持了2集，弃。            
(4星)	 女二是多老啊，明明比女一小一岁！她的苹果肌是有多鼓！片尾曲不错，有日系田园的调调！            
(5星)	 碰上两个都很喜欢的演员的时候，不打高分太难了。            
(5星)	 俗吧，但很cute~~ 很般配的两人。            
(1星)	 剧情不靠谱 女主好吵啊。你们都爱上艺珍小姐吧！！！话说这编剧真的是金作家么？            
(2星)	 看了四集，不想追了。特别是3,4两集，剧情也太拖沓了。            
(1星)	 极尽狗血之能事            
(3星)	 6集弃 觉得剧情趋向无聊。。            
(2星)	 看了两集，泰熙的演技啊...放弃...            
(4星)	 除了女二。。。阵容真的有够的。mac这次主打宫廷牌。啧啧            
(4星)	 少数我能看得下去的韩剧！女二号长了一张肉毒杆菌打多了的脸。。。僵硬到不行！每次镜头一切到她的大白脸的特写我就想快进！            
(3星)	 秘密花园之后完美的替代～不过还是爱秘密多。但是男女主角站在一起实在是太养颜了！！！            
(5星)	 等了小半年，终于播了，看了第一集，很赞！！！            
(NA)	 真的太喜欢金泰熙了 看不看是一回事 但绝对支持~            
(2星)	 额···实在是无法看下去··            
(4星)	 金泰熙没IRIS里造型好看。            
(5星)	 好吧，我就是看看帅哥美女~            
(2星)	 靠，这个俊男美女搭，宋哥哥在裡頭很傻很天真也很算計，金泰熙就是單純的公主，很單純很聰明會裝傻。女二自然超級討厭，男二破天荒沒讓我更討厭他，原來是一直不喜歡的。雖然是金恩淑編劇給弟子做督導，只是，真的，可能還不能完全吸引視線。打發時間看看就好。看到第7集受不了！吻的莫名其妙啊！            
(3星)	 腼腆可爱肌肉男神马的最喜欢啦！！！金泰熙戏就。。比较假。。。            
