http://movie.douban.com/subject/4837986/	辩护律师 The Defenders
(3星)	 当初为填剧荒看的……居然很不错，轻松紧凑的剧情，同时不失专业……            
(3星)	 不否认有时候灵光一闪的确可以解释的通，但作为一名辩护律师每次都在结案陈词里用I don&#39;t know来煽情真是不能接受！ 律师是靠逻辑的好吗！            
(NA)	 母亲大人本来指望我做个律师 最终我只是看了很多律政剧 =。=             
(2星)	 看过最烂的律师剧            
(5星)	 为神马这个评分这么低~虽然法治性比较强，但是俩大挡却非常搞笑，一个嚷着减肥天天吃萝卜的胖子，一个打字单身旗号到处泡妞的瘦子，打起官司旁门左道，旁敲侧击，非常有意思的阿~            
(NA)	 第一集弃            
(3星)	 BL在前，任何律政剧都无法超越啊。            
(2星)	 看了第一集。不客气的讲，编剧的法理水平，很多地方还不如我这个门外汉。语言水平更是远逊于任何一部稍有名气的律政剧。            
(4星)	 Nick这个老头子真是贱shi了可爱啊auv            
(3星)	 果然是新出律政里的上游圈了，保守规矩的设置，好在驾轻就熟，人物个性还算可以。            
(5星)	 新一季在哪里！！！！            
(4星)	 确实,没有帅气男主,人气就低了吧..剧情还不错,不输给 the suits            
(4星)	 不错的法学剧，尤其是站在辩护律师的立场。编剧偶尔的巧思还是能让人眼前一亮，大吃一惊。而且，看得出来，该剧主创人员是刑侦剧出身，所以加入了律师当侦探的戏码。第一季倾向案件本身，不知道第二季会不会更多挖掘主角性感和故事？            
(4星)	 很欢乐。            
(5星)	 I hope there is a Season 2.            
(4星)	 法律喜剧是我的菜, 想念good wife和 drop dead diva了.            
(3星)	 看了一集没打算追，以后有空再看            
(3星)	 没够黑暗，不够怪诞，不够专业，不够酷。虽然，有那么点喜感和幽默。            
(2星)	 棄            
(5星)	 喜欢这两个律师，喜欢结案陈词！            
(3星)	 不会追的，2个男猪脚像蜡像馆的假人            
(NA)	 棄            
(3星)	 好失望喲…Boston Legal就這麼沒人赶超了麼？            
(4星)	 第二集不错            
(5星)	 很好看啊 期待第二季 挺搞笑的            
(5星)	 哎呦喂~我好喜欢看律政剧？            
(4星)	 3.5，兩個男主角很有趣            
(3星)	 16            
(3星)	 看完傲骨贤妻再看这个，不够给力呀。不喜欢喜剧感觉的律政剧。            
(3星)	 看了一集，弃。            
(4星)	 两位在赌城拉斯维加斯执业的律师，专门办一些不着调的案件。我觉得这部剧是新剧中一部很好的律政剧。推荐下            
(3星)	 看了几集不准备继续了            
(4星)	 不错的一部律政剧            
(5星)	 价值观我挺爱的 团队精神 爱家庭 不乱搞神马的 当然我说的尼克 不是皮特 任务很少 案子节奏也不是特别快 比波士顿法律好多了 还是刑法的舒服 至少正义感本身就存在每个人心中 推荐推荐！！！            
(1星)	 做为一个喜欢看律政剧的我来讲……这部真是一点吸引力都没有啊。于是第一集十分钟弃            
(4星)	 没有紧张抗辩，没有悬疑斗法，轻松有趣富贵香艳，善有善报的赌城童话，下饭良品。            
(3星)	 輕鬆的律政劇，沒有太峰迴路轉的劇情，也沒有什麼驚天地泣鬼神的人生大道理。有時贏，有時輸，偶爾還得檯面下和氣生財的解決。它們不是最牛的辯護律師，但他們打官司必出全力。就是這樣的安排，somehow讓我覺得比一般律政劇來的親民(但也就因此只得在三到四分中游走XD)            
(NA)	 无感            
(5星)	 这才是我想要的刑辩律师，享受自己的生活，喜欢自己的事业，有懂自己的partner，坚守自己的底线~~            
(4星)	 飞机上            
(4星)	 太久没看法律剧，喜欢的类型，也喜欢Vegas！            
(NA)	 律剧真是看的太多了，以至于~~            
(4星)	 好笑+剧情也不错。            
(3星)	 vegas真是漂亮...            
(4星)	 CBS一般出的剧集不会差，特别是喜剧已经律政犯罪类。            
(1星)	 01棄。            
(2星)	 真挺烂的，不过勉强看看男猪。。。            
(NA)	 13几蛮出啊，~··            
(4星)	 近期的几部律政剧中，这部的确不错，起码能吸引人一直看下去，对白也够搞笑。可惜被砍了～            
(3星)	 一般 但还可以看 案件本身从来不吸引我 这是致命硬伤 只是我很喜欢每一个案件结束时 Nick和Pete的调侃            
(3星)	 2010            
(4星)	 有点搞头，但是仅此而已            
(4星)	 美国的法律魅力。陪审团的力量。            
(4星)	 有点模仿BL的意思，就今年大把大把的律政剧来说，成色还算OK            
(4星)	 第一季华丽收场了，期待第二季。            
(1星)	 第一集很烂。。不知道后续如何。。            
(3星)	 其实还不错 可惜曾经的BL太优秀了 没法比啊            
(5星)	 很有爱啊 为嘛砍掉            
(NA)	 其山老师在司法伦理课上放了一集，我便断断续续用了大半学期才看完，实在是很忙很忙啊！！司法伦理考试的时候还引用了这里边案例，得分不错。最后一集一直舍不得看，直到期末考试前为了鼓励自己。            
(NA)	 我觉得好不错啊 为什么评分那么低啊            
