http://movie.douban.com/subject/4848097/	点解阿Sir系阿Sir 點解阿Sir係阿Sir
(3星)	 罗sir真的雷到我了，从头到脚斗超级做作，没有一点真实的感觉。夹心本来我就非好感，这里稍微好点了。杨怡和RON比较有耐，但是剧情很雷诶。2颗星，一颗星是给结局的马明。哈哈，我喜欢马明最后出现得场景，单亲爸爸逗死了。整部剧火了一个夹心。            
(2星)	 TVB的素质越来越差了……            
(NA)	 两个字：浮夸。            
(3星)	 什么玩意儿，三集了吴卓羲影子也没见到！            
(2星)	 陈豪装傻是人生一大悲剧            
(3星)	 &lt;30 完结&gt;这剧想吐槽的点太多了：①剧情安排如此的不合理 结局所谓的HE其实更受不了②杨怡这角色怎么这么圣母 太违和了好么③这剧真是毁了陈mo啊④真心喜欢夹心这次的发型和造型⑤叫吴Ron来打酱油是为毛呢⑥总之这剧最大的赢家是夹心 赢得多少掌声与人气啊orz            
(2星)	 没劲            
(4星)	 系浮夸，但浮夸岩陈豪嘛，咁难得终于等到陈豪同杨怡好好凑对的戏，支持！            
(NA)	 好无聊==            
(2星)	 不!好!看!            
(2星)	 终于忍不住弃了- -            
(2星)	 看杨怡，吴卓羲来着            
(3星)	 不想看了            
(3星)	 里面钟嘉欣亮了...            
(4星)	 學生時代真美好  陳mo你還敢再傻點麼！            
(NA)	 TVB的港剧最近几年封建思想回潮严重。甚至还不如九零年代初的港剧了。            
(NA)	 一集弃!叽叽喳喳吵得头疼!            
(4星)	 这神马坑爹的结局 还要浪费了阿ron那么好的形象结果只是打酱油的 不过阿mo的演技 无论怎么样我都爱 不过TVB的教育题材真的弱很多            
(3星)	 我真的决定以后不讨厌钟嘉欣了 她翻身了            
(3星)	 前面很烂 后面还行。            
(2星)	 吃飯的時候跟著HK室友天天看            
(4星)	 陈豪好囧好搞笑~杨怡新造型不错,夹心演技大爆发~吴卓羲是来打酱油？剧情比当年《青出于蓝》差很远.            
(3星)	 这剧前后转换太大，偏离主题的程度让我不知道这究竟是校园剧、警匪剧还是校园警匪剧。不过到底后段的情节还算略有波澜，钟嘉欣终于有了一次有质量的表演。            
(1星)	 我宿舍人天天放，我擦。。。。。。。。            
(2星)	 陈豪好神呀 完全看不下去            
(3星)	 杨怡自《宫心计》之后状态低迷。钟嘉欣一向无感。            
(4星)	 我倒是觉得戏里的陈豪很可爱...（最近TVB著名不受待见的女艺员甲和乙都纷纷有黑转粉的趋势嘛~            
(3星)	 所谓坏人惹人同情，所谓好人遭人唾弃。Ceci对倪锋的爱可以牺牲一切，罗sir为了完成任务不择手段，从感情方面来讲，这是我所不能认同的。            
(5星)	 终于大结局了!!!一个多月了~~~话说其实每次追完一部剧内心都会满满的成就感 挖哈哈哈哈~            
(3星)	 就是翻版的逃学威龙，里面的罗sir和溏心风暴里的“还可以”感觉差不多，哈哈            
(3星)	 陈豪真的长得好难看啊            
(3星)	 狗血的结局，对不起Carman.            
(3星)	 做消遣的话要求就不要太高啦~            
(3星)	 果断弃            
(2星)	 看到一半已经觉得乏味，结局更是狗血到无法吐槽。特别不喜欢陈mo这种浮夸的风格，杨怡在剧中也不出彩，最惊喜的是夹心很突破终于不再讨厌。            
(3星)	 钟嘉欣的角色很讨巧。            
(3星)	 台湾的白痴校园剧更好看好么。            
(NA)	 矮油，钟嘉欣终于咸鱼翻身了。。。            
(NA)	 27集最后我真的哭了快一小时            
(3星)	 刚开始看着还挺搞笑。但是罗和何偷情的戏份总觉得是败笔，全剧只觉得一群人抢U盘那段有点意思。  吴卓羲又演那种冲动自以为是的角色。Carman不错，衣服也很好看            
(1星)	 很讨厌 陈豪~~~最讨厌圣母 自以为正义的傻逼            
(2星)	 1、陈豪，是TVB成心坑你啊，还是你自己不会选剧啊2、好吧，我对钟嘉欣改观了3、编剧，你肿么了，你醒醒啊            
(NA)	 27集扔手指那part好。            
(3星)	 钟嘉欣终于演了一个不讨人厌的角色啊            
(3星)	 最近的结局都好囧啊！            
(3星)	 烂尾剧。一颗星给钟嘉欣，一颗星给陈豪，最后一颗星给所有Band 3的学生。            
(3星)	 ╮(╯-╰)╭            
(NA)	 有点无聊~            
(2星)	 其实吴卓羲这个发型很不适合他！！！陈豪又耍宝了=。=校园题材比较无聊            
(NA)	 06棄，劇情莫名，合邏輯嗎            
(3星)	 陈豪越来越残...依旧不DJ杨怡,尤其她哭的时候...            
(1星)	 年度最Hea剧集 没有之一 20集果断弃剧  各位小生花旦 珍爱生命 远离刘家豪梅小青夫妇            
(3星)	 追了20多集我不会弃剧的            
(2星)	 前半部份還成   後半部份這麼狗血.原諒我接受無能了.            
(2星)	 。。。。。果断弃            
(NA)	 是的，吴卓羲来打酱油的= =~            
(5星)	 看了这片子。我不讨厌钟嘉欣了。。。。。好角色啊。。。马明那个小客串=-=好囧。。。。。            
(3星)	 钟嘉欣造型不错- -+            
(2星)	 真心看不下去了。。。陈豪扮傻真要人命啊。。。            
(3星)	 CECI的模样和CARMAN的性格是我的菜 我说完了            
(3星)	 一如muse看MP所說「隨便看看好啦」是啦看TVB也是隨便看看好啦            
(3星)	 片尾曲帅气有没有。卧底被狠狠涮了一把哈。            
(NA)	 【2011-04-18】            
(2星)	 钟嘉欣哭那幕还挺可怜的，可是凭此剧提名女主也实在牵强            
(4星)	 凑合看凑合看吧- -            
(NA)	 不演古装的夹心都是好夹心            
(NA)	 陈豪自以为演的好笑 其实一点也不好笑啊 = =            
(4星)	 三颗星给钟嘉欣,第一次我对她有好感,还有一颗星送个杨怡的OL造型~HK连老师都穿得那么有风范~            
(3星)	 呃~忒搞了~有点搞笑+胡搞剧本~            
(3星)	 miss ho一定是天秤座。罗 sir的裤子敢不敢再紧身一点。miss koo表面冷酷其实风骚的要死。程 sir你就是靠脸吃饭的主儿。            
(4星)	 呐，做卧底呢就要像laughing sir 一样，做老师的就要像罗sir一样            
(3星)	 看过《谈情说案》喜欢上杨怡，她的气质和演技真的很不错，很适合短发！这次钟嘉欣终于演了一个适合她的角色，而且扮相很漂亮。至于剧情吗……TVB向来无比阳光上进嘛，看看就好啦，不必认真，不过这部剧里还是提到了很多社会的现实问题哟，细心的观众可以留意一下。            
(4星)	 真的好烂的剧情 还不就是为了看看queen ta            
(2星)	 受不了杨怡受不了陈豪，钟嘉欣太可怜。。。烂剧。            
(3星)	 开放式结局神马的微微讨厌啦~            
(NA)	 很无聊，但是很搞笑~            
(2星)	 ED陳豪留了鬍子居然像鄭嘉穎o(╯□╰)o            
(3星)	 感觉这戏里的钟嘉欣最漂亮            
(1星)	 烂剧情。陈豪只能演正经戏，搞笑时表情很猥琐。卓帅和杨怡的角色毫无亮点。钟嘉欣饰演carman演技有突破。倪峰和ceci虽坏但反而比主角有味道。洪爷不错。             
(5星)	 ~！            
(4星)	 陈豪，听说你一哥了？            
(3星)	 不喜欢罗sir，不喜欢何            
(3星)	 看完越发讨厌陈豪还顺带不待见杨怡            
(3星)	 突然觉得钟嘉欣还是蛮漂亮的。            
(3星)	 看这种剧没耐心            
(4星)	 鬼扯片啊！但是还可以好好玩啊好可爱啊……            
(3星)	 唉             
(3星)	 陈的普通话满搞笑的            
(3星)	 我只能说，这本片子里，陈豪演的特别特别2.我觉得简直就是破坏了他的形象。其实我是想最后罗sir和miss kool在一起的。整本片子里我最喜欢的是情报科的高级督察和蒋洪            
(3星)	 好中意反枱咯！！！！            
(3星)	None
(3星)	 就两个字，浮夸！            
(4星)	 随便看看搞笑而已。吴卓羲还是跟沈卓盈比较配嘛~            
(4星)	 头几集看得一点意思没有，看到后面竟感动到哭。好在港剧从来利落，好坏各有天命。就是爱。不过我真的不喜欢陈豪，唉。            
(NA)	 钟嘉欣这个角色真是翻身了为了她尼玛我拖着看了一晚上啊~~陈豪无敌雷，杨怡完全路人，那些个鸟学生都尼玛哪里死出来的啊！！！！港剧现在比台湾呕像剧还难看，起码人家还有帅哥美女！剧情更是火大啊！！！            
(NA)	 罗sir真是个贱货！！！            
(2星)	 吴卓羲这两年是怎么了，一年比一年帅。。            
(3星)	 消磨时间~~~~~~后面五六集是垃圾了~            
(2星)	 港剧真是越来越没有意思了啊。            
(3星)	 杨怡造型不错哦            
(3星)	 Ron这个酱油打得……            
(3星)	 好浮夸的罗sir和学生，好贱的剧情            
(3星)	 钟嘉欣！！你惊到我了！！！            
(NA)	 怎么会有陈豪那么贱的人哒，破个什么了不起的狗毛案，需要这样玩弄感情，还玩到结婚那么大，搞得人家差点家破人亡，以为自己有多正义，多了不起啊，贱人，贱人，贱人。（钟嘉欣咸鱼翻身之作）            
(3星)	 看不下去            
(3星)	 钟嘉欣这次角色讨好            
(4星)	 短发杨怡很美丽。            
(3星)	 木有意思            
(3星)	 哎，我们的校园生活真的是太无聊了，看人家！            
(3星)	 结局虐到我了。。。            
(3星)	 越发讨厌杨怡了，为什么我每次看剧都会很讨厌杨怡的角色呢，编剧要好好检讨下了！我觉得Miss Cool的情感经历跟我的工作经历好像啊，底线一再降低，最后自己伤心死了！！！            
(2星)	 三集，弃。甚至没等到吴卓羲出场= =            
(4星)	 各位演技进步了            
(2星)	 这是咩啊。没话说，真的有点让我失望。钟嘉欣的演出可圈可点，还好最后马国明出现了，这让我很是欣慰。其他的我一概不想说。            
(4星)	 结局坑爹啊            
(4星)	 可惜最后男女主角没有走在一起。            
(4星)	 虽然很狗血，但每天还是穷追不舍~25集了，陈豪越来越猥琐。。。我都想扁他啦~            
(3星)	 这部戏看的好虐啊~超级虐~~TVB难得有出这么虐的戏~~再说一下曾伟权好帅气~~~越老越有味道儿            
(4星)	 tvb难得的校园片哎，蛮喜欢。            
(NA)	 看见杨怡的脸就觉得不舒服，看了两集不想看了……            
(NA)	 始终唔中意陈豪拍呢种角色，拍返《珠光宝气》入面既果种咪几好，O(∩_∩)O哈哈~钟嘉欣今次呢个形象无咁黑人憎啦~            
(5星)	 还不错，蛮搞笑            
(2星)	 TVB今年除了杜蕊妮主角的2部 都很狗血            
(3星)	 好浮夸            
(3星)	 消磨时间用            
(NA)	 the last one            
(5星)	 好看的一腿啊哈哈哈哈            
(3星)	 收视率很高的说=  =所以就看看呗            
(2星)	 本来挺可惜tvb被收购的，但是现在一看，恩，不卖也得垮台。。            
(NA)	 2011            
(3星)	 這……什麽破結局啊= =打發時間練粵語而已            
(3星)	 难得追剧看，所以也就难得观摩到网上的大量评论，民意还真是粗暴。开头的几个亮点角色戏份越来越少，也越来越腻味叮叮咚咚的音效和陈豪的夸张表演，结尾几集感觉还不错            
(3星)	 换掉陈豪最好 = =            
(4星)	 好像还不错......            
(2星)	 我是有好无聊！            
(NA)	 结局真无语了            
(2星)	 。。。编剧，该吃脑残片了            
(2星)	 烂！            
(2星)	 2~            
(3星)	 么得意思~            
(2星)	 诶呀。什么鬼剧情啊是            
(2星)	 纠结。。。钟嘉欣在这的演技蛮出彩的 角色也讨喜。。希望她继续进步~            
(3星)	 老港剧。不过我总是想，学生过去总是弱势群体，现在老师才是弱势群体吧。在反思教育的同时，我们是不是也应该反思下法律都干了些什么？它赋予了太多没有理智的孩子以权力，而这些权力也只会被滥用而已。            
(1星)	 去死吧            
(2星)	 垃圾            
(3星)	 特别怀念十八岁的天空和机灵小不懂呢            
(2星)	 一如既往烂俗的剧情，陈豪一如既往的跟傻逼一样，吴卓羲一如既往的耍帅，杨怡一如既往的装逼，钟嘉欣一如既往的装傻。            
(2星)	 港式无厘头            
(3星)	 忘记是第几集，弃。杨怡的鼻子看的快想死了            
(NA)	 虎头蛇尾            
(2星)	 剧情很猪，放弃。。。            
(3星)	 高举渣男去死旗帜向前 发现本次渣男之王是男主 ……完败撤退。            
(3星)	 陈豪的表演有点浮夸 结局不能接受            
(NA)	 太喜欢陈豪了！！！！！！！！！！！！！！！！笑得那样儿真的黑贱黑贱黑贱啊！！！！！！！！！害得我面膜都笑落了！！！！！！！！！！            
(3星)	 想说能有这个水平已经不错了。            
(2星)	 我还是蛮喜欢陈豪的， 杨怡变漂亮啦。 这种轻喜剧我还是很喜欢的             
(1星)	 刘家豪，你还能再烂点吗。。            
(3星)	 其实我是希望阿华和carman在一起T-T            
(3星)	  看到后面。很烦罗SIR。            
(NA)	 麻烦你日剧抄得逼真点            
(2星)	 公司吃午饭时随便看看。。。就是为啥陈豪要有弱智样出来。            
(3星)	 后半部分还可以~            
(3星)	 马明乃肿么了马明！！！！！！！肿么那么胖了！！！！变形了啊！！！！坑爹啊！！！！！！            
(1星)	 我实在是看不动了.=A=忍啊忍都没有好看起来!!!!!!!!!陈豪在里面就像个傻子!!!!!!!!!!!            
(NA)	 坑爹。。。            
(4星)	 陈豪好好笑喔！！但系结局实在不怎么样            
(3星)	 点解miss ho唔系同程sir一起？！            
(4星)	 钟嘉欣这次真不错~曾伟权和朱慧敏也很出彩            
(4星)	 算TVB近期不错的作品了吧……            
(4星)	 勉强给4星，本来想给三星，那一星给钟嘉！前面剧情有点闷，20集以后还能好点儿，结局也太仓促太酱油了！！            
(3星)	 兩位男主角的性格不討好，一個不是好臥底的底，只是有個靠譜的sir和好運氣在幫他；一個也不是好警察，衝動，偏見行頭。唯羅sir在miss koo奔潰那場戲表現不錯。這次鍾嘉欣比表演順眼好多。最後的結局，四個人沒有兩兩成對，是最好的結局。            
(3星)	 终于要开始了            
(3星)	 除了MISS KOO全篇毫无亮点。。。            
(2星)	 看到21集看不下去了- -真的不喜欢 除了阵容            
(2星)	 无聊的剧有木有！！！            
