http://movie.douban.com/subject/4848610/	千谎百计  第三季 Lie to Me Season 3
(3星)	 莱特曼赶紧和福斯特发展点正常关系吧。。都S03了   还想什么呢            
(4星)	 我不就是想看你们两个在一起嘛，你们两个给我不要再暧昧下去了！掀桌！            
(5星)	 Loker  Loker  Loker 。。。。            
(4星)	 感觉弱了很多，剧情不紧凑，也不饱满，gillian怎么沦落成跑龙套了，loker沦为路人了，个性和天赋都显示不出来了，ria也是。除了LTM好像其他人都没发挥作用似的，而且LTM自己的特征也没有表现出现。但是个性的自说自话和肆意妄为神经质被过度夸张放大了。            
(4星)	 Lightman终于承认了对Gillian的爱            
(4星)	 终于编辑发慈悲最后一集大叔亲口说了对gillian的爱            
(5星)	 3星给大叔。。1星给locker。。1星盼望还能续播。。            
(4星)	 华丽丽的回归，为啥我看这第三季里边莱特曼这么二，太二了实在是。第三季刚看到第二集，试目以待吧！            
(5星)	 喜欢TR那嚣张的一摇一晃的走路姿势，和他那臭屁至死的眼神            
(3星)	 3.5。看出感情来了，不管怎样，还是希望能够继续拍第四季。            
(3星)	 Reynolds去哪里了？？！！Reynolds去哪里了？？！！！！尼玛！！！            
(4星)	 真的很喜欢Gillian            
(2星)	 为什么这第三季如此寡味，我都看不下去了。            
(4星)	 光叔你和吉姐姐赶快在一起吧~！  有没有人有耐心把吉姐姐的全身镜头截图啊，绝对的职场着装典范啊亲！！！！！！！！            
(NA)	 3            
(5星)	 啊啊啊.... KW 越来越美丽鸟。。为什么最后大叔没有在GF家陪她呢？            
(4星)	 不管有没有S4，都谢谢LTM带给我的所有。大叔。菠萝。还有KW组可爱的午夜党们。豆瓣KW组是我见过最有爱的小组，没有之一。            
(4星)	 突然不太喜欢lightman了 一副自以为是的样子 虽然聪明过人             
(3星)	 这一季明显差强人意            
(4星)	 尽管没有前两季那么精彩 但还是能多少学到一点东西的            
(4星)	 正期待着下一集，却突然看到季终的标题。好吧，有种被砍的不祥预感，虽然，整个这季有些走味，Reynolds的离开让我不习惯，Locker剪了头发变得越发鸡爪，但我还是想继续看下去涅，我还是想看看LM和Foster之间的后续...我还是想继续这个神经质的男人～，希望，下一季再见吧。            
(4星)	 猴子大叔你烂尾啊！            
(3星)	 2010-10-06 看过第一集。几个次主要演员的人事交接在一集内完成大半。本集情节上继续延续犯罪主题，读颜术彻底淡化成单纯推动情节的手段。            
(5星)	 停在这里也许就是最好的  喜欢每一个角色            
(4星)	 求第四季~！            
(4星)	 俩主角终成眷属请！！            
(3星)	 女儿越长越灵了啊~            
(2星)	 第三季没意思了，男主角演技太浮夸了吧，为了表现自己桀骜不信目中无人就非要那样晃来晃去的走路？太招人烦了。故事情节也脱节得厉害。            
(5星)	 循环播放            
(2星)	 念旧情给两星            
(3星)	 彻底不好看了~            
(3星)	 不知道为什么，越看越没感觉了。            
(3星)	 看到第三集，不追了，基调偏离好多            
(4星)	 牛逼的lightman 最后还不是被别人砍~            
(1星)	 这一季太水了            
(NA)	 一边唾弃一边看，太贱了= =            
(4星)	 以后就没有了啊泪！！！Lightman还没跟Gillian在一起呢！！！！TvT            
(2星)	 越来越不吸引人了。            
(3星)	 真是越拍越俗烂了            
(4星)	 最后一集让我想起了社交网络...真是剧荒了吧。果然L叔和豪斯叔有惊人的相似啊。            
(3星)	 整这么个悲伤的结尾然后Lightman好不容易表白了居然没有后续了！            
(3星)	 这片子怎么木有了。。。            
(4星)	 收回之前的成见，第三季不差，没有跟FBI智斗，没有战争没有第三世界后殖民问题、种族问题，一切都归在了平淡的生活。普通的人物，裸露的痛苦，越发张扬却越发脆弱的大叔。现实最无力，却是最真实。人们往往都对那些大场面大刺激给予更多的关注，而忽视了他们身为正常人的东西。s4好运吧！不舍。            
(5星)	 好想他俩快在一起!!可是真的那样了就是大结局了吧&gt;_&lt;!            
(3星)	 越来越差了            
(3星)	 表示没有看下去的想法...             
(NA)	 最后三集突然发力!            
(5星)	 又一季结束了。。。            
(2星)	 越发不是我的节奏了，FOX一贯的黑色路线，俗人我跟不上了。弱化逻辑之后，现在是靠街景活着呢。            
(4星)	 被砍了~！            
(3星)	 越来越凑档期。有家庭剧的潜质。期望后面更新会有起色。            
(3星)	 还能出第三季  很惊讶            
(4星)	 就这样被fox砍了……            
(3星)	 决定放弃了！            
(5星)	 现在真是追剧的黄金时期！http://yyets.net/showresource-juji-673.html            
(NA)	 最后又抛出主角情感私生活牌，学house么。。。真是的            
(4星)	 下一季何去何从？搞定Foster？新角色？            
(5星)	 OMG这个海报。。。能别这么惊悚么= =            
(3星)	 不想看了            
(4星)	 不得不说这季没那么好了，案子各种无聊╮(￣▽￣&#34;)╭            
(NA)	 这么快就出了。。            
(3星)	 越来越差了，故事也有点凑合的意思。蒂姆罗斯的神经质表演，有点太过了。            
(3星)	 这季真尼玛憋屈，该有的进展一点都木有！            
(4星)	 就这么完了            
(3星)	 被砍是意料中的事，说白了这种靠经验来说事的东西也要拿实际理论来说服人，否则只不过是一个性格恶劣阅人略为丰富的角色耍宝——换作平时生活中差不多三十个中年人里就有一个这样的人，我为什么还要特意去看剧集呢？            
(3星)	 越来越无趣了…            
(5星)	 别了，我的爱            
(3星)	 8            
