http://movie.douban.com/subject/4851904/	日本人不知道的日语 日本人の知らない日本語
(NA)	 我真不知道这种剧到底是打着交大家日语的旗号，还是中伤外国人的？尤其是里面很多情节，让我看了都不禁大叫“我们真的有这么傻逼和没礼貌么？”妈的看了就来气！弃！看见女主角也想痛扁她一顿了！            
(5星)	 没想到还蛮有意思滴~            
(5星)	 多点这样的题材就好了            
(3星)	 我讨厌女主！！！            
(5星)	 日本语学校也成为了电视剧的拍摄题材，真的很惊喜，能学到的日语太多了！            
(2星)	 一集弃 其实我觉得  仲里依紗可能是个好姑娘 但是无奈她演的每部剧都 很 烂             
(2星)	  仲里依紗 愚蠢至极 做作的剧            
(4星)	 同理放到这边儿也有很多大家不知道的汉语名称~            
(NA)	 = = 内个中国男傻乎乎滴...哈哈哈，题材很好玩 = =            
(4星)	 对日本语学习大有帮助            
(4星)	 呃。虽然看的我很累很无聊，学日语的可能看还是有用的。            
(3星)	 半集弃，真的受不了女主啊。            
(4星)	 マンガのほうがずっといいよ。            
(3星)	 模式化 幼稚 弃            
(NA)	 四星? 搞笑呢吧我草 女主角就跟个二逼似的            
(2星)	 看半集就受不了啦，咱能不能不这么傻            
(2星)	 我就无语了，听力课每天看这个            
(2星)	 看不下去！            
(2星)	 女猪脚超二，二的让人连看第二集的念头都没有            
(4星)	 还是挺长知识的，但是仅从片子的角度来说，不是很好            
(NA)	 可以权当参考。当然，肯定是励志剧            
(4星)	 金丽好萌萌萌萌萌萌萌萌萌萌萌啊~~一起考试来结局什么的也太狗血了吧。。作者也好萌啊……            
(5星)	 日本語の壁へ挑戦！ペタペタ楽しく。。。            
(3星)	 剧情太烂了，女主角表情超多还蛮萌的……            
(2星)	 弃。            
(2星)	 肯定是热血剧，不会太好看，不过冲着可以学习日语，当做教材保存            
(3星)	 姑良～你是在和二宫长得好像   XD～～～            
(NA)	 看上去还不错，不知道妞儿漂亮不            
(4星)	 谢谢&gt;&lt;            
(4星)	 先生老早说过 除非生在泥轰长在泥轰SHI在泥轰 否则永远不能完全理解泥轰金的思维=、=            
(3星)	 9集弃- -            
(3星)	 深夜剧啥的最有爱了！            
(4星)	 很可爱的剧            
(3星)	 学日语            
(4星)	 这么无趣的剧情拍成这样够厉害的了，喜欢那个想当忍者的瑞典女孩            
(3星)	 看两集 弃 内容不错 无奈真人版实在没感觉 如果可以更想看原著            
(4星)	 用来学习的            
(3星)	 101213 如果不是学日语的话看这片子可能会睡着。不过能做这种题材的片子本身就说明霓虹国电视市场的细化程度            
(5星)	 想起我日本语学校的女老师了，好怀念～那时候真的好开心。腐女什么，御姐什么，怪叔叔什么。。。都有！            
(4星)	 这部剧很精彩啊。            
(NA)	 这姑娘的表情真是久看生厌啊            
(NA)	 1集弃            
(5星)	 各种羡慕嫉妒恨，我要是熟识日语多好…好多桥段理解无能可依然觉得好好看我这不是一个大M嘛…同时恍然大悟之前在日剧里见过的那个插着小木棍的茄子原来是招魂马…花牌也是好想熟练的玩上一圈啊…            
(5星)	 很细腻很轻松也很感人的情节。            
(3星)	 仲里依纱的衣服好看。弃            
(3星)	 情节弱煽情滥，只能看看水臭矢场这样的知识点了～            
(3星)	 收集完每个学生的祝福主线任务就完成了              
(NA)	 好好学日语~~            
(NA)	 意呆利Otaku表白：请别只对我冷傲，请让我看看你娇嗲的一面。            
(4星)	 日语学习好帮手            
(2星)	 弃            
(4星)	 人美心地又善良，短短的又很节约时间～            
(NA)	 什麽都沒學到=  =            
(4星)	 算是学到很多吧～            
(NA)	 弃。            
(5星)	 好玩而时尚。也能学到很多一些日常生活用品的日语呢。            
(NA)	 知识不少但剧也太傻了吧.......            
(NA)	 和各种烂戏码比起来能学到的部分实在是不足以支撑我看下去了。。。            
(2星)	 只看了第一集。            
(4星)	 完全看的云里雾里难以理解。但是这样的题材很新鲜。好期待有一天我们最美的汉语也能遍布全球!!!            
(4星)	 希望对日语有帮助。            
(3星)	 还是坚持不下去跳了两集，所以说这类型还真没看过也还真有点看不进去。里依纱的着装是亮点啊，那个中国女生好可爱%&gt;_&lt;%            
(4星)	 这一部里的仲里依纱很fashion呀。可以从这部日剧里学到不少日常必备日语，不错。            
(4星)	 本来明白的都变不明白了霓虹语好可怕            
(2星)	 诶还是漫画版好看。放弃。            
(4星)	 小岛藤子出来的时候微小的惊艳了一下。其实当作漫画来看还蛮好的..就是太不真实了...            
(3星)	 10            
(NA)	 上季的，弃了            
(NA)	 大长知识。。推            
(4星)	 跟着学到了不少            
(5星)	 真正应该被中国拿来翻拍的剧。            
(4星)	 唉，日语好难啊……要学到什么时候才能学会呢？            
(3星)	 蛮有意思            
(2星)	 神马玩意            
(NA)	 败笔在这些外国学生...真是让人受不了啊            
(3星)	 对学日语还是蛮有帮助的啦 剧情呆了点是真的            
(NA)	 看了一集就断尾了。。。。傻乎乎的 不如看爱情公寓了。。            
(4星)	 对我日语的学习满有帮助的~~~            
(5星)	 给力的教学片~万能双语字幕组            
(2星)	 做作！            
(NA)	 看见女主角就想拉快进。。。那个娘兮兮的画同人志的意大利宅男挺萌的。。。。orz。。。。。            
(2星)	 11.24-12.1 真是挺无聊的,可是我还是看完了~而且看到最后一集,演她脑海里闪回前面的片段,我才发现有一集没看~哈哈~然后又补了~            
(4星)	 日语中真的有好多奇妙的词语。。。            
(3星)	 那个谁果然长的像那个谁            
(4星)	 看完也想学日语了。            
(3星)	 【10夏 仲里依纱】节奏特别快，随便看看仲里依纱的打扮            
(3星)	 ano...            
(4星)	 略嗲略der不过很合口味嗯~好想弄死那个小王和金立！            
(4星)	 不良仔和眼鏡妹里的眼鏡妹!!!!!!!!!!!!!!!!! 都看完了才看出來...            
(4星)	 教的东西蛮好玩的            
(4星)	 娱乐娱乐。学习学习。            
(3星)	 如果真能去做深入文化内层的探讨而不只是表面形式上的小打小闹就好了。中国的那俩人真傻。尤其那女孩。            
(NA)	 ばかばかしい            
(NA)	 01            
(NA)	 懷念的日語班午休。            
(2星)	 无趣味            
(2星)	 弃，实在看不下去，里面的两个中国人太×了            
(4星)	 看衣服。            
(3星)	 学日语中的同学可以了解一下第二集。。。            
(3星)	 两集弃。。。            
(5星)	 看完最后一集，想我学生了。            
(3星)	 学日语的吧..            
(4星)	 意料外的好片。            
(3星)	 傻里傻气的，当扩词汇看着玩吧- -            
(4星)	 也是从开始一集一集追下来的。还算满意。            
(4星)	 看了最后三集，改了评分。            
(NA)	 有時間再關注下。鮪（wei）魚---1。弃            
(3星)	 终于看完了。。。            
(4星)	 没在看了。            
(5星)	 学习中...            
(NA)	 2            
(3星)	 长知识            
(NA)	 寓教于乐            
(3星)	 莫名其妙热血得很SB...弃了...            
(3星)	 仲里依纱 你还是穿女仆装比较萌            
(3星)	 03弃。            
(3星)	 一集半后弃，浪费了不错的题材，女主很不顺眼！            
(4星)	 我个人觉得其实还蛮好看的，剧情虽然夸张，但是有些stereotype比美国人对我们的stereotype处理得好很多了，而且我的确也学到了过去很多不知道的=。=日语真的好难呢……            
(3星)	 知識可學習。。劇情什麽的就算了吧= =||||||||            
(5星)	 小仲很可爱哇~~            
(5星)	 有点意思            
(NA)	 第三话弃= =            
(4星)	 挺好玩儿的~            
(3星)	 看的时候觉得学到不少东西看完全忘了= =》            
(3星)	 弃 我没耐心啊就            
(4星)	 狗妹这部剧好看啊 哈哈哈哈~            
(5星)	 很有趣..            
(3星)	 算了……还是去看书学点实用语            
(4星)	 就记住一个テボ…            
(3星)	 为了督促学习而看            
(3星)	 什么时候学日语了再看吧...            
(2星)	 就敬語那集還有點兒用。整個這劇是干嘛的？。？看了8回終於忍受不了了，棄。            
(3星)	 好看不好看 有东西就成            
(3星)	 几个外国人演员都演的好抽筋,特别是小王,那个脸哈错气.剧情么也比较老套,但是还蛮好玩的,还有些日语的小常识什么的.比较意外的是小岛藤子也有客串,最后那个真的是原作者海野凪子么,这么好看的阿阿阿.仲里依纱过足了穿奇装异服的瘾阿.            
(4星)	 热爱，才想要去了解。只会单词就能沟通交流？同样是汉字意思却千差万别。被忽视的日语老师，却是传递文化最直接不可或缺的，老师就是家长，不仅仅只是教育和监督那么简单，信任的力量延续着缘分，不认真深入的学习，即使你是本国人，也一样笑话百出。            
(NA)	 挺俗套的            
(4星)	 王先生你可以不要这么天然呆么哈哈哈            
(4星)	 仲大胸可可爱了，你们说我去借鉴她里面的衣服如何？            
(NA)	 一部失败的电视剧，成功的日语教学片。            
(4星)	 以前忘了标了，现在看回来，仲里依纱当时怎么被弄那么老那么妖艳啊 = =             
(3星)	 剧情怪怪的。就记住了女忍者。。。。。。            
(3星)	 日语学习材料……            
(4星)	 看得到中国人对日本的偏见，看得到日本对中国的误会。            
(3星)	 課間休息用。小王實在好蠢啊……XD            
(3星)	 一帮缺心眼啊……            
(NA)	 三集弃。            
(3星)	 能学点日语，其他没什么看点了            
(4星)	 好欢乐&gt;&lt; 然后姐就靠这个复习N1！！！            
(NA)	 太过于kuso 全部下来是都是一种设定反倒有点厌倦            
(4星)	 学日语很有趣，剧情有点无聊            
(4星)	 女主角吧，稍微丑了点。。。。呃。。。不能说丑，就是。。。感觉还蛮。。。乡，哦不是，是蛮霓虹国本土感觉的。。。。。            
(3星)	 日语偏方儿值得一看，剧情什么纯粹鸡肋。            
(3星)	 瞎胡闹            
(3星)	 好无聊啊，，，，            
(NA)	 好友推荐~据说意呆利那位很萌哦哦吼吼~----------断断续续终于看完了，前一半还不错，后面真是没什么有意思的。。。想当女版GTO吗亲~~而且那俩扮演chinese的，怎么说呢~~            
(4星)	 还好啦            
(NA)	 姑娘真漂亮            
(3星)	 啊，啊，除了可以知道很多不知道不注意的日语知识，真可以说是勉强看下去的哪            
(NA)	 托选修课“日本影视与文化”老师的福，我被强制把这个当季弃掉的剧看了T.T女猪还是接受不了:-[            
(3星)	 故事还是能学到些东西的，可是这女主实在是长得让我头疼。            
(3星)	 够二            
(3星)	 如果不是因为能够学到很多日语知识我真的不想看下去！！！！            
(4星)	 学习了，仲里依紗是难得的日剧里卖傻萌还不被我讨厌的女主            
(4星)	 很赞很正统，当然，要是动画版就更自然好看些了。女主角长得挺好，表演怎么那么瞎呐~！            
(NA)	 一集，搁置。            
(2星)	 本以为会是另类小剧，题材到是不错，只是过于闹腾            
(4星)	 演的蛮傻 但是冲着日语看看还是蛮好的            
(3星)	 学日语的人看比较好。剧情就是无聊的。            
(3星)	 没多大意思，女主太惹人嫌了。            
(NA)	 嘛~也许对学日语还有一点点用。。那个呆梨OTAKU下兜齿好严重，又那么受= =完全颠覆了呆梨人在我心中的形象。。【请别只是对我冷傲，让我看看你娇嗲的一面】这是神马告白啊喂。。大概还挺喜欢美国大叔的，果然对那样的长相没有抵抗力            
(5星)	 啊,日语好难啊,吐.....= =本来指望着6级要是过了就拼日语了....春子帮临时负责人好有一腿啊,越看越有爱...            
(4星)	 用故事的形式讲述日语和日本的文化，是容易被接受的形式，而且印象深刻。《天天向上》中的《中华礼仪》也不错，结集就好了。希望这种生动的形式越来越多。文化就像流水一样，丰润而美丽，不因时间而削减。            
(4星)	 蛮好的，我就喜欢励志剧            
(3星)	 好无聊的。但第七集亮了~柯南68册&amp;东京无限419 /虽然扯但是最后一集加分了            
(4星)	 唉  好感人啊  又有意思            
(3星)	 这尼玛比新世界教材有趣多了！            
(NA)	 好奇怪的感觉，这片完全就为了日本语来的吧，可好没有人文气息，话说什么是人文气息啊（望天。            
(5星)	 日本語は難しいと面白いです。            
(4星)	 很欢乐的日剧，表演也超夸张，春子是贩卖蝴蝶结发卡的么？            
(5星)	 useful~！            
