http://movie.douban.com/subject/4903593/	万凰之王 萬凰之王
(NA)	 主角老而丑，剧情烂且俗。            
(2星)	 主角都忘了多打点玻尿酸了？化妆师怎么搞的，妆都糊了。            
(2星)	 年度死人最多的剧哦~真不愧是名侦探依兰！            
(3星)	 我有预感这剧是那种会继续追但好看不到哪去的类型。。。            
(3星)	 胡杏儿和陈锦鸿在天上飞，我当时有种想哭的感觉！尼玛你们也是玩《无极》的吗？？            
(3星)	 皇后妃子也在皇上面前一句一句奴才叫的怎么那么难受...            
(NA)	 那个冰雹 各种无语            
(2星)	 看了一集，第二集看一半卡不下去了。这是史上我看过的最没有气质的皇上。            
(NA)	 各位美女的红色嘴唇实在是太亮眼了。亮瞎我的双眼。皇帝实在是没气场。            
(1星)	 听着萱萱叫胡杏儿姐姐，好头疼呀。。。            
(3星)	 尽管远远不及金枝欲孽，但比宫心计好太多。            
(NA)	 怎么丑的这么离谱啊，，            
(1星)	 TVB你一模一样的故事到底要讲多少遍。            
(NA)	 众多后宫剧，黑胖如何胜出。。。            
(NA)	 TVB分明就是在考验观众的审美和智商。天要亡TVBA啊。            
(2星)	 冲着宣萱看的，结果看了一集就看不下去了~~ 为什么要找陈锦鸿要皇上啊，一点帝王相都没有，和胡杏儿走在一块跟个小太监似的~~　真没劲~            
(NA)	 道具雷，情节雷            
(2星)	 第20分钟的飞风筝一出，立刻崩溃了            
(2星)	 濃妝, 煸情, 浮誇 ! 看不下去了!            
(2星)	 真心不讨厌X2呀，但这妆好丑，嘴巴这么红干嘛(﹁&#34;﹁)还有你走路一颠一颠地是要干嘛！哪有这样走路的，你是古装不习惯么你。萱萱呀，我真心很爱你的，但是你老了，这扮相比较像姑姑吧。要不是TVB每剧必追，我绝对不看，最后两集弃了。整部剧就是为了抬X2，赶时间，这么高调黑幕有趣么你            
(NA)	 呕~TVB没人了嘛            
(2星)	 这化妆登造极了。。。            
(3星)	 皇帝还真是个窝囊废！【恨铁不成钢的语气】            
(3星)	 看这些斗嚟斗去好烦            
(1星)	 看到那金钗就已经无语。TVB又去哪里批发的首饰~脸谱化演技实在接受无能~对了，还有圣母╮(￣▽￣&#34;)╭ 这么烂的台庆剧颁奖典礼压力很大！            
(NA)	 TVB那么多演员 要把我讨厌的全凑在一个剧是多么不容易啊 我居然还看完了... 真贱 这么狗血的剧情             
(2星)	 各种疯魔。。            
(2星)	 刚看了2集，没啥兴趣往下看。一直都不喜欢萱萱，陈锦鸿演皇帝太不靠谱了。胡杏儿就更不提了。情节设计和金枝欲孽相差太多，画面一看就很简陋。里面演员的颜有多苍凉，在化妆品的掩盖下都掩不住。            
(3星)	 两星半，6集弃。帝王还是薄情的设定比较有看点，另外宣萱的角色还不如胡杏儿讨喜。            
(1星)	 可以给负星吗            
(2星)	 各种丑            
(2星)	 没意思            
(2星)	 整个剧到最后，每个人都变成了刘建明——“给我个机会，以前我没得选，以后我想做个好人。”圣女就变成了审判官，吐槽点太多了我都不知道自己是怎么追完的！！反思一下其实是我自己的生活太无聊了吗……            
(3星)	 依兰你还是选了那条最孤独的路啊。            
(NA)	 名侦探依兰后来变狠我还挺喜欢的~            
(3星)	 双人飞风筝的开篇挺败笔的，愈看倒愈精彩，比宫心计那种虎头蛇尾，圣母充斥的烂剧还是好不少的。。。            
(3星)	 唯一的看点是两位凉凉相爱相杀相爱相杀相爱相杀相爱相杀。。。。嗯，爱你就是要虐你。。。            
(1星)	 发现了吗 TVB好人坏人的区别就是妆浓还是不浓....            
(1星)	 老弱病残。1集弃之。好想吐嘈胡杏儿 真像猴子。。。            
(2星)	 你们有没有发现皇帝的布料很少啊！！那个~龙袍，那个销魂的7分百折！！！！！！！            
(3星)	 女人太可怕了!!            
(NA)	 俩女主演的还是很好的 确实一个看似无情却有情，一个看似有情却无情 。历史上的全妃据说正是当皇后之前是小白兔 当皇后之后就权倾朝野 独揽大权。。剧总算没把这一点改掉。。。最后太扯淡了 静妃应该是恭亲王奕的娘亲，而且还是咸丰帝的养母。。。怎么可能就这么瓜了。。。            
(1星)	 亏我从巡礼片就开始期待..看头两集貌似不怎么滴嘛..            
(NA)	 皇帝最多的台词是：传御医！！！            
(2星)	 幼稚，破绽百出的宫斗剧。果断弃剧了。            
(3星)	 tvb何时连适合演古装的花旦都没有，而且这部剧的妆估计演员自己过后都不敢看了吧 尤其是胡杏儿自己，但是胡杏儿凭这剧拿视后和最爱女主角确实有点苦笑不得，好在她够勤奋够努力。宣萱等一干老戏骨的演技还是水准依旧。            
(4星)	 鳥斗            
(2星)	 2.5。陈锦鸿一上阵，就预示着是个无能苦逼的皇帝，走哪都跟个小太监一样。剧情前后人物性格落差太大，言情不足，宫斗弱智。唉~摊上这么个皇帝，只能说，女人要雄起，只有靠自己。OVER。            
(1星)	 如要评选TVB史上最差台庆剧，我将毫不吝啬地为本片投上宝贵一票！与虚构故事的《金枝欲孽》相比，这部以道光史实为背景的宫斗剧，更加无视史实，情节更是狗血到无以复加。但我猜到了前30集，却无论如何猜不到大结局：皇后乘着热气球飞走鸟…注意，是热气球哦！            
(3星)	 原来说的是慈禧啊，太扯了。宣萱演技不错，可惜这个为她量身订造的台庆剧并不讨好啊，虽有在努力刻画人物性格，可也太反复无常了。            
(2星)	 自己都不知道为啥要看完这部狗血恶俗的所谓宫斗戏，果然除去大奥和金枝欲孽，其他宫斗都是渣！最后一集反转得很莫名，圣母变腹黑了= =说起来豆瓣别名倒很亮，名侦探伊兰……            
(3星)	 灯笼易碎，恩宠难回            
(4星)	 台词很棒，老一辈比年轻一辈的戏张力十足还好看。前半段剧情狗血，但后半段是追出感情还是什么的，就觉得好看了= =胡定欣的角色从法政到这里都不讨喜，但是因为她的海棠我总是喜欢她。剧情最后的神奇逆转啊！还有就是陈锦鸿这算是和脑残角色耗上了吗？皇帝才是动乱之源啊！            
(2星)	 后宫众人有这么2吗？只有瑞亲王可以看。。。            
(2星)	 20棄。.. 皇帝很可憐欸, 雖然蠢鈍如豬,集集被騙, 依然每天顛顛兒的討各位妃子們歡心：唯一心願就是大家表吵, 唉,這枚悲催的天秤。  當然還有萬年不變的幼童向：如何區分好人壞人?—— 看她化妝的濃淡。            
(3星)	 我觉得这部电视剧傻乎乎的，无论是那个大浓妆，还是那个雷人的平地惊雷的特效，还是“奴才”来“奴才”去…            
(3星)	 除了结局我都喜欢            
(1星)	 看了半集实在看不下去了，夸张做作之极，简直一坨屎，(&gt;_&gt;)            
(3星)	 结局穆章阿说了个事实：大清开始毁在这个皇帝手中啊！！！            
(2星)	 尼玛你个皇帝就是个二货            
