http://movie.douban.com/subject/4904661/	绯闻女孩  Gossip Girl  Season 4
(5星)	 强烈要求BC那段红衣相视含泪拍成电影，梦醒时分，DSJN滚蛋滚蛋            
(3星)	 动态版的VOGUE            
(1星)	 2b极点的戏啊 第一集以为正常了，然后慢慢2的本性又出来了，从ep4开始不看了，何必浪费时间像完成任务一样的折磨自己看这2B戏码            
(NA)	 我居然前三季都看了~真是无聊的可以            
(5星)	 哎 终于回归了，又开始了狗血的N角不正常关系了            
(2星)	 白烂至此还能走到第四季，美国couch potato是有多无脑            
(5星)	 I konw I love you，XOXO，gossip girl。            
(3星)	 只能说越来越狗血的让人想闪.            
(3星)	 居然把DAN和B，扯到了一起，我又一次被编剧折磨了眼球。            
(NA)	 我居然坚持到这里            
(4星)	 虽然肤浅，还是爱看            
(2星)	 剧情一如既往的狗血            
(4星)	 看第二集泪奔了。            
(4星)	 越来越sb了            
(4星)	 又跟上进度了，都追这么久了还是不弃了…这季开始好看了！            
(5星)	None
(1星)	 不要去试图推敲剧情。不要去考虑借鉴里面人物的衣着和打扮。你只是练习一下英语听力顺便学几个上东区高级词汇而已。            
(4星)	 第一集质量很高啊！埋了不少伏笔，这一季值得期待。            
(NA)	 法国真美            
(5星)	 xoxo +ooxx             
(3星)	 我真希望看不到VANESSA这个讨厌的黑鬼怨妇和DAN那个长舌贱男            
(3星)	 任被编剧改的混乱，却一直在坚持..            
(4星)	 人物关系乱得一塌糊涂啊。。。除了无数漂亮的时装和美女，就只有各种来来去去跑龙套的男配角能看了。。。。            
(4星)	 你是Queen B，你是Chuck bass，为了能一直看到这一对持续追一部编剧已经江郎才尽遍洒狗血的美剧。Blair waldorf,我是多么多么喜欢你,我真心喜欢你每次眼光流转，翻白眼，发脾气，和皱眉。XOXO Gossip girl             
(4星)	 这是我最认真地看完一季GG，以前是没有投入的关系吧，果断很好看。虽然做测试测出我是S，但或许偏B更多一点吧，相比B或许我更喜欢S的大气和善良，B只是个缺乏安全感任性会嫉妒的小孩，做着成为公主的美梦，于是真的遇上了王子。B和S的友谊是真实且现实的，会嫉妒会吵架但会为彼此挺身而出。            
(4星)	 ………………尼瑪我竟然追了四季了！            
(NA)	 弃 剩下的看看剧情简介够了            
(2星)	 拍到这样着实可怖，布莱克弗莱里也无甚新意。不过更可怖的是我居然追到了第四季oh my..            
(4星)	 讨厌追剧 但美剧岂有终点?            
(4星)	 前半段好无聊又是快进，后半段还可以，little J怎么长那么胖了。。            
(3星)	 就为了看Ben老师跟了……结果最后人都没掉了！！            
(2星)	 看到第九集彻底无语了。。。弃之            
(3星)	None
(NA)	 剧情乱到妈都不认得好么！！！！敢不敢再乱七八糟一点儿！弃，实在看不下去了.......            
(5星)	 第五季第五季！            
(3星)	 顺便学英语            
(4星)	 我已经无力再看下去了。            
(4星)	 time flies            
(3星)	 vanessa是萌物！她披著麻袋頂著油臉一出場我就想笑，這樣完美的攪屎棍打燈籠難找！            
(5星)	 后知后觉的的才看完T^T            
(2星)	 王子挺帅的哼            
(3星)	 时尚版换妻俱乐部。我是去学英语&amp;穿衣搭配的。            
(3星)	 爲了看完而看完！            
(4星)	 that a secret I never tell            
(4星)	 for ben only            
(4星)	 排除对这一切的偏见的话，剧情还挺紧凑的            
(NA)	 美搭 省的看杂志了 加练听力            
(1星)	 这一颗星是给B和C的            
(3星)	 到第四季果断放弃！            
(4星)	 最后那是B怀了C的孩子吗？！！！            
(4星)	 又是一季            
(4星)	 第四季完了撒鼻息            
(3星)	 大家的道德底线都很低，除了布莱尔的继父。不再追了            
(NA)	 关系复杂的可以了，基本上都轮一圈了，最后C说让B选择幸福的而不是伟大的爱情的时候真的感动到了，期待G开始搞破坏了，还有小J你是不是真不回来啊QAQ            
(3星)	 狗血大洗牌，路易王子是个苦逼。            
(4星)	 我得写个感言            
(5星)	 囧了我觉得好好看= =!!!!!!前半段bc互打是比较2b但王子出来以后整个人都捧奤了.......bc分手看哭了 别伤害少女心啊坟蛋编剧 /(ㄒoㄒ)/~~            
(4星)	 剧情在第四季大体上有突破，但还是老套路啊            
(3星)	 喜欢blair的声音和她的梦            
(3星)	 只爱S只爱S只爱S只爱S只爱S只爱S只爱S只爱S只爱S只爱S❤            
(4星)	 挚爱queenB。...第四季比以前的都好看啊            
(4星)	 BC的爱和S的暑假突然让结尾深刻了起来，本来我只想看帅哥美女而已……            
(3星)	 说是弃剧，可是为了围观BD我竟然又专门看了好几集= =，BD戏真是厕所台的手笔吗？倒有当年WB青春剧细水长流的感觉了。其他角色依旧脑残的脑残，酱油的酱油。            
(4星)	 Queen B            
(4星)	 only B &amp; C~~~            
(4星)	 我发现我已经记不起前几季的内容了。不过这季里的身材恢复的都不错。            
(2星)	 真的是打着学英语的旗号看的，结果除了偶尔闪现的扭腰街景，剩下一律2-4倍速掠过...            
(4星)	 哦~人人都有一个曼哈顿上东区的美梦，只当是暖暖地午后晒着太阳打了个盹儿，做了一个现代版奢华的戏剧性的梦吧            
(3星)	 大部分时间是作为背景声音看完的。我其实挺想知道继续下去还要怎么编。            
(NA)	 不知道為啥就是想追著看。            
(5星)	 so, chuck finnally grows up and knows how to give up. But i knew that they would not separate apart just like this.             
(NA)	 雷人的一季……            
(5星)	 BCBCBCBCBCBCBCBCBCBCBCBC。            
(3星)	 我已经有点受不了了- -            
(4星)	 这季比上一季好看            
(4星)	 让我从BC变成唯B            
(4星)	 中间有点看不下去了，但是对下一季非常期待。每个主角都到了不同的地方，是要拍世界旅行片么？            
(NA)	 好跳跃　排列组合的阵容又壮大了呃            
(NA)	 弃~            
(4星)	 真是狗血哇            
(3星)	 交换伴侣的游戏玩得爽吗？            
(3星)	 nate！！！            
(3星)	 为什么第一集就这么狗血！！            
(4星)	 后知后觉到自己早就看完了都不知道，还以为还有新的一集呢。。            
(4星)	 看GG 练听力 学情话 囧            
(3星)	 越来越烂！！！            
(4星)	 在每次觉得不想看这个剧的时候，就会突然感动我一下。。。每个人物确实都在成长。PS我真心希望DB在一起！            
(3星)	 BD党不解释            
(4星)	 CB党表示好惆怅..应该唱“相爱没有那么容易”...            
(3星)	 到16集....我已经不想再追了....            
(NA)	 22            
(3星)	 ...            
(4星)	 Ethan Peck！！！其他我什么都不想再说。。。            
(4星)	 B要结婚了，新郎不是C⋯⋯？！            
(4星)	 陪我大学到现在啊，今天最后一集挺温暖的。帅哥靓女漂亮衣服鞋子首饰，车稍微少点。最近加入了王子元素，嗯。            
(5星)	 913回归~哦也            
(3星)	 Only complicated and intense love lasts long            
(NA)	 我覺得我真的是可以了。。。。明明只有22集，我卻一直在等第23集。。。。期待第五季（誰跟你說有第五季了@ @）            
(4星)	 今晚就结束了，如果不是后面几集，这一季真是少了太多乐趣。            
(4星)	 Hurting and comforting each other over and over again，might be exhausting but still kinda sweet，that&#39;s what we call friendship，isn&#39;t it？            
(4星)	 最初是想看尽一场视觉饕餮的，但是情节发展又让我无法自拔。是有点混乱了，但是复杂才好看啊。这一季里，开头部分和结尾真的算是精彩。中间有些冗杂但是也赚足了眼泪和青春梦。有一个疑问是：为什么C和B每一次偷欢完都能迅速的穿好衣服，清理好难堪的痕迹和尴尬的液体呢？最后G的出场兴奋极了！            
(5星)	 只为bc            
(4星)	 一直爱B            
(NA)	 情景时装秀我居然看到了第四季……            
(3星)	 天啊这片儿还能更狗血点儿吗？Juliet给S下了药后逃逸，居然还被原谅，而且S还约会被自己害进监狱的本帅哥；此外，S跟D+N继续分分合合过家家酒（B居然还吻了D！）。只是开头和结尾，B和C情感戏总是这么心酸。要不是角色演员这么有气质而且衣香鬓影的，真是不能忍了。我完全就是看服装和美女来了⋯⋯            
(2星)	 一不小心就看完了            
(5星)	 喜欢Ben Ben Ben            
(3星)	 越来越乱。。。。。。。。。。。。。。            
(NA)	 Badly Drawn Boy - In Safe Hands             
(4星)	 虽然幼稚的狗血情节仍然存在，但第四季确实超越了前三季，编剧能在这么几个人里折腾出这么多矛盾纠结，着实不易。B真正成长了，S仍然沦陷在不知所谓的儿戏中，V成为继J和G之后最令人讨厌的角色，D依然是那个不入眼的家伙。王子虽然是更好的选择，但是B&amp;C每一次的分别还是那么让人心痛。            
(4星)	 N是个大嘴巴，V是个贱人，Ben挺好的，B最后穿的那条裙子美翻了。。。            
(5星)	 TAT 快出第五季！            
(4星)	 其实比较期待B和dan。            
(4星)	 =。= 这部片解释了世界上所有的不可能            
(3星)	 越看越脑残。每集的框架大概就是，天亮了，起床了，发生某件事情了，磨叽了一个白天设计出来个阴谋了，天黑了，酒会了，穿上盛装华服闪亮登场了，最后可能就谁和谁上床了~            
(NA)	 越来越狗血了            
(3星)	 流动的礼服指南啊~~~~            
(4星)	 疯狂的爱和正确的爱，你选哪个？～GG居然开始有深度了啊哈～～这片子就是用来养眼的，真是太养眼了，最后一集S偶遇的帅哥可真是帅            
(NA)	 555 chunk bass            
(3星)	 美劇編劇究竟懂不懂見好就收這個詞？            
(4星)	 一如既往，本季的最后一集，夏季假期即将来临，人们纷纷离开纽约城，去各地度假，寻找各自的艳遇。在暑假前的最后一天结束这一季还真是应景。追了这么久，总归是有些感情了。gg坏就坏在编剧，人物的前后形象是矛盾的，没有一个准数。dan越来越真实，我倒越来越喜欢他了，希望别又被编剧写回去了。            
(4星)	 i will always love you.            
(4星)	 只能无休止地斗下去，那才是存在的意义啊。            
(2星)	 一半就球剧透了 果断不看了= =            
(NA)	 Dan picks up a bit while Prince-charming Nate is no prince to the show.            
(2星)	 看了衣服，看狗血            
(5星)	 最后一集尼玛几乎要把老子看哭了...            
(4星)	 其实只是看服装和人，剧情就指望B和C的爱情，这季最后一集我都要被C感动得哭了，另外我真的好喜欢Ben啊，太帅了太帅了啊！            
(NA)	 编剧不会让你一直做好人的= = 优秀好彩了一季的B要翻船了            
(NA)	 虽然里面的关系真的都很变态的 每次看我都想戳瞎我的狗眼 但是第五季出来 我想我还是会看下去的             
(3星)	 看样子这玩意还不会结束但我真不知道这帮人一直在搞个毛……            
(5星)	 再见，B。再见，S。再见，C。再见，N。再见，D。再相见时大家都换了模样。            
(2星)	 剧情越来越莫名其妙            
(3星)	 In order to fully transform, we might need to free ourselves of everything we&#39;ve been holding on to. To send us on our new path--the right 1            
(4星)	 Holyshit，总算演完了，下一季换妻继续。。。            
(5星)	 对于B倒是越来越喜欢             
(4星)	 只追Blair            
(4星)	 CB又分了。。。。            
(3星)	 剧情还是很狗血，但也算开始好看些了，打发时间可以看看。            
(2星)	 ...我居然看上瘾了            
(3星)	 偶然找了一集看，果然b跟d快要搞到一起了，编剧果然不负众望。。。            
(NA)	 乱了套了            
(NA)	 纯粹看人的有木有·（110527 11:34完 搜狐视频 H）            
(3星)	 冗长.            
(3星)	 越来越没劲             
(4星)	 还是喜欢。            
(3星)	 GG，再无聊也会看下去。ps：还是想C&amp;B在一起。            
(3星)	 太烦躁了            
(5星)	 it wouldn‘t be my world without you in it。我深爱的小C&amp;B            
(2星)	 厌倦GG了,,            
