http://movie.douban.com/subject/4913214/	恶作剧之吻 장난스런 키스
(2星)	 女主角丑得+金贤重你可不可以有点表情哇？还是郑元畅亦正亦邪的好看！            
(NA)	 还是台湾那个版本好看            
(2星)	 金贤重也阻止不了我弃剧的决心，女猪太tmd没感觉了，导演你是瞎了啊            
(2星)	 韩剧翻拍也开始雷人了。金贤重完全没植树的味道，面瘫啊他。女主估计照恩惠整的，阿金完全是天雷滚滚，那一弯刘海，老鸨啊他。剧情发展慢的我都不知道说啥好了，我忍着耐心看了20分钟还是受不了了，弃剧。另外，感觉男主让原来考虑过的郑永和和朴信惠我觉得会不错，张根锡也行。            
(2星)	 “面无表情帝”和“全是表情姐”之间，可说可不说、说了也白说的故事。铁了心看不下去乐!            
(2星)	 算了吧…完全破坏了我心目中恶作剧之吻的美好形象。            
(1星)	 和台版一样，都是对原著无情地玷污。女猪丑得让人心疼，这才是大喊冥国真正的水准啊。            
(1星)	 尊重原著？皇天后土多田老师能被气活也不错。。。虽然最爱柏原崇，但目前只有江直树最让我有代入感= = ep1未完即弃            
(1星)	 看了第一集，浮夸、乱七八糟，垃圾啊            
(3星)	 反正比台版的好。。。8过男主还是不及柏原崇            
(4星)	 我好多喜欢这种欢乐风格的进度又快不像台版太慢了……            
(3星)	 看了一集，算了吧            
(5星)	 还蛮好看的啊~~~            
(3星)	 金同学快赶上柏原同学了。            
(2星)	 ......Orrrrrz.这戏路!!这女猪!!没有任何版本能超越我家维尼畅晨铁三角!!Never!!            
(NA)	 还是台版好看= = 唉......            
(NA)	 开头就看到那个大饼脸女人 看你妹啊            
(2星)	 女猪丑，男猪卸妆恐怖，改编的面目全非。            
(3星)	 我挺喜欢金贤重的，不过不是长相和演技……            
(1星)	 p一样的，简直就是翻版的宫嘛。。。。。            
(NA)	 直树被毁了。。。            
(5星)	 没办法，就是喜欢金贤重。            
(4星)	 我只想说，金贤重好帅啊好帅啊好帅啊好帅啊！！！！！！！！！ 我是花痴！！！！！！！            
(5星)	 金贤重+1+1+1+1+1+1+1+1+1+1            
(5星)	 最经典是 日剧，柏原崇是很难再有人能超越那种感觉的，但是不得不说的是韩剧这次尽管有各种问题，可是我还是因为金贤重而力挺，每个电视剧都有它的角度。台剧我就不评价了。            
(3星)	 我覺得還不錯啊，尾毛評分那麼低~8過我沒看過原著請不要打我。。賢重還8錯。但龍套暴露癖大叔亮點~            
(4星)	 只看男主。            
(4星)	 终于看完了！就是为了看小贤！！！            
(1星)	 麻烦你也尊重下原著！            
(3星)	 金贤重的鼻孔。。。            
(NA)	 快进快进快进快进            
(NA)	 就随便看了一集。。= =            
(3星)	 又对比看了一下台版，突然发现韩版的更紧凑，而且女主角性格更好了一些男主角也更亲切了一些，好像还是韩国人拍偶像剧的水平更高一些。            
(3星)	 第一眼……差点把金贤重当山P……            
(NA)	 看了三分钟我就不行了....            
(3星)	 比郑元畅版的好点  这个女一比林依晨智商高那么一颠颠 男一装的很变态 为什么就是要喜欢不表达 非要装不在乎 然后偷摸儿高兴偷摸儿美滋滋 非得折磨身边的人2啦吧唧的痛苦             
(4星)	 我爱每一个江直树            
(4星)	 引导式爱情外衣 共同成长内核            
(3星)	 金贤重本色出演 鉴定完毕            
(4星)	 我女朋友很像吴哈尼 不过我没胜祖IQ高 哈哈...不过大家都说我们是绝配哦 嘎嘎...            
(4星)	 总算看完了~为了贤重呐……            
(3星)	 我喜欢这部里的女主角，不能说非常漂亮（林依晨也不漂亮），但是很可爱，人物的形象是热情、可爱、淘气、真诚的，比较符合角色，而台版的袁湘琴简直就是弱智，让人不忍目睹，有时候恨不得把她灭了。不过剧情的节奏太慢了。。。。。等追完再做评价，目前持保留态度。            
(4星)	 贤重，为了你！！！烂尾了。。。。            
(3星)	 这对恶作剧夫妇看起来不怎么相爱啊。金贤重还是一副小新郎的样子，俩人怎么看都是硬凑。金贤重每次对着哈尼笑，都笑得很官方，明摆就是不爱她啊。学长也太老了吧，怎么看都有45了。╮(╯-╰)╭            
(1星)	 其实真的很不喜欢SS501，女主真的有够丑，但是很搞笑。好吧，我承认，2集弃。            
(3星)	 那个女主角好三八，好好笑~ 喜歡女主角 ！            
(NA)	 陪妈妈看得...            
(NA)	 韩剧太拖沓。。不过我觉得这一部比台湾拍得搞笑些。。嘿嘿。。            
(4星)	 不知道为什么，对这个故事本身没有任何抵抗力。日本、台湾、韩国版全看了，连漫画都看了。            
(3星)	 追不下去！！！太无语了            
(NA)	 太像山P了            
(4星)	 虽然和漫画最贴切，但是还是漫画好看啊，很奇怪，明明心动的桥段都拍出来了呀。。不管怎样，比台版好看！台版实在是太拖拉了！            
(3星)	 女主衣服很好看            
(3星)	 入江植树太冷血了...江植树太闷骚了...白胜祖太贱了...唯一不变的是女主...            
(4星)	 喜欢~虽然没有台版的经典~但是韩版演绎的还算完美~白胜祖多了份温柔我喜欢~            
(3星)	 比台湾的好看那么一点点，还是比不上日版滴            
(1星)	 求你们别再糟蹋了行么？女猪男二都丑的要多恶心有多恶心，剧情也面目全非，还是拍拍你们自我感觉良好的偶像剧算了别再胡搞瞎搞他国的剧了            
(3星)	 我怎么觉得峰俊具长的像瑛太啊。。。            
(4星)	 手贱了~~还是日版最正~~~            
(1星)	 越看女主角越受不了，导演肯定要找寻恩惠的影子，可是导演完全的失败了！！            
(3星)	 居然让《坏男人》里那个杀死男主的大千金来演！！！            
(5星)	 结束的太草率了..            
(2星)	 女猪脚真不好看！！！！！！            
(5星)	 看不下去了..女猪换一个就好了.            
(2星)	 至少也要张大根这种level的直树才能满足我对这部剧的情结啊。。。(崇崇还素你最美永远最美！！！T__T            
(4星)	 韩版的入江直树终于不再是冷冰冰！！白盛祖会笑会心痛会纠结会难过会嫉妒会喜欢会讨厌~~金贤重的演技真的是进步很多，也因此给这部戏加了一星。韩版可以说是完全贴合原著漫画了，虽然编剧很不给力，女猪的颜也无语到一定极致XD。。反正看的挺欢乐的            
(2星)	 一集都没看下去，支持了15分钟！！！！！！！！！！！！我心中的直树只有柏原崇~~~~琴子还是喜欢招风耳的佐藤蓝字~~~            
(1星)	 弃            
(1星)	 傻逼和傻逼。            
(3星)	 金贤重一如既往的帅啊！            
(3星)	 严重快进版 么意思            
(2星)	 断然弃之 和几年前的宫太过相似。没见过这么没突破的导演。            
(2星)	 ==            
(3星)	None
(NA)	 那个..鼻子太夸张了...“面无表情帝”和“全是表情姐”好形象...            
(3星)	 闲到极点 没的看了 才看完的  - -            
(3星)	 女猪脚很励志。恩，挺厉害的。。虽然男主长得像个受脸小流氓但是追到他也挺厉害的。恩恩恩            
(4星)	 这男的可爱 哇咔咔            
(4星)	 台版好看！            
(4星)	 看偶像剧就是来看帅哥的好吗！金贤重这货不解释！            
(3星)	 超无聊的时候~竟然把这看完了~ 跟台版的调调差不多~其实女猪脚那个画漫画的死党真是个漂亮MM~            
(5星)	 还是完全对金贤重无抵抗力啊，容我花痴一次哈哈哈            
(2星)	 一路快进 演员都是各种复合体Orz            
(3星)	 女猪脚实在是不给力啊，真纳闷男主角怎么会喜欢她呢？还是台版的好！            
(NA)	 女主是金在元妹妹吗噢那个嘴和那个眼睛。。。- - 还有观看途中我数度以为男一其实爱的是男二。。。女王受好吗亲。。。。            
(5星)	 依然爱我家金贤重            
(NA)	 12，弃。            
(4星)	 女主角挺可爱的，拍得不错。            
(3星)	 也就是金帅哥可以看看了。            
(2星)	 还能再装点么            
(3星)	 CUTE ~            
(3星)	 看了一点点吧 最怀念林依晨饰演的湘琴            
(3星)	 不忍心金贤重被女猪脚糟蹋啊            
(3星)	 白胜祖VS江直树——平分秋色；吴哈妮VS袁湘琴——完败。林依晨果然是傻傻招人爱，郑素敏有点惹人厌了。怪编剧！            
(3星)	 看韩剧会使人脑残=，=一点儿没错~~这么纯            
(2星)	 还是台版的最好            
(NA)	 弃剧。。。            
(3星)	 真搞不懂 男猪脚前10集都那么冷谈  怎么后来一百八十度转变要和她结婚了》？  简直莫名奇妙            
(2星)	 严重觉得自己要被和谐了            
(5星)	 头两集小失望，但是越来越好，很经典，很漫画，很幸福~耐看的哈妮，永远笑得没心没肺的小白，真的很美好啊~            
(3星)	 主角之间完全没有爱意啊..            
(3星)	 居然完结了。。怎么说呢，棒子的翻拍剧总是在最初几集需要忍耐，然后当你进入剧情之后就会变得宽容，当它完结时居然有点不舍。。看完之后去翻97年的日本版，还真的看不下去了，但当年觉得好看的不得了呢！可能还是这个故事本身比较有魅力吧。而柏原崇也结婚又离婚，早已过气。时间过的可真他妈的快啊            
(3星)	 最後一集剪頭髮的那段感動到我了/(ㄒoㄒ)/            
(4星)	 温馨舒适。            
(5星)	 万众期待的粉红大结局，竟然出来各种打酱油~~期待特别版，强烈要求把黄PD换掉~气死我了~~            
(3星)	 金贤重好帅啊。。。            
