http://movie.douban.com/subject/4914642/	回家的诱惑
(3星)	 凌潇肃这次真是本色出演了...看着他就觉得恶心            
(1星)	 迟帅小神龙俱乐部喊你回家吃饭            
(NA)	 凌潇肃的苦逼脸我半分钟都看不下去，关电视睡觉！！！            
(NA)	 凌潇潇本色出演            
(5星)	 ahahahahahah 芒果台引进这片儿真是抓住时机啊！！！！！！！！！！！！！！            
(1星)	 我擦。。这个烂的还不如夏家三千金，剧情脑残至极。。凌霄肃这种表演水平在班里还能考第一？            
(1星)	 凌某某算是完蛋了！            
(1星)	 我无语了  你要播妻子的诱惑就播  不知道哪里找的翻版  要翻就不说了  连主题歌也要抄  你说你有没有个脸 芒果台~~~            
(4星)	 虽然是翻拍，但比棒子拍得好多了，尤其是节奏快。剧情很狗血，我是看凌潇萧来的。            
(1星)	 我要不是头痛不能动，不能拿遥控器换台，我何必忍半个小时！            
(1星)	 湖南卫视，你故意的吧！！！            
(1星)	 就算翻拍你改改不行么            
(NA)	 太精彩了~~哇哈哈~~尤其是凌霄肃的本色演出~~一部集港剧、韩剧、大陆山寨剧风格于一身看点多的数不清的大杂烩~！            
(2星)	 他有什么演技？都不知道怎么考到电影学院，又一个招生内幕吧            
(1星)	 这...太可怕了!            
(NA)	 我没有给星，是因为这部烂戏，一星不值。真的是不要脸到极点了，来造型都不换，芒果台当我们白痴啊！真是让人生气……            
(1星)	 其实我也不觉得凌霄肃是个恶心的鸟人，但这部电视剧真的哪里都好恶心啊，每个人都好恶心哦……怎么这么恶心啊——当我带着疑惑看到评论说是芒果台的电视剧后，我就……释怀了……            
(NA)	 一个星都没有            
(NA)	 伪韩剧。。。。            
(1星)	 艹  这电视剧居然也能拍出来。。            
(1星)	 我说剧情咋这么熟悉呢...            
(4星)	 早看了这部剧早学会怎么当三儿了            
(1星)	 忽然想起这个电视剧 于是搜搜豆瓣条目 果然有。 不足以用极差来形容的烂到屌爆的剧情 一颗星都算仁慈到极致            
(1星)	 男猪脚真的没有表情的。应该多多像教主学习一下~            
(3星)	 总得来说，这是一部搞笑而狗血的电视剧            
(NA)	 。。。无语了            
(1星)	 真是什么人都能来内地混个女主当一下啊~~另外，为什么没有编剧于正的大名！！！这电视貌似也是此人的杰作啊！！！            
(4星)	 大家不喜欢这剧可以，为什么要攻击演员，我喜欢秋瓷炫，她有一种与众不同的气质，很美            
(3星)	 雷佳音是我喜欢的类型之一            
(NA)	 我看了我看了我竟然看了！！！            
(1星)	 对不起我看了这么山寨的国产连续剧            
(NA)	 不予评论，垃圾。            
(1星)	 超烂但很多人看啊，为了避免话题缺失我也看了            
(NA)	 国产经典。            
(3星)	 其实我还挺喜欢宝莲的。            
(3星)	 忽略编剧侮辱观众智商的逻辑性，纯娱乐的看看还行，还有高珊珊那个扮演者太令人发指了！！            
(1星)	 求芒果台别再做自制剧了。。。。。            
(NA)	 不解释嘻嘻。            
(1星)	 妈咪坚持在看，但是真的很恶心诶！！            
(1星)	 贱男人！            
(1星)	 这么狗血的剧情，这么山寨的翻拍，这么棒子的穿越，这么悲剧的潇肃。            
(NA)	 不愧是韩国电视剧翻拍的，剧情太他妈荒唐了。            
(2星)	 好一般。            
(NA)	 陪老妈看了几下            
(1星)	 芒果卫视我服你            
(2星)	 我是陪小妹看的，怎么和过家家一般…            
(3星)	 完全因为香之和迟帅才看的 &gt;3&lt; 忽略剧情             
(1星)	 我真搞不懂  這麼爛的電視劇為神馬趙姐還看得津津有味的            
(3星)	 虽然芒果台是抄袭韩剧《妻子的诱惑》 但毕竟我没看过。这部剧也够狗血的 集合老公出轨妻子复仇 势利尖酸婆婆 姊妹背叛 非血亲兄妹恋 绝症什么的……超狗血。所以说 男人一直游移在两个女人中间 终究受报应 无论选谁都一样 因为 最终两个人都会变成祸害。原来红颜祸水是这样来的            
(1星)	 尼玛 浪费时间            
(4星)	 当肥皂剧还蛮好看呀            
(1星)	 哎呀呀 每天就靠这个度日了~            
(NA)	 我啥B了 ，今天尽然和我妈看这剧，看到凌晨3点半。。。就是现在            
(3星)	 气人            
(3星)	 打牙零食时间随便看看            
(NA)	 我吐，没有最烂只有更烂。。。不愧为马桶台首推剧目。。恶心情节。            
(2星)	 寒假陪我妈看的。我妈迷上人家那女主角儿了。。。            
(3星)	 这部剧红了主题歌，还有男女主角。凌潇肃通过戏里戏外的负心汉角色，着实吸引了一下眼球。而秋瓷炫则通过《男人装》再次展现了她的优美身姿。一个女人复仇的故事，总是既凄美又解恨。很多观众在家里是一边看一边骂，消耗了大批的零食和饮料。本来电视剧就是用来消遣的，如今增加了发泄的功能，更加值得            
